QM Energy	FF Energy
     -0.00177576     -0.00171175
     -0.00270356     -0.00273482
     -0.00242655     -0.00224197
     -0.00180327     -0.00173342
     -0.00466261     -0.00449798
     -0.00799922     -0.00778964
     -0.00166569     -0.00162355
     -0.00476781     -0.00476767
     -0.00300029     -0.00294092
     -0.00370635     -0.00348066
     -0.00155631     -0.00144235
     -0.00210272     -0.00201138
      -0.0104966        -0.01067
     -0.00411443     -0.00404094
     -0.00587888     -0.00605804
     -0.00194262       -0.001898
     -0.00355587     -0.00353683
     -0.00313042     -0.00298457
     -0.00289384     -0.00282096
     -0.00112049    -0.000991907
     -0.00267595     -0.00258701
     -0.00758596     -0.00766308
     -0.00762215     -0.00725047
     -0.00447055     -0.00425919
      -0.0103362      -0.0102739
     -0.00240796     -0.00225662
     -0.00426204     -0.00417723
      -0.0070289      -0.0067371
     -0.00239074     -0.00233555
     -0.00827024     -0.00790302
     -0.00870133     -0.00857873
     -0.00161082     -0.00152986
     -0.00256181     -0.00235388
     -0.00269419     -0.00270185
     -0.00632437      -0.0063001
     -0.00715994     -0.00703031
     -0.00149057     -0.00140519
     -0.00840132     -0.00829768
     -0.00520241     -0.00493041
     -0.00441672     -0.00426908
     -0.00968542     -0.00953621
     -0.00175572     -0.00164178
     -0.00604167     -0.00586471
     -0.00215547     -0.00212775
     -0.00329461     -0.00309091
      -0.0015241     -0.00141697
     -0.00107429    -0.000992322
      -0.0036536     -0.00362243
     -0.00762985     -0.00744918
     -0.00159233     -0.00143774
     -0.00124557     -0.00114576
     -0.00171253     -0.00158861
     -0.00218972     -0.00220817
     -0.00383756      -0.0037654
     -0.00848319      -0.0083513
     -0.00117397     -0.00106166
     -0.00658575     -0.00658272
     -0.00654469     -0.00611213
     -0.00101824    -0.000896654
     -0.00922017       -0.009496
     -0.00698014     -0.00656088
     -0.00189253     -0.00175693
     -0.00312324     -0.00313474
     -0.00283434     -0.00269224
     -0.00104124    -0.000943856
     -0.00203232     -0.00192742
     -0.00199806     -0.00195446
      -0.0086072     -0.00828157
     -0.00163138     -0.00161767
     -0.00143234     -0.00137307
     -0.00199865     -0.00190409
     -0.00114946     -0.00109749
     -0.00657283     -0.00621229
     -0.00740424     -0.00754148
      -0.0055931     -0.00569736
     -0.00866587     -0.00892586
     -0.00365888      -0.0036069
     -0.00258001     -0.00241964
     -0.00161542     -0.00154647
     -0.00446217     -0.00414837
     -0.00718172     -0.00735591
     -0.00272423      -0.0025205
     -0.00296504     -0.00292844
     -0.00209953      -0.0019417
     -0.00172721     -0.00166086
     -0.00494444     -0.00478068
     -0.00829496     -0.00834697
     -0.00162105      -0.0014949
     -0.00220548     -0.00204499
      -0.0052923     -0.00519997
     -0.00236907     -0.00223888
     -0.00155247     -0.00140722
      -0.0011704     -0.00110672
     -0.00388961     -0.00374878
     -0.00406201      -0.0039441
     -0.00311517     -0.00303356
     -0.00461161     -0.00471929
     -0.00453281     -0.00421938
     -0.00152612     -0.00144684
     -0.00144975     -0.00132418
     -0.00219313     -0.00213112
     -0.00306376     -0.00300365
     -0.00758024     -0.00751766
     -0.00518116     -0.00493088
     -0.00322347     -0.00312595
      -0.0078265     -0.00804657
     -0.00223565     -0.00211266
     -0.00645956     -0.00668107
     -0.00275464     -0.00271906
     -0.00562688     -0.00575299
      -0.0037873     -0.00382228
     -0.00482932     -0.00454509
     -0.00232032     -0.00211648
     -0.00898393     -0.00885131
     -0.00171957     -0.00164168
     -0.00152558     -0.00139307
     -0.00439914     -0.00442176
      -0.0020801     -0.00191273
     -0.00165851     -0.00153349
     -0.00114456     -0.00104009
      -0.0100817     -0.00985913
     -0.00239247     -0.00219258
     -0.00166497     -0.00157101
     -0.00224126     -0.00213612
     -0.00182868     -0.00180756
     -0.00310137     -0.00283909
     -0.00298567     -0.00298129
     -0.00451527     -0.00445993
     -0.00167364     -0.00157497
     -0.00166742     -0.00157334
     -0.00304599     -0.00296543
     -0.00129551      -0.0011902
     -0.00200885     -0.00193167
     -0.00616521     -0.00608722
     -0.00617911     -0.00604161
     -0.00207548     -0.00196386
      -0.0046684     -0.00463009
     -0.00362545     -0.00350111
     -0.00344041     -0.00321603
     -0.00186645     -0.00185935
      -0.0044689     -0.00432492
     -0.00853929     -0.00842281
     -0.00232826     -0.00222129
     -0.00520428     -0.00498816
     -0.00482507     -0.00431507
     -0.00483609     -0.00459651
     -0.00176124     -0.00163704
     -0.00405853     -0.00396928
     -0.00489269     -0.00494632
     -0.00214477     -0.00208611
     -0.00897239     -0.00899615
     -0.00409964     -0.00417247
     -0.00218257     -0.00209828
     -0.00337103     -0.00331127
     -0.00225513     -0.00226497
     -0.00183421     -0.00179223
     -0.00646151     -0.00623712
     -0.00547402     -0.00537288
      -0.0111627      -0.0113776
     -0.00593347     -0.00560268
     -0.00278236     -0.00253568
     -0.00209827     -0.00200851
     -0.00633635     -0.00613973
     -0.00186999     -0.00183666
     -0.00305277     -0.00281983
     -0.00225291     -0.00218492
     -0.00557807     -0.00564082
     -0.00489284     -0.00452381
     -0.00103245    -0.000934499
     -0.00629451     -0.00595512
      -0.0025167     -0.00246519
      -0.0059014     -0.00555103
      -0.0106829       -0.010852
     -0.00245023     -0.00236979
     -0.00137966      -0.0012882
     -0.00508912     -0.00489128
     -0.00391401     -0.00380194
     -0.00266405     -0.00262773
     -0.00481607      -0.0047266
     -0.00509214     -0.00473006
     -0.00338197     -0.00335657
     -0.00399515     -0.00376721
     -0.00145116     -0.00138611
     -0.00946231     -0.00950641
      -0.0036649     -0.00341978
      -0.0041774      -0.0040873
     -0.00101736    -0.000892729
      -0.0108747      -0.0106597
     -0.00167661     -0.00162169
     -0.00333655      -0.0031795
     -0.00692558     -0.00686931
     -0.00258721     -0.00232343
     -0.00227287     -0.00214552
      -0.0016518     -0.00157893
     -0.00115283     -0.00106793
     -0.00395141     -0.00389969
     -0.00546114     -0.00531663
     -0.00359954     -0.00358105
     -0.00399618     -0.00389694
     -0.00929841     -0.00964323
     -0.00539532       -0.005242
     -0.00714847     -0.00712997
     -0.00152343     -0.00144417
     -0.00596926     -0.00608671
     -0.00193834      -0.0017712
     -0.00151779     -0.00144147
     -0.00805311     -0.00802354
     -0.00603611     -0.00608142
     -0.00518713     -0.00541068
      -0.0111103      -0.0111063
      -0.0135511      -0.0136402
     -0.00946386     -0.00957812
     -0.00194186     -0.00186539
     -0.00318278     -0.00316389
     -0.00344189     -0.00340141
     -0.00399338     -0.00399572
     -0.00220261     -0.00201088
     -0.00133557     -0.00127964
     -0.00528445     -0.00496629
       -0.004349     -0.00422665
     -0.00168155     -0.00164065
     -0.00529248     -0.00505834
     -0.00433013      -0.0040886
     -0.00961638     -0.00949786
       -0.011444      -0.0112062
     -0.00399118      -0.0039605
     -0.00217729     -0.00210619
     -0.00258724     -0.00250387
     -0.00376778     -0.00372683
     -0.00154811     -0.00143241
     -0.00135825     -0.00128748
     -0.00720225     -0.00719038
     -0.00275141     -0.00259699
     -0.00479949     -0.00476229
     -0.00271733     -0.00260412
     -0.00480265     -0.00482104
     -0.00246372     -0.00236535
     -0.00217851     -0.00213362
      -0.0133229      -0.0135916
     -0.00510734     -0.00479015
     -0.00738733     -0.00695867
     -0.00443925     -0.00438983
     -0.00822986     -0.00812657
     -0.00309539      -0.0030911
     -0.00943023     -0.00944575
     -0.00131095     -0.00120327
     -0.00162903     -0.00155377
     -0.00112577     -0.00107413
     -0.00124619     -0.00115114
     -0.00257426     -0.00254416
     -0.00668015     -0.00673045
     -0.00614511     -0.00624723
      -0.0017145     -0.00164157
     -0.00636773     -0.00610716
       -0.008468     -0.00809586
     -0.00171465     -0.00161996
     -0.00547705     -0.00536908
     -0.00994789      -0.0102811
     -0.00588337     -0.00579775
     -0.00859675     -0.00856797
     -0.00176682     -0.00172003
      -0.0108532      -0.0106576
     -0.00491936     -0.00490315
     -0.00139797     -0.00130755
       -0.009673     -0.00933391
      -0.0124056       -0.012622
     -0.00509028     -0.00497618
      -0.0013835     -0.00133493
      -0.0105957      -0.0104606
     -0.00343491      -0.0034226
     -0.00960203      -0.0095307
     -0.00399261     -0.00372082
     -0.00721604     -0.00731137
      -0.0017949     -0.00176614
     -0.00815005     -0.00788852
     -0.00187415     -0.00170239
     -0.00344977     -0.00334372
     -0.00344164     -0.00314563
     -0.00274833     -0.00255998
     -0.00482707     -0.00434141
     -0.00246307      -0.0024167
     -0.00247302     -0.00240729
     -0.00296771     -0.00280731
     -0.00979715      -0.0101057
     -0.00368054     -0.00362199
     -0.00580389     -0.00566449
     -0.00262391     -0.00253208
     -0.00171297     -0.00166086
     -0.00748367     -0.00720148
     -0.00173537     -0.00164002
     -0.00275296     -0.00275004
     -0.00253455     -0.00236714
      -0.0024391     -0.00236593
     -0.00134881     -0.00124174
     -0.00382218     -0.00369994
      -0.0018729     -0.00183893
     -0.00230985     -0.00219347
      -0.0118895      -0.0121431
     -0.00592253     -0.00563928
     -0.00125413     -0.00119398
      -0.0108836      -0.0108212
     -0.00815656      -0.0075476
     -0.00361201      -0.0035599
     -0.00397461     -0.00383398
      -0.0107195      -0.0105141
     -0.00359905     -0.00344637
     -0.00170437     -0.00165141
      -0.0121149      -0.0120909
     -0.00266119     -0.00257217
     -0.00606953      -0.0059161
    -0.000942903    -0.000861982
     -0.00448042     -0.00417557
     -0.00186128     -0.00177614
     -0.00481621       -0.004662
     -0.00397016     -0.00384034
     -0.00808285     -0.00762468
     -0.00257087     -0.00254421
     -0.00373397     -0.00370036
     -0.00368897     -0.00363317
     -0.00619381     -0.00595318
     -0.00573498     -0.00559084
     -0.00591451     -0.00583981
     -0.00650478     -0.00620964
     -0.00463714     -0.00436265
     -0.00282153     -0.00271536
     -0.00624606     -0.00596423
     -0.00116391     -0.00107721
     -0.00753142     -0.00737835
     -0.00347554     -0.00323435
      -0.0122044      -0.0117254
      -0.0118978      -0.0117841
     -0.00469548      -0.0044536
     -0.00259405     -0.00251116
      -0.0024649      -0.0023375
     -0.00299581     -0.00283384
     -0.00172067     -0.00173082
     -0.00179188     -0.00175057
      -0.0101693      -0.0100596
     -0.00118127     -0.00112735
     -0.00433334     -0.00400763
       -0.014937      -0.0155695
      -0.0022018     -0.00202932
     -0.00411757     -0.00400159
     -0.00192515     -0.00185132
     -0.00505805     -0.00488903
     -0.00831056     -0.00826408
      -0.0037785     -0.00362902
     -0.00630454     -0.00624471
     -0.00149812     -0.00140144
     -0.00294797     -0.00280898
     -0.00250294     -0.00245506
     -0.00136024     -0.00127016
     -0.00363172     -0.00362073
     -0.00353258     -0.00333354
      -0.0040912     -0.00382672
     -0.00243614     -0.00238364
     -0.00697753     -0.00696967
     -0.00536106     -0.00530033
     -0.00165981     -0.00160535
     -0.00161647     -0.00147798
     -0.00746385     -0.00722619
     -0.00690954     -0.00668256
     -0.00599173     -0.00567551
     -0.00675823     -0.00675963
     -0.00422191     -0.00404272
     -0.00118435     -0.00112587
      -0.0012469     -0.00112289
     -0.00141817     -0.00136018
     -0.00643308     -0.00658452
      -0.0103569      -0.0102029
     -0.00344026     -0.00330181
      -0.0021324     -0.00198424
     -0.00669559     -0.00648388
     -0.00804165     -0.00803611
     -0.00662505     -0.00654876
     -0.00548549     -0.00512973
     -0.00155039     -0.00148103
     -0.00551846     -0.00539835
      -0.0044747     -0.00406084
     -0.00299388     -0.00293664
     -0.00276144     -0.00255606
     -0.00243048     -0.00240521
     -0.00362912      -0.0033973
     -0.00187733     -0.00184392
     -0.00289854     -0.00284974
     -0.00389959     -0.00386426
      -0.0027276     -0.00275007
     -0.00229476     -0.00218973
      -0.0056499     -0.00520033
     -0.00268292     -0.00246399
     -0.00223303      -0.0020672
     -0.00156201     -0.00148756
     -0.00333292     -0.00323645
     -0.00242536     -0.00232341
     -0.00148201     -0.00136296
     -0.00233674     -0.00219937
     -0.00163683     -0.00151299
     -0.00327275     -0.00305618
     -0.00244114     -0.00229433
     -0.00285777     -0.00264765
     -0.00487278     -0.00479993
       -0.010536      -0.0105665
     -0.00212432     -0.00207216
     -0.00268226     -0.00258686
     -0.00208595     -0.00193735
     -0.00391659     -0.00347448
     -0.00254794     -0.00238623
     -0.00158161      -0.0015489
     -0.00201991     -0.00181776
     -0.00217496     -0.00201942
     -0.00297638     -0.00283574
     -0.00253179     -0.00251056
     -0.00495443     -0.00477462
     -0.00179755     -0.00171551
     -0.00365942     -0.00342786
     -0.00425834     -0.00425295
     -0.00844929     -0.00867233
     -0.00263593     -0.00256225
     -0.00246941     -0.00221012
      -0.0023503     -0.00229531
