QM Energy	FF Energy
     -0.00024087    -0.000236032
    -0.000256357    -0.000254119
    -0.000382054    -0.000299184
    -0.000266743    -0.000247742
     -0.00146303     -0.00133693
     -0.00433226     -0.00386448
    -0.000152826    -0.000151662
     -0.00116507     -0.00115815
    -0.000504127    -0.000555936
    -0.000880643    -0.000751231
    -0.000237365     -0.00020628
    -0.000376917    -0.000373595
     -0.00560855     -0.00597133
     -0.00158808     -0.00159366
     -0.00144935     -0.00158438
    -0.000162286    -0.000146905
    -0.000899148     -0.00091814
    -0.000674233    -0.000564164
     -0.00046456    -0.000452857
     -0.00012536    -0.000121884
    -0.000559906    -0.000515214
     -0.00289072     -0.00297536
     -0.00471144     -0.00454675
     -0.00160286     -0.00150006
     -0.00722672     -0.00699094
     -0.00052951     -0.00043177
     -0.00167261     -0.00172318
     -0.00382251     -0.00354191
    -0.000386952    -0.000359094
     -0.00429656     -0.00423299
     -0.00595874     -0.00627352
    -0.000184892    -0.000180519
    -0.000645166    -0.000582391
    -0.000453933    -0.000475271
      -0.0027063      -0.0028992
     -0.00269223     -0.00240552
     -0.00016266    -0.000153158
     -0.00473736     -0.00462941
     -0.00244492     -0.00218008
     -0.00154867     -0.00144971
      -0.0065242      -0.0064235
    -0.000224185    -0.000173346
     -0.00287366     -0.00264958
    -0.000282874    -0.000277086
     -0.00105682     -0.00101734
    -0.000164748    -0.000135992
     -9.9014e-05    -7.07863e-05
     -0.00104846     -0.00103217
     -0.00313655     -0.00288996
    -0.000266238    -0.000250911
     -0.00010469    -0.000100682
    -0.000171741    -0.000138644
    -0.000167927    -0.000167057
     -0.00131541     -0.00139123
     -0.00430432     -0.00449243
     -0.00014722     -0.00013619
     -0.00230929     -0.00238814
     -0.00483865     -0.00431363
     -5.0184e-05    -3.69432e-05
     -0.00371864     -0.00380377
     -0.00535398     -0.00535844
    -0.000238287    -0.000215503
    -0.000515734    -0.000515546
    -0.000730975    -0.000625464
    -0.000111785    -8.37509e-05
    -0.000343324    -0.000315775
    -0.000305834    -0.000301372
     -0.00557372      -0.0054261
    -0.000119954    -0.000116706
     -9.2529e-05    -8.12348e-05
    -0.000263255    -0.000225661
     -6.6337e-05    -6.05246e-05
     -0.00371769     -0.00364147
     -0.00274472     -0.00270237
     -0.00188805     -0.00195216
     -0.00393199     -0.00416752
     -0.00102681     -0.00097275
    -0.000838867    -0.000738398
    -0.000184321    -0.000169582
     -0.00256825     -0.00227118
     -0.00226944     -0.00223601
    -0.000864029     -0.00079132
    -0.000350939    -0.000354883
    -0.000440747    -0.000391218
     -0.00029161    -0.000260982
     -0.00215788     -0.00210849
      -0.0036645     -0.00378457
    -0.000150223    -0.000114775
      -0.0002448    -0.000198745
     -0.00160806     -0.00159585
    -0.000445857    -0.000420735
    -0.000231781    -0.000210533
     -0.00011409    -0.000105165
    -0.000766433    -0.000720063
     -0.00146601     -0.00134316
    -0.000820623    -0.000773869
     -0.00106628     -0.00111181
     -0.00215674     -0.00192991
     -0.00012895    -0.000112874
    -0.000139869    -0.000121132
     -0.00030034    -0.000277555
    -0.000538714    -0.000483076
     -0.00375821     -0.00393836
     -0.00130943     -0.00108525
    -0.000639006    -0.000558547
     -0.00247199     -0.00268756
    -0.000355184    -0.000343104
     -0.00163665     -0.00179017
     -0.00043878    -0.000461868
     -0.00182429      -0.0019201
    -0.000669886    -0.000679744
     -0.00305311     -0.00279863
    -0.000584894    -0.000647193
     -0.00477809     -0.00424303
    -0.000232364    -0.000218958
    -0.000216366    -0.000183971
     -0.00108761     -0.00111691
    -0.000295153    -0.000224453
    -0.000379233    -0.000328145
    -0.000173585    -0.000178196
     -0.00658314     -0.00590179
