QM Energy	FF Energy
      -1.239e-05     -1.8963e-05
     -2.4624e-05    -2.64076e-05
     -3.0537e-05    -3.87043e-05
     -1.5957e-05    -2.09943e-05
    -0.000151678    -0.000144537
    -0.000157504     -0.00030337
     -1.5731e-05    -1.80048e-05
     -9.1992e-05    -0.000107823
     -6.0418e-05    -6.41118e-05
     -5.3697e-05    -7.98731e-05
     -1.1173e-05    -1.73532e-05
     -2.2587e-05    -3.11917e-05
    -0.000388095     -0.00043848
     -8.2057e-05    -0.000121345
    -0.000104039    -0.000130766
      -8.078e-06    -1.36803e-05
     -3.0257e-05    -6.79601e-05
     -4.0285e-05    -5.82232e-05
      -6.743e-05    -5.91509e-05
     -2.0776e-05    -1.91615e-05
       -3.73e-05    -4.75851e-05
    -0.000160475    -0.000223405
    -0.000377819    -0.000397026
    -0.000143036    -0.000153133
    -0.000447726    -0.000466129
     -2.2322e-05    -3.93553e-05
    -0.000143153    -0.000151447
    -0.000332105     -0.00032109
     -1.5981e-05    -2.93163e-05
    -0.000472659    -0.000410725
    -0.000561794    -0.000468325
     -2.7601e-05    -2.56274e-05
     -5.5997e-05    -7.11748e-05
     -2.3859e-05    -3.54512e-05
    -0.000255535    -0.000256841
    -0.000158811    -0.000215438
      -1.468e-05    -1.73779e-05
    -0.000361349    -0.000364164
    -0.000193424    -0.000206211
    -0.000119387    -0.000137978
    -0.000481294    -0.000476628
      -8.643e-06    -1.91425e-05
    -0.000191019    -0.000230766
     -1.3459e-05    -1.99751e-05
    -0.000117665    -0.000112646
     -1.3411e-05    -1.45995e-05
      -5.944e-06     -7.4467e-06
     -5.5905e-05    -8.28345e-05
    -0.000251897    -0.000275234
     -3.5823e-05    -3.61454e-05
     -2.0578e-05    -1.77499e-05
       -1.36e-05    -1.67062e-05
     -1.8958e-05     -1.9365e-05
    -0.000122841    -0.000128475
    -0.000470475    -0.000402483
      -7.593e-06    -1.09322e-05
    -0.000153533    -0.000205128
    -0.000308057    -0.000344824
     -1.0353e-05    -9.79872e-06
      -0.0001548    -0.000256608
    -0.000468682    -0.000423381
     -3.2963e-05    -2.82558e-05
     -2.8466e-05     -4.2126e-05
     -4.7471e-05     -5.8617e-05
      -6.454e-06    -9.39501e-06
     -1.7137e-05    -3.09723e-05
     -1.6658e-05    -2.31626e-05
    -0.000385239    -0.000424765
      -5.257e-06    -1.00198e-05
     -1.0978e-05    -1.12067e-05
     -2.3568e-05    -2.34454e-05
      -3.572e-06    -6.89447e-06
     -0.00032331    -0.000331579
     -0.00012883    -0.000195166
    -0.000112716    -0.000147541
    -0.000194477    -0.000277674
     -4.9072e-05    -7.91081e-05
     -4.6422e-05    -6.60428e-05
      -9.982e-06    -1.58939e-05
    -0.000165397    -0.000202206
    -0.000106759    -0.000163804
     -4.8577e-05    -7.35812e-05
     -3.5015e-05    -3.99676e-05
     -2.0487e-05    -3.82703e-05
     -1.3448e-05    -2.08177e-05
    -0.000150992    -0.000187732
    -0.000265663    -0.000311506
     -1.1117e-05    -1.25689e-05
     -2.8467e-05     -2.6671e-05
    -0.000176065    -0.000170164
     -5.5196e-05    -5.25254e-05
       -2.82e-05    -2.63612e-05
      -6.843e-06    -8.71011e-06
     -8.3654e-05     -8.6967e-05
     -7.0094e-05    -0.000116655
     -2.1691e-05    -5.70036e-05
     -6.1542e-05    -8.49955e-05
    -0.000117202    -0.000175473
     -1.9609e-05    -1.67873e-05
     -1.6628e-05    -1.68312e-05
     -1.8751e-05    -2.43571e-05
     -1.4036e-05    -3.70074e-05
    -0.000373255    -0.000344405
     -9.6447e-05    -0.000115822
     -3.7373e-05    -4.97495e-05
    -0.000204135    -0.000230219
     -4.2526e-05    -4.04105e-05
