QM Energy	FF Energy
     -4.6571e-05    -5.91061e-05
     -0.00143181     -0.00136209
     -2.4247e-05    -3.36458e-05
     -3.8774e-05    -4.71927e-05
    -0.000505145    -0.000503633
     -3.2808e-05    -4.38734e-05
      -7.063e-05    -8.79735e-05
      -7.855e-05    -0.000102884
    -0.000273666    -0.000311562
    -0.000139786    -0.000159135
     -4.3681e-05    -5.66976e-05
     -8.5294e-05    -0.000105657
    -0.000688224    -0.000733691
     -3.7692e-05    -5.02981e-05
     -1.2463e-05    -1.59365e-05
     -0.00022734     -0.00025812
    -0.000510008    -0.000528415
    -0.000199172    -0.000229303
    -0.000594873    -0.000586309
    -0.000161156    -0.000177827
     -2.7208e-05    -3.43779e-05
    -0.000523184    -0.000524319
    -0.000293901    -0.000298912
    -0.000890189    -0.000815091
     -6.2524e-05    -8.44245e-05
     -2.3122e-05     -3.4482e-05
     -1.9097e-05     -2.6575e-05
    -0.000852843    -0.000837127
    -0.000965395    -0.000955833
      -1.505e-05    -2.32796e-05
    -0.000244199    -0.000274519
     -0.00133722     -0.00126497
     -0.00090182    -0.000855077
    -0.000125894    -0.000142314
    -0.000898848    -0.000925049
     -4.7054e-05    -5.72182e-05
     -2.0859e-05    -2.60261e-05
     -6.5577e-05    -7.77397e-05
     -2.3987e-05    -2.90728e-05
    -0.000822356    -0.000790045
    -0.000744636     -0.00074926
     -6.8949e-05    -7.73336e-05
    -0.000327804     -0.00037226
    -0.000228913    -0.000262546
     -1.0428e-05     -1.3371e-05
    -0.000665434    -0.000661439
     -3.8163e-05    -5.60938e-05
    -0.000863242    -0.000832903
    -0.000463322    -0.000502689
    -0.000612116    -0.000592881
    -0.000562828    -0.000536815
     -0.00129933     -0.00129811
     -3.8088e-05    -4.57574e-05
    -0.000644202     -0.00063619
     -0.00117081     -0.00124253
     -0.00169413     -0.00181311
    -0.000629428    -0.000635581
    -0.000148982    -0.000165601
     -2.2072e-05    -2.90806e-05
    -0.000323312    -0.000341273
    -0.000191004    -0.000228559
    -0.000120397    -0.000144864
     -8.0274e-05    -0.000101241
     -0.00036321    -0.000398709
    -0.000110073     -0.00012345
     -0.00146837     -0.00144451
      -0.0012197      -0.0012292
    -0.000702838    -0.000656021
    -0.000133076    -0.000151728
    -0.000475696    -0.000506377
     -0.00041087     -0.00041206
     -0.00146035     -0.00142544
      -4.827e-05    -5.96402e-05
    -0.000182346    -0.000198932
    -0.000110572    -0.000125105
      -0.0017943     -0.00175641
    -0.000134465    -0.000151982
     -2.2108e-05    -2.81803e-05
     -4.7852e-05    -5.72262e-05
     -4.6011e-05    -5.90155e-05
    -0.000798401    -0.000802274
    -0.000265862    -0.000280836
    -0.000237968    -0.000264578
     -3.1148e-05    -3.89234e-05
    -0.000120063    -0.000133134
    -0.000250218    -0.000285924
     -7.1462e-05    -7.74925e-05
    -0.000111548    -0.000135138
     -6.3058e-05    -7.15941e-05
    -0.000393641    -0.000436286
    -0.000151192     -0.00016835
     -2.5187e-05    -3.23464e-05
     -6.2476e-05    -7.21677e-05
    -0.000229241     -0.00024739
    -0.000276518    -0.000300565
    -0.000150362    -0.000162676
    -0.000331176    -0.000353158
     -2.2871e-05    -2.91576e-05
    -0.000219045    -0.000235305
    -0.000519226    -0.000500769
     -4.2352e-05    -5.21301e-05
     -2.5118e-05    -3.12439e-05
    -0.000303791    -0.000324623
     -4.3938e-05    -5.64775e-05
     -6.1122e-05    -7.74095e-05
     -3.1255e-05    -3.84278e-05
      -1.791e-05    -2.28954e-05
    -0.000493893    -0.000490834
    -0.000530151    -0.000553547
      -4.572e-05    -6.00217e-05
     -1.2214e-05    -1.77804e-05
     -2.2911e-05    -2.88053e-05
      -1.554e-05    -2.12619e-05
     -6.2175e-05    -7.38506e-05
     -2.0605e-05    -2.75719e-05
     -9.3741e-05    -0.000111925
     -6.6832e-05    -9.29295e-05
    -0.000517067    -0.000487472
     -6.3611e-05    -7.41719e-05
    -0.000176891    -0.000190206
     -1.9472e-05    -2.40679e-05
     -3.9253e-05    -5.21996e-05
    -0.000343549     -0.00035521
