QM Energy	FF Energy
     -0.00166835     -0.00163425
     -0.00766856      -0.0071412
     -0.00125085     -0.00122812
     -0.00117596     -0.00110701
     -0.00342472     -0.00320572
     -0.00152491     -0.00151221
     -0.00195178      -0.0019102
     -0.00230337     -0.00238296
     -0.00376606     -0.00377717
     -0.00273943     -0.00270298
     -0.00194506      -0.0019423
     -0.00245923     -0.00244255
     -0.00625463     -0.00625862
     -0.00170159     -0.00170944
    -0.000792979    -0.000744714
     -0.00289095       -0.002873
      -0.0039469     -0.00384828
     -0.00336014     -0.00340155
     -0.00334836     -0.00300162
     -0.00265028     -0.00251773
    -0.000824736    -0.000756853
     -0.00347988     -0.00321122
     -0.00305774     -0.00292968
     -0.00550053     -0.00516871
     -0.00203923      -0.0020496
     -0.00142114     -0.00146015
     -0.00117217     -0.00115011
     -0.00558407     -0.00543677
     -0.00633042     -0.00614842
     -0.00126771     -0.00127911
     -0.00360019      -0.0036336
     -0.00891766     -0.00880184
     -0.00616079     -0.00586455
      -0.0020884     -0.00199488
     -0.00747932     -0.00732751
     -0.00133733     -0.00128786
    -0.000997497    -0.000958761
     -0.00151041      -0.0014466
     -0.00130822     -0.00124363
     -0.00401721     -0.00360554
     -0.00508752     -0.00494388
     -0.00179635     -0.00169985
     -0.00414759     -0.00422947
     -0.00307041     -0.00308037
    -0.000692454    -0.000641668
     -0.00434056     -0.00409914
      -0.0019419     -0.00198516
     -0.00492984       -0.004558
     -0.00511211     -0.00515721
      -0.0044961     -0.00421558
     -0.00406821     -0.00377522
     -0.00830171     -0.00785578
     -0.00140507     -0.00136144
     -0.00522848     -0.00492516
      -0.0102843      -0.0105639
      -0.0125282      -0.0125736
     -0.00457966     -0.00433947
     -0.00204172     -0.00195955
    -0.000959768    -0.000927941
     -0.00351856     -0.00347969
     -0.00315906     -0.00322514
     -0.00247405     -0.00251134
     -0.00189832     -0.00188447
     -0.00444577     -0.00437042
     -0.00191488     -0.00178198
      -0.0104119      -0.0103986
     -0.00968082     -0.00989614
     -0.00523075     -0.00493345
     -0.00214837     -0.00211325
      -0.0048239     -0.00476462
     -0.00366895     -0.00352517
      -0.0089307     -0.00884934
     -0.00137418     -0.00130843
     -0.00218779     -0.00207013
     -0.00186263     -0.00176889
       -0.010206     -0.00972932
     -0.00172672     -0.00161121
     -0.00110197     -0.00103784
     -0.00127957     -0.00119694
     -0.00173926      -0.0017305
     -0.00676434     -0.00685817
     -0.00360217     -0.00359676
     -0.00310001     -0.00306561
     -0.00113314     -0.00108076
     -0.00188598     -0.00175963
     -0.00352286     -0.00358222
     -0.00219431     -0.00211257
     -0.00228198     -0.00229242
     -0.00160143      -0.0015552
     -0.00475748     -0.00488544
     -0.00212198     -0.00204307
     -0.00103748    -0.000997619
     -0.00197797     -0.00191046
     -0.00314135     -0.00311044
     -0.00417101     -0.00418695
     -0.00213088      -0.0020375
     -0.00320854     -0.00313814
     -0.00106341    -0.000989091
     -0.00284351     -0.00280738
      -0.0043513     -0.00420867
     -0.00151347     -0.00148556
     -0.00100277    -0.000926863
     -0.00440174     -0.00445374
     -0.00153513     -0.00152143
     -0.00158435     -0.00157051
    -0.000901754    -0.000811462
    -0.000841966    -0.000785024
     -0.00462024     -0.00464191
     -0.00605558     -0.00622614
     -0.00159409     -0.00160981
     -0.00105589     -0.00103238
    -0.000759544     -0.00068261
    -0.000879385    -0.000845934
     -0.00145532     -0.00139309
     -0.00136177     -0.00133892
     -0.00184113     -0.00180293
     -0.00237814     -0.00244358
     -0.00457906      -0.0044685
     -0.00183082      -0.0017456
     -0.00254495      -0.0024306
    -0.000860282    -0.000784395
     -0.00153439     -0.00152859
     -0.00320936      -0.0031099
     -0.00134455     -0.00129648
     -0.00280076      -0.0027984
     -0.00731058     -0.00704381
     -0.00220827     -0.00220824
     -0.00551477     -0.00512165
     -0.00162006     -0.00158483
     -0.00226555     -0.00208731
     -0.00153412     -0.00149175
    -0.000983603     -0.00097095
     -0.00171238     -0.00166806
     -0.00250268     -0.00230895
     -0.00179527     -0.00188508
     -0.00113061     -0.00109246
     -0.00151155     -0.00147342
       -0.004735     -0.00479508
     -0.00159127      -0.0015075
     -0.00280863     -0.00276964
     -0.00206426     -0.00201605
     -0.00239177     -0.00237024
     -0.00243976     -0.00245482
      -0.0011389     -0.00108045
     -0.00448624     -0.00437646
     -0.00139952     -0.00137909
        -0.00153     -0.00154297
     -0.00106323     -0.00104034
     -0.00138477     -0.00135237
     -0.00185529     -0.00175014
     -0.00135581     -0.00134402
     -0.00324782     -0.00320334
     -0.00820673     -0.00827649
      -0.0013683     -0.00126231
     -0.00556641     -0.00566022
     -0.00214033     -0.00201821
     -0.00102681    -0.000997968
     -0.00305111     -0.00300781
     -0.00196727       -0.001964
     -0.00377426      -0.0037807
     -0.00097108    -0.000897558
     -0.00118528      -0.0010808
     -0.00234518     -0.00229264
     -0.00404782     -0.00372912
     -0.00131511     -0.00129571
     -0.00209684     -0.00196642
     -0.00257134     -0.00261078
     -0.00116506     -0.00112847
     -0.00212326     -0.00201799
    -0.000867152     -0.00083318
     -0.00167839     -0.00170524
     -0.00292505     -0.00273492
     -0.00541005     -0.00532312
     -0.00129357     -0.00120608
     -0.00357937     -0.00356284
     -0.00304377     -0.00297017
     -0.00124549     -0.00114004
     -0.00261601     -0.00247351
     -0.00103358     -0.00100112
     -0.00554181     -0.00556445
     -0.00173764     -0.00171704
     -0.00478345     -0.00480668
      -0.0040644     -0.00378933
     -0.00146779     -0.00142461
       -0.007363     -0.00726543
     -0.00262901     -0.00248308
      -0.0042884     -0.00397965
     -0.00728222     -0.00711938
     -0.00202132     -0.00198539
     -0.00705925     -0.00699984
     -0.00378465     -0.00347753
     -0.00223266      -0.0021652
     -0.00308825     -0.00277197
     -0.00109443     -0.00105698
     -0.00226199     -0.00231191
      -0.0060049     -0.00559286
     -0.00209506     -0.00205188
     -0.00368994     -0.00360761
     -0.00169596     -0.00166742
     -0.00308048      -0.0029561
     -0.00215662     -0.00204374
     -0.00109531     -0.00100771
     -0.00398489     -0.00385195
     -0.00179655     -0.00176632
     -0.00191086     -0.00178914
     -0.00119767     -0.00118956
     -0.00087496    -0.000859943
     -0.00986072     -0.00968822
     -0.00767198     -0.00764032
     -0.00128774     -0.00126125
     -0.00437944     -0.00411373
     -0.00255865     -0.00245811
     -0.00161057     -0.00163476
     -0.00343196     -0.00343965
     -0.00976153     -0.00980918
     -0.00534298      -0.0053887
     -0.00681322     -0.00635318
     -0.00415627     -0.00425728
      -0.0019489     -0.00192242
     -0.00125706     -0.00122256
     -0.00164932     -0.00155639
     -0.00114059     -0.00112264
     -0.00704393     -0.00678534
     -0.00101214    -0.000956769
     -0.00164651     -0.00158268
     -0.00111217     -0.00108936
     -0.00418824     -0.00407744
     -0.00443214     -0.00431266
     -0.00184902     -0.00180372
     -0.00141269     -0.00139804
     -0.00583316     -0.00537148
     -0.00087602    -0.000837434
     -0.00638568     -0.00593364
     -0.00255422     -0.00240563
      -0.0115279      -0.0114483
     -0.00209899     -0.00207353
     -0.00291838     -0.00274587
      -0.0039335     -0.00377397
      -0.0016659     -0.00159511
     -0.00204716     -0.00204094
     -0.00827248     -0.00817685
     -0.00159942     -0.00157923
     -0.00209049     -0.00201506
     -0.00105958    -0.000967196
     -0.00112095     -0.00115133
     -0.00091223    -0.000842594
     -0.00211062     -0.00200385
     -0.00132918     -0.00120044
     -0.00115147     -0.00106067
     -0.00413131     -0.00413552
     -0.00445853     -0.00423513
     -0.00539932      -0.0052341
     -0.00276103     -0.00266782
     -0.00622459     -0.00584302
     -0.00366612     -0.00341759
    -0.000941148    -0.000885481
     -0.00303077      -0.0028997
     -0.00143607      -0.0013516
     -0.00160996     -0.00150892
     -0.00121849      -0.0011817
      -0.0016179     -0.00152584
    -0.000928502    -0.000916521
     -0.00353359     -0.00354983
    -0.000912345    -0.000836257
      -0.0028542     -0.00287803
      -0.0021443      -0.0022486
