QM Energy	FF Energy
    -0.000208142    -0.000219571
     -0.00683648      -0.0064333
    -0.000178424    -0.000184254
    -0.000224688    -0.000199462
     -0.00146016     -0.00162145
    -0.000132982    -0.000141893
    -0.000337446    -0.000345655
    -0.000441495    -0.000519374
    -0.000883495     -0.00105474
    -0.000763168    -0.000750719
    -0.000272761    -0.000288385
    -0.000444024    -0.000476881
      -0.0029793     -0.00315368
    -0.000162175    -0.000183897
     -9.2163e-05    -9.00929e-05
    -0.000819679    -0.000970257
     -0.00166885     -0.00194861
     -0.00104497     -0.00116303
     -0.00149812     -0.00171893
    -0.000882438    -0.000775783
       -4.85e-05    -6.03963e-05
      -0.0015484     -0.00168393
     -0.00126651     -0.00129074
     -0.00332576     -0.00343251
    -0.000262655    -0.000299618
    -0.000132556    -0.000160416
    -0.000122451    -0.000127702
     -0.00267002     -0.00306102
     -0.00356354     -0.00408132
     -9.1207e-05    -0.000107465
     -0.00129164     -0.00143399
      -0.0067524     -0.00697448
     -0.00449431     -0.00419911
    -0.000466008     -0.00047269
     -0.00400117      -0.0042091
    -0.000212956    -0.000211241
    -0.000142621    -0.000156344
    -0.000264511    -0.000264273
    -0.000144083    -0.000139094
     -0.00211845     -0.00243523
     -0.00229776      -0.0027448
     -0.00038553       -0.000377
     -0.00146631     -0.00174595
      -0.0008639     -0.00103981
     -6.5027e-05    -6.39065e-05
     -0.00184335     -0.00210087
    -0.000234639    -0.000275996
     -0.00263374     -0.00286206
     -0.00207858     -0.00222206
     -0.00223998     -0.00224772
     -0.00250756     -0.00238336
     -0.00731461      -0.0066301
    -0.000223763    -0.000237799
     -0.00319291      -0.0028874
     -0.00609099     -0.00687845
     -0.00882908     -0.00957305
     -0.00191953      -0.0021487
    -0.000590789      -0.0006098
    -0.000108931    -0.000111021
     -0.00147545     -0.00161793
    -0.000585287    -0.000761534
    -0.000503003    -0.000571032
    -0.000375932    -0.000432841
     -0.00159701     -0.00165296
      -0.0005125    -0.000455524
     -0.00794277     -0.00834583
      -0.0063804     -0.00716879
     -0.00350153     -0.00327631
    -0.000451777    -0.000503736
     -0.00190495     -0.00211762
     -0.00171173     -0.00175445
     -0.00697024     -0.00773412
     -0.00014074    -0.000151748
    -0.000673587    -0.000684299
    -0.000417778    -0.000416567
     -0.00964846     -0.00936339
    -0.000308538    -0.000369201
    -0.000152567    -0.000149119
    -0.000284777     -0.00025781
    -0.000282578    -0.000315313
     -0.00388948     -0.00435969
      -0.0013707     -0.00139823
      -0.0008252    -0.000908923
    -0.000134197    -0.000131053
    -0.000589237    -0.000538349
     -0.00101602     -0.00118034
    -0.000389641     -0.00037571
    -0.000560287     -0.00063403
    -0.000360936    -0.000397256
     -0.00171244     -0.00198821
    -0.000504548     -0.00053717
    -0.000136276    -0.000127394
    -0.000365002    -0.000348889
     -0.00111822     -0.00118587
     -0.00141796     -0.00147535
    -0.000617038    -0.000644755
     -0.00104921     -0.00118273
    -0.000124172    -0.000109746
     -0.00100207     -0.00106373
     -0.00216339     -0.00229877
    -0.000237781    -0.000257674
    -0.000126074     -0.00011073
       -0.001684     -0.00179812
    -0.000169112    -0.000181367
    -0.000159529    -0.000202361
     -7.5239e-05    -7.84488e-05
     -4.8142e-05    -4.91613e-05
     -0.00230116     -0.00239102
     -0.00280236     -0.00312219
    -0.000219642    -0.000250594
     -7.3332e-05    -8.02218e-05
     -7.2531e-05    -7.19167e-05
     -5.1627e-05    -5.70363e-05
    -0.000283935    -0.000279007
    -0.000103454    -0.000110812
    -0.000276339    -0.000323197
    -0.000378108    -0.000439551
     -0.00253857     -0.00258204
    -0.000368696    -0.000351614
    -0.000633009    -0.000644399
     -7.1134e-05    -6.34342e-05
    -0.000166845    -0.000190379
      -0.0013789     -0.00142967
    -0.000199801    -0.000194523
    -0.000609755    -0.000645411
     -0.00498643     -0.00468393
    -0.000469692    -0.000477433
     -0.00424602     -0.00405219
    -0.000170643    -0.000195794
    -0.000588537    -0.000666544
    -0.000246395     -0.00027024
     -4.9268e-05      -4.746e-05
    -0.000361507    -0.000342207
    -0.000895393    -0.000982854
    -0.000218676    -0.000271737
    -0.000118289    -0.000121684
    -0.000285687    -0.000271333
     -0.00206886     -0.00222606
     -0.00035577    -0.000349723
    -0.000823702    -0.000786177
    -0.000564609    -0.000551093
    -0.000589214    -0.000606364
    -0.000466215    -0.000504808
    -0.000171904    -0.000168867
      -0.0025644     -0.00255724
    -0.000181785    -0.000212263
    -0.000198246    -0.000209941
    -0.000124596     -0.00011702
    -0.000219669    -0.000234499
    -0.000369834    -0.000366488
    -0.000217009    -0.000231359
    -0.000891016    -0.000979446
     -0.00467177     -0.00503434
    -0.000191678    -0.000179334
     -0.00286314     -0.00315558
    -0.000453305    -0.000429991
     -9.8042e-05    -9.27342e-05
    -0.000794263    -0.000905888
     -0.00037733    -0.000437311
     -0.00160778     -0.00169621
     -6.9544e-05    -6.54498e-05
    -0.000173311    -0.000174001
    -0.000467586    -0.000568519
     -0.00241408     -0.00239679
     -0.00010766    -0.000135487
    -0.000691416    -0.000646579
     -0.00053607    -0.000548474
    -0.000157875    -0.000178433
    -0.000659262    -0.000651812
     -7.5767e-05    -8.39475e-05
    -0.000183317    -0.000218298
     -0.00108116     -0.00125995
      -0.0023327     -0.00260299
    -0.000204046    -0.000195485
     -0.00100214     -0.00106919
     -0.00074758    -0.000862072
    -0.000175168    -0.000200532
    -0.000656601     -0.00075688
    -0.000123207    -0.000134655
     -0.00260866     -0.00280999
    -0.000191189    -0.000206229
     -0.00237022     -0.00264932
     -0.00212541     -0.00199067
    -0.000283713    -0.000280774
      -0.0049171     -0.00515537
    -0.000671185    -0.000619677
      -0.0022685     -0.00257961
     -0.00431857     -0.00425889
    -0.000553269    -0.000522845
     -0.00401572     -0.00400986
     -0.00174721     -0.00187294
       -0.000503    -0.000527655
     -0.00143488     -0.00149423
    -0.000150582    -0.000167301
    -0.000310384    -0.000387923
     -0.00479039     -0.00482899
    -0.000586914    -0.000550614
     -0.00160483     -0.00171124
    -0.000185326    -0.000200207
     -0.00111988     -0.00116759
    -0.000599804    -0.000604743
    -0.000207205    -0.000185056
      -0.0020338     -0.00193534
    -0.000262613    -0.000259482
      -0.0003946      -0.0003945
     -9.2139e-05    -0.000103642
     -7.5533e-05    -8.96269e-05
     -0.00699901     -0.00703799
     -0.00466592      -0.0047922
    -0.000152804     -0.00017292
     -0.00191358     -0.00219824
    -0.000760964    -0.000779438
    -0.000158211    -0.000180843
     -0.00117051      -0.0013037
     -0.00735183     -0.00813856
      -0.0023324     -0.00249835
     -0.00548746     -0.00537504
     -0.00123435     -0.00138504
    -0.000365077    -0.000413748
    -0.000106069    -0.000109397
    -0.000421752    -0.000427174
    -0.000108907    -0.000106254
     -0.00504026     -0.00533399
    -0.000120526    -0.000108505
    -0.000232748    -0.000239825
    -0.000109706    -0.000120804
     -0.00174475     -0.00166365
     -0.00245932      -0.0024644
     -0.00039883    -0.000396347
    -0.000175632     -0.00019712
     -0.00460001      -0.0044016
    -0.000100751    -9.11593e-05
     -0.00495998     -0.00452458
    -0.000922084    -0.000932453
     -0.00962547      -0.0102017
    -0.000500559    -0.000517175
     -0.00111364     -0.00117437
     -0.00164569      -0.0015782
    -0.000303843    -0.000287071
    -0.000339955    -0.000363541
     -0.00605461     -0.00656566
     -0.00027685    -0.000277044
    -0.000460791    -0.000445072
    -0.000148165    -0.000144577
     -9.9317e-05     -0.00012065
    -0.000137253     -0.00012121
    -0.000437869    -0.000420112
    -0.000200215    -0.000217255
    -0.000126284    -0.000135852
     -0.00103612      -0.0012881
     -0.00213042     -0.00235644
     -0.00351402     -0.00345375
     -0.00107248      -0.0010121
     -0.00489788     -0.00498831
     -0.00210543     -0.00199396
     -9.3254e-05    -9.41091e-05
     -0.00104714     -0.00100048
    -0.000333669    -0.000300846
    -0.000236996    -0.000227339
      -0.0001495    -0.000134351
    -0.000310857    -0.000266702
     -9.2532e-05    -0.000100296
     -0.00115319      -0.0011981
    -0.000124714    -0.000118056
    -0.000752367    -0.000795979
    -0.000317489     -0.00039245
     -0.00183112     -0.00183077
    -0.000915398    -0.000996109
     -5.7815e-05    -5.89611e-05
     -0.00303869     -0.00305453
     -0.00109621     -0.00110798
    -0.000379232      -0.0003638
    -0.000217677    -0.000182912
     -7.7511e-05    -7.43666e-05
    -0.000102313    -0.000110874
    -0.000306087    -0.000314689
    -0.000397101    -0.000401774
     -4.4089e-05    -5.05274e-05
    -0.000135618    -0.000152745
    -0.000310921    -0.000333643
    -0.000374021    -0.000417863
    -0.000243203    -0.000292998
    -0.000955909    -0.000992148
     -0.00423868     -0.00390898
     -7.5363e-05    -7.81814e-05
     -0.00022682    -0.000228963
    -0.000740953    -0.000765638
     -9.6925e-05    -9.12633e-05
    -0.000399349    -0.000423188
    -0.000563849    -0.000694877
    -0.000719256    -0.000787199
     -0.00197385     -0.00194581
     -0.00272254     -0.00333856
     -0.00967138      -0.0102024
    -0.000395135    -0.000440701
     -7.2528e-05     -8.1228e-05
     -0.00233618     -0.00243824
     -0.00351124     -0.00370878
    -0.000297038    -0.000287304
     -0.00174132     -0.00195279
     -0.00349191     -0.00327374
     -0.00029177    -0.000359009
     -0.00030578    -0.000320268
    -0.000736888    -0.000864718
    -0.000442628     -0.00049779
     -0.00142537     -0.00150829
    -0.000603472    -0.000638289
     -0.00424213     -0.00442539
    -0.000177476    -0.000217385
     -0.00517414     -0.00483025
    -0.000949837     -0.00108189
    -0.000706839    -0.000760011
