QM Energy	FF Energy
     -1.5085e-05    -2.29389e-05
    -0.000646115    -0.000514847
      -9.009e-06    -1.31529e-05
     -1.4734e-05    -1.80755e-05
    -0.000236158    -0.000197699
     -1.1859e-05    -1.64498e-05
     -2.4433e-05    -3.32273e-05
     -2.7387e-05    -3.78797e-05
    -0.000116019    -0.000119065
     -3.2517e-05    -5.91237e-05
     -1.1368e-05      -2.335e-05
     -2.6975e-05    -4.21795e-05
     -0.00025996     -0.00027857
     -1.1688e-05    -1.86259e-05
       -4.77e-06    -6.89593e-06
     -9.8532e-05    -9.87245e-05
    -0.000229996    -0.000206228
      -5.979e-05    -8.62842e-05
    -0.000296796    -0.000235858
     -3.5544e-05    -6.72597e-05
     -1.5613e-05    -1.45139e-05
    -0.000236341    -0.000205736
    -0.000102265    -0.000115289
    -0.000348336    -0.000328166
     -2.6975e-05    -3.21525e-05
      -9.194e-06    -1.27999e-05
      -6.925e-06     -1.0772e-05
    -0.000392246    -0.000325885
     -0.00044461    -0.000378233
      -5.325e-06    -8.93709e-06
     -7.5451e-05    -0.000103813
    -0.000539507    -0.000481745
    -0.000308419    -0.000330263
     -4.7164e-05    -5.49842e-05
    -0.000299387    -0.000350285
     -1.9061e-05    -2.16596e-05
      -8.432e-06    -1.15659e-05
     -2.7097e-05    -3.00499e-05
      -5.404e-06    -1.39997e-05
    -0.000415422    -0.000317995
    -0.000353816    -0.000301023
     -1.5782e-05    -3.17106e-05
    -0.000119549    -0.000137938
     -9.4621e-05     -0.00010196
      -4.861e-06    -6.15497e-06
    -0.000315161    -0.000261906
      -1.244e-05    -2.07851e-05
    -0.000401294    -0.000330448
    -0.000173456    -0.000190624
    -0.000220609    -0.000230621
    -0.000185823    -0.000205295
    -0.000520506    -0.000485701
     -1.1719e-05    -1.93145e-05
    -0.000180447    -0.000243933
    -0.000430877     -0.00045599
    -0.000674042    -0.000684139
    -0.000280051    -0.000247838
     -6.1725e-05    -6.35054e-05
       -9.89e-06    -1.11383e-05
    -0.000112304    -0.000130526
     -8.4657e-05    -8.84569e-05
     -4.6069e-05    -5.38297e-05
     -3.0003e-05    -3.76046e-05
      -0.0001162    -0.000149965
     -3.4944e-05    -4.72211e-05
    -0.000617622    -0.000545381
    -0.000507773    -0.000461038
    -0.000198104    -0.000261417
     -5.8913e-05    -5.90646e-05
    -0.000179906    -0.000196542
    -0.000150184    -0.000159027
    -0.000737035    -0.000533614
     -2.1757e-05    -2.33047e-05
      -7.734e-05    -7.71383e-05
      -4.313e-05     -4.8274e-05
    -0.000886347     -0.00066997
     -6.8277e-05    -6.15289e-05
      -5.855e-06    -1.14425e-05
     -1.7721e-05    -2.19861e-05
     -1.5585e-05    -2.37932e-05
    -0.000298993    -0.000301571
     -8.3348e-05    -0.000106209
    -0.000100903    -0.000101058
     -1.3191e-05    -1.53976e-05
     -4.3056e-05    -5.13907e-05
     -9.7196e-05    -0.000107837
     -1.2486e-05    -3.55851e-05
     -3.9245e-05    -5.03089e-05
     -2.2032e-05    -3.05871e-05
    -0.000145693    -0.000162342
     -6.6394e-05    -6.52792e-05
     -1.0637e-05    -1.26246e-05
     -1.0799e-05    -2.96069e-05
     -6.5166e-05    -9.25114e-05
     -6.2205e-05    -0.000112613
     -5.7876e-05    -6.46052e-05
    -0.000147901     -0.00013708
      -7.326e-06    -1.14233e-05
     -7.7193e-05    -8.97452e-05
    -0.000184331    -0.000200146
     -1.5448e-05    -2.15544e-05
       -9.44e-06    -1.25451e-05
     -6.5155e-05    -0.000122162
     -1.7385e-05    -2.13693e-05
     -3.0575e-05    -3.09618e-05
     -1.5345e-05    -1.54461e-05
      -7.785e-06     -9.1609e-06
    -0.000175484    -0.000186746
    -0.000158746    -0.000208958
     -1.6952e-05    -2.21817e-05
      -3.617e-06    -7.16994e-06
     -1.2154e-05    -1.17682e-05
      -7.618e-06    -8.69045e-06
     -2.5696e-05    -2.84926e-05
       -6.56e-06    -1.20814e-05
     -4.3506e-05    -4.40384e-05
     -2.1658e-05    -3.37719e-05
    -0.000148166    -0.000192439
      -1.306e-05    -3.00585e-05
     -5.9413e-05    -7.34125e-05
      -8.179e-06    -1.02678e-05
      -1.601e-05    -1.96711e-05
    -0.000133427    -0.000135327
      -7.094e-06    -1.47184e-05
     -3.7237e-05    -5.58754e-05
    -0.000259207    -0.000345443
     -3.0491e-05    -4.05238e-05
    -0.000333038    -0.000330526
      -2.066e-05      -2.522e-05
    -0.000108017    -9.81928e-05
     -3.1426e-05    -3.28568e-05
      -3.684e-06    -5.92297e-06
     -2.1457e-05    -2.95348e-05
    -0.000148466    -0.000127983
      -9.806e-06     -1.6118e-05
      -5.291e-06    -1.03836e-05
     -1.4971e-05    -2.21737e-05
    -0.000108096    -0.000154744
      -3.615e-05    -3.79981e-05
     -3.8193e-05    -6.20179e-05
     -3.7843e-05    -4.68934e-05
     -3.4932e-05    -4.98682e-05
      -3.792e-05    -4.59184e-05
     -1.3599e-05    -1.64277e-05
    -0.000204082    -0.000208364
     -1.1272e-05    -1.71626e-05
     -1.4566e-05    -1.90446e-05
      -5.391e-06    -8.57342e-06
     -1.3084e-05    -1.87813e-05
     -3.4783e-05    -4.33835e-05
     -1.3288e-05    -1.74627e-05
     -7.2357e-05    -9.10943e-05
    -0.000365101    -0.000387291
     -1.4724e-05    -2.13542e-05
    -0.000172628    -0.000214998
     -2.8782e-05    -4.70962e-05
      -4.647e-06    -7.92805e-06
    -0.000104003    -0.000102723
     -1.8231e-05    -3.15051e-05
     -9.6981e-05    -0.000121866
      -5.445e-06    -9.13764e-06
     -2.4653e-05    -2.55863e-05
     -8.5705e-05     -7.9158e-05
    -0.000235607    -0.000228341
     -1.8031e-05     -1.9273e-05
     -3.6371e-05    -5.35465e-05
     -2.5714e-05    -4.22894e-05
     -1.5809e-05    -1.78076e-05
     -5.8877e-05     -6.3911e-05
      -8.672e-06    -9.66365e-06
      -1.014e-05    -1.66889e-05
    -0.000194256     -0.00016595
