QM Energy	FF Energy
     -0.00177576     -0.00175814
     -0.00270356     -0.00280436
     -0.00242655     -0.00234013
     -0.00180327     -0.00178693
     -0.00466261     -0.00484921
     -0.00799922     -0.00849646
     -0.00166569     -0.00167029
     -0.00476781      -0.0050472
     -0.00300029     -0.00310157
     -0.00370635     -0.00367793
     -0.00155631      -0.0014869
     -0.00210272     -0.00209236
      -0.0104966      -0.0116868
     -0.00411443      -0.0043353
     -0.00587888      -0.0063994
     -0.00194262     -0.00193337
     -0.00355587     -0.00369609
     -0.00313042     -0.00313167
     -0.00289384     -0.00296883
     -0.00112049     -0.00104039
     -0.00267595      -0.0027086
     -0.00758596     -0.00821357
     -0.00762215     -0.00807147
     -0.00447055     -0.00463986
      -0.0103362      -0.0113303
     -0.00240796     -0.00235623
     -0.00426204     -0.00454994
      -0.0070289     -0.00744481
     -0.00239074     -0.00241306
     -0.00827024     -0.00881314
     -0.00870133     -0.00958626
     -0.00161082     -0.00159459
     -0.00256181     -0.00252589
     -0.00269419     -0.00279339
     -0.00632437     -0.00688557
     -0.00715994     -0.00757844
     -0.00149057     -0.00144979
     -0.00840132     -0.00909442
     -0.00520241     -0.00542787
     -0.00441672     -0.00461113
     -0.00968542      -0.0105683
     -0.00175572     -0.00168653
     -0.00604167     -0.00641642
     -0.00215547     -0.00218044
     -0.00329461     -0.00336036
      -0.0015241     -0.00145473
     -0.00107429     -0.00101138
      -0.0036536     -0.00383231
     -0.00762985     -0.00811314
     -0.00159233     -0.00152896
     -0.00124557     -0.00118987
     -0.00171253     -0.00163106
     -0.00218972     -0.00225893
     -0.00383756     -0.00407892
     -0.00848319     -0.00922622
     -0.00117397     -0.00108589
     -0.00658575     -0.00707816
     -0.00654469     -0.00687326
     -0.00101824    -0.000920883
     -0.00922017       -0.010142
     -0.00698014     -0.00744755
     -0.00189253     -0.00183074
     -0.00312324     -0.00324703
     -0.00283434     -0.00284061
     -0.00104124       -0.000968
     -0.00203232     -0.00200421
     -0.00199806     -0.00201451
      -0.0086072     -0.00923448
     -0.00163138     -0.00164354
     -0.00143234     -0.00140207
     -0.00199865      -0.0019667
     -0.00114946     -0.00111292
     -0.00657283     -0.00693221
     -0.00740424     -0.00803721
      -0.0055931     -0.00607125
     -0.00866587     -0.00960752
     -0.00365888     -0.00381102
     -0.00258001     -0.00258678
     -0.00161542     -0.00158345
     -0.00446217     -0.00462657
     -0.00718172     -0.00778195
     -0.00272423     -0.00270088
     -0.00296504     -0.00303264
     -0.00209953     -0.00203695
     -0.00172721     -0.00171635
     -0.00494444     -0.00520448
     -0.00829496     -0.00909729
     -0.00162105     -0.00152548
     -0.00220548     -0.00211495
      -0.0052923     -0.00561237
     -0.00236907     -0.00237141
     -0.00155247     -0.00147457
      -0.0011704     -0.00112987
     -0.00388961     -0.00396835
     -0.00406201     -0.00423406
     -0.00311517     -0.00318345
     -0.00461161     -0.00494329
     -0.00453281     -0.00462161
     -0.00152612     -0.00149049
     -0.00144975     -0.00136584
     -0.00219313     -0.00219583
     -0.00306376     -0.00309777
     -0.00758024     -0.00829499
     -0.00518116     -0.00522566
     -0.00322347     -0.00325828
      -0.0078265     -0.00862185
     -0.00223565     -0.00221574
     -0.00645956     -0.00705808
     -0.00275464     -0.00282313
     -0.00562688     -0.00612424
      -0.0037873     -0.00398506
     -0.00482932     -0.00510276
     -0.00232032      -0.0023343
     -0.00898393     -0.00965132
     -0.00171957     -0.00168778
     -0.00152558     -0.00144604
     -0.00439914     -0.00464744
      -0.0020801     -0.00196397
     -0.00165851     -0.00160808
     -0.00114456     -0.00106859
      -0.0100817      -0.0108626
     -0.00239247     -0.00230712
     -0.00166497      -0.0016213
     -0.00224126     -0.00221484
     -0.00182868     -0.00183795
     -0.00310137     -0.00317459
     -0.00298567     -0.00312858
     -0.00451527      -0.0046935
     -0.00167364     -0.00160841
     -0.00166742     -0.00161629
     -0.00304599     -0.00308707
     -0.00129551     -0.00122744
     -0.00200885     -0.00200037
     -0.00616521     -0.00646313
     -0.00617911     -0.00663166
     -0.00207548     -0.00205047
      -0.0046684     -0.00494006
     -0.00362545     -0.00377795
     -0.00344041     -0.00345065
     -0.00186645     -0.00189451
      -0.0044689     -0.00461605
     -0.00853929     -0.00916878
     -0.00232826     -0.00232755
     -0.00520428     -0.00548602
     -0.00482507     -0.00491217
     -0.00483609      -0.0049837
     -0.00176124     -0.00168669
     -0.00405853     -0.00424142
     -0.00489269     -0.00522772
     -0.00214477     -0.00213794
     -0.00897239     -0.00987835
     -0.00409964     -0.00430121
     -0.00218257     -0.00220912
     -0.00337103     -0.00345367
     -0.00225513     -0.00232167
     -0.00183421     -0.00182928
     -0.00646151     -0.00681031
     -0.00547402     -0.00573565
      -0.0111627      -0.0124222
     -0.00593347     -0.00612773
     -0.00278236     -0.00276991
     -0.00209827     -0.00206481
     -0.00633635     -0.00661746
     -0.00186999     -0.00187675
     -0.00305277     -0.00305782
     -0.00225291     -0.00227801
     -0.00557807     -0.00601428
     -0.00489284     -0.00504948
     -0.00103245    -0.000955846
     -0.00629451     -0.00664572
      -0.0025167     -0.00255185
      -0.0059014     -0.00608556
      -0.0106829      -0.0117696
     -0.00245023     -0.00249792
     -0.00137966     -0.00132594
     -0.00508912     -0.00535986
     -0.00391401     -0.00397828
     -0.00266405     -0.00270866
     -0.00481607     -0.00506616
     -0.00509214     -0.00528285
     -0.00338197     -0.00350059
     -0.00399515     -0.00411214
     -0.00145116     -0.00142121
     -0.00946231      -0.0103591
      -0.0036649     -0.00379568
      -0.0041774     -0.00436166
     -0.00101736    -0.000929803
      -0.0108747      -0.0117932
     -0.00167661     -0.00165621
     -0.00333655     -0.00336397
     -0.00692558     -0.00740206
     -0.00258721     -0.00257804
     -0.00227287     -0.00223889
