QM Energy	FF Energy
     -0.00024087     -0.00020806
    -0.000256357    -0.000213649
    -0.000382054    -0.000243774
    -0.000266743    -0.000214796
     -0.00146303     -0.00123129
     -0.00433226     -0.00376632
    -0.000152826    -0.000123266
     -0.00116507     -0.00104713
    -0.000504127    -0.000489871
    -0.000880643    -0.000675802
    -0.000237365    -0.000178302
    -0.000376917     -0.00032813
     -0.00560855     -0.00597289
     -0.00158808     -0.00151119
     -0.00144935     -0.00147573
    -0.000162286    -0.000124738
    -0.000899148    -0.000877515
    -0.000674233    -0.000494295
     -0.00046456     -0.00038851
     -0.00012536     -9.1613e-05
    -0.000559906    -0.000454167
     -0.00289072     -0.00289052
     -0.00471144     -0.00465593
     -0.00160286     -0.00137671
     -0.00722672     -0.00707632
     -0.00052951    -0.000382106
     -0.00167261     -0.00163067
     -0.00382251     -0.00352568
    -0.000386952    -0.000317848
     -0.00429656      -0.0041731
     -0.00595874     -0.00633113
    -0.000184892    -0.000143122
    -0.000645166    -0.000530404
    -0.000453933    -0.000430577
      -0.0027063     -0.00286821
     -0.00269223     -0.00221534
     -0.00016266    -0.000125061
     -0.00473736        -0.00469
     -0.00244492     -0.00206327
     -0.00154867     -0.00133522
      -0.0065242     -0.00658368
    -0.000224185    -0.000150059
     -0.00287366     -0.00253425
    -0.000282874    -0.000245082
     -0.00105682    -0.000932445
    -0.000164748    -0.000108466
     -9.9014e-05    -5.61983e-05
     -0.00104846    -0.000953082
     -0.00313655     -0.00276332
    -0.000266238    -0.000204823
     -0.00010469    -7.25037e-05
    -0.000171741    -0.000110012
    -0.000167927    -0.000136315
     -0.00131541     -0.00130233
     -0.00430432     -0.00451107
     -0.00014722    -0.000118076
     -0.00230929     -0.00230494
     -0.00483865     -0.00432581
     -5.0184e-05    -1.83108e-05
     -0.00371864     -0.00374044
     -0.00535398     -0.00538192
    -0.000238287    -0.000173846
    -0.000515734    -0.000457585
    -0.000730975    -0.000555224
    -0.000111785    -6.70851e-05
    -0.000343324    -0.000282426
    -0.000305834    -0.000264286
     -0.00557372     -0.00547528
