QM Energy	FF Energy
     -2.5975e-05    -2.69241e-05
     -0.00146537     -0.00142462
      -1.439e-05    -1.45966e-05
    -0.000793975    -0.000827547
     -3.9407e-05    -4.30514e-05
    -0.000282127    -0.000292664
     -5.5284e-05    -5.44416e-05
     -2.4928e-05    -2.31498e-05
     -0.00134514     -0.00138264
     -0.00107918     -0.00106317
      -6.541e-06    -6.28608e-06
    -0.000109078    -9.54808e-05
    -0.000106702    -0.000107669
      -8.757e-06    -8.44425e-06
        -9.2e-06    -8.79832e-06
     -2.1866e-05    -2.30444e-05
     -1.4111e-05    -1.50853e-05
    -0.000562266    -0.000589997
      -1.251e-05    -1.25176e-05
     -8.0114e-05    -8.41754e-05
     -1.5631e-05     -1.6445e-05
    -0.000283482    -0.000306667
    -0.000295151    -0.000301722
     -7.8844e-05    -7.90877e-05
     -4.1935e-05     -4.1757e-05
     -4.2608e-05    -4.28959e-05
     -1.6361e-05    -1.60535e-05
    -0.000591481    -0.000623304
     -0.00116268     -0.00118695
    -0.000247426    -0.000231309
    -0.000151804    -0.000147977
     -2.8615e-05    -3.04218e-05
     -5.3837e-05     -5.1423e-05
    -0.000424951    -0.000419211
     -1.4549e-05    -1.48538e-05
     -1.0391e-05    -9.60491e-06
     -2.0044e-05    -1.81461e-05
     -6.1859e-05    -6.51603e-05
     -1.2812e-05    -1.20069e-05
      -0.0012687      -0.0014694
    -0.000561451    -0.000519651
     -2.4603e-05    -2.17946e-05
     -5.8601e-05    -5.39731e-05
     -4.7879e-05    -4.30393e-05
    -0.000280493    -0.000266205
    -0.000315783    -0.000310568
    -0.000616291    -0.000619669
    -0.000702432    -0.000623679
    -0.000125342    -0.000131406
    -0.000235063     -0.00023568
     -0.00038898    -0.000393822
     -1.2427e-05    -1.19777e-05
     -7.5507e-05    -7.26764e-05
      -3.135e-05    -3.16411e-05
     -9.4476e-05     -8.6628e-05
    -0.000939616     -0.00100757
     -7.1073e-05    -7.29735e-05
     -1.5222e-05    -1.63026e-05
    -0.000648552    -0.000602172
    -0.000708653     -0.00069028
    -0.000391641    -0.000382061
     -3.8427e-05    -3.81441e-05
     -3.9738e-05    -4.04883e-05
    -0.000130637    -0.000113759
     -5.2225e-05    -5.56396e-05
    -0.000308137    -0.000293623
     -3.1004e-05    -3.09023e-05
    -0.000144761    -0.000142741
     -8.4512e-05    -9.10282e-05
    -0.000157526    -0.000164978
     -4.4006e-05    -4.70754e-05
     -0.00043722    -0.000417735
      -1.353e-05    -1.42984e-05
    -0.000717133    -0.000723485
    -0.000109827    -0.000118202
    -0.000269026    -0.000246961
      -8.664e-06    -8.38122e-06
     -1.6924e-05    -1.63967e-05
    -0.000328128    -0.000291615
     -8.8215e-05    -9.29166e-05
    -0.000272119    -0.000269367
     -8.7864e-05    -9.34281e-05
     -1.1845e-05    -1.17332e-05
     -8.5937e-05    -8.03808e-05
     -0.00041105    -0.000414299
     -6.9223e-05    -7.01145e-05
     -3.5935e-05    -3.57409e-05
     -0.00103378      -0.0010662
     -3.9271e-05    -3.90282e-05
     -0.00074385    -0.000676348
    -0.000757526    -0.000766162
     -3.3213e-05    -3.33743e-05
      -3.758e-05    -3.86442e-05
    -0.000466131    -0.000487997
    -0.000370852    -0.000350558
    -0.000115419    -0.000117988
    -0.000195651    -0.000187956
     -4.4333e-05    -4.64494e-05
     -4.2036e-05    -4.10267e-05
    -0.000576255    -0.000584361
    -0.000376354    -0.000412504
    -0.000836544    -0.000745079
      -7.222e-06    -7.00431e-06
    -0.000289311    -0.000297101
     -3.2869e-05    -3.53104e-05
    -0.000889314    -0.000847495
     -1.0734e-05    -9.85792e-06
     -1.4527e-05    -1.46187e-05
    -0.000159982    -0.000163409
    -0.000100388     -0.00010549
     -2.0024e-05    -2.12848e-05
    -0.000913739    -0.000933034
    -0.000178953    -0.000180033
    -0.000564259    -0.000567151
    -0.000119495     -0.00011166
    -0.000333198    -0.000334326
    -0.000473563    -0.000441216
    -0.000801136    -0.000778066
     -3.1583e-05    -3.20245e-05
      -5.681e-06    -5.22213e-06
     -7.4747e-05    -6.82345e-05
     -1.6772e-05    -1.65183e-05
     -5.2031e-05    -5.05444e-05
     -5.8071e-05    -5.86748e-05
    -0.000190911    -0.000190555
    -0.000115801     -0.00012606
     -1.5923e-05    -1.49336e-05
    -0.000262755    -0.000269525
     -0.00125104     -0.00132911
    -0.000358227    -0.000333341
    -0.000547271    -0.000566424
      -9.314e-05     -9.5809e-05
     -0.00101068     -0.00102376
    -0.000100036    -0.000100955
      -3.362e-05    -3.52792e-05
     -1.6648e-05    -1.68475e-05
    -0.000423692    -0.000450482
     -6.8904e-05      -7.124e-05
    -0.000133899    -0.000128091
     -1.4066e-05    -1.44883e-05
     -2.6426e-05    -2.65691e-05
     -4.8135e-05    -4.83296e-05
     -8.3357e-05     -8.3031e-05
    -0.000680391    -0.000629041
     -3.3288e-05    -3.48448e-05
    -0.000158443    -0.000142926
    -0.000728279    -0.000739413
    -0.000398561    -0.000436701
    -0.000271028    -0.000256319
     -0.00048418    -0.000424972
     -1.0911e-05    -1.11508e-05
       -5.39e-06    -4.96814e-06
    -0.000517683    -0.000485805
    -0.000627571    -0.000624562
     -9.7355e-05    -9.67936e-05
     -3.4144e-05    -3.10571e-05
    -0.000634833    -0.000637372
    -0.000858922    -0.000908961
       -8.27e-06    -7.93606e-06
     -0.00076112    -0.000821232
     -7.2019e-05    -6.93787e-05
    -0.000428069    -0.000400198
      -1.701e-05    -1.72976e-05
       -2.62e-05    -2.66604e-05
    -0.000739082    -0.000700772
    -0.000105891    -0.000106503
     -5.4137e-05    -4.88941e-05
    -0.000228269    -0.000234991
    -0.000503929    -0.000420133
    -0.000331742    -0.000335351
    -0.000892379    -0.000880126
      -3.127e-05    -3.11109e-05
     -3.3438e-05    -3.17691e-05
     -3.0162e-05    -2.85351e-05
     -4.2271e-05    -4.45039e-05
     -6.3342e-05     -5.7556e-05
     -1.9589e-05    -2.07114e-05
    -0.000136043    -0.000137648
    -0.000232378    -0.000227019
    -0.000858225    -0.000790005
    -0.000174701      -0.0001643
     -1.0786e-05    -1.02271e-05
     -1.8415e-05    -1.91414e-05
     -1.9084e-05    -1.86037e-05
     -2.3835e-05    -2.29519e-05
     -3.0171e-05    -2.98645e-05
     -0.00026622    -0.000277963
    -0.000206555    -0.000179583
    -0.000212534    -0.000207809
    -0.000223244    -0.000203367
    -0.000905449    -0.000891024
     -0.00123206     -0.00126554
    -0.000463589    -0.000490312
     -4.6917e-05    -4.20783e-05
    -0.000147045    -0.000147494
      -9.458e-06    -8.71132e-06
     -3.5941e-05    -3.41669e-05
      -5.811e-06    -5.27049e-06
     -1.5908e-05    -1.69055e-05
     -8.8275e-05    -8.29207e-05
    -0.000129959    -0.000141052
    -0.000127473    -0.000121778
     -3.8111e-05     -3.5017e-05
     -6.9317e-05    -6.39962e-05
    -0.000666418      -0.0005804
    -0.000854422    -0.000781525
    -0.000157494    -0.000170327
     -0.00047216     -0.00051447
    -0.000625427    -0.000578785
    -0.000554923     -0.00054939
    -0.000175005    -0.000167891
     -1.4662e-05    -1.46697e-05
     -3.6619e-05    -3.24188e-05
     -7.5921e-05    -7.25098e-05
     -2.6528e-05     -2.8883e-05
    -0.000827265    -0.000789656
      -4.981e-05    -5.33055e-05
     -1.5034e-05    -1.40052e-05
      -6.135e-05    -6.18205e-05
    -0.000133423    -0.000125508
      -1.017e-05    -1.02695e-05
     -8.9283e-05    -8.65938e-05
    -0.000272148      -0.0002361
    -0.000714812    -0.000723264
    -0.000645772    -0.000652756
     -3.2913e-05    -3.04653e-05
     -9.2945e-05    -9.20596e-05
    -0.000335725     -0.00033085
     -1.3686e-05     -1.2266e-05
     -1.6459e-05    -1.71161e-05
     -0.00066484     -0.00063284
     -0.00120147     -0.00116299
     -3.1571e-05    -3.11607e-05
     -2.7919e-05    -2.95561e-05
    -0.000157009    -0.000172099
    -0.000116048    -0.000114338
      -1.575e-05    -1.63897e-05
      -9.793e-05    -9.96069e-05
     -3.4817e-05    -3.67613e-05
     -3.9227e-05    -4.01492e-05
     -0.00140293     -0.00145706
    -0.000284678    -0.000276949
     -3.7035e-05    -3.86304e-05
    -0.000492459    -0.000507602
     -9.0699e-05    -8.95238e-05
    -0.000199958    -0.000186182
     -7.2933e-05    -7.09027e-05
    -0.000288372    -0.000282085
    -0.000380982    -0.000331528
     -7.0012e-05    -7.32025e-05
     -2.4156e-05    -2.39286e-05
    -0.000550486    -0.000526185
    -0.000285251    -0.000290005
    -0.000176217    -0.000183989
     -2.5092e-05    -2.25062e-05
    -0.000200589    -0.000204512
     -3.7536e-05    -4.00842e-05
    -0.000486844    -0.000490471
      -9.171e-06    -8.73371e-06
     -0.00056227    -0.000582044
     -4.0951e-05    -4.25613e-05
    -0.000262677    -0.000263792
     -4.3899e-05    -4.09729e-05
    -0.000966774    -0.000840809
    -0.000291372     -0.00029559
     -7.5384e-05    -7.59402e-05
     -0.00019179    -0.000191398
    -0.000740894    -0.000663151
    -0.000375498    -0.000385983
      -9.137e-06    -9.06692e-06
     -1.3806e-05     -1.3842e-05
     -9.6463e-05    -9.36324e-05
     -3.1704e-05    -3.27264e-05
    -0.000698244     -0.00074054
    -0.000151592    -0.000140017
      -0.0010306     -0.00106097
      -0.0007809    -0.000775079
     -4.7746e-05    -4.85005e-05
    -0.000498504    -0.000522112
     -1.7924e-05     -1.7499e-05
    -0.000305569    -0.000313771
    -0.000197641    -0.000204254
    -0.000109883    -0.000111554
    -0.000300619    -0.000289867
     -5.1953e-05    -5.20437e-05
    -0.000744442    -0.000752866
      -1.298e-05    -1.25339e-05
    -0.000134547    -0.000133772
     -6.4494e-05    -5.64519e-05
    -0.000146595    -0.000154988
     -4.7731e-05    -4.53001e-05
     -1.8208e-05     -1.7876e-05
     -1.9972e-05    -2.06787e-05
     -1.9092e-05    -1.87134e-05
    -0.000237244    -0.000233702
     -1.4288e-05    -1.42256e-05
    -0.000292486    -0.000288076
     -4.5911e-05    -4.62611e-05
      -1.395e-05    -1.36267e-05
    -0.000261112    -0.000262817
     -0.00040341    -0.000415912
     -2.4263e-05     -2.2628e-05
     -3.0739e-05    -3.18947e-05
    -0.000190198    -0.000179535
    -0.000215256    -0.000203667
    -0.000462071    -0.000405075
