QM Energy	FF Energy
    -0.000151134    -0.000140072
     -0.00774815     -0.00837352
    -0.000109292    -0.000101203
     -0.00342726     -0.00347752
     -2.6636e-05    -1.09384e-05
     -0.00107676     -0.00116707
    -0.000321403    -0.000328821
    -0.000143339     -0.00013122
     -0.00739298     -0.00728291
      -0.0043895      -0.0049776
     -2.9841e-05    -1.01881e-05
    -0.000630123    -0.000667041
    -0.000435052     -0.00039411
      -6.144e-05    -6.66621e-05
      -3.677e-05    -1.49764e-06
     -3.7409e-05    -1.48264e-05
           7e-06      2.1994e-05
     -0.00245991     -0.00227962
     -8.6712e-05    -8.01213e-05
    -0.000215386    -0.000188822
     -4.9239e-05    -3.61215e-05
    -0.000734855    -0.000800261
     -0.00122428     -0.00127077
    -0.000515233    -0.000527036
    -0.000237947      -0.0002207
    -0.000257279    -0.000293045
      -9.298e-05    -9.44517e-05
     -0.00208755     -0.00219982
     -0.00664034     -0.00642352
     -0.00152332     -0.00144845
    -0.000695155    -0.000628215
     -7.4303e-05    -6.01002e-05
    -0.000282205    -0.000291496
     -0.00178932     -0.00175992
     -8.4021e-05    -9.14178e-05
     -8.4311e-05    -0.000110723
    -0.000109747     -7.4303e-05
     -0.00027741    -0.000276892
     -9.8313e-05    -0.000121861
      -0.0085745     -0.00807628
     -0.00298469     -0.00305602
    -0.000141332    -9.99909e-05
    -0.000304893    -0.000272441
    -0.000305203     -0.00035266
     -0.00142428     -0.00150497
      -0.0013818     -0.00136607
     -0.00277827     -0.00271982
     -0.00445691     -0.00429568
    -0.000538947    -0.000545293
     -0.00125508     -0.00120918
     -0.00174339       -0.001711
     -5.7629e-05    -4.31018e-05
    -0.000429192    -0.000454279
    -0.000121327    -9.12748e-05
    -0.000511671    -0.000513483
     -0.00579855     -0.00545191
    -0.000228355    -0.000187925
       3.374e-06     1.82158e-05
      -0.0033728     -0.00347127
     -0.00362919     -0.00368642
     -0.00193497     -0.00207234
    -0.000225547    -0.000226262
    -0.000188215    -0.000175329
    -0.000750324    -0.000889656
    -0.000195706    -0.000194832
     -0.00153996     -0.00155754
     -0.00013983     -0.00011565
    -0.000695386    -0.000662369
    -0.000269048    -0.000255721
    -0.000532971    -0.000534348
    -0.000143743    -0.000140043
     -0.00231025     -0.00228294
     -1.2102e-05        1.67e-06
     -0.00253911     -0.00293291
    -0.000248172     -0.00022431
     -0.00142532       -0.001454
      -7.579e-05    -9.60847e-05
    -0.000118087     -0.00013255
     -0.00180801     -0.00195548
    -0.000320579    -0.000301452
      -0.0013813     -0.00136628
    -0.000300853    -0.000289766
     -8.8214e-05    -9.49063e-05
    -0.000509561    -0.000535376
      -0.0017439     -0.00177478
    -0.000365913    -0.000356944
    -0.000158926    -0.000129146
      -0.0046658     -0.00480997
    -0.000141993    -0.000112339
