QM Energy	FF Energy
     -6.2501e-05     -9.3867e-05
     -4.9051e-05    -5.31641e-05
      -9.744e-06     -8.1917e-06
    -0.000123464    -0.000149051
    -0.000422217    -0.000407681
     -4.2046e-05    -5.46086e-05
      -8.505e-06     -9.5064e-06
     -3.3399e-05     -4.3899e-05
     -9.6457e-05    -0.000107611
     -2.5926e-05    -3.71652e-05
     -2.4393e-05    -2.39851e-05
      -5.735e-06    -6.87816e-06
    -0.000217101     -0.00024313
      -8.428e-05    -9.25832e-05
      -9.096e-06    -1.04508e-05
    -0.000325759    -0.000292596
     -1.4831e-05    -1.47238e-05
    -0.000321142    -0.000431934
    -0.000146971    -0.000134549
    -0.000258377    -0.000427944
      -2.175e-05    -1.80219e-05
     -3.4336e-05       -4.41e-05
    -0.000285104    -0.000276794
      -7.349e-06     -8.2278e-06
    -0.000454049     -0.00041522
    -0.000659796    -0.000594125
     -1.9126e-05    -2.25591e-05
    -0.000129354    -0.000186248
    -0.000104252    -0.000128222
    -0.000102239    -0.000113828
    -0.000321467    -0.000332469
     -2.7715e-05    -2.20683e-05
     -0.00038241    -0.000360403
    -0.000110855    -0.000129154
    -0.000225579    -0.000245251
     -2.8322e-05    -4.92634e-05
     -1.4161e-05    -1.40012e-05
     -0.00030148    -0.000304448
      -4.596e-06    -4.92745e-06
    -0.000278293     -0.00039584
    -0.000232981    -0.000240264
     -1.0078e-05    -1.20976e-05
     -1.1696e-05    -1.98591e-05
     -1.4777e-05    -1.44407e-05
     -2.4675e-05    -3.00139e-05
    -0.000381346    -0.000334241
     -4.0445e-05    -6.37717e-05
     -2.5855e-05    -2.75009e-05
     -3.3531e-05    -3.16371e-05
     -1.4851e-05    -1.46035e-05
    -0.000461865    -0.000521414
      -1.171e-05    -9.45769e-06
    -0.000317115    -0.000364956
    -0.000169036    -0.000226533
     -4.3155e-05    -4.08121e-05
      -0.0007236    -0.000786118
     -9.3553e-05    -0.000119658
     -1.4538e-05     -1.6814e-05
      -9.483e-05    -8.41642e-05
     -5.0065e-05    -5.63524e-05
    -0.000228217    -0.000256252
      -9.423e-06    -8.80958e-06
     -0.00020071    -0.000221541
      -9.974e-06    -1.34356e-05
    -0.000297566     -0.00035123
     -2.6253e-05    -2.14723e-05
     -1.8836e-05    -1.54937e-05
    -0.000587555    -0.000510106
      -6.251e-06    -6.88594e-06
      -9.885e-06    -1.05029e-05
     -7.5778e-05    -6.79717e-05
     -2.4589e-05    -2.07877e-05
     -9.2351e-05    -0.000119702
    -0.000218285    -0.000246115
     -2.6542e-05    -2.94194e-05
     -1.7146e-05    -1.77588e-05
     -2.7019e-05    -3.77295e-05
    -0.000612995    -0.000568549
    -0.000238751    -0.000373266
      -7.292e-06    -1.42715e-05
     -1.4753e-05    -2.13666e-05
     -2.9976e-05    -2.89816e-05
     -6.8786e-05    -7.70882e-05
     -3.2831e-05    -4.48336e-05
    -0.000103681     -0.00015244
    -0.000678311    -0.000675636
     -2.9888e-05    -2.82255e-05
     -2.6143e-05    -2.71365e-05
    -0.000214075    -0.000213552
      -2.786e-05    -2.79305e-05
     -6.5098e-05    -7.65301e-05
    -0.000425906    -0.000384785
     -2.1497e-05    -2.46563e-05
     -7.9932e-05    -7.27517e-05
    -0.000212809    -0.000249544
    -0.000423492    -0.000403548
     -1.6923e-05    -1.90058e-05
     -1.1537e-05    -1.38431e-05
     -4.3954e-05    -4.92014e-05
     -1.8624e-05    -2.00758e-05
    -0.000169036    -0.000165917
