QM Energy	FF Energy
     -3.6432e-05     -4.6361e-05
     -5.5568e-05    -6.93636e-05
     -8.6554e-05    -9.75943e-05
     -4.4831e-05     -5.3277e-05
    -0.000396425    -0.000382326
    -0.000774445    -0.000766384
     -3.5858e-05    -4.63991e-05
    -0.000260222    -0.000287575
    -0.000136277    -0.000164876
    -0.000193526    -0.000203434
     -3.8198e-05     -4.4154e-05
     -6.4406e-05    -8.06739e-05
      -0.0011081     -0.00115982
    -0.000311006    -0.000313796
    -0.000301064     -0.00035511
     -2.6735e-05    -3.56103e-05
    -0.000152811    -0.000166304
    -0.000140203    -0.000148796
    -0.000147531    -0.000152435
     -3.9771e-05    -4.75227e-05
    -0.000108922    -0.000122991
     -0.00055798    -0.000596266
     -0.00109147     -0.00101489
    -0.000384148    -0.000402734
     -0.00130691     -0.00124094
     -8.8684e-05    -0.000100074
    -0.000392816    -0.000407403
    -0.000921777    -0.000844589
     -6.5222e-05    -7.76541e-05
     -0.00117195     -0.00109197
     -0.00127817     -0.00121642
        -5.5e-05    -6.41213e-05
    -0.000171905    -0.000181335
     -7.2317e-05    -9.24346e-05
    -0.000667528    -0.000682108
    -0.000562428    -0.000572455
     -3.4902e-05    -4.41169e-05
     -0.00104182    -0.000965088
    -0.000566105    -0.000546021
      -0.0003602    -0.000363125
     -0.00127877     -0.00126785
     -3.7768e-05    -4.52159e-05
    -0.000624678    -0.000609877
     -3.8812e-05    -5.26929e-05
    -0.000284798     -0.00029058
     -3.0597e-05    -3.69868e-05
     -1.5476e-05    -1.87817e-05
    -0.000206423    -0.000218032
    -0.000739386    -0.000734849
     -8.0876e-05    -9.17392e-05
     -3.7098e-05    -4.30857e-05
     -3.4779e-05     -4.1895e-05
     -4.1275e-05    -5.04238e-05
    -0.000320695    -0.000338677
     -0.00113825     -0.00106072
      -1.975e-05    -2.40927e-05
    -0.000500783    -0.000534014
    -0.000951583    -0.000894433
     -1.9135e-05    -2.34774e-05
    -0.000652557    -0.000699656
     -0.00118198     -0.00107369
     -6.9576e-05    -7.35121e-05
     -8.9834e-05    -0.000112503
    -0.000140703    -0.000151136
     -1.8709e-05    -2.38322e-05
     -6.7002e-05    -7.80969e-05
     -4.7085e-05    -5.96214e-05
     -0.00114104     -0.00112575
     -1.8556e-05     -2.6521e-05
      -2.371e-05    -2.85732e-05
     -5.6674e-05    -6.19636e-05
     -1.1757e-05    -1.58962e-05
     -0.00089295    -0.000830856
    -0.000499336    -0.000526782
     -0.00036469    -0.000397958
    -0.000717098      -0.0007536
    -0.000191718    -0.000212983
    -0.000160791    -0.000171287
     -3.1212e-05    -3.72852e-05
    -0.000532942    -0.000528155
    -0.000421227    -0.000447079
     -0.00018088    -0.000189145
      -8.337e-05    -0.000104195
      -8.536e-05    -9.72333e-05
     -4.4709e-05    -5.52646e-05
     -0.00049443    -0.000473872
     -0.00079186    -0.000839134
     -2.5221e-05    -3.00635e-05
     -6.3418e-05    -6.86156e-05
    -0.000439308    -0.000447468
    -0.000128374     -0.00013619
     -6.0283e-05    -6.69125e-05
     -1.7358e-05    -2.27859e-05
    -0.000208149    -0.000225449
    -0.000294509    -0.000306732
    -0.000133666    -0.000153943
    -0.000197844    -0.000230248
    -0.000453916    -0.000451696
     -3.8887e-05    -4.26777e-05
     -3.3924e-05    -4.09863e-05
     -5.2221e-05    -6.42639e-05
     -7.8641e-05    -9.53423e-05
    -0.000939427     -0.00091739
    -0.000290065    -0.000300611
    -0.000119075    -0.000132292
    -0.000569736    -0.000616496
     -9.3243e-05     -0.00010397
    -0.000343023    -0.000397104
     -8.3378e-05      -0.0001042
    -0.000347614    -0.000388851
     -0.00014235    -0.000164408
    -0.000653674    -0.000629652
    -0.000216608    -0.000232168
    -0.000874384    -0.000864618
     -3.6095e-05    -4.65027e-05
     -4.7285e-05    -5.22929e-05
    -0.000196508    -0.000232212
     -4.4325e-05    -5.03235e-05
     -6.3884e-05    -7.43595e-05
     -2.3521e-05    -2.85159e-05
     -0.00124129     -0.00117428
    -0.000110055    -0.000116861
     -4.1082e-05    -4.97038e-05
     -7.1458e-05    -7.88228e-05
     -2.2274e-05     -3.1288e-05
    -0.000374804    -0.000374654
    -0.000124789    -0.000149294
    -0.000224668    -0.000242039
     -2.8563e-05    -3.31451e-05
     -3.5189e-05    -4.20404e-05
    -0.000104465    -0.000122799
     -2.9912e-05    -3.65984e-05
     -6.0797e-05    -6.93442e-05
    -0.000368756    -0.000391595
    -0.000737411    -0.000662828
     -7.4877e-05    -8.70131e-05
     -0.00032495    -0.000332785
    -0.000301939    -0.000293807
    -0.000248005    -0.000249579
     -2.6157e-05     -3.5461e-05
    -0.000286728    -0.000300957
    -0.000844057    -0.000843073
     -9.1533e-05     -0.00010864
    -0.000561801    -0.000555574
    -0.000804604    -0.000733081
    -0.000462053    -0.000421635
     -4.3386e-05    -5.07038e-05
    -0.000256042    -0.000285002
    -0.000279261    -0.000294477
       -4.36e-05    -5.21436e-05
     -0.00107401     -0.00104937
     -0.00010881    -0.000130553
     -8.9839e-05    -0.000110939
    -0.000121442     -0.00014201
     -4.6703e-05    -5.65342e-05
     -2.9046e-05    -3.69385e-05
    -0.000635362    -0.000622936
    -0.000364151    -0.000381394
     -0.00113554     -0.00118518
    -0.000606502    -0.000587687
    -0.000248227    -0.000252321
     -4.6266e-05    -5.59643e-05
    -0.000522279    -0.000523177
     -3.0904e-05    -3.98105e-05
    -0.000243546    -0.000252855
      -7.969e-05    -9.38427e-05
    -0.000397835    -0.000407434
    -0.000627538    -0.000611731
     -1.7096e-05    -2.14141e-05
    -0.000870957    -0.000819649
     -7.3715e-05    -8.74356e-05
     -0.00063968    -0.000608512
    -0.000997603     -0.00101893
    -0.000117891    -0.000130872
     -2.9106e-05    -3.68914e-05
    -0.000515809    -0.000517561
    -0.000157196    -0.000177313
     -6.9957e-05    -8.18084e-05
    -0.000361243    -0.000366749
    -0.000704401    -0.000652072
    -0.000132571    -0.000149346
    -0.000373358     -0.00036999
     -2.7267e-05    -3.48857e-05
     -0.00104682    -0.000967539
    -0.000413663    -0.000421488
    -0.000274927    -0.000290784
     -3.0027e-05    -3.62398e-05
     -0.00132238     -0.00130532
     -2.8784e-05    -3.42448e-05
    -0.000179109     -0.00018815
    -0.000585486    -0.000591163
     -0.00026501    -0.000274874
     -8.0985e-05    -9.48081e-05
     -2.8483e-05    -3.76274e-05
     -1.7941e-05    -2.25643e-05
    -0.000129564    -0.000143439
    -0.000474884     -0.00045397
    -0.000124782    -0.000149855
    -0.000261913     -0.00028169
    -0.000735011     -0.00081352
    -0.000421176    -0.000449215
    -0.000649856    -0.000667371
     -3.8633e-05    -4.81382e-05
    -0.000352503    -0.000390129
     -9.1041e-05    -9.99941e-05
     -3.2411e-05    -3.98888e-05
    -0.000835292    -0.000813468
    -0.000452175    -0.000482428
    -0.000173373    -0.000218426
     -0.00144908     -0.00145577
     -0.00172687     -0.00173342
     -0.00109972     -0.00114944
     -3.3193e-05    -4.18528e-05
    -0.000128748    -0.000139193
    -0.000192358    -0.000211939
    -0.000192586    -0.000208959
    -0.000109129    -0.000119864
     -2.0545e-05    -2.45881e-05
    -0.000497892    -0.000484849
    -0.000301179    -0.000318588
     -2.4095e-05    -3.16894e-05
