QM Energy	FF Energy
      -1.239e-05    -1.89664e-05
     -2.4624e-05    -2.65707e-05
     -3.0537e-05    -3.88188e-05
     -1.5957e-05    -2.10395e-05
    -0.000151678    -0.000143073
    -0.000157504    -0.000297052
     -1.5731e-05    -1.81015e-05
     -9.1992e-05    -0.000107018
     -6.0418e-05       -6.39e-05
     -5.3697e-05    -7.94379e-05
     -1.1173e-05    -1.73915e-05
     -2.2587e-05    -3.11665e-05
    -0.000388095    -0.000426748
     -8.2057e-05    -0.000119244
    -0.000104039    -0.000129256
      -8.078e-06    -1.37711e-05
     -3.0257e-05    -6.69802e-05
     -4.0285e-05    -5.79955e-05
      -6.743e-05    -5.90064e-05
     -2.0776e-05    -1.93274e-05
       -3.73e-05    -4.74753e-05
    -0.000160475    -0.000219084
    -0.000377819    -0.000387078
    -0.000143036     -0.00015166
    -0.000447726    -0.000450425
     -2.2322e-05    -3.92351e-05
    -0.000143153    -0.000148894
    -0.000332105    -0.000313682
     -1.5981e-05    -2.92259e-05
    -0.000472659    -0.000402368
    -0.000561794    -0.000453924
     -2.7601e-05    -2.57659e-05
     -5.5997e-05    -7.06239e-05
     -2.3859e-05    -3.52792e-05
    -0.000255535      -0.0002515
    -0.000158811    -0.000212829
      -1.468e-05    -1.74517e-05
    -0.000361349     -0.00035405
    -0.000193424    -0.000203036
    -0.000119387    -0.000136375
    -0.000481294    -0.000462321
      -8.643e-06    -1.91489e-05
    -0.000191019    -0.000226504
     -1.3459e-05    -2.00154e-05
    -0.000117665    -0.000111608
     -1.3411e-05    -1.47622e-05
      -5.944e-06    -7.56594e-06
     -5.5905e-05    -8.17906e-05
    -0.000251897    -0.000270743
     -3.5823e-05       -3.62e-05
     -2.0578e-05    -1.79198e-05
       -1.36e-05    -1.68747e-05
     -1.8958e-05    -1.94473e-05
    -0.000122841    -0.000126579
    -0.000470475    -0.000393079
      -7.593e-06     -1.0992e-05
    -0.000153533    -0.000201997
    -0.000308057    -0.000335928
     -1.0353e-05    -9.94969e-06
      -0.0001548     -0.00025044
    -0.000468682    -0.000411463
     -3.2963e-05    -2.84038e-05
     -2.8466e-05    -4.20303e-05
     -4.7471e-05    -5.83466e-05
      -6.454e-06    -9.43621e-06
     -1.7137e-05    -3.08539e-05
     -1.6658e-05    -2.31449e-05
    -0.000385239    -0.000413841
      -5.257e-06    -1.00768e-05
     -1.0978e-05    -1.13418e-05
     -2.3568e-05    -2.36094e-05
      -3.572e-06    -6.93561e-06
     -0.00032331    -0.000324914
     -0.00012883    -0.000191391
    -0.000112716    -0.000145005
    -0.000194477    -0.000269988
     -4.9072e-05    -7.81402e-05
     -4.6422e-05    -6.54309e-05
      -9.982e-06    -1.59158e-05
    -0.000165397    -0.000198472
    -0.000106759    -0.000160914
     -4.8577e-05    -7.28294e-05
     -3.5015e-05    -4.00538e-05
     -2.0487e-05    -3.80768e-05
     -1.3448e-05    -2.08257e-05
    -0.000150992    -0.000184156
    -0.000265663    -0.000305134
     -1.1117e-05    -1.27409e-05
     -2.8467e-05    -2.69198e-05
    -0.000176065    -0.000168265
     -5.5196e-05    -5.24386e-05
       -2.82e-05    -2.65008e-05
      -6.843e-06    -8.78005e-06
     -8.3654e-05    -8.67536e-05
     -7.0094e-05    -0.000114977
     -2.1691e-05    -5.63547e-05
     -6.1542e-05    -8.40597e-05
    -0.000117202    -0.000172215
     -1.9609e-05    -1.69105e-05
     -1.6628e-05    -1.70114e-05
     -1.8751e-05    -2.44747e-05
     -1.4036e-05    -3.68618e-05
    -0.000373255    -0.000336125
     -9.6447e-05    -0.000115509
     -3.7373e-05    -4.97069e-05
    -0.000204135    -0.000226677
     -4.2526e-05    -4.04813e-05
    -0.000111503    -0.000143407
      -3.023e-05    -3.88054e-05
    -0.000103649    -0.000141055
     -4.7402e-05    -6.02083e-05
    -0.000231807    -0.000235069
    -0.000106395    -9.38667e-05
    -0.000231992    -0.000326107
      -8.297e-06    -1.78003e-05
     -2.0445e-05    -2.03712e-05
     -5.5736e-05    -8.51459e-05
     -1.6771e-05     -2.0405e-05
     -2.2007e-05    -2.82274e-05
      -8.501e-06    -1.35371e-05
    -0.000372663    -0.000427259
     -3.7899e-05    -4.53577e-05
     -1.7717e-05    -1.86377e-05
     -2.4685e-05    -3.02888e-05
      -7.835e-06     -1.3089e-05
     -0.00016738    -0.000146633
     -4.2046e-05    -5.46745e-05
     -2.9007e-05    -8.95191e-05
      -8.557e-06    -1.32638e-05
     -1.5012e-05    -1.72062e-05
     -3.0567e-05    -4.76892e-05
     -1.1271e-05    -1.43819e-05
     -1.9445e-05    -2.92172e-05
    -0.000100635    -0.000147052
    -0.000205986    -0.000261216
     -2.9087e-05    -3.31946e-05
    -0.000125364    -0.000123744
     -8.8789e-05    -0.000120615
    -0.000109873    -9.72417e-05
      -9.112e-06    -1.31667e-05
     -7.8759e-05    -0.000115434
    -0.000186704    -0.000308083
     -3.3411e-05    -4.21548e-05
    -0.000157263    -0.000206149
    -0.000390337    -0.000289109
    -0.000129303    -0.000165628
      -8.136e-06    -2.23385e-05
     -7.1968e-05    -0.000105296
     -6.2776e-05    -0.000111192
     -1.3289e-05     -1.9743e-05
    -0.000427105    -0.000380023
     -3.3593e-05    -4.79264e-05
     -3.4472e-05    -4.12213e-05
     -3.7004e-05    -5.36733e-05
     -2.0288e-05    -2.15225e-05
      -9.771e-06    -1.42667e-05
     -0.00021736    -0.000232305
    -0.000100336    -0.000143809
    -0.000466545     -0.00043984
    -0.000153247     -0.00021785
     -9.4955e-05    -9.85719e-05
     -1.6564e-05    -2.11788e-05
    -0.000177037    -0.000193573
       -9.63e-06    -1.49818e-05
     -8.2078e-05    -9.56862e-05
     -2.8455e-05     -3.5407e-05
      -0.0001589    -0.000150609
    -0.000275348    -0.000239925
      -6.549e-06    -9.52658e-06
    -0.000322735     -0.00031192
     -1.6487e-05    -3.20639e-05
    -0.000185056    -0.000228938
    -0.000308949    -0.000371032
     -4.5465e-05     -5.0348e-05
     -1.4591e-05    -1.51287e-05
    -0.000178944    -0.000195052
     -4.9381e-05    -6.79405e-05
     -2.0529e-05    -3.09719e-05
     -8.9357e-05    -0.000137315
    -0.000271975    -0.000242858
     -3.5142e-05    -5.83206e-05
    -0.000114251    -0.000140964
     -1.2161e-05    -1.41452e-05
    -0.000331938    -0.000358045
    -0.000200434    -0.000170577
     -7.8896e-05    -0.000112179
     -1.4192e-05    -1.44879e-05
    -0.000477349    -0.000484318
     -1.0151e-05    -1.32245e-05
     -4.8562e-05    -7.32878e-05
    -0.000177185    -0.000216003
    -0.000116335    -0.000108771
     -1.1504e-05    -3.66941e-05
      -8.802e-06    -1.51755e-05
      -7.885e-06    -9.58548e-06
     -3.5808e-05    -5.47554e-05
    -0.000147827    -0.000168739
