QM Energy	FF Energy
     -4.6571e-05    -5.97381e-05
     -0.00143181     -0.00135374
     -2.4247e-05    -3.42308e-05
     -3.8774e-05     -4.7565e-05
    -0.000505145    -0.000496454
     -3.2808e-05    -4.45023e-05
      -7.063e-05    -8.87655e-05
      -7.855e-05     -0.00010392
    -0.000273666    -0.000310279
    -0.000139786    -0.000160381
     -4.3681e-05    -5.77754e-05
     -8.5294e-05    -0.000106887
    -0.000688224    -0.000731323
     -3.7692e-05    -5.09947e-05
     -1.2463e-05    -1.61954e-05
     -0.00022734    -0.000257054
    -0.000510008    -0.000522868
    -0.000199172    -0.000230859
    -0.000594873    -0.000576116
    -0.000161156    -0.000179018
     -2.7208e-05    -3.45149e-05
    -0.000523184    -0.000516979
    -0.000293901    -0.000298086
    -0.000890189    -0.000808801
     -6.2524e-05    -8.50287e-05
     -2.3122e-05    -3.50344e-05
     -1.9097e-05    -2.70335e-05
    -0.000852843    -0.000825409
    -0.000965395    -0.000947388
      -1.505e-05    -2.37636e-05
    -0.000244199    -0.000276359
     -0.00133722     -0.00126712
     -0.00090182    -0.000853665
    -0.000125894    -0.000142231
    -0.000898848    -0.000921449
     -4.7054e-05    -5.75232e-05
     -2.0859e-05    -2.64807e-05
     -6.5577e-05    -7.80306e-05
     -2.3987e-05    -2.97953e-05
    -0.000822356    -0.000774984
    -0.000744636    -0.000740034
     -6.8949e-05    -7.83096e-05
    -0.000327804    -0.000373001
    -0.000228913    -0.000262109
     -1.0428e-05      -1.365e-05
    -0.000665434    -0.000651378
     -3.8163e-05    -5.70254e-05
    -0.000863242    -0.000820147
    -0.000463322    -0.000502325
    -0.000612116    -0.000587886
    -0.000562828    -0.000534103
     -0.00129933      -0.0012937
     -3.8088e-05    -4.65194e-05
    -0.000644202    -0.000635383
     -0.00117081      -0.0012436
     -0.00169413     -0.00180921
    -0.000629428    -0.000627674
    -0.000148982    -0.000165091
     -2.2072e-05    -2.93619e-05
    -0.000323312     -0.00034119
    -0.000191004    -0.000228051
    -0.000120397    -0.000145162
     -8.0274e-05    -0.000101912
     -0.00036321    -0.000398628
    -0.000110073    -0.000123813
     -0.00146837      -0.0014496
      -0.0012197     -0.00123447
    -0.000702838    -0.000656791
    -0.000133076    -0.000151339
    -0.000475696    -0.000504446
     -0.00041087    -0.000410035
     -0.00146035     -0.00142535
      -4.827e-05    -5.99039e-05
    -0.000182346    -0.000197971
    -0.000110572    -0.000125086
      -0.0017943     -0.00175431
    -0.000134465    -0.000150873
     -2.2108e-05    -2.87312e-05
     -4.7852e-05    -5.77131e-05
     -4.6011e-05    -5.99745e-05
    -0.000798401    -0.000804687
    -0.000265862     -0.00028226
    -0.000237968    -0.000263326
     -3.1148e-05    -3.92578e-05
    -0.000120063    -0.000133528
    -0.000250218    -0.000285684
     -7.1462e-05    -7.90856e-05
    -0.000111548    -0.000136031
     -6.3058e-05    -7.25065e-05
    -0.000393641    -0.000435976
    -0.000151192    -0.000167559
     -2.5187e-05    -3.27201e-05
     -6.2476e-05    -7.34076e-05
    -0.000229241    -0.000248225
    -0.000276518    -0.000302803
    -0.000150362    -0.000162638
    -0.000331176    -0.000349722
     -2.2871e-05    -2.95926e-05
    -0.000219045    -0.000235693
    -0.000519226    -0.000500009
     -4.2352e-05     -5.2795e-05
     -2.5118e-05    -3.16594e-05
    -0.000303791    -0.000327962
     -4.3938e-05    -5.69376e-05
     -6.1122e-05    -7.75348e-05
     -3.1255e-05    -3.86115e-05
      -1.791e-05    -2.31039e-05
    -0.000493893    -0.000491104
    -0.000530151    -0.000557453
      -4.572e-05     -6.0579e-05
     -1.2214e-05     -1.8179e-05
     -2.2911e-05    -2.89578e-05
      -1.554e-05     -2.1541e-05
     -6.2175e-05     -7.4134e-05
     -2.0605e-05    -2.81767e-05
     -9.3741e-05    -0.000111757
     -6.6832e-05    -9.41075e-05
    -0.000517067    -0.000488989
     -6.3611e-05    -7.51882e-05
    -0.000176891    -0.000189943
     -1.9472e-05    -2.44204e-05
     -3.9253e-05    -5.26921e-05
    -0.000343549     -0.00035324
     -3.0432e-05    -3.93555e-05
    -0.000117389    -0.000144243
    -0.000913625    -0.000906927
     -8.8341e-05    -0.000108112
    -0.000926648    -0.000854488
     -5.0104e-05    -6.48668e-05
    -0.000231758      -0.0002452
     -7.0271e-05    -8.44528e-05
      -8.769e-06    -1.34209e-05
     -6.2942e-05    -7.65369e-05
    -0.000311039    -0.000320414
      -2.797e-05    -4.43589e-05
     -1.9565e-05     -2.6186e-05
     -4.8111e-05    -5.96641e-05
     -0.00039605    -0.000416476
     -8.4564e-05    -9.77649e-05
    -0.000143599    -0.000162329
    -0.000110207    -0.000125174
    -0.000110762    -0.000134295
     -9.3446e-05    -0.000121626
     -3.2342e-05    -4.01479e-05
    -0.000565649    -0.000550847
     -3.2205e-05    -4.33047e-05
     -3.8931e-05    -5.14907e-05
     -1.5381e-05    -2.13796e-05
     -3.8215e-05    -5.04544e-05
     -9.8378e-05    -0.000111402
     -3.4638e-05     -4.5783e-05
    -0.000206497    -0.000229085
    -0.000995951     -0.00103068
     -4.5647e-05    -5.51818e-05
    -0.000565004    -0.000571528
    -0.000106077    -0.000116373
     -1.4906e-05    -2.09498e-05
    -0.000242447    -0.000266298
     -6.3394e-05    -7.59252e-05
     -0.00030729    -0.000319698
     -1.7259e-05    -2.19724e-05
     -5.4443e-05    -6.48178e-05
     -0.00017324    -0.000197175
    -0.000609122    -0.000580648
     -3.6854e-05    -4.92726e-05
    -0.000125611    -0.000138356
     -9.0829e-05    -0.000114374
     -3.5088e-05    -4.61327e-05
    -0.000151676    -0.000166185
     -1.7893e-05    -2.44654e-05
     -2.9605e-05    -4.39866e-05
    -0.000401249    -0.000409502
    -0.000631499    -0.000650499
     -4.6001e-05    -5.50559e-05
    -0.000188716    -0.000210908
    -0.000245255    -0.000271179
      -7.299e-05    -8.53398e-05
    -0.000241925     -0.00026041
     -2.2981e-05    -3.07251e-05
    -0.000508782    -0.000544476
     -4.3634e-05    -5.76214e-05
    -0.000495486    -0.000515329
     -0.00050586    -0.000499937
       -4.66e-05    -5.80238e-05
    -0.000997626    -0.000956414
    -0.000153511    -0.000166374
    -0.000795303    -0.000755969
    -0.000827983    -0.000832424
    -0.000100572     -0.00011621
    -0.000753562    -0.000763025
    -0.000592835    -0.000574263
    -0.000115349     -0.00013312
     -0.00045527    -0.000448962
      -2.877e-05    -3.82587e-05
     -5.9775e-05    -8.41673e-05
     -0.00114042     -0.00101373
    -0.000111703    -0.000126972
    -0.000419037    -0.000422156
