QM Energy	FF Energy
     -0.00166835     -0.00162978
     -0.00766856     -0.00708028
     -0.00125085     -0.00122535
     -0.00117596     -0.00110318
     -0.00342472      -0.0031771
     -0.00152491     -0.00150865
     -0.00195178     -0.00190341
     -0.00230337     -0.00237544
     -0.00376606      -0.0037572
     -0.00273943     -0.00269211
     -0.00194506     -0.00193831
     -0.00245923     -0.00243517
     -0.00625463     -0.00621667
     -0.00170159     -0.00170554
    -0.000792979    -0.000743353
     -0.00289095     -0.00285599
      -0.0039469     -0.00381857
     -0.00336014     -0.00338685
     -0.00334836     -0.00296916
     -0.00265028     -0.00250553
    -0.000824736    -0.000753854
     -0.00347988      -0.0031817
     -0.00305774     -0.00291109
     -0.00550053     -0.00512923
     -0.00203923     -0.00204302
     -0.00142114     -0.00145731
     -0.00117217     -0.00114792
     -0.00558407     -0.00539555
     -0.00633042     -0.00610307
     -0.00126771     -0.00127718
     -0.00360019     -0.00361628
     -0.00891766      -0.0087457
     -0.00616079     -0.00582204
      -0.0020884     -0.00198485
     -0.00747932     -0.00728264
     -0.00133733      -0.0012833
    -0.000997497    -0.000956626
     -0.00151041     -0.00144055
     -0.00130822     -0.00124152
     -0.00401721     -0.00356533
     -0.00508752     -0.00490555
     -0.00179635     -0.00169428
     -0.00414759     -0.00420631
     -0.00307041     -0.00306338
    -0.000692454     -0.00064049
     -0.00434056     -0.00406368
      -0.0019419     -0.00198085
     -0.00492984     -0.00451639
     -0.00511211     -0.00512692
      -0.0044961     -0.00418378
     -0.00406821     -0.00374536
     -0.00830171     -0.00779841
     -0.00140507     -0.00135792
     -0.00522848     -0.00489094
      -0.0102843      -0.0105098
      -0.0125282      -0.0124965
     -0.00457966     -0.00430474
     -0.00204172     -0.00194796
    -0.000959768    -0.000925441
     -0.00351856     -0.00345881
     -0.00315906     -0.00320982
     -0.00247405     -0.00250117
     -0.00189832     -0.00187684
     -0.00444577      -0.0043458
     -0.00191488     -0.00177309
      -0.0104119      -0.0103378
     -0.00968082     -0.00984292
     -0.00523075     -0.00489795
     -0.00214837     -0.00210249
      -0.0048239     -0.00473582
     -0.00366895     -0.00350073
      -0.0089307     -0.00878816
     -0.00137418     -0.00130362
     -0.00218779      -0.0020565
     -0.00186263     -0.00175976
       -0.010206     -0.00965631
     -0.00172672     -0.00160022
     -0.00110197     -0.00103554
     -0.00127957     -0.00119234
     -0.00173926     -0.00172601
     -0.00676434     -0.00681767
     -0.00360217       -0.003579
     -0.00310001     -0.00304814
     -0.00113314     -0.00107757
     -0.00188598     -0.00174991
     -0.00352286     -0.00356404
     -0.00219431      -0.0021077
     -0.00228198     -0.00228272
     -0.00160143     -0.00154988
     -0.00475748     -0.00486003
     -0.00212198     -0.00203127
     -0.00103748    -0.000994895
     -0.00197797     -0.00190542
     -0.00314135     -0.00309466
     -0.00417101     -0.00416851
     -0.00213088     -0.00202621
