QM Energy	FF Energy
    -0.000208142    -0.000209088
     -0.00683648     -0.00644591
    -0.000178424     -0.00017848
    -0.000224688    -0.000192144
     -0.00146016     -0.00155031
    -0.000132982    -0.000133541
    -0.000337446    -0.000332157
    -0.000441495    -0.000503632
    -0.000883495     -0.00100766
    -0.000763168    -0.000732853
    -0.000272761    -0.000278381
    -0.000444024    -0.000461039
      -0.0029793     -0.00309663
    -0.000162175    -0.000174203
     -9.2163e-05    -8.72244e-05
    -0.000819679    -0.000934655
     -0.00166885     -0.00188436
     -0.00104497     -0.00114143
     -0.00149812     -0.00163178
    -0.000882438    -0.000758691
       -4.85e-05    -5.50449e-05
      -0.0015484     -0.00161233
     -0.00126651     -0.00125977
     -0.00332576     -0.00339772
    -0.000262655    -0.000284367
    -0.000132556    -0.000153464
    -0.000122451    -0.000122496
     -0.00267002     -0.00296228
     -0.00356354     -0.00402246
     -9.1207e-05    -0.000102393
     -0.00129164     -0.00141409
      -0.0067524     -0.00706003
     -0.00449431     -0.00420729
    -0.000466008    -0.000451786
     -0.00400117     -0.00419239
    -0.000212956    -0.000201901
    -0.000142621    -0.000152244
    -0.000264511    -0.000252397
    -0.000144083    -0.000133642
     -0.00211845     -0.00232229
     -0.00229776     -0.00266066
     -0.00038553    -0.000367186
     -0.00146631     -0.00171258
      -0.0008639     -0.00100703
     -6.5027e-05    -6.16446e-05
     -0.00184335     -0.00201004
    -0.000234639    -0.000265014
     -0.00263374     -0.00276368
     -0.00207858     -0.00217597
     -0.00223998     -0.00219664
     -0.00250756     -0.00234807
     -0.00731461     -0.00668489
    -0.000223763    -0.000231047
     -0.00319291     -0.00287495
     -0.00609099     -0.00692633
     -0.00882908     -0.00964828
     -0.00191953     -0.00206655
    -0.000590789    -0.000586776
    -0.000108931    -0.000106169
     -0.00147545     -0.00158791
    -0.000585287    -0.000724807
    -0.000503003    -0.000548321
    -0.000375932     -0.00041845
     -0.00159701      -0.0016133
      -0.0005125     -0.00043946
     -0.00794277     -0.00850304
      -0.0063804     -0.00727041
     -0.00350153     -0.00327802
    -0.000451777    -0.000480618
     -0.00190495     -0.00206955
     -0.00171173     -0.00171514
     -0.00697024     -0.00781444
     -0.00014074    -0.000141571
    -0.000673587    -0.000656539
    -0.000417778    -0.000398536
     -0.00964846     -0.00951021
    -0.000308538    -0.000344845
    -0.000152567    -0.000144212
    -0.000284777    -0.000249826
    -0.000282578     -0.00030591
     -0.00388948     -0.00436926
      -0.0013707     -0.00137649
      -0.0008252    -0.000869939
    -0.000134197    -0.000124422
    -0.000589237    -0.000522467
     -0.00101602     -0.00114413
    -0.000389641    -0.000368202
    -0.000560287    -0.000617587
    -0.000360936    -0.000388868
     -0.00171244     -0.00194545
    -0.000504548    -0.000511301
    -0.000136276    -0.000122087
    -0.000365002    -0.000339498
     -0.00111822     -0.00116388
     -0.00141796     -0.00145642
    -0.000617038    -0.000624357
     -0.00104921     -0.00113146
    -0.000124172    -0.000104803
     -0.00100207     -0.00104122
     -0.00216339     -0.00227218
    -0.000237781    -0.000249235
    -0.000126074    -0.000105761
       -0.001684     -0.00178925
    -0.000169112    -0.000171483
    -0.000159529    -0.000189053
     -7.5239e-05    -7.24404e-05
     -4.8142e-05    -4.51857e-05
     -0.00230116     -0.00236614
     -0.00280236     -0.00311403
    -0.000219642    -0.000240498
     -7.3332e-05    -7.61983e-05
     -7.2531e-05     -6.7498e-05
     -5.1627e-05    -5.31079e-05
    -0.000283935    -0.000267953
    -0.000103454    -0.000104768
    -0.000276339    -0.000304531
    -0.000378108    -0.000423589
     -0.00253857     -0.00257476
    -0.000368696     -0.00034169
    -0.000633009     -0.00061872
     -7.1134e-05    -5.93936e-05
    -0.000166845    -0.000180848
      -0.0013789     -0.00139041
    -0.000199801    -0.000187874
    -0.000609755    -0.000626085
     -0.00498643     -0.00472257
    -0.000469692    -0.000461691
     -0.00424602     -0.00403328
    -0.000170643    -0.000184476
    -0.000588537    -0.000628306
    -0.000246395    -0.000256813
     -4.9268e-05    -4.39118e-05
    -0.000361507    -0.000331096
    -0.000895393    -0.000934255
    -0.000218676    -0.000262464
    -0.000118289    -0.000116937
    -0.000285687    -0.000262373
     -0.00206886     -0.00220613
     -0.00035577    -0.000335449
    -0.000823702    -0.000769311
    -0.000564609    -0.000534984
    -0.000589214    -0.000589373
    -0.000466215    -0.000485241
    -0.000171904    -0.000162731
      -0.0025644     -0.00252694
    -0.000181785    -0.000205002
    -0.000198246    -0.000200868
    -0.000124596    -0.000112765
    -0.000219669      -0.0002267
