QM Energy	FF Energy
     -1.5085e-05     -2.2938e-05
    -0.000646115     -0.00049957
      -9.009e-06     -1.3201e-05
     -1.4734e-05    -1.81449e-05
    -0.000236158     -0.00019496
     -1.1859e-05    -1.65458e-05
     -2.4433e-05    -3.32084e-05
     -2.7387e-05    -3.76395e-05
    -0.000116019    -0.000117953
     -3.2517e-05    -5.85356e-05
     -1.1368e-05    -2.32549e-05
     -2.6975e-05    -4.19455e-05
     -0.00025996    -0.000273463
     -1.1688e-05    -1.86755e-05
       -4.77e-06     -6.9514e-06
     -9.8532e-05    -9.77296e-05
    -0.000229996    -0.000202743
      -5.979e-05     -8.4925e-05
    -0.000296796     -0.00023265
     -3.5544e-05    -6.65905e-05
     -1.5613e-05    -1.46679e-05
    -0.000236341    -0.000202731
    -0.000102265    -0.000113704
    -0.000348336    -0.000320759
     -2.6975e-05    -3.22203e-05
      -9.194e-06    -1.28767e-05
      -6.925e-06    -1.08327e-05
    -0.000392246    -0.000319269
     -0.00044461    -0.000368881
      -5.325e-06    -9.00822e-06
     -7.5451e-05    -0.000101953
    -0.000539507    -0.000465721
    -0.000308419    -0.000321752
     -4.7164e-05    -5.47094e-05
    -0.000299387    -0.000342171
     -1.9061e-05    -2.17322e-05
      -8.432e-06    -1.16114e-05
     -2.7097e-05     -3.0082e-05
      -5.404e-06    -1.39736e-05
    -0.000415422    -0.000312685
    -0.000353816    -0.000295156
     -1.5782e-05      -3.153e-05
    -0.000119549    -0.000135516
     -9.4621e-05    -0.000100718
      -4.861e-06    -6.22068e-06
    -0.000315161    -0.000257762
      -1.244e-05     -2.0797e-05
    -0.000401294    -0.000324262
    -0.000173456    -0.000187559
    -0.000220609    -0.000226378
    -0.000185823    -0.000201211
    -0.000520506    -0.000470807
     -1.1719e-05    -1.92788e-05
    -0.000180447    -0.000238672
    -0.000430877    -0.000441743
    -0.000674042    -0.000663258
    -0.000280051     -0.00024386
     -6.1725e-05    -6.30983e-05
       -9.89e-06    -1.12453e-05
    -0.000112304    -0.000128296
     -8.4657e-05    -8.77859e-05
     -4.6069e-05    -5.34954e-05
     -3.0003e-05    -3.74609e-05
      -0.0001162    -0.000147892
     -3.4944e-05    -4.69789e-05
    -0.000617622    -0.000526065
    -0.000507773    -0.000444939
    -0.000198104    -0.000255383
     -5.8913e-05    -5.87984e-05
    -0.000179906    -0.000193115
    -0.000150184    -0.000156495
    -0.000737035    -0.000514378
     -2.1757e-05    -2.34217e-05
      -7.734e-05    -7.66094e-05
      -4.313e-05    -4.81184e-05
    -0.000886347    -0.000646609
     -6.8277e-05    -6.14153e-05
      -5.855e-06    -1.14895e-05
     -1.7721e-05    -2.20286e-05
     -1.5585e-05    -2.37326e-05
    -0.000298993    -0.000292685
     -8.3348e-05      -0.0001045
    -0.000100903    -0.000100219
     -1.3191e-05    -1.54862e-05
     -4.3056e-05    -5.11271e-05
     -9.7196e-05     -0.00010643
     -1.2486e-05    -3.52375e-05
     -3.9245e-05    -4.98799e-05
     -2.2032e-05    -3.04271e-05
    -0.000145693    -0.000159334
     -6.6394e-05    -6.49809e-05
     -1.0637e-05    -1.27149e-05
     -1.0799e-05     -2.9414e-05
     -6.5166e-05    -9.10714e-05
     -6.2205e-05    -0.000110715
     -5.7876e-05    -6.41352e-05
    -0.000147901    -0.000135511
      -7.326e-06    -1.15066e-05
     -7.7193e-05    -8.85078e-05
    -0.000184331    -0.000196303
     -1.5448e-05    -2.15361e-05
       -9.44e-06    -1.26277e-05
     -6.5155e-05    -0.000119535
     -1.7385e-05    -2.14517e-05
     -3.0575e-05    -3.10376e-05
     -1.5345e-05    -1.55854e-05
      -7.785e-06    -9.25232e-06
    -0.000175484     -0.00018282
    -0.000158746    -0.000203807
     -1.6952e-05    -2.21984e-05
      -3.617e-06    -7.22143e-06
     -1.2154e-05    -1.19058e-05
      -7.618e-06    -8.78872e-06
     -2.5696e-05    -2.85169e-05
       -6.56e-06    -1.21085e-05
     -4.3506e-05    -4.39917e-05
     -2.1658e-05    -3.36367e-05
    -0.000148166    -0.000188115
      -1.306e-05    -2.99084e-05
     -5.9413e-05    -7.27868e-05
      -8.179e-06    -1.03516e-05
      -1.601e-05    -1.97498e-05
    -0.000133427    -0.000133324
      -7.094e-06     -1.4749e-05
     -3.7237e-05    -5.54127e-05
    -0.000259207    -0.000336013
     -3.0491e-05     -4.0357e-05
    -0.000333038    -0.000322253
      -2.066e-05    -2.52808e-05
    -0.000108017    -9.75297e-05
     -3.1426e-05    -3.28697e-05
      -3.684e-06    -5.97481e-06
     -2.1457e-05    -2.94683e-05
    -0.000148466    -0.000126821
      -9.806e-06    -1.61188e-05
      -5.291e-06    -1.04052e-05
     -1.4971e-05    -2.21825e-05
    -0.000108096    -0.000151334
      -3.615e-05    -3.79763e-05
     -3.8193e-05    -6.13328e-05
     -3.7843e-05    -4.65816e-05
     -3.4932e-05    -4.95152e-05
      -3.792e-05    -4.58387e-05
     -1.3599e-05    -1.64958e-05
    -0.000204082    -0.000203886
     -1.1272e-05    -1.71861e-05
     -1.4566e-05    -1.90985e-05
      -5.391e-06     -8.6222e-06
     -1.3084e-05    -1.88166e-05
     -3.4783e-05     -4.3238e-05
     -1.3288e-05    -1.74757e-05
     -7.2357e-05     -9.0085e-05
    -0.000365101    -0.000377712
     -1.4724e-05    -2.14025e-05
    -0.000172628    -0.000209067
     -2.8782e-05    -4.67689e-05
      -4.647e-06    -7.99147e-06
    -0.000104003    -0.000101797
     -1.8231e-05    -3.12797e-05
     -9.6981e-05    -0.000119424
      -5.445e-06    -9.20022e-06
     -2.4653e-05    -2.56852e-05
     -8.5705e-05    -7.87729e-05
    -0.000235607    -0.000224087
     -1.8031e-05    -1.93964e-05
     -3.6371e-05    -5.31324e-05
     -2.5714e-05    -4.20304e-05
     -1.5809e-05    -1.78985e-05
     -5.8877e-05    -6.35154e-05
      -8.672e-06    -9.76504e-06
      -1.014e-05    -1.67094e-05
    -0.000194256     -0.00016402
    -0.000250263     -0.00024576
     -1.5569e-05    -2.12874e-05
     -4.5805e-05    -8.25897e-05
    -0.000106704    -0.000105002
     -3.8648e-05    -3.51103e-05
    -0.000111206    -0.000102991
      -9.603e-06    -1.20817e-05
    -0.000158221    -0.000199285
     -1.4345e-05    -2.16939e-05
    -0.000176861    -0.000191222
    -0.000165494    -0.000186379
     -1.7123e-05    -2.25935e-05
    -0.000339713    -0.000361678
     -3.8201e-05    -6.48556e-05
    -0.000383714    -0.000296457
    -0.000227213    -0.000311053
      -3.518e-05    -4.37026e-05
    -0.000186097    -0.000278318
    -0.000262923      -0.0002249
     -4.4312e-05    -5.23855e-05
    -0.000198424    -0.000173677
     -1.2365e-05    -1.48589e-05
     -1.9282e-05    -3.06968e-05
    -0.000480448     -0.00039593
     -3.7612e-05    -4.69923e-05
     -0.00016151    -0.000157294
     -1.1835e-05    -2.06449e-05
    -0.000124884    -0.000123178
     -6.3324e-05    -6.71216e-05
     -1.3764e-05    -1.73071e-05
    -0.000122498    -0.000153511
     -1.3527e-05    -2.26029e-05
     -4.2632e-05    -4.92624e-05
      -5.874e-06    -9.26991e-06
      -4.454e-06    -6.58327e-06
    -0.000387258    -0.000463626
    -0.000265621    -0.000325225
      -7.517e-06    -1.38534e-05
    -0.000320115    -0.000261876
     -6.8614e-05    -7.91288e-05
      -9.872e-06    -1.52345e-05
     -6.8875e-05    -9.40982e-05
    -0.000720086    -0.000522444
    -0.000142073    -0.000183768
    -0.000476067    -0.000415532
     -5.7904e-05    -9.77473e-05
     -2.0819e-05    -3.30404e-05
      -9.148e-06    -1.29886e-05
      -4.033e-05    -4.30381e-05
      -5.823e-06     -9.3721e-06
    -0.000446327    -0.000401747
      -5.427e-06    -9.65778e-06
     -2.2779e-05    -2.88341e-05
      -6.186e-06    -9.85427e-06
     -4.9662e-05    -0.000121038
    -0.000183215    -0.000197223
     -3.2043e-05    -3.87121e-05
     -1.7106e-05    -1.99891e-05
    -0.000380281    -0.000354332
      -4.914e-06    -7.21636e-06
    -0.000384898    -0.000376048
     -9.5262e-05    -9.78016e-05
    -0.000802601    -0.000594303
     -4.1151e-05    -4.69748e-05
    -0.000144206    -0.000132376
     -6.6536e-05     -0.00012598
     -2.0266e-05     -2.9129e-05
     -1.6416e-05    -2.85291e-05
    -0.000548597    -0.000451698
     -1.2864e-05    -2.03999e-05
     -1.3273e-05    -3.53015e-05
     -1.9183e-05    -1.99302e-05
      -5.168e-06    -7.88363e-06
       -7.38e-06    -1.00619e-05
     -1.7722e-05    -3.86316e-05
     -3.7126e-05    -3.61873e-05
     -2.2637e-05    -2.34273e-05
    -0.000156977    -0.000153079
    -0.000324797    -0.000262274
    -0.000225895    -0.000258969
     -7.1812e-05    -8.57422e-05
    -0.000472996    -0.000395079
    -0.000174844    -0.000177104
      -3.848e-06     -7.9259e-06
      -5.193e-05    -8.61371e-05
     -2.1738e-05     -2.7205e-05
     -1.9345e-05    -2.85247e-05
      -6.303e-06    -1.11299e-05
     -1.2484e-05    -2.51516e-05
      -5.614e-06    -7.74314e-06
     -5.6422e-05    -8.49799e-05
     -1.2357e-05    -1.36185e-05
     -2.7421e-05     -5.3445e-05
     -1.6133e-05    -2.50188e-05
    -0.000105906    -0.000145507
     -6.1353e-05    -7.84851e-05
      -6.464e-06    -8.98424e-06
    -0.000381834    -0.000306086
     -4.7721e-05    -7.83862e-05
     -1.6634e-05    -2.94872e-05
       -7.59e-06    -2.00673e-05
       -8.42e-06    -9.24142e-06
      -6.846e-06    -1.09868e-05
     -1.3241e-05    -2.42277e-05
     -3.3919e-05     -4.0345e-05
     -1.0913e-05    -1.10516e-05
     -1.2191e-05     -1.5392e-05
     -1.3612e-05    -2.25531e-05
     -2.1078e-05    -2.98151e-05
     -1.7229e-05     -2.2852e-05
      -5.765e-05    -7.82166e-05
    -0.000296412    -0.000329411
     -1.3947e-05    -1.48935e-05
     -1.7042e-05    -2.10749e-05
     -3.2624e-05     -5.5221e-05
      -5.904e-06     -1.0379e-05
     -4.9996e-05    -5.29196e-05
     -5.1018e-05    -6.07393e-05
     -4.6195e-05    -6.08381e-05
    -0.000205941    -0.000187364
    -0.000365519    -0.000329307
     -0.00091797    -0.000685923
     -2.0018e-05    -3.21431e-05
      -9.995e-06    -1.07572e-05
