QM Energy	FF Energy
    -0.000783513    -0.000747102
     -0.00756382     -0.00703197
    -0.000665496    -0.000638694
     -0.00464979     -0.00434214
    -0.000767183    -0.000703764
     -0.00231986     -0.00220349
     -0.00125623     -0.00122517
     -0.00110324     -0.00109894
     -0.00816018     -0.00762985
     -0.00527211     -0.00489709
    -0.000638598    -0.000636093
      -0.0022144     -0.00221383
     -0.00189466     -0.00185145
    -0.000569338    -0.000557327
    -0.000745778    -0.000744325
    -0.000734953    -0.000696214
    -0.000482026    -0.000436817
     -0.00454092      -0.0043035
    -0.000691487     -0.00066858
     -0.00138666     -0.00133275
    -0.000562009    -0.000525434
     -0.00213895     -0.00198296
     -0.00251949     -0.00240846
     -0.00183508     -0.00181424
     -0.00119191     -0.00116124
     -0.00104479     -0.00101735
    -0.000788974    -0.000775995
     -0.00360328     -0.00335473
     -0.00737608     -0.00697052
     -0.00340757     -0.00337743
     -0.00246377     -0.00240875
    -0.000725717     -0.00068086
     -0.00140126     -0.00137818
     -0.00374433     -0.00361904
    -0.000616671    -0.000592032
     -0.00069757    -0.000694062
     -0.00110271      -0.0011095
     -0.00112029     -0.00107039
    -0.000781468    -0.000775287
     -0.00861057     -0.00800665
     -0.00471871     -0.00459423
     -0.00123848     -0.00125033
     -0.00168469     -0.00167836
     -0.00143668     -0.00143465
     -0.00305654     -0.00300454
     -0.00322952     -0.00312769
     -0.00479507     -0.00459751
     -0.00660758     -0.00651412
     -0.00156305     -0.00149278
      -0.0027935      -0.0027303
      -0.0034516     -0.00331125
    -0.000757375    -0.000749284
     -0.00159039     -0.00156324
    -0.000974897    -0.000950299
     -0.00202857     -0.00201026
      -0.0070202     -0.00666906
      -0.0014701     -0.00143185
    -0.000498037    -0.000451787
     -0.00505567     -0.00489521
     -0.00496751     -0.00475477
     -0.00328718     -0.00318639
     -0.00110523      -0.0010847
       -0.001053      -0.0010172
     -0.00216017      -0.0021603
    -0.000981474    -0.000929255
     -0.00318211     -0.00311498
     -0.00112827     -0.00111096
      -0.0021345     -0.00209505
     -0.00119452     -0.00112381
     -0.00178134     -0.00170058
    -0.000870907    -0.000818223
     -0.00414086     -0.00403307
    -0.000512198    -0.000474085
     -0.00384326     -0.00358469
     -0.00148337     -0.00140269
     -0.00324944     -0.00319937
    -0.000584904    -0.000574976
    -0.000829855     -0.00081491
     -0.00352459     -0.00348196
     -0.00133655     -0.00128042
     -0.00276014     -0.00267398
     -0.00128426     -0.00121712
    -0.000659178     -0.00064006
     -0.00183697        -0.00182
     -0.00346955     -0.00332491
     -0.00154734     -0.00151186
     -0.00120984     -0.00117614
     -0.00535264     -0.00495637
     -0.00122358      -0.0011953
     -0.00619238     -0.00605249
     -0.00465842      -0.0043969
    -0.000900427    -0.000871972
    -0.000970215    -0.000933886
     -0.00346268     -0.00326484
     -0.00426041     -0.00420456
     -0.00204555     -0.00197747
     -0.00277482     -0.00272776
     -0.00100081    -0.000959341
     -0.00118854     -0.00117245
     -0.00452896     -0.00433263
     -0.00228212     -0.00206588
     -0.00708903     -0.00696196
    -0.000530151    -0.000518081
     -0.00253774     -0.00242813
     -0.00075375    -0.000702377
     -0.00490453     -0.00464929
     -0.00080496    -0.000806929
    -0.000733744    -0.000717319
     -0.00200457     -0.00193201
     -0.00137154     -0.00130942
     -0.00062736    -0.000586331
       -0.005498     -0.00516122
     -0.00231187      -0.0022576
     -0.00412192     -0.00393227
     -0.00177778     -0.00175372
     -0.00336673     -0.00325453
      -0.0039137     -0.00381432
     -0.00585891     -0.00561549
    -0.000953717    -0.000922206
    -0.000632936    -0.000635707
     -0.00157924      -0.0015688
    -0.000865568    -0.000843365
     -0.00129915     -0.00128251
     -0.00115098      -0.0011147
     -0.00221348     -0.00214665
     -0.00134497     -0.00125406
    -0.000742016    -0.000731893
     -0.00311699     -0.00300529
     -0.00707571      -0.0065375
      -0.0039937     -0.00393506
     -0.00336792     -0.00315381
     -0.00165646     -0.00161138
     -0.00510318     -0.00472313
     -0.00183258     -0.00179091
    -0.000988611    -0.000953481
    -0.000652653    -0.000625551
     -0.00266636     -0.00246559
     -0.00127925      -0.0012317
     -0.00238462     -0.00236088
    -0.000573518    -0.000544635
    -0.000888743    -0.000862735
     -0.00131135     -0.00127667
     -0.00163613     -0.00159736
     -0.00481253     -0.00466054
    -0.000827469    -0.000788132
     -0.00242079     -0.00239849
     -0.00482062     -0.00457458
     -0.00231951      -0.0020911
      -0.0034676     -0.00341772
      -0.0037233     -0.00365862
    -0.000669959    -0.000655105
    -0.000599348    -0.000599516
     -0.00442432     -0.00430409
     -0.00515539     -0.00495982
     -0.00170284     -0.00166038
     -0.00130481     -0.00130731
     -0.00377347     -0.00355585
     -0.00431863     -0.00394252
    -0.000609397    -0.000603065
     -0.00536088     -0.00500959
     -0.00146516     -0.00144431
     -0.00359826     -0.00350703
    -0.000773705    -0.000752523
    -0.000805308    -0.000776173
     -0.00691402     -0.00679824
     -0.00198245     -0.00192278
     -0.00148016     -0.00147906
      -0.0021812     -0.00208737
     -0.00516319     -0.00514161
     -0.00291806     -0.00280123
     -0.00513314     -0.00484109
     -0.00113356      -0.0011019
     -0.00130763     -0.00130841
     -0.00117636     -0.00116115
      -0.0009429    -0.000897237
     -0.00156148     -0.00155932
    -0.000661005    -0.000623793
     -0.00178403     -0.00172628
     -0.00268034     -0.00262945
