QM Energy	FF Energy
    -0.000151134    -0.000159973
     -0.00774815     -0.00838686
    -0.000109292    -0.000114236
     -0.00342726     -0.00347245
     -2.6636e-05    -3.57351e-05
     -0.00107676     -0.00121076
    -0.000321403    -0.000359613
    -0.000143339    -0.000139569
     -0.00739298     -0.00727047
      -0.0043895     -0.00495696
     -2.9841e-05    -1.28419e-05
    -0.000630123    -0.000688128
    -0.000435052    -0.000420332
      -6.144e-05    -7.41423e-05
      -3.677e-05    -4.17504e-06
     -3.7409e-05    -3.07714e-05
           7e-06     8.67117e-06
     -0.00245991     -0.00231174
     -8.6712e-05     -9.0936e-05
    -0.000215386      -0.0002164
     -4.9239e-05    -4.99257e-05
    -0.000734855    -0.000832591
     -0.00122428      -0.0013302
    -0.000515233    -0.000554282
    -0.000237947    -0.000244629
    -0.000257279    -0.000317552
      -9.298e-05    -0.000104268
     -0.00208755     -0.00218979
     -0.00664034     -0.00637796
     -0.00152332     -0.00148575
    -0.000695155    -0.000660671
     -7.4303e-05    -8.02704e-05
    -0.000282205    -0.000314916
     -0.00178932     -0.00176317
     -8.4021e-05    -0.000103661
     -8.4311e-05    -0.000117206
    -0.000109747    -7.53776e-05
     -0.00027741    -0.000308302
     -9.8313e-05    -0.000129286
      -0.0085745      -0.0080356
     -0.00298469     -0.00309992
    -0.000141332    -9.89785e-05
    -0.000304893     -0.00028283
    -0.000305203     -0.00036919
     -0.00142428     -0.00154689
      -0.0013818      -0.0014063
     -0.00277827     -0.00269869
     -0.00445691     -0.00433182
    -0.000538947    -0.000588887
     -0.00125508     -0.00125801
     -0.00174339     -0.00176334
     -5.7629e-05     -4.9596e-05
    -0.000429192     -0.00048653
    -0.000121327    -0.000108507
    -0.000511671    -0.000538373
     -0.00579855     -0.00546251
    -0.000228355    -0.000209962
       3.374e-06     4.18955e-06
      -0.0033728     -0.00354714
     -0.00362919     -0.00375345
     -0.00193497     -0.00214305
    -0.000225547    -0.000246493
    -0.000188215    -0.000199482
    -0.000750324    -0.000927696
    -0.000195706    -0.000223474
     -0.00153996     -0.00159978
     -0.00013983    -0.000128542
    -0.000695386    -0.000696754
    -0.000269048    -0.000291694
    -0.000532971    -0.000576422
    -0.000143743     -0.00016633
     -0.00231025     -0.00233875
     -1.2102e-05    -1.08383e-05
     -0.00253911     -0.00292753
    -0.000248172    -0.000258141
     -0.00142532      -0.0015047
      -7.579e-05    -0.000103251
    -0.000118087    -0.000143938
     -0.00180801     -0.00201808
    -0.000320579    -0.000335451
      -0.0013813     -0.00143406
    -0.000300853    -0.000327732
     -8.8214e-05    -0.000105116
    -0.000509561    -0.000563019
      -0.0017439     -0.00180115
    -0.000365913    -0.000386461
    -0.000158926    -0.000148164
      -0.0046658      -0.0048101
    -0.000141993    -0.000128558
     -0.00428796     -0.00428482
     -0.00353317     -0.00369189
    -0.000167236    -0.000203386
    -0.000223235    -0.000235916
     -0.00146522     -0.00149807
     -0.00237454     -0.00244703
    -0.000479035    -0.000444248
    -0.000949318    -0.000952973
    -0.000143808    -0.000152915
    -0.000229469    -0.000254577
     -0.00289343      -0.0027753
    -0.000783976    -0.000979006
     -0.00532345     -0.00525059
     -6.4847e-05    -9.11849e-05
     -0.00126225     -0.00132357
     -4.3943e-05    -4.49387e-05
     -0.00384735     -0.00432391
     -7.0135e-05    -7.49986e-05
     -3.6929e-05    -2.08148e-05
    -0.000682966    -0.000702798
    -0.000412167     -0.00047533
     -2.9115e-05    -2.80236e-05
     -0.00460307     -0.00456891
    -0.000974876     -0.00104559
     -0.00283208     -0.00280887
    -0.000610644    -0.000768195
     -0.00137133     -0.00136662
     -0.00222705     -0.00236329
     -0.00427783     -0.00434484
    -0.000199529    -0.000205605
     -1.1998e-05     8.77602e-06
    -0.000454138    -0.000580131
     -7.5536e-05     -7.3167e-05
    -0.000249217    -0.000252303
    -0.000258471      -0.0003088
    -0.000978619     -0.00103869
    -0.000276422    -0.000315242
     -0.00013702    -0.000199897
     -0.00120601     -0.00113229
     -0.00652539     -0.00631091
       -0.001937     -0.00189666
     -0.00211119     -0.00225281
    -0.000430684    -0.000462451
     -0.00432174     -0.00461837
     -0.00047127    -0.000438133
    -0.000109499    -0.000111155
    -0.000103606    -0.000125507
     -0.00121242     -0.00138768
    -0.000373492    -0.000387192
    -0.000812631    -0.000809963
     -8.1224e-05    -9.61403e-05
    -0.000107211    -0.000117236
    -0.000177156    -0.000165223
    -0.000495822    -0.000515119
     -0.00325865     -0.00345483
    -0.000152639    -0.000175072
    -0.000904296     -0.00104236
     -0.00334929     -0.00331147
    -0.000827254     -0.00103768
     -0.00144778     -0.00137939
      -0.0023079     -0.00287398
     -5.7463e-05    -5.61635e-05
     -2.9923e-05    -3.10694e-05
     -0.00242875     -0.00249203
     -0.00309177     -0.00300175
    -0.000543853    -0.000590152
    -0.000209377    -0.000223069
     -0.00258023     -0.00286496
     -0.00301675     -0.00318852
     -3.0454e-05    -2.43631e-05
     -0.00319964     -0.00299039
    -0.000446065    -0.000548272
     -0.00214405     -0.00238537
     -3.3357e-05    -2.38195e-05
    -0.000150095    -0.000173368
     -0.00500255     -0.00471392
    -0.000481535     -0.00045299
    -0.000358275    -0.000450644
     -0.00096436     -0.00103385
     -0.00301216     -0.00309784
     -0.00161835     -0.00164084
     -0.00412886     -0.00444676
    -0.000141618    -0.000132781
    -0.000205893     -0.00015188
    -0.000153836    -0.000159723
    -0.000209197    -0.000216403
    -0.000396814    -0.000482759
     -1.5252e-05    -1.06164e-05
    -0.000677524    -0.000727379
     -0.00117232     -0.00115415
     -0.00477584     -0.00510318
    -0.000979753     -0.00112372
     -4.6517e-05    -1.02739e-05
     -0.00010322    -0.000107753
    -0.000136758    -0.000168522
     -9.1426e-05    -7.76199e-05
    -0.000211089    -0.000245656
     -0.00110147     -0.00114847
     -0.00126833      -0.0011501
     -0.00112154     -0.00114118
     -0.00120682     -0.00131359
     -0.00525646     -0.00507234
     -0.00619968     -0.00609407
     -0.00141024     -0.00144337
    -0.000277341     -0.00026521
    -0.000775567     -0.00076452
     -7.8925e-05     -0.00011065
     -0.00024154    -0.000287602
     -2.1616e-05    -3.72129e-06
      -9.915e-06    -8.38107e-06
    -0.000439958     -0.00041016
    -0.000279945    -0.000327972
    -0.000756947    -0.000862845
    -0.000239618    -0.000260014
    -0.000389593    -0.000378754
     -0.00376411     -0.00387792
     -0.00377586     -0.00449446
    -0.000369328    -0.000422622
     -0.00108535     -0.00131834
     -0.00316045     -0.00327912
     -0.00269723     -0.00278671
    -0.000994509     -0.00108982
    -0.000106456    -0.000114364
    -0.000229435    -0.000161589
    -0.000404088    -0.000437652
       -7.24e-07    -5.84949e-06
      -0.0038354     -0.00428415
    -0.000169694    -0.000198316
    -0.000103429    -0.000130127
    -0.000362522     -0.00035588
    -0.000759945    -0.000869283
     -1.7909e-05    -2.23668e-06
    -0.000544859    -0.000621802
     -0.00152231     -0.00155958
     -0.00364532        -0.00357
     -0.00298376     -0.00287696
     -0.00021843    -0.000266726
    -0.000498083    -0.000580178
     -0.00159079      -0.0016547
     -7.0117e-05    -2.77257e-05
     -6.2958e-05    -7.26184e-05
     -0.00350537     -0.00339724
     -0.00812106     -0.00812805
    -0.000170757    -0.000209384
    -0.000122775    -0.000129284
    -0.000339901    -0.000403285
     -0.00051588    -0.000626121
     -8.7438e-05    -0.000100536
     -0.00043778    -0.000516767
     -6.9612e-05     -5.6526e-05
    -0.000235083    -0.000246487
     -0.00801755     -0.00769762
     -0.00146139     -0.00159011
    -0.000140815    -0.000129744
     -0.00233935      -0.0022997
     -0.00053891    -0.000616488
     -0.00108894     -0.00106682
    -0.000386278    -0.000397509
     -0.00117817     -0.00133779
     -0.00221326     -0.00224656
    -0.000227638    -0.000252448
     -8.6787e-05     -7.0082e-05
     -0.00280324     -0.00274189
     -0.00135505      -0.0014399
    -0.000611922    -0.000623477
    -0.000126382    -9.98292e-05
    -0.000904914    -0.000927641
    -0.000142661    -0.000150766
     -0.00205445     -0.00213849
     -7.4569e-05    -0.000100486
     -0.00221379     -0.00224448
    -0.000165582     -0.00016745
     -0.00123068     -0.00118901
    -0.000292104    -0.000307659
     -0.00500696      -0.0056488
     -0.00138158     -0.00135168
     -0.00028577    -0.000274211
    -0.000888648     -0.00102547
     -0.00427797     -0.00425522
     -0.00153769     -0.00161331
     -5.9284e-05     -6.1794e-05
     -7.9122e-05    -8.37372e-05
    -0.000542964    -0.000618107
     -8.5329e-05    -6.66031e-05
      -0.0021179     -0.00238391
    -0.000746742    -0.000712148
     -0.00529246      -0.0052295
     -0.00380258     -0.00381281
    -0.000181387      -0.0001762
