QM Energy	FF Energy
    -0.000269052    -0.000278805
    -0.000140581     -0.00016318
     -2.2689e-05    -2.76738e-05
     -0.00039741    -0.000427776
      -0.0011022     -0.00096137
    -0.000148351    -0.000168356
     -2.5645e-05    -3.35273e-05
    -0.000118978    -0.000141037
    -0.000303228    -0.000317505
    -0.000102529     -0.00012047
     -6.2227e-05    -7.31439e-05
     -1.6462e-05    -2.29602e-05
    -0.000702871    -0.000620211
    -0.000247515    -0.000277833
     -2.6124e-05    -3.50525e-05
    -0.000754325    -0.000703596
     -3.8614e-05    -5.30465e-05
     -0.00119781     -0.00118198
    -0.000341895    -0.000357745
     -0.00111437     -0.00116479
     -4.4558e-05     -5.4111e-05
    -0.000121025     -0.00013784
    -0.000729128    -0.000691546
     -2.1912e-05    -3.02532e-05
     -0.00105478     -0.00101671
     -0.00161733      -0.0015453
     -6.1323e-05    -7.22002e-05
    -0.000507431    -0.000520197
      -0.0003582    -0.000361072
    -0.000322559    -0.000360169
     -0.00090094    -0.000916138
     -5.3416e-05    -6.27435e-05
    -0.000968938    -0.000912762
    -0.000363734    -0.000377434
    -0.000623974    -0.000600668
    -0.000136462    -0.000147056
     -3.7734e-05    -5.05646e-05
    -0.000837912    -0.000786726
     -1.3465e-05    -1.78983e-05
     -0.00109553     -0.00105487
    -0.000595861    -0.000584526
      -3.557e-05    -4.22167e-05
     -4.7029e-05    -5.35483e-05
     -3.7853e-05    -4.81544e-05
      -8.002e-05     -9.9611e-05
    -0.000815276    -0.000758374
    -0.000178095    -0.000195795
     -7.7466e-05    -8.91407e-05
     -8.6811e-05     -9.5587e-05
     -3.9605e-05    -5.10463e-05
     -0.00134537     -0.00138447
     -2.4355e-05    -3.10725e-05
    -0.000970825    -0.000912073
    -0.000638817    -0.000589732
    -0.000108178    -0.000123071
     -0.00185958     -0.00200209
    -0.000336397    -0.000345196
     -4.9037e-05    -6.14245e-05
    -0.000203948    -0.000216146
    -0.000151753    -0.000184942
    -0.000707169    -0.000692122
      -2.313e-05    -2.85683e-05
    -0.000599696     -0.00057906
     -3.7938e-05    -4.88419e-05
