QM Energy	FF Energy
     -0.00356303      -0.0034321
     -0.00275423      -0.0027162
     -0.00105857    -0.000998197
     -0.00531878      -0.0052702
     -0.00641376     -0.00595698
     -0.00313406     -0.00303788
     -0.00141465     -0.00138038
     -0.00292911     -0.00284725
     -0.00408585     -0.00396716
     -0.00280193     -0.00275062
     -0.00181816     -0.00173644
     -0.00125235     -0.00119203
     -0.00539225     -0.00515316
     -0.00364086     -0.00357366
     -0.00139636     -0.00134193
     -0.00535273     -0.00508694
     -0.00203791     -0.00205174
      -0.0106108       -0.010503
     -0.00407341     -0.00393279
      -0.0101677     -0.00987596
     -0.00157483     -0.00148023
     -0.00285715     -0.00277389
     -0.00472437     -0.00434363
     -0.00145611     -0.00143828
     -0.00749498     -0.00730703
      -0.0113209      -0.0112572
     -0.00171805     -0.00159948
     -0.00493954     -0.00462709
     -0.00463649     -0.00453944
     -0.00500755     -0.00514532
     -0.00760814     -0.00755707
     -0.00150509     -0.00137528
     -0.00630438     -0.00597576
     -0.00437663     -0.00430461
      -0.0048153     -0.00448092
     -0.00288145     -0.00277747
     -0.00170719     -0.00168155
     -0.00597171     -0.00564564
    -0.000954323    -0.000884155
     -0.00857181     -0.00816209
     -0.00452213     -0.00413795
      -0.0016849     -0.00160411
     -0.00167413     -0.00157942
        -0.00154     -0.00147097
     -0.00240009     -0.00232982
     -0.00535075     -0.00493515
     -0.00316588     -0.00303619
     -0.00221785     -0.00210352
     -0.00177815     -0.00163158
     -0.00166811     -0.00159019
      -0.0104961      -0.0100894
     -0.00132352     -0.00123937
     -0.00640956     -0.00591401
     -0.00519874     -0.00491588
     -0.00245698     -0.00240947
      -0.0143388      -0.0137555
     -0.00418674     -0.00404439
     -0.00194163     -0.00189718
     -0.00260543     -0.00245466
     -0.00346343     -0.00345894
     -0.00590724     -0.00570272
     -0.00112634     -0.00107483
     -0.00501579     -0.00474319
     -0.00202843     -0.00196694
      -0.0088947     -0.00877132
     -0.00180886      -0.0017223
     -0.00143404      -0.0013204
      -0.0089658     -0.00871186
     -0.00114358       -0.001106
     -0.00133591     -0.00123816
     -0.00222521     -0.00206624
     -0.00200132     -0.00194517
     -0.00428899     -0.00406431
     -0.00563565     -0.00544361
     -0.00223341     -0.00217374
     -0.00161321     -0.00154077
     -0.00214919     -0.00200292
     -0.00910034     -0.00874801
     -0.00907346     -0.00872917
     -0.00159632     -0.00151733
     -0.00200864     -0.00190729
     -0.00249063     -0.00236519
     -0.00363584     -0.00361371
     -0.00227066      -0.0021247
     -0.00649608     -0.00663944
      -0.0125054      -0.0125726
     -0.00209791     -0.00199883
     -0.00210691     -0.00201397
     -0.00482775     -0.00457614
     -0.00255565      -0.0024773
     -0.00349712     -0.00343122
     -0.00809183     -0.00811171
     -0.00183532     -0.00174759
     -0.00306377     -0.00284726
     -0.00723054     -0.00724162
     -0.00581559     -0.00521931
     -0.00181724     -0.00174537
     -0.00173425     -0.00166002
     -0.00316939     -0.00314974
     -0.00180567      -0.0017313
     -0.00393499     -0.00374301
     -0.00209329     -0.00203472
     -0.00859716     -0.00855614
     -0.00138441     -0.00129805
      -0.0071803     -0.00723818
     -0.00350563     -0.00320798
     -0.00567275     -0.00559861
     -0.00149724     -0.00143144
     -0.00193787     -0.00193031
     -0.00485739      -0.0047987
      -0.0041489      -0.0037981
     -0.00527318     -0.00507625
      -0.0075162     -0.00737385
     -0.00137294     -0.00133104
     -0.00406332     -0.00374664
     -0.00381085     -0.00373229
     -0.00123904     -0.00119321
     -0.00284457     -0.00259617
     -0.00367302     -0.00354529
     -0.00554147     -0.00506169
      -0.0022111     -0.00201725
     -0.00542124     -0.00539144
      -0.0014147     -0.00133929
     -0.00231039     -0.00217636
     -0.00450657     -0.00428582
     -0.00449462     -0.00435397
      -0.0017862     -0.00172589
     -0.00140316     -0.00132769
     -0.00271225     -0.00270693
     -0.00198244     -0.00188974
     -0.00169772     -0.00161665
     -0.00331399     -0.00317972
     -0.00339964      -0.0033011
     -0.00506912     -0.00501712
     -0.00356817     -0.00317225
     -0.00328607      -0.0032078
     -0.00117508      -0.0011202
     -0.00288853     -0.00268732
      -0.0020199     -0.00193568
     -0.00245082     -0.00220612
     -0.00216441      -0.0021457
     -0.00232961     -0.00237507
     -0.00697656      -0.0064673
      -0.0020334     -0.00199082
     -0.00105017    -0.000960505
     -0.00808304     -0.00791361
     -0.00124993     -0.00122737
     -0.00116987     -0.00107178
     -0.00631329     -0.00613231
     -0.00894228     -0.00873283
      -0.0154387      -0.0151336
     -0.00607884     -0.00565098
     -0.00295312     -0.00280793
     -0.00522525     -0.00511229
     -0.00119332     -0.00118273
     -0.00442894     -0.00444913
     -0.00247379     -0.00228784
     -0.00439347      -0.0041906
     -0.00490073     -0.00461657
     -0.00765236     -0.00782345
      -0.0105025      -0.0101999
     -0.00830424     -0.00816985
     -0.00821428     -0.00807814
     -0.00105896    -0.000958788
