QM Energy	FF Energy
     -6.2501e-05    -0.000104996
     -4.9051e-05    -6.12513e-05
      -9.744e-06    -1.07382e-05
    -0.000123464     -0.00016123
    -0.000422217    -0.000382715
     -4.2046e-05    -6.55063e-05
      -8.505e-06     -1.3162e-05
     -3.3399e-05    -5.49501e-05
     -9.6457e-05    -0.000119765
     -2.5926e-05    -4.65791e-05
     -2.4393e-05     -2.9305e-05
      -5.735e-06    -9.87434e-06
    -0.000217101    -0.000249145
      -8.428e-05    -0.000102824
      -9.096e-06    -1.42839e-05
    -0.000325759    -0.000267195
     -1.4831e-05    -2.01676e-05
    -0.000321142    -0.000447925
    -0.000146971    -0.000138459
    -0.000258377    -0.000444757
      -2.175e-05    -2.21634e-05
     -3.4336e-05    -5.43851e-05
    -0.000285104    -0.000260255
      -7.349e-06    -1.17429e-05
    -0.000454049    -0.000389719
    -0.000659796    -0.000589287
     -1.9126e-05    -2.81287e-05
    -0.000129354    -0.000192794
    -0.000104252    -0.000139537
    -0.000102239    -0.000128372
    -0.000321467    -0.000335208
     -2.7715e-05    -2.61785e-05
     -0.00038241    -0.000345583
    -0.000110855    -0.000138116
    -0.000225579    -0.000238648
     -2.8322e-05    -5.99696e-05
     -1.4161e-05    -1.87435e-05
     -0.00030148    -0.000287689
      -4.596e-06    -7.13353e-06
    -0.000278293    -0.000406655
    -0.000232981    -0.000226992
     -1.0078e-05    -1.65657e-05
     -1.1696e-05    -2.54299e-05
     -1.4777e-05     -1.8871e-05
     -2.4675e-05    -3.82906e-05
    -0.000381346    -0.000303495
     -4.0445e-05    -7.55185e-05
     -2.5855e-05    -3.46686e-05
     -3.3531e-05    -3.64416e-05
     -1.4851e-05    -1.94267e-05
    -0.000461865    -0.000514457
      -1.171e-05    -1.26975e-05
    -0.000317115    -0.000348833
    -0.000169036    -0.000234583
     -4.3155e-05    -4.68723e-05
      -0.0007236    -0.000769184
     -9.3553e-05    -0.000129581
     -1.4538e-05    -2.25384e-05
      -9.483e-05    -8.67321e-05
     -5.0065e-05    -6.88805e-05
    -0.000228217    -0.000258306
      -9.423e-06    -1.15899e-05
     -0.00020071    -0.000222732
      -9.974e-06    -1.89981e-05
    -0.000297566    -0.000362554
     -2.6253e-05     -2.6844e-05
     -1.8836e-05    -1.98687e-05
    -0.000587555     -0.00049434
      -6.251e-06    -9.35231e-06
      -9.885e-06    -1.39426e-05
     -7.5778e-05    -7.14719e-05
     -2.4589e-05    -2.64059e-05
     -9.2351e-05    -0.000132997
    -0.000218285    -0.000257001
     -2.6542e-05    -3.60778e-05
     -1.7146e-05    -2.24756e-05
     -2.7019e-05    -4.56569e-05
    -0.000612995    -0.000525818
    -0.000238751    -0.000382115
      -7.292e-06    -1.89271e-05
     -1.4753e-05      -2.781e-05
     -2.9976e-05    -3.63655e-05
     -6.8786e-05    -8.91025e-05
     -3.2831e-05    -5.31977e-05
    -0.000103681    -0.000173217
    -0.000678311    -0.000644641
     -2.9888e-05    -3.36946e-05
     -2.6143e-05    -3.36575e-05
    -0.000214075    -0.000211414
      -2.786e-05    -3.53462e-05
     -6.5098e-05    -8.74219e-05
    -0.000425906    -0.000373579
     -2.1497e-05    -3.06124e-05
     -7.9932e-05    -8.11421e-05
    -0.000212809    -0.000258781
    -0.000423492    -0.000371839
     -1.6923e-05    -2.48526e-05
     -1.1537e-05    -1.85561e-05
     -4.3954e-05    -5.87635e-05
     -1.8624e-05    -2.56319e-05
    -0.000169036    -0.000163305
     -1.4154e-05    -2.06375e-05
    -0.000293349    -0.000360382
     -1.9537e-05    -1.90871e-05
    -0.000193997    -0.000256673
    -0.000190832    -0.000166204
    -0.000122499    -0.000184395
      -8.031e-06    -1.37589e-05
     -1.6757e-05    -2.09646e-05
     -5.1434e-05    -0.000133892
    -0.000166334     -0.00018859
    -0.000232888    -0.000227404
    -0.000367478     -0.00034701
       -9.59e-06    -1.21973e-05
    -0.000142242    -0.000153689
     -7.5949e-05     -0.00010178
      -6.347e-06    -1.01819e-05
     -8.3116e-05    -9.77273e-05
     -7.9651e-05    -0.000118472
    -0.000264634     -0.00029091
    -0.000101538     -8.6741e-05
    -0.000183573    -0.000186883
       -9.82e-06    -1.39482e-05
     -2.9719e-05    -4.67918e-05
     -9.7127e-05    -0.000164565
    -0.000226208     -0.00019293
     -2.1003e-05    -2.54253e-05
       -7.77e-06    -1.05991e-05
     -2.4359e-05    -3.92412e-05
     -1.9624e-05    -3.24879e-05
     -2.5571e-05    -2.70127e-05
     -4.4032e-05    -8.61898e-05
     -7.3746e-05    -9.56104e-05
      -9.867e-05    -0.000149687
    -0.000264415    -0.000214148
     -4.3823e-05    -7.40976e-05
      -4.608e-06    -7.79467e-06
     -8.6852e-05    -9.02775e-05
     -1.7839e-05    -2.67795e-05
     -9.2559e-05    -8.75979e-05
       -9.63e-06    -2.07748e-05
     -1.5608e-05    -2.30808e-05
    -0.000307438    -0.000377004
     -1.6059e-05    -2.39118e-05
      -7.048e-06    -1.04367e-05
    -0.000230512    -0.000353481
       -4.78e-06    -8.09929e-06
     -1.7385e-05    -1.63955e-05
    -0.000227405     -0.00026209
    -0.000326754    -0.000395181
     -0.00110436    -0.000801064
     -0.00038255    -0.000356305
     -5.9507e-05    -8.52384e-05
     -9.6409e-05    -0.000158124
      -8.592e-06    -8.70352e-06
     -9.2251e-05    -0.000113126
     -5.9867e-05    -7.02497e-05
     -7.8549e-05     -0.00013563
    -0.000297549    -0.000248823
    -0.000170909    -0.000239648
     -0.00063345    -0.000576486
    -0.000422511    -0.000405555
    -0.000381331    -0.000390749
     -1.1555e-05     -1.2768e-05
    -0.000145657    -0.000183024
     -1.0002e-05    -1.33736e-05
    -0.000202625    -0.000188472
     -1.4281e-05    -2.20132e-05
      -9.959e-06    -1.26166e-05
     -2.2509e-05    -2.15534e-05
     -1.4313e-05    -1.79458e-05
     -9.2221e-05    -0.000145183
      -4.874e-06    -7.16526e-06
     -2.3884e-05     -2.9034e-05
    -0.000405308    -0.000343787
     -1.2015e-05    -1.31032e-05
      -7.753e-06    -1.23819e-05
       -9.99e-06    -1.29261e-05
      -6.312e-06     -9.4183e-06
     -7.8707e-05    -0.000111981
     -2.6872e-05    -3.11725e-05
    -0.000524032    -0.000494534
      -7.589e-05    -0.000116083
     -1.2632e-05    -2.19723e-05
     -4.8554e-05    -5.46256e-05
      -5.337e-05     -6.9192e-05
    -0.000236331    -0.000298627
     -6.1081e-05    -5.41069e-05
    -0.000654541    -0.000522947
      -4.704e-05    -5.46796e-05
      -2.837e-05    -2.78714e-05
     -2.0569e-05     -2.1638e-05
     -5.3382e-05    -5.55168e-05
    -0.000334984    -0.000274659
