# Eelst 		 Emultipole 
     -0.00020814       0.00003807
     -0.00683648      -0.00020228
     -0.00017842      -0.00003777
     -0.00022469      -0.00002663
     -0.00146016       0.00005497
     -0.00013298       0.00004153
     -0.00033745       0.00001669
     -0.00044150      -0.00005703
     -0.00088349       0.00015104
     -0.00076317      -0.00001409
     -0.00027276       0.00002153
     -0.00044402       0.00003960
     -0.00297930       0.00002212
     -0.00016218       0.00003842
     -0.00009216      -0.00002476
     -0.00081968      -0.00001308
     -0.00166885       0.00001181
     -0.00104497      -0.00005640
     -0.00149812       0.00012300
     -0.00088244       0.00002572
     -0.00004850       0.00004018
     -0.00154840       0.00009163
     -0.00126651      -0.00009602
     -0.00332576       0.00008618
     -0.00026266       0.00002817
     -0.00013256      -0.00001359
     -0.00012245      -0.00000899
     -0.00267002       0.00011877
     -0.00356354       0.00006169
     -0.00009121       0.00000063
     -0.00129164      -0.00010064
     -0.00675240      -0.00017354
     -0.00449431      -0.00010247
     -0.00046601       0.00005827
     -0.00400117       0.00031093
     -0.00021296      -0.00000749
     -0.00014262      -0.00004540
     -0.00026451       0.00001199
     -0.00014408       0.00002581
     -0.00211845       0.00010272
     -0.00229776       0.00013588
     -0.00038553      -0.00001013
     -0.00146631      -0.00007688
     -0.00086390       0.00001472
     -0.00006503      -0.00001104
     -0.00184335       0.00016793
     -0.00023464      -0.00000737
     -0.00263374       0.00013148
     -0.00207858      -0.00003811
     -0.00223998       0.00014686
     -0.00250756      -0.00015153
     -0.00731461      -0.00018874
     -0.00022376      -0.00002587
     -0.00319291       0.00009823
     -0.00609099       0.00003331
     -0.00882908       0.00005206
     -0.00191953       0.00017046
     -0.00059079      -0.00002338
     -0.00010893      -0.00001130
     -0.00147545      -0.00015094
     -0.00058529       0.00012102
     -0.00050300       0.00000687
     -0.00037593      -0.00002950
     -0.00159701       0.00010129
     -0.00051250       0.00003038
     -0.00794277      -0.00007995
     -0.00638040      -0.00010422
     -0.00350153      -0.00011581
     -0.00045178       0.00003098
     -0.00190495       0.00008363
     -0.00171173      -0.00010598
     -0.00697024      -0.00032445
     -0.00014074       0.00005293
     -0.00067359       0.00000441
     -0.00041778       0.00003265
     -0.00964846      -0.00020562
     -0.00030854       0.00009489
     -0.00015257      -0.00002343
     -0.00028478      -0.00004191
     -0.00028258      -0.00003740
     -0.00388948      -0.00019213
     -0.00137070      -0.00008689
     -0.00082520       0.00005649
     -0.00013420       0.00001100
     -0.00058924      -0.00003022
     -0.00101602       0.00001253
     -0.00038964       0.00010318
     -0.00056029      -0.00005839
     -0.00036094      -0.00007867
     -0.00171244      -0.00001673
     -0.00050455       0.00003357
     -0.00013628      -0.00000811
     -0.00036500       0.00003637
     -0.00111822      -0.00007006
     -0.00141796       0.00006058
     -0.00061704      -0.00002836
     -0.00104921       0.00004711
     -0.00012417       0.00000832
     -0.00100207      -0.00006817
     -0.00216339      -0.00009009
     -0.00023778      -0.00002907
     -0.00012607       0.00000920
     -0.00168400      -0.00003061
     -0.00016911       0.00003152
     -0.00015953       0.00006048
     -0.00007524       0.00004118
     -0.00004814       0.00003084
     -0.00230116      -0.00015181
     -0.00280236      -0.00014578
     -0.00021964      -0.00001044
     -0.00007333       0.00000623
     -0.00007253       0.00001458
     -0.00005163       0.00001865
     -0.00028393      -0.00001465
     -0.00010345       0.00003405
     -0.00027634       0.00006100
     -0.00037811      -0.00000779
     -0.00253857      -0.00020877
     -0.00036870       0.00000756
     -0.00063301       0.00011082
     -0.00007113       0.00002732
     -0.00016684       0.00001324
     -0.00137890      -0.00006787
     -0.00019980      -0.00002001
     -0.00060976       0.00004538
     -0.00498643       0.00009069
     -0.00046969      -0.00002397
     -0.00424602      -0.00027041
     -0.00017064       0.00005626
     -0.00058854       0.00012341
     -0.00024640       0.00002024
     -0.00004927       0.00001827
     -0.00036151      -0.00002464
     -0.00089539       0.00003990
     -0.00021868      -0.00005447
     -0.00011829      -0.00000017
     -0.00028569      -0.00002864
     -0.00206886      -0.00013310
     -0.00035577      -0.00001108
     -0.00082370      -0.00000968
     -0.00056461      -0.00004726
     -0.00058921      -0.00002485
     -0.00046621      -0.00001988
     -0.00017190      -0.00001677
     -0.00256440      -0.00015985
     -0.00018179      -0.00002442
     -0.00019825      -0.00000558
     -0.00012460      -0.00002134
     -0.00021967      -0.00003063
     -0.00036983       0.00005704
     -0.00021701      -0.00004323
     -0.00089102       0.00004467
     -0.00467177      -0.00014745
     -0.00019168       0.00003568
     -0.00286314      -0.00012947
     -0.00045331       0.00009708
     -0.00009804      -0.00000269
     -0.00079426       0.00006812
     -0.00037733      -0.00005777
     -0.00160778      -0.00014096
     -0.00006954       0.00002865
     -0.00017331       0.00003643
     -0.00046759       0.00008132
     -0.00241408      -0.00010135
     -0.00010766       0.00003302
     -0.00069142      -0.00006804
     -0.00053607      -0.00001270
     -0.00015787      -0.00001762
     -0.00065926      -0.00004624
     -0.00007577      -0.00000044
     -0.00018332      -0.00001037
     -0.00108116       0.00007804
     -0.00233270       0.00015427
     -0.00020405       0.00001425
     -0.00100214       0.00004867
     -0.00074758       0.00012969
     -0.00017517       0.00005306
     -0.00065660       0.00012636
     -0.00012321      -0.00002046
     -0.00260866      -0.00000578
     -0.00019119       0.00004573
     -0.00237022      -0.00019893
     -0.00212541       0.00006674
     -0.00028371      -0.00004757
     -0.00491710      -0.00026280
     -0.00067119       0.00014831
     -0.00226850       0.00003776
     -0.00431857       0.00020113
     -0.00055327      -0.00005527
     -0.00401572       0.00012319
     -0.00174721       0.00014478
     -0.00050300       0.00000306
