QM Energy	FF Energy
     -1.2241e-05    -8.74208e-06
    -0.000720213    -0.000625343
      -6.374e-06    -4.43312e-06
    -0.000347521    -0.000335292
     -2.4085e-05    -1.91078e-05
     -0.00012452    -0.000116517
     -2.1719e-05    -1.85246e-05
       -6.75e-06    -7.98997e-06
     -0.00057081    -0.000578424
    -0.000529671    -0.000477396
      -2.071e-06    -2.27647e-06
     -2.3677e-05    -3.52189e-05
     -3.3536e-05    -3.72216e-05
      -4.302e-06    -3.67737e-06
       -2.71e-06    -3.06851e-06
     -1.0524e-05    -8.04619e-06
      -9.532e-06    -7.14372e-06
    -0.000177015     -0.00021521
       -4.93e-06    -3.81295e-06
     -3.3677e-05    -3.10192e-05
      -8.627e-06    -6.17543e-06
    -0.000144169    -0.000135379
    -0.000129342    -0.000116322
     -1.6713e-05    -2.20477e-05
      -1.443e-05    -1.31339e-05
     -1.7017e-05     -1.4327e-05
      -5.783e-06    -5.23668e-06
    -0.000266087    -0.000266098
    -0.000508771    -0.000476409
     -4.7689e-05    -7.29427e-05
     -3.5958e-05    -4.60429e-05
     -1.5566e-05    -1.17913e-05
     -1.6923e-05    -1.77692e-05
    -0.000138798    -0.000162788
      -6.852e-06    -5.06792e-06
      -4.191e-06    -4.65298e-06
      -4.729e-06    -6.86083e-06
     -2.7749e-05    -2.24399e-05
      -4.301e-06    -4.90012e-06
    -0.000609021    -0.000562745
    -0.000161794    -0.000196566
      -5.378e-06    -8.49614e-06
     -1.2807e-05    -1.77005e-05
     -1.2648e-05    -1.68003e-05
     -8.4378e-05    -9.81577e-05
     -9.9734e-05    -0.000115019
    -0.000206705    -0.000246614
    -0.000161483    -0.000233491
     -5.5289e-05     -4.7511e-05
     -6.9824e-05    -7.62988e-05
    -0.000135953    -0.000147155
      -4.375e-06    -4.30021e-06
     -2.3903e-05    -2.45578e-05
     -1.2798e-05    -1.10597e-05
     -2.1654e-05    -2.90857e-05
    -0.000316105    -0.000367903
     -2.5722e-05    -2.57582e-05
     -1.0182e-05    -7.63246e-06
    -0.000201789    -0.000234336
    -0.000251261    -0.000266185
    -0.000143931    -0.000139892
     -1.3532e-05    -1.21865e-05
     -1.6695e-05    -1.36855e-05
     -3.8759e-05    -4.56327e-05
     -2.5544e-05    -2.02253e-05
       -9.44e-05    -0.000105458
      -9.282e-06    -9.80895e-06
     -4.6551e-05    -4.86349e-05
      -4.254e-05      -3.521e-05
     -7.1767e-05    -6.49376e-05
     -2.3046e-05    -1.79726e-05
    -0.000118208    -0.000149725
       -8.06e-06     -5.8856e-06
    -0.000343207    -0.000324263
     -5.1234e-05    -4.65386e-05
     -6.6572e-05    -8.80878e-05
        -3.8e-06    -3.41462e-06
      -5.964e-06     -5.7162e-06
      -8.575e-05    -0.000109965
     -3.9319e-05    -3.39881e-05
     -9.6344e-05    -9.35129e-05
     -4.3159e-05    -3.57732e-05
      -4.958e-06    -3.93245e-06
     -2.1533e-05    -2.64797e-05
    -0.000142385    -0.000158206
     -2.1033e-05     -2.1515e-05
     -1.0134e-05    -1.00734e-05
     -0.00049633    -0.000430244
     -1.1879e-05    -1.18682e-05
    -0.000200283    -0.000263033
     -0.00030967    -0.000302113
     -1.5867e-05    -1.27705e-05
     -1.5846e-05    -1.21828e-05
    -0.000192111    -0.000210177
     -7.0639e-05    -0.000115768
     -3.1406e-05    -3.52487e-05
       -4.94e-05    -6.55688e-05
     -1.9713e-05    -1.62449e-05
     -1.4041e-05    -1.38352e-05
    -0.000192498    -0.000212039
    -0.000207461    -0.000198322
    -0.000226751    -0.000285733
      -3.451e-06    -2.95352e-06
    -0.000116501     -0.00011026
     -1.8627e-05    -1.44904e-05
    -0.000411347    -0.000361322
      -3.102e-06    -4.31908e-06
      -5.724e-06    -4.90519e-06
     -6.3843e-05    -5.89954e-05
     -4.5707e-05    -3.88177e-05
     -1.1175e-05    -8.37106e-06
    -0.000379184     -0.00036038
     -5.6119e-05     -5.7708e-05
    -0.000208456    -0.000206032
     -4.8391e-05    -4.46942e-05
    -0.000105279    -0.000127917
