QM Energy	FF Energy
     -4.6571e-05    -5.70926e-05
     -0.00143181     -0.00136568
     -2.4247e-05    -3.23532e-05
     -3.8774e-05    -4.55254e-05
    -0.000505145     -0.00049716
     -3.2808e-05    -4.21585e-05
      -7.063e-05    -8.51299e-05
      -7.855e-05    -0.000100081
    -0.000273666    -0.000305273
    -0.000139786     -0.00015557
     -4.3681e-05    -5.49328e-05
     -8.5294e-05    -0.000102733
    -0.000688224    -0.000725827
     -3.7692e-05    -4.84561e-05
     -1.2463e-05    -1.52486e-05
     -0.00022734    -0.000253123
    -0.000510008    -0.000522683
    -0.000199172    -0.000225473
    -0.000594873    -0.000579076
    -0.000161156    -0.000173958
     -2.7208e-05    -3.29501e-05
    -0.000523184    -0.000517802
    -0.000293901     -0.00029436
    -0.000890189    -0.000812177
     -6.2524e-05    -8.15081e-05
     -2.3122e-05    -3.30954e-05
     -1.9097e-05    -2.55338e-05
    -0.000852843    -0.000831614
    -0.000965395    -0.000953709
      -1.505e-05    -2.22533e-05
    -0.000244199    -0.000270632
     -0.00133722     -0.00127112
     -0.00090182    -0.000853443
    -0.000125894    -0.000138777
    -0.000898848     -0.00091985
     -4.7054e-05     -5.5252e-05
     -2.0859e-05    -2.50372e-05
     -6.5577e-05    -7.52851e-05
     -2.3987e-05    -2.80733e-05
    -0.000822356    -0.000783272
    -0.000744636    -0.000743859
     -6.8949e-05    -7.52505e-05
    -0.000327804    -0.000367186
    -0.000228913    -0.000257911
     -1.0428e-05    -1.27806e-05
    -0.000665434    -0.000654448
     -3.8163e-05    -5.40686e-05
    -0.000863242    -0.000826882
    -0.000463322    -0.000495807
    -0.000612116    -0.000587403
    -0.000562828    -0.000532274
     -0.00129933     -0.00130149
     -3.8088e-05    -4.42187e-05
    -0.000644202    -0.000631689
     -0.00117081     -0.00124354
     -0.00169413     -0.00181673
    -0.000629428    -0.000628478
    -0.000148982    -0.000161697
     -2.2072e-05    -2.78777e-05
    -0.000323312    -0.000336789
    -0.000191004    -0.000223417
    -0.000120397    -0.000141247
     -8.0274e-05    -9.84486e-05
     -0.00036321    -0.000392072
    -0.000110073    -0.000120257
     -0.00146837     -0.00145413
      -0.0012197     -0.00123576
    -0.000702838     -0.00065286
    -0.000133076    -0.000147934
    -0.000475696    -0.000500427
     -0.00041087    -0.000406835
     -0.00146035     -0.00143598
      -4.827e-05    -5.74929e-05
    -0.000182346    -0.000194571
    -0.000110572    -0.000121757
      -0.0017943     -0.00176981
    -0.000134465     -0.00014795
     -2.2108e-05    -2.71181e-05
     -4.7852e-05     -5.5271e-05
     -4.6011e-05    -5.71442e-05
    -0.000798401    -0.000801837
    -0.000265862    -0.000276609
    -0.000237968    -0.000258988
     -3.1148e-05    -3.74322e-05
    -0.000120063    -0.000129815
    -0.000250218    -0.000280931
     -7.1462e-05    -7.55607e-05
    -0.000111548    -0.000131933
     -6.3058e-05    -6.97043e-05
    -0.000393641    -0.000430975
    -0.000151192    -0.000164239
     -2.5187e-05    -3.10176e-05
     -6.2476e-05    -7.01524e-05
    -0.000229241    -0.000243483
    -0.000276518    -0.000296025
    -0.000150362    -0.000159051
    -0.000331176    -0.000347289
     -2.2871e-05    -2.79577e-05
    -0.000219045    -0.000231373
    -0.000519226    -0.000496468
     -4.2352e-05    -5.03687e-05
     -2.5118e-05    -3.00012e-05
    -0.000303791     -0.00032104
     -4.3938e-05    -5.44256e-05
     -6.1122e-05    -7.48377e-05
     -3.1255e-05    -3.68938e-05
      -1.791e-05    -2.19059e-05
    -0.000493893    -0.000486624
    -0.000530151    -0.000549752
      -4.572e-05    -5.80036e-05
     -1.2214e-05    -1.69848e-05
     -2.2911e-05    -2.75866e-05
      -1.554e-05     -2.0325e-05
     -6.2175e-05    -7.15057e-05
     -2.0605e-05    -2.64825e-05
     -9.3741e-05    -0.000108705
     -6.6832e-05    -9.01738e-05
    -0.000517067    -0.000484236
     -6.3611e-05    -7.20583e-05
    -0.000176891     -0.00018621
     -1.9472e-05    -2.31055e-05
     -3.9253e-05    -5.02969e-05
    -0.000343549    -0.000350212
     -3.0432e-05    -3.72412e-05
    -0.000117389     -0.00013951
    -0.000913625    -0.000905338
     -8.8341e-05    -0.000104276
    -0.000926648    -0.000856729
     -5.0104e-05    -6.20482e-05
    -0.000231758    -0.000242517
     -7.0271e-05    -8.17864e-05
      -8.769e-06     -1.2463e-05
     -6.2942e-05    -7.35657e-05
    -0.000311039    -0.000318504
      -2.797e-05    -4.18972e-05
     -1.9565e-05    -2.47364e-05
     -4.8111e-05    -5.70942e-05
     -0.00039605    -0.000410589
     -8.4564e-05    -9.47598e-05
    -0.000143599    -0.000157576
    -0.000110207     -0.00012153
    -0.000110762    -0.000129832
     -9.3446e-05      -0.0001172
     -3.2342e-05    -3.82714e-05
    -0.000565649    -0.000548129
     -3.2205e-05    -4.11247e-05
     -3.8931e-05    -4.91383e-05
     -1.5381e-05    -2.00798e-05
     -3.8215e-05    -4.81274e-05
     -9.8378e-05    -0.000108197
     -3.4638e-05    -4.36376e-05
    -0.000206497    -0.000223911
    -0.000995951     -0.00102932
     -4.5647e-05    -5.28566e-05
    -0.000565004    -0.000565994
    -0.000106077    -0.000112792
     -1.4906e-05     -1.9666e-05
    -0.000242447    -0.000262562
     -6.3394e-05    -7.27136e-05
     -0.00030729    -0.000314121
     -1.7259e-05    -2.06712e-05
     -5.4443e-05    -6.24867e-05
     -0.00017324    -0.000193914
    -0.000609122    -0.000579997
     -3.6854e-05    -4.70841e-05
    -0.000125611    -0.000134311
     -9.0829e-05    -0.000109908
     -3.5088e-05    -4.41231e-05
    -0.000151676    -0.000162542
     -1.7893e-05    -2.32026e-05
     -2.9605e-05    -4.15523e-05
    -0.000401249    -0.000408963
    -0.000631499    -0.000649426
     -4.6001e-05    -5.28952e-05
    -0.000188716    -0.000204595
    -0.000245255    -0.000267198
      -7.299e-05    -8.28503e-05
    -0.000241925     -0.00025734
     -2.2981e-05    -2.91495e-05
    -0.000508782    -0.000539021
     -4.3634e-05    -5.48638e-05
    -0.000495486    -0.000510886
     -0.00050586    -0.000498079
       -4.66e-05     -5.5435e-05
    -0.000997626    -0.000953983
    -0.000153511    -0.000161913
    -0.000795303    -0.000762924
    -0.000827983    -0.000827696
    -0.000100572    -0.000112525
    -0.000753562    -0.000757033
    -0.000592835    -0.000576126
    -0.000115349    -0.000129212
     -0.00045527    -0.000448574
      -2.877e-05    -3.64624e-05
     -5.9775e-05       -8.04e-05
     -0.00114042     -0.00101866
    -0.000111703    -0.000123272
    -0.000419037    -0.000419784
     -4.1059e-05    -5.08076e-05
     -0.00031565    -0.000323658
    -0.000158432    -0.000169657
     -3.6312e-05    -4.21883e-05
    -0.000410512    -0.000400392
     -4.4004e-05    -5.45276e-05
    -0.000113965    -0.000125463
     -1.7003e-05    -2.33155e-05
     -1.1131e-05    -1.57319e-05
     -0.00120683     -0.00126429
    -0.000868179    -0.000869221
     -2.4392e-05    -2.91491e-05
    -0.000672756    -0.000663398
    -0.000191778    -0.000202498
     -2.7985e-05    -3.87878e-05
    -0.000219675    -0.000237179
     -0.00149163     -0.00147963
    -0.000469196    -0.000492309
     -0.00120832     -0.00107099
    -0.000225356    -0.000263068
      -6.807e-05    -8.16995e-05
     -2.4864e-05    -3.18733e-05
     -9.9352e-05    -0.000109203
     -1.5492e-05    -2.05765e-05
     -0.00114441     -0.00101047
     -1.8841e-05    -2.34139e-05
     -6.2752e-05    -7.25603e-05
      -1.612e-05    -2.09289e-05
    -0.000310686    -0.000302952
    -0.000525495    -0.000519622
     -8.6838e-05    -9.81515e-05
     -4.0237e-05    -5.06264e-05
      -0.0010283    -0.000951804
     -1.3728e-05    -1.75527e-05
     -0.00103414    -0.000994794
    -0.000246966    -0.000255527
     -0.00162431     -0.00167164
    -0.000108576    -0.000122861
    -0.000332504    -0.000338123
    -0.000324013    -0.000313772
     -6.4168e-05    -7.39425e-05
     -5.4722e-05    -6.80649e-05
     -0.00126236     -0.00123933
     -4.1523e-05    -5.24206e-05
      -7.699e-05    -8.65064e-05
     -4.2005e-05    -4.86694e-05
     -1.3111e-05    -1.96462e-05
     -2.0167e-05    -2.44973e-05
     -8.5561e-05    -9.11119e-05
     -7.8645e-05    -8.81952e-05
     -4.9131e-05     -5.6756e-05
    -0.000346491    -0.000389699
    -0.000703286    -0.000680667
    -0.000729434     -0.00067423
    -0.000219201    -0.000228394
     -0.00114256     -0.00101173
    -0.000479922    -0.000470421
     -1.3513e-05     -1.6817e-05
    -0.000213091    -0.000213501
     -5.9843e-05     -6.8412e-05
     -6.1976e-05    -6.93059e-05
     -2.1715e-05    -2.74659e-05
     -5.3174e-05    -6.10325e-05
     -1.4498e-05    -1.95161e-05
    -0.000205682    -0.000223091
     -2.6808e-05     -3.2108e-05
    -0.000121812    -0.000138734
     -4.7064e-05    -6.59901e-05
    -0.000384983    -0.000363168
    -0.000187725    -0.000185158
     -1.5032e-05    -2.02343e-05
    -0.000864882    -0.000812571
    -0.000191652    -0.000207315
     -6.3976e-05    -7.20166e-05
     -3.7124e-05    -4.28036e-05
     -1.7332e-05    -2.14295e-05
     -2.1095e-05     -2.6862e-05
      -4.625e-05    -5.82931e-05
      -8.732e-05    -9.99946e-05
     -2.0582e-05    -2.55206e-05
     -3.0021e-05    -3.91367e-05
     -4.4328e-05     -5.5193e-05
     -6.0387e-05    -7.42096e-05
     -4.1572e-05    -5.73031e-05
    -0.000176098    -0.000207353
    -0.000897634    -0.000874825
     -3.0078e-05    -3.55774e-05
     -4.2582e-05    -4.84006e-05
     -0.00012101    -0.000143204
     -1.9705e-05    -2.36136e-05
    -0.000122157    -0.000134456
    -0.000130924     -0.00015814
    -0.000140146    -0.000142096
    -0.000507567    -0.000498003
    -0.000827874    -0.000863256
     -0.00182185       -0.001884
     -6.7336e-05    -7.89214e-05
     -1.9887e-05    -2.56104e-05
    -0.000625787    -0.000607706
    -0.000880842    -0.000815514
     -5.2822e-05    -6.04851e-05
    -0.000309364    -0.000337015
    -0.000705992     -0.00068294
     -9.9785e-05    -0.000117275
     -5.4044e-05    -6.58609e-05
    -0.000232933    -0.000255771
    -0.000140017    -0.000155399
    -0.000291474    -0.000305776
    -0.000108459    -0.000123472
     -0.00103152    -0.000915435
     -4.0145e-05     -5.3127e-05
    -0.000903448    -0.000911268
    -0.000360447    -0.000367015
    -0.000121874    -0.000139917
    -0.000577264     -0.00058516
     -2.7807e-05    -3.40524e-05
    -0.000818033    -0.000774493
    -0.000498268    -0.000491146
     -0.00124348     -0.00124034
     -1.6774e-05    -2.06644e-05
    -0.000978387    -0.000968039
     -1.4314e-05     -1.7311e-05
    -0.000100884    -0.000112268
     -0.00114447     -0.00123872
     -5.3691e-05    -6.12514e-05
    -0.000552012    -0.000575679
    -0.000142173    -0.000150178
     -0.00065163    -0.000634727
    -0.000866671     -0.00081817
    -0.000300279    -0.000322229
    -0.000281665    -0.000287615
    -0.000448178    -0.000442524
    -0.000232293    -0.000270531
    -0.000106609    -0.000121172
     -5.0157e-05    -5.67174e-05
    -0.000103118    -0.000113338
     -0.00101822    -0.000981593
     -2.3186e-05    -2.76814e-05
     -3.9345e-05    -4.72685e-05
    -0.000766828    -0.000779632
    -0.000626272    -0.000605447
     -7.1641e-05    -8.18213e-05
    -0.000115099    -0.000132502
     -1.8335e-05     -2.4289e-05
     -5.2152e-05    -6.55309e-05
    -0.000612929    -0.000601547
    -0.000110037    -0.000125277
      -3.654e-05    -4.54524e-05
     -1.2561e-05    -1.58375e-05
    -0.000102968    -0.000125038
    -0.000317852    -0.000308961
     -2.1697e-05     -3.0908e-05
     -1.5142e-05    -1.87128e-05
     -4.7534e-05    -5.72783e-05
     -3.9077e-05    -4.68549e-05
    -0.000456836    -0.000463541
    -0.000457787    -0.000484289
