QM Energy	FF Energy
     -0.00166835      -0.0016418
     -0.00766856     -0.00726685
     -0.00125085     -0.00123266
     -0.00117596     -0.00111262
     -0.00342472     -0.00324865
     -0.00152491     -0.00151791
     -0.00195178     -0.00192114
     -0.00230337     -0.00239612
     -0.00376606     -0.00380984
     -0.00273943     -0.00272282
     -0.00194506     -0.00195052
     -0.00245923     -0.00245652
     -0.00625463     -0.00633552
     -0.00170159     -0.00171604
    -0.000792979    -0.000746828
     -0.00289095     -0.00289969
      -0.0039469       -0.003897
     -0.00336014     -0.00342999
     -0.00334836      -0.0030484
     -0.00265028     -0.00253945
    -0.000824736    -0.000760617
     -0.00347988     -0.00325619
     -0.00305774      -0.0029609
     -0.00550053     -0.00524487
     -0.00203923     -0.00205977
     -0.00142114     -0.00146473
     -0.00117217     -0.00115375
     -0.00558407     -0.00550865
     -0.00633042     -0.00623765
     -0.00126771     -0.00128242
     -0.00360019     -0.00366732
     -0.00891766      -0.0089372
     -0.00616079     -0.00595259
      -0.0020884     -0.00201037
     -0.00747932     -0.00742543
     -0.00133733     -0.00129446
    -0.000997497    -0.000962213
     -0.00151041     -0.00145539
     -0.00130822     -0.00124804
     -0.00401721     -0.00366566
     -0.00508752     -0.00501046
     -0.00179635        -0.00171
     -0.00414759     -0.00427212
     -0.00307041      -0.0031088
    -0.000692454    -0.000643435
     -0.00434056     -0.00415439
      -0.0019419     -0.00199293
     -0.00492984     -0.00462659
     -0.00511211     -0.00521204
      -0.0044961     -0.00427198
     -0.00406821     -0.00382846
     -0.00830171     -0.00798444
     -0.00140507     -0.00136761
     -0.00522848     -0.00499327
      -0.0102843      -0.0107037
      -0.0125282      -0.0127651
     -0.00457966     -0.00439616
     -0.00204172     -0.00197684
    -0.000959768    -0.000931405
     -0.00351856     -0.00351705
     -0.00315906     -0.00324986
     -0.00247405      -0.0025279
     -0.00189832     -0.00189658
     -0.00444577     -0.00441526
     -0.00191488     -0.00179612
      -0.0104119      -0.0105582
     -0.00968082      -0.0100357
     -0.00523075     -0.00500494
     -0.00214837     -0.00212921
      -0.0048239     -0.00481816
     -0.00366895     -0.00356678
      -0.0089307     -0.00899399
     -0.00137418      -0.0013152
     -0.00218779     -0.00209022
     -0.00186263     -0.00178249
       -0.010206     -0.00990365
     -0.00172672     -0.00162592
     -0.00110197     -0.00104167
     -0.00127957     -0.00120383
     -0.00173926     -0.00173851
     -0.00676434     -0.00694843
     -0.00360217     -0.00363016
     -0.00310001     -0.00309267
     -0.00113314     -0.00108542
     -0.00188598     -0.00177468
     -0.00352286     -0.00361376
     -0.00219431     -0.00212423
     -0.00228198     -0.00230879
     -0.00160143     -0.00156435
     -0.00475748     -0.00493384
     -0.00212198     -0.00206015
     -0.00103748     -0.00100159
     -0.00197797     -0.00192066
     -0.00314135     -0.00313932
     -0.00417101     -0.00422483
     -0.00213088     -0.00205517
     -0.00320854     -0.00317128
     -0.00106341    -0.000992876
     -0.00284351     -0.00283386
      -0.0043513     -0.00426108
     -0.00151347      -0.0014923
     -0.00100277     -0.00093078
     -0.00440174     -0.00449588
     -0.00153513      -0.0015282
     -0.00158435     -0.00157906
    -0.000901754    -0.000815745
    -0.000841966    -0.000787792
     -0.00462024     -0.00469545
     -0.00605558     -0.00629442
     -0.00159409     -0.00161721
     -0.00105589     -0.00103495
    -0.000759544    -0.000685838
    -0.000879385    -0.000848549
     -0.00145532     -0.00140151
     -0.00136177     -0.00134297
     -0.00184113     -0.00181489
     -0.00237814     -0.00245583
     -0.00457906     -0.00452337
     -0.00183082     -0.00175554
     -0.00254495     -0.00245125
    -0.000860282      -0.0007874
     -0.00153439     -0.00153501
     -0.00320936     -0.00314541
     -0.00134455     -0.00130169
     -0.00280076      -0.0028167
     -0.00731058     -0.00714357
     -0.00220827     -0.00222139
     -0.00551477     -0.00520446
     -0.00162006     -0.00159265
     -0.00226555      -0.0021103
     -0.00153412     -0.00150101
    -0.000983603    -0.000972873
     -0.00171238     -0.00167747
     -0.00250268     -0.00233778
     -0.00179527     -0.00189132
     -0.00113061     -0.00109607
     -0.00151155     -0.00148082
       -0.004735     -0.00484465
     -0.00159127     -0.00151819
     -0.00280863     -0.00279001
     -0.00206426     -0.00203057
     -0.00239177     -0.00238678
     -0.00243976     -0.00246936
      -0.0011389     -0.00108534
     -0.00448624     -0.00443344
     -0.00139952     -0.00138477
        -0.00153     -0.00154931
     -0.00106323     -0.00104325
     -0.00138477     -0.00135871
     -0.00185529     -0.00176268
     -0.00135581     -0.00134984
     -0.00324782     -0.00323008
     -0.00820673     -0.00838465
      -0.0013683     -0.00126902
     -0.00556641     -0.00572804
     -0.00214033     -0.00203243
     -0.00102681     -0.00100078
     -0.00305111     -0.00303479
     -0.00196727      -0.0019743
     -0.00377426     -0.00381893
     -0.00097108    -0.000900465
     -0.00118528     -0.00108787
     -0.00234518     -0.00231207
     -0.00404782     -0.00378422
     -0.00131511     -0.00130139
     -0.00209684      -0.0019828
     -0.00257134     -0.00262558
     -0.00116506     -0.00113384
     -0.00212326     -0.00203574
    -0.000867152    -0.000836113
     -0.00167839     -0.00171131
     -0.00292505     -0.00277085
     -0.00541005     -0.00538785
     -0.00129357     -0.00121263
     -0.00357937     -0.00359066
     -0.00304377     -0.00299781
     -0.00124549     -0.00114874
     -0.00261601     -0.00249863
     -0.00103358     -0.00100488
     -0.00554181     -0.00562821
     -0.00173764     -0.00172452
     -0.00478345     -0.00486451
      -0.0040644     -0.00383896
     -0.00146779     -0.00143181
       -0.007363     -0.00737029
     -0.00262901     -0.00250315
      -0.0042884     -0.00404109
     -0.00728222     -0.00721442
     -0.00202132     -0.00199908
     -0.00705925     -0.00708947
     -0.00378465     -0.00352724
     -0.00223266     -0.00218054
     -0.00308825     -0.00281162
     -0.00109443     -0.00106157
     -0.00226199     -0.00232314
      -0.0060049     -0.00568897
     -0.00209506      -0.0020665
     -0.00368994      -0.0036494
     -0.00169596     -0.00167458
     -0.00308048     -0.00298805
     -0.00215662     -0.00206205
     -0.00109531     -0.00101298
     -0.00398489     -0.00389715
     -0.00179655     -0.00177406
     -0.00191086     -0.00180309
     -0.00119767      -0.0011929
     -0.00087496    -0.000862198
     -0.00986072      -0.0098317
     -0.00767198     -0.00774173
     -0.00128774     -0.00126563
     -0.00437944     -0.00417014
     -0.00255865     -0.00248048
     -0.00161057     -0.00164033
     -0.00343196     -0.00347009
     -0.00976153     -0.00996046
     -0.00534298     -0.00544768
     -0.00681322     -0.00645928
     -0.00415627     -0.00429211
      -0.0019489     -0.00193342
     -0.00125706     -0.00122688
     -0.00164932     -0.00156843
     -0.00114059     -0.00112569
     -0.00704393     -0.00688906
     -0.00101214    -0.000960066
     -0.00164651     -0.00159146
     -0.00111217     -0.00109247
     -0.00418824     -0.00411783
     -0.00443214     -0.00436811
     -0.00184902     -0.00181545
     -0.00141269     -0.00140433
     -0.00583316     -0.00545997
     -0.00087602    -0.000839868
     -0.00638568     -0.00603082
     -0.00255422     -0.00243153
      -0.0115279      -0.0116322
     -0.00209899     -0.00208777
     -0.00291838     -0.00277794
