QM Energy	FF Energy
    -0.000208142    -0.000207147
     -0.00683648     -0.00629487
    -0.000178424    -0.000174937
    -0.000224688    -0.000184784
     -0.00146016     -0.00148379
    -0.000132982    -0.000130849
    -0.000337446    -0.000323703
    -0.000441495    -0.000496829
    -0.000883495    -0.000987428
    -0.000763168    -0.000725327
    -0.000272761    -0.000284617
    -0.000444024    -0.000464193
      -0.0029793     -0.00304342
    -0.000162175     -0.00017322
     -9.2163e-05    -8.52955e-05
    -0.000819679    -0.000901384
     -0.00166885     -0.00181913
     -0.00104497     -0.00112948
     -0.00149812     -0.00154911
    -0.000882438    -0.000745412
       -4.85e-05    -4.73833e-05
      -0.0015484     -0.00154352
     -0.00126651     -0.00122521
     -0.00332576     -0.00332881
    -0.000262655      -0.0002769
    -0.000132556    -0.000150959
    -0.000122451    -0.000120992
     -0.00267002     -0.00289029
     -0.00356354     -0.00393997
     -9.1207e-05    -0.000101732
     -0.00129164     -0.00139346
      -0.0067524     -0.00697281
     -0.00449431      -0.0041356
    -0.000466008    -0.000436084
     -0.00400117     -0.00419624
    -0.000212956    -0.000193468
    -0.000142621    -0.000148983
    -0.000264511    -0.000240609
    -0.000144083    -0.000136879
     -0.00211845      -0.0022163
     -0.00229776     -0.00258655
     -0.00038553    -0.000364044
     -0.00146631     -0.00167754
      -0.0008639     -0.00097824
     -6.5027e-05    -5.95419e-05
     -0.00184335      -0.0019332
    -0.000234639    -0.000265486
     -0.00263374      -0.0026755
     -0.00207858     -0.00214017
     -0.00223998     -0.00214592
     -0.00250756     -0.00228339
     -0.00731461     -0.00658825
    -0.000223763    -0.000227662
     -0.00319291     -0.00283336
     -0.00609099     -0.00696341
     -0.00882908     -0.00965062
     -0.00191953     -0.00200428
    -0.000590789    -0.000561582
    -0.000108931    -0.000100893
     -0.00147545       -0.001549
    -0.000585287    -0.000707596
    -0.000503003    -0.000535961
    -0.000375932    -0.000404963
     -0.00159701     -0.00159582
      -0.0005125    -0.000425233
     -0.00794277     -0.00844193
      -0.0063804     -0.00723748
     -0.00350153     -0.00321383
    -0.000451777    -0.000460094
     -0.00190495     -0.00204072
     -0.00171173     -0.00166812
     -0.00697024     -0.00766254
     -0.00014074    -0.000132891
    -0.000673587    -0.000626845
    -0.000417778    -0.000381086
     -0.00964846      -0.0093385
    -0.000308538    -0.000318925
    -0.000152567    -0.000142203
    -0.000284777     -0.00024048
    -0.000282578    -0.000302997
     -0.00388948     -0.00430934
      -0.0013707     -0.00135532
      -0.0008252    -0.000841269
    -0.000134197    -0.000119013
    -0.000589237    -0.000502372
     -0.00101602     -0.00112142
    -0.000389641    -0.000381385
    -0.000560287    -0.000601492
    -0.000360936    -0.000380643
     -0.00171244     -0.00192304
    -0.000504548    -0.000487687
    -0.000136276    -0.000116984
    -0.000365002    -0.000342987
     -0.00111822     -0.00114147
     -0.00141796      -0.0014546
    -0.000617038    -0.000602276
     -0.00104921      -0.0010873
    -0.000124172    -0.000101492
     -0.00100207     -0.00101237
     -0.00216339     -0.00222324
    -0.000237781    -0.000245603
    -0.000126074    -0.000101245
       -0.001684     -0.00178296
    -0.000169112    -0.000165109
    -0.000159529    -0.000177675
     -7.5239e-05    -6.46737e-05
     -4.8142e-05    -4.15006e-05
     -0.00230116       -0.002317
     -0.00280236     -0.00310103
    -0.000219642    -0.000233934
     -7.3332e-05    -7.64081e-05
     -7.2531e-05    -6.10606e-05
     -5.1627e-05    -4.98695e-05
    -0.000283935     -0.00025634
    -0.000103454    -0.000107281
    -0.000276339    -0.000289485
    -0.000378108     -0.00042183
     -0.00253857     -0.00253063
    -0.000368696    -0.000340135
    -0.000633009    -0.000604688
     -7.1134e-05    -5.59859e-05
    -0.000166845    -0.000175653
      -0.0013789      -0.0013436
    -0.000199801    -0.000185855
    -0.000609755    -0.000629431
     -0.00498643     -0.00470358
    -0.000469692    -0.000453019
     -0.00424602     -0.00392858
    -0.000170643    -0.000178541
    -0.000588537    -0.000591699
    -0.000246395    -0.000243765
     -4.9268e-05    -4.50879e-05
