QM Energy	FF Energy
    -0.000269052    -0.000273521
    -0.000140581    -0.000159072
     -2.2689e-05    -2.62731e-05
     -0.00039741    -0.000421456
      -0.0011022    -0.000966767
    -0.000148351     -0.00016325
     -2.5645e-05    -3.16945e-05
    -0.000118978    -0.000135981
    -0.000303228    -0.000311332
    -0.000102529    -0.000116081
     -6.2227e-05    -7.03441e-05
     -1.6462e-05    -2.14759e-05
    -0.000702871    -0.000616569
    -0.000247515    -0.000272483
     -2.6124e-05    -3.31709e-05
    -0.000754325    -0.000707748
     -3.8614e-05    -5.03691e-05
     -0.00119781     -0.00117524
    -0.000341895    -0.000352923
     -0.00111437     -0.00115689
     -4.4558e-05    -5.17167e-05
    -0.000121025    -0.000133073
    -0.000729128    -0.000693226
     -2.1912e-05    -2.85138e-05
     -0.00105478     -0.00102237
     -0.00161733     -0.00154948
     -6.1323e-05    -6.93282e-05
    -0.000507431    -0.000515255
      -0.0003582     -0.00035497
    -0.000322559    -0.000353491
     -0.00090094    -0.000913848
     -5.3416e-05    -6.02199e-05
    -0.000968938    -0.000914929
    -0.000363734    -0.000372442
    -0.000623974    -0.000599567
    -0.000136462    -0.000142322
     -3.7734e-05    -4.81973e-05
    -0.000837912    -0.000788826
     -1.3465e-05    -1.67835e-05
     -0.00109553     -0.00105165
    -0.000595861    -0.000584778
      -3.557e-05    -3.99435e-05
     -4.7029e-05    -5.10269e-05
     -3.7853e-05    -4.58338e-05
      -8.002e-05    -9.55693e-05
    -0.000815276    -0.000762937
    -0.000178095    -0.000190352
     -7.7466e-05    -8.53933e-05
     -8.6811e-05    -9.27002e-05
     -3.9605e-05    -4.85384e-05
     -0.00134537      -0.0013866
     -2.4355e-05    -2.92645e-05
    -0.000970825    -0.000914976
    -0.000638817    -0.000585796
    -0.000108178    -0.000119502
     -0.00185958      -0.0020082
    -0.000336397    -0.000339759
     -4.9037e-05    -5.86022e-05
    -0.000203948    -0.000213084
    -0.000151753    -0.000179121
    -0.000707169    -0.000689165
      -2.313e-05     -2.7093e-05
    -0.000599696    -0.000575792
     -3.7938e-05    -4.61507e-05
    -0.000942663    -0.000983323
     -5.7111e-05     -6.4106e-05
     -3.9675e-05    -4.60177e-05
     -0.00139008     -0.00130478
     -1.6414e-05    -1.94351e-05
     -2.9371e-05    -3.34324e-05
    -0.000165825    -0.000176994
     -5.5536e-05    -6.57612e-05
    -0.000319031    -0.000332891
    -0.000688532    -0.000623348
     -7.8584e-05    -8.74455e-05
     -4.8618e-05    -5.33698e-05
      -0.0001017    -0.000110018
     -0.00140735     -0.00137476
    -0.000974728    -0.000992473
     -3.3142e-05    -3.85961e-05
     -5.9536e-05    -6.77071e-05
     -8.0724e-05    -9.01403e-05
    -0.000194689    -0.000220316
    -0.000118901    -0.000123639
    -0.000445743    -0.000476169
     -0.00167685     -0.00173503
     -7.6432e-05    -8.40251e-05
