QM Energy	FF Energy
     -0.00356303     -0.00348231
     -0.00275423     -0.00274649
     -0.00105857     -0.00100382
     -0.00531878     -0.00534403
     -0.00641376     -0.00609263
     -0.00313406     -0.00307008
     -0.00141465     -0.00138745
     -0.00292911      -0.0028752
     -0.00408585     -0.00402403
     -0.00280193     -0.00277447
     -0.00181816     -0.00175072
     -0.00125235     -0.00119706
     -0.00539225     -0.00525303
     -0.00364086     -0.00362343
     -0.00139636     -0.00134936
     -0.00535273     -0.00518473
     -0.00203791     -0.00206278
      -0.0106108      -0.0106974
     -0.00407341     -0.00399201
      -0.0101677      -0.0100676
     -0.00157483     -0.00149082
     -0.00285715     -0.00280096
     -0.00472437     -0.00444379
     -0.00145611     -0.00144473
     -0.00749498      -0.0074531
      -0.0113209      -0.0114944
     -0.00171805     -0.00161371
     -0.00493954     -0.00471286
     -0.00463649     -0.00460256
     -0.00500755     -0.00521073
     -0.00760814     -0.00770274
     -0.00150509     -0.00138727
     -0.00630438     -0.00611038
     -0.00437663      -0.0043694
      -0.0048153     -0.00457208
     -0.00288145      -0.0028061
     -0.00170719     -0.00169193
     -0.00597171     -0.00576046
    -0.000954323    -0.000888023
     -0.00857181     -0.00833196
     -0.00452213     -0.00422331
      -0.0016849     -0.00161296
     -0.00167413     -0.00159066
        -0.00154     -0.00148078
     -0.00240009     -0.00234976
     -0.00535075      -0.0050388
     -0.00316588     -0.00307331
     -0.00221785     -0.00212126
     -0.00177815     -0.00164922
     -0.00166811     -0.00160059
      -0.0104961      -0.0103014
     -0.00132352     -0.00124582
     -0.00640956     -0.00604784
     -0.00519874      -0.0050126
     -0.00245698     -0.00243206
      -0.0143388      -0.0140575
     -0.00418674     -0.00410438
     -0.00194163     -0.00190977
     -0.00260543     -0.00249055
     -0.00346343     -0.00349483
     -0.00590724      -0.0058129
     -0.00112634     -0.00108071
     -0.00501579     -0.00483512
     -0.00202843     -0.00197732
      -0.0088947      -0.0089345
     -0.00180886     -0.00173564
     -0.00143404     -0.00133022
      -0.0089658     -0.00890453
     -0.00114358     -0.00111042
     -0.00133591     -0.00124536
     -0.00222521     -0.00209682
     -0.00200132     -0.00195882
     -0.00428899     -0.00412543
     -0.00563565     -0.00554692
     -0.00223341      -0.0021914
     -0.00161321     -0.00155197
     -0.00214919     -0.00202508
     -0.00910034     -0.00894243
     -0.00907346     -0.00889072
     -0.00159632     -0.00152599
     -0.00200864     -0.00192173
     -0.00249063     -0.00238375
     -0.00363584     -0.00365608
     -0.00227066     -0.00214926
     -0.00649608     -0.00672698
      -0.0125054      -0.0128295
     -0.00209791     -0.00201539
     -0.00210691     -0.00203092
     -0.00482775     -0.00465766
     -0.00255565     -0.00249538
     -0.00349712     -0.00347454
     -0.00809183     -0.00826963
     -0.00183532     -0.00176198
     -0.00306377     -0.00288402
     -0.00723054      -0.0073564
     -0.00581559     -0.00535027
     -0.00181724     -0.00175812
     -0.00173425     -0.00166992
     -0.00316939      -0.0031798
     -0.00180567     -0.00174497
     -0.00393499     -0.00380897
     -0.00209329     -0.00204561
     -0.00859716       -0.008714
     -0.00138441     -0.00130703
      -0.0071803     -0.00735679
     -0.00350563     -0.00327059
     -0.00567275     -0.00568712
     -0.00149724     -0.00143868
     -0.00193787     -0.00194141
     -0.00485739     -0.00486267
      -0.0041489     -0.00387343
     -0.00527318     -0.00516785
      -0.0075162     -0.00752071
     -0.00137294     -0.00133761
     -0.00406332     -0.00381345
     -0.00381085     -0.00378289
     -0.00123904     -0.00119831
     -0.00284457     -0.00263788
     -0.00367302     -0.00359879
     -0.00554147     -0.00517925
      -0.0022111     -0.00205095
     -0.00542124     -0.00547471
      -0.0014147     -0.00134666
     -0.00231039     -0.00219859
     -0.00450657     -0.00436058
     -0.00449462      -0.0044275
      -0.0017862     -0.00173907
     -0.00140316     -0.00133283
     -0.00271225     -0.00272767
     -0.00198244     -0.00190626
     -0.00169772     -0.00162936
     -0.00331399     -0.00322106
     -0.00339964     -0.00334682
     -0.00506912     -0.00508682
     -0.00356817     -0.00324605
     -0.00328607     -0.00324438
     -0.00117508     -0.00112395
     -0.00288853      -0.0027267
      -0.0020199     -0.00194939
     -0.00245082      -0.0022423
     -0.00216441     -0.00215791
     -0.00232961     -0.00238813
