QM Energy	FF Energy
    -0.000541996    -0.000848416
     -0.00139631     -0.00138149
    -0.000829262    -0.000816597
     -0.00113519     -0.00120194
      0.00226518       0.0028525
     -0.00136945     -0.00146502
     -0.00106691     -0.00111799
     -0.00152226     -0.00156048
     -0.00122766     -0.00120745
     -0.00152342     -0.00163743
     -0.00113531     -0.00116228
     -0.00103524     -0.00101051
      0.00053394       0.0007667
     -0.00124241     -0.00117861
     -0.00106361     -0.00106524
     -6.7343e-05     0.000566235
     -0.00153938     -0.00156785
       0.0027455       0.0016521
     -0.00130425     -0.00118842
      0.00401591      0.00215441
      -0.0011146     -0.00110369
     -0.00147759     -0.00153821
      0.00125495      0.00126152
     -0.00112808      -0.0011488
      0.00144568      0.00231471
      0.00406612      0.00572824
    -0.000978935     -0.00102075
      0.00092931     0.000217017
    -0.000959037     -0.00142756
     -0.00210445     -0.00179939
     0.000979349       0.0014541
    -0.000965737    -0.000921298
       0.0024125      0.00227124
     -0.00100952     -0.00094746
     0.000936548     0.000716154
     -0.00111043     -0.00125086
     -0.00129797     -0.00127938
      0.00120112      0.00118204
    -0.000776919    -0.000762234
      0.00507203       0.0037866
     0.000920669     0.000813939
     -0.00121991     -0.00128508
     -0.00104058     -0.00105568
     -0.00113898     -0.00113309
     -0.00139339     -0.00144487
     0.000239218     0.000846514
    -0.000896613     -0.00117587
     -0.00134059     -0.00145713
    -0.000942892    -0.000917747
     -0.00115496     -0.00114617
       0.0060941      0.00483036
     -0.00104115     -0.00101134
      0.00327147      0.00280441
       0.0011808     0.000854701
     -0.00138406     -0.00139748
       0.0108722        0.008241
    -0.000721691     -0.00095581
     -0.00134789     -0.00136427
    -0.000949149    -0.000772913
     -0.00180743     -0.00175949
     0.000807443     0.000641697
    -0.000888826    -0.000878765
     0.000617481     0.000245599
     -0.00143293     -0.00149917
      0.00106235     0.000829508
     -0.00122689       -0.001235
    -0.000995718    -0.000974743
      0.00442198      0.00508188
     -0.00095478    -0.000953773
    -0.000923873    -0.000915303
    -0.000793534    -0.000707296
     -0.00139086     -0.00137383
     -0.00079917     -0.00122698
     0.000436734     0.000737702
     -0.00136276     -0.00137887
     -0.00111275     -0.00114563
    -0.000928628     -0.00105395
      0.00146923      0.00245313
      0.00273746      0.00126088
     -0.00103632     -0.00103831
     -0.00116247     -0.00129688
     -0.00155363     -0.00161157
     -0.00165775     -0.00166198
    -0.000957203        -0.00104
     -0.00152706     -0.00150584
       0.0020763      0.00315694
     -0.00131477     -0.00132443
     -0.00130377     -0.00130041
    -0.000530982    -0.000391044
     -0.00159342     -0.00167644
     -0.00136153     -0.00134131
     0.000614699      0.00184448
     -0.00116878     -0.00120928
     -0.00132685     -0.00141566
    -0.000474561    -0.000591513
      0.00288873      0.00298996
     -0.00122854     -0.00123092
     -0.00120491     -0.00128423
     -0.00173579     -0.00180332
     -0.00119172     -0.00120214
    -0.000476937     -0.00045716
     -0.00155262     -0.00160488
      0.00241889      0.00175903
    -0.000992083    -0.000963426
      8.1104e-05     6.53721e-05
    -0.000361982    -0.000108289
     -0.00052339    -0.000438795
     -0.00107878     -0.00111771
     -0.00143734     -0.00146731
    -0.000444847     -0.00100495
     0.000548524     0.000356557
     -9.8627e-05    -7.02848e-05
      0.00137411      0.00205307
     -0.00111257     -0.00111032
     -0.00058762    -0.000647284
     -0.00134015     -0.00127927
    -0.000995513    -0.000987289
     -0.00038308    -0.000437937
    -0.000623185    -0.000881114
      0.00245182      0.00200255
    -0.000687679    -0.000511546
     -0.00153148     -0.00120641
     -0.00104496     -0.00108551
     -0.00109348     -0.00118651
     0.000536709    -0.000119487
    -0.000942825    -0.000340866
       -0.001236     -0.00122235
     -0.00112944     -0.00117212
     -0.00171546     -0.00182415
     -0.00118739      -0.0012155
     -0.00111364      -0.0011105
    -0.000948712     -0.00112718
    -0.000991661     -0.00108265
    -0.000928309     -0.00108772
     0.000315068     0.000737427
     -0.00130774     -0.00142142
    -0.000973881    -0.000945531
    -0.000785726    -0.000775245
     -0.00130512     -0.00141123
    -0.000631062    -0.000555628
     -0.00158975     -0.00161751
     -0.00180358     -0.00185103
       0.0037001      0.00306869
     -0.00142922     -0.00142491
    -0.000773285    -0.000765874
      0.00301095      0.00238884
     -0.00104303     -0.00103631
    -0.000833695    -0.000788106
     0.000143229     7.55959e-05
      0.00311437      0.00292359
       0.0104839       0.0108764
      0.00213237       0.0025822
    -0.000742247    -0.000937746
    -0.000518351     -0.00114513
     -0.00100133     -0.00100311
     -0.00185735     -0.00179869
    -0.000801824    -0.000820118
    -0.000527173     -0.00105571
      9.4645e-05     0.000520167
     -0.00112064    -0.000981087
      0.00400896      0.00428338
     0.000508823      0.00149698
      0.00174601      0.00251609
     -0.00079533    -0.000761837
     -0.00035357      -0.0002268
