QM Energy	FF Energy
     -2.5975e-05    -1.78053e-05
     -0.00146537     -0.00152031
      -1.439e-05    -9.30986e-06
    -0.000793975    -0.000799674
     -3.9407e-05    -2.85777e-05
    -0.000282127    -0.000252902
     -5.5284e-05    -4.03111e-05
     -2.4928e-05    -1.74748e-05
     -0.00134514     -0.00142178
     -0.00107918     -0.00108106
      -6.541e-06    -4.32947e-06
    -0.000109078    -8.12712e-05
    -0.000106702    -8.53559e-05
      -8.757e-06    -5.53236e-06
        -9.2e-06    -6.20089e-06
     -2.1866e-05    -1.48282e-05
     -1.4111e-05    -8.81845e-06
    -0.000562266    -0.000534641
      -1.251e-05    -8.06648e-06
     -8.0114e-05    -6.32306e-05
     -1.5631e-05    -1.00431e-05
    -0.000283482    -0.000261504
    -0.000295151    -0.000259421
     -7.8844e-05    -6.20835e-05
     -4.1935e-05    -3.00317e-05
     -4.2608e-05    -3.10179e-05
     -1.6361e-05    -1.10283e-05
    -0.000591481    -0.000584698
     -0.00116268      -0.0012344
    -0.000247426    -0.000205067
    -0.000151804    -0.000120407
     -2.8615e-05    -1.98738e-05
     -5.3837e-05    -3.92107e-05
    -0.000424951    -0.000386626
     -1.4549e-05    -9.44484e-06
     -1.0391e-05       -6.91e-06
     -2.0044e-05    -1.42317e-05
     -6.1859e-05    -4.72575e-05
     -1.2812e-05    -8.56868e-06
      -0.0012687     -0.00152868
    -0.000561451    -0.000499541
     -2.4603e-05    -1.77065e-05
     -5.8601e-05    -4.30973e-05
     -4.7879e-05    -3.43256e-05
    -0.000280493    -0.000238231
    -0.000315783    -0.000273638
    -0.000616291    -0.000593443
    -0.000702432    -0.000625728
    -0.000125342    -0.000103036
    -0.000235063    -0.000201059
     -0.00038898    -0.000348994
     -1.2427e-05    -8.27825e-06
     -7.5507e-05    -5.64431e-05
      -3.135e-05    -2.21682e-05
     -9.4476e-05    -7.06899e-05
    -0.000939616     -0.00100036
     -7.1073e-05    -5.52116e-05
     -1.5222e-05    -9.62245e-06
    -0.000648552    -0.000574828
    -0.000708653    -0.000659548
    -0.000391641    -0.000344213
     -3.8427e-05    -2.77904e-05
     -3.9738e-05    -2.84577e-05
    -0.000130637    -9.84261e-05
     -5.2225e-05    -3.92115e-05
    -0.000308137    -0.000263344
     -3.1004e-05     -2.2324e-05
    -0.000144761    -0.000117563
     -8.4512e-05     -6.7331e-05
    -0.000157526     -0.00013269
     -4.4006e-05    -3.23128e-05
     -0.00043722    -0.000381721
      -1.353e-05    -8.49554e-06
    -0.000717133    -0.000699829
    -0.000109827    -9.06105e-05
    -0.000269026     -0.00021723
      -8.664e-06    -5.56443e-06
     -1.6924e-05    -1.13627e-05
    -0.000328128    -0.000266057
     -8.8215e-05    -7.02338e-05
    -0.000272119     -0.00023052
     -8.7864e-05    -6.96124e-05
     -1.1845e-05    -7.64876e-06
     -8.5937e-05    -6.48762e-05
     -0.00041105    -0.000377096
     -6.9223e-05     -5.2872e-05
     -3.5935e-05    -2.53097e-05
     -0.00103378     -0.00105461
     -3.9271e-05    -2.82113e-05
     -0.00074385    -0.000673435
    -0.000757526     -0.00074421
     -3.3213e-05    -2.34002e-05
      -3.758e-05    -2.69258e-05
    -0.000466131    -0.000448193
    -0.000370852    -0.000323292
    -0.000115419    -9.13216e-05
    -0.000195651    -0.000160149
     -4.4333e-05    -3.26713e-05
     -4.2036e-05    -3.05957e-05
    -0.000576255     -0.00053753
    -0.000376354    -0.000362993
    -0.000836544    -0.000764241
      -7.222e-06    -4.50689e-06
    -0.000289311    -0.000257211
     -3.2869e-05    -2.32412e-05
    -0.000889314    -0.000840647
     -1.0734e-05    -7.34255e-06
     -1.4527e-05    -9.64811e-06
    -0.000159982    -0.000131727
    -0.000100388    -8.07895e-05
     -2.0024e-05    -1.32947e-05
    -0.000913739    -0.000907847
    -0.000178953    -0.000149453
    -0.000564259    -0.000522169
    -0.000119495    -9.20266e-05
    -0.000333198    -0.000296946
    -0.000473563    -0.000414416
    -0.000801136    -0.000754588
     -3.1583e-05    -2.20222e-05
      -5.681e-06     -3.7915e-06
     -7.4747e-05    -5.51824e-05
     -1.6772e-05    -1.11746e-05
     -5.2031e-05    -3.83515e-05
     -5.8071e-05    -4.32877e-05
    -0.000190911    -0.000157575
    -0.000115801    -9.62546e-05
     -1.5923e-05    -1.06832e-05
    -0.000262755    -0.000225599
     -0.00125104     -0.00132846
    -0.000358227    -0.000305918
    -0.000547271    -0.000522783
      -9.314e-05     -7.3981e-05
     -0.00101068     -0.00103123
    -0.000100036    -7.90229e-05
      -3.362e-05    -2.43001e-05
     -1.6648e-05     -1.0886e-05
    -0.000423692    -0.000404539
     -6.8904e-05    -5.26206e-05
    -0.000133899     -0.00010632
     -1.4066e-05    -9.01347e-06
     -2.6426e-05    -1.82862e-05
     -4.8135e-05    -3.52778e-05
     -8.3357e-05    -6.36433e-05
    -0.000680391    -0.000615062
     -3.3288e-05    -2.36367e-05
    -0.000158443    -0.000122039
    -0.000728279    -0.000718599
    -0.000398561    -0.000386882
    -0.000271028    -0.000227219
     -0.00048418    -0.000405821
     -1.0911e-05    -7.18431e-06
       -5.39e-06    -3.55722e-06
    -0.000517683    -0.000460352
    -0.000627571    -0.000590227
     -9.7355e-05    -7.50943e-05
     -3.4144e-05    -2.45087e-05
    -0.000634833    -0.000607846
    -0.000858922    -0.000892398
       -8.27e-06    -5.30586e-06
     -0.00076112    -0.000766405
     -7.2019e-05    -5.42236e-05
    -0.000428069     -0.00036821
      -1.701e-05    -1.14108e-05
       -2.62e-05    -1.80364e-05
    -0.000739082    -0.000706647
    -0.000105891    -8.19954e-05
     -5.4137e-05    -3.93645e-05
    -0.000228269    -0.000196718
    -0.000503929    -0.000413632
    -0.000331742    -0.000292787
    -0.000892379    -0.000866056
      -3.127e-05    -2.18023e-05
     -3.3438e-05    -2.44884e-05
     -3.0162e-05    -2.10317e-05
     -4.2271e-05    -3.08207e-05
     -6.3342e-05    -4.66427e-05
     -1.9589e-05    -1.30446e-05
    -0.000136043    -0.000109066
    -0.000232378    -0.000195624
    -0.000858225    -0.000794406
    -0.000174701    -0.000139259
     -1.0786e-05    -7.38362e-06
     -1.8415e-05    -1.21405e-05
     -1.9084e-05    -1.27951e-05
     -2.3835e-05    -1.65225e-05
     -3.0171e-05    -2.11697e-05
     -0.00026622    -0.000236892
    -0.000206555    -0.000165514
    -0.000212534    -0.000173411
    -0.000223244    -0.000177916
    -0.000905449    -0.000890932
     -0.00123206     -0.00130087
    -0.000463589     -0.00044915
     -4.6917e-05    -3.40444e-05
    -0.000147045    -0.000118257
      -9.458e-06     -6.2769e-06
     -3.5941e-05    -2.55674e-05
      -5.811e-06      -3.881e-06
     -1.5908e-05    -1.01892e-05
     -8.8275e-05    -6.78828e-05
    -0.000129959    -0.000109524
    -0.000127473    -0.000100549
     -3.8111e-05    -2.74078e-05
     -6.9317e-05    -5.21328e-05
    -0.000666418    -0.000577238
    -0.000854422    -0.000781637
    -0.000157494    -0.000135578
     -0.00047216    -0.000466153
    -0.000625427    -0.000561716
    -0.000554923    -0.000508071
    -0.000175005    -0.000140195
     -1.4662e-05    -9.70414e-06
     -3.6619e-05    -2.72757e-05
     -7.5921e-05    -5.69653e-05
     -2.6528e-05    -1.81764e-05
    -0.000827265    -0.000784842
      -4.981e-05    -3.71858e-05
     -1.5034e-05    -1.01543e-05
      -6.135e-05    -4.54683e-05
    -0.000133423    -0.000103483
      -1.017e-05    -6.43828e-06
     -8.9283e-05    -6.85384e-05
    -0.000272148    -0.000215831
    -0.000714812    -0.000680207
    -0.000645772    -0.000606824
     -3.2913e-05    -2.33165e-05
     -9.2945e-05    -7.20234e-05
    -0.000335725    -0.000290026
     -1.3686e-05    -9.66122e-06
     -1.6459e-05    -1.07031e-05
     -0.00066484    -0.000606521
     -0.00120147     -0.00123148
     -3.1571e-05     -2.2084e-05
     -2.7919e-05    -1.93784e-05
    -0.000157009    -0.000136097
    -0.000116048    -9.16743e-05
      -1.575e-05    -1.02294e-05
      -9.793e-05    -7.71516e-05
     -3.4817e-05    -2.50288e-05
     -3.9227e-05    -2.77353e-05
     -0.00140293      -0.0015343
    -0.000284678    -0.000244761
     -3.7035e-05    -2.68938e-05
    -0.000492459    -0.000467794
     -9.0699e-05    -7.02872e-05
    -0.000199958    -0.000160664
     -7.2933e-05    -5.40948e-05
    -0.000288372    -0.000248805
    -0.000380982    -0.000311339
     -7.0012e-05    -5.40508e-05
     -2.4156e-05    -1.65348e-05
    -0.000550486     -0.00050454
    -0.000285251    -0.000250666
    -0.000176217    -0.000151465
     -2.5092e-05    -1.76837e-05
    -0.000200589    -0.000168364
     -3.7536e-05    -2.70291e-05
    -0.000486844    -0.000453917
      -9.171e-06    -6.05811e-06
     -0.00056227     -0.00054796
     -4.0951e-05    -2.98068e-05
    -0.000262677    -0.000222002
     -4.3899e-05    -3.22955e-05
    -0.000966774    -0.000866577
    -0.000291372    -0.000255231
     -7.5384e-05    -5.79974e-05
     -0.00019179    -0.000160746
    -0.000740894     -0.00065977
    -0.000375498    -0.000340626
      -9.137e-06    -5.68772e-06
     -1.3806e-05     -8.9973e-06
     -9.6463e-05    -7.37278e-05
     -3.1704e-05    -2.25485e-05
    -0.000698244    -0.000710056
    -0.000151592    -0.000117786
      -0.0010306     -0.00107969
      -0.0007809    -0.000747511
     -4.7746e-05    -3.52403e-05
    -0.000498504    -0.000478648
     -1.7924e-05    -1.19996e-05
    -0.000305569     -0.00027141
    -0.000197641    -0.000168259
    -0.000109883    -8.82886e-05
    -0.000300619    -0.000260233
     -5.1953e-05    -3.77511e-05
    -0.000744442    -0.000732758
      -1.298e-05    -8.69022e-06
    -0.000134547    -0.000108721
     -6.4494e-05    -4.69927e-05
    -0.000146595    -0.000123543
     -4.7731e-05    -3.44162e-05
     -1.8208e-05    -1.27887e-05
     -1.9972e-05    -1.34275e-05
     -1.9092e-05    -1.31713e-05
    -0.000237244    -0.000196442
     -1.4288e-05    -9.59042e-06
    -0.000292486     -0.00025155
     -4.5911e-05    -3.31381e-05
      -1.395e-05    -9.40222e-06
    -0.000261112    -0.000226482
     -0.00040341    -0.000371635
     -2.4263e-05    -1.69989e-05
     -3.0739e-05    -2.17145e-05
    -0.000190198    -0.000154069
    -0.000215256    -0.000172924
    -0.000462071    -0.000385615
    -0.000227721    -0.000200181
    -0.000146837     -0.00011586
     -0.00134844     -0.00141031
     -4.0954e-05    -2.97739e-05
    -0.000183634    -0.000156865
     -0.00123205     -0.00130774
     -2.0737e-05    -1.41396e-05
    -0.000470043    -0.000387028
    -0.000122655     -9.7293e-05
     -3.1342e-05    -2.20131e-05
    -0.000161056     -0.00013115
    -0.000987959     -0.00099872
      -7.315e-05    -5.75391e-05
    -0.000194795    -0.000152191
    -0.000507783    -0.000477923
     -0.00012364    -9.81646e-05
    -0.000102462    -7.66415e-05
    -0.000738786    -0.000702475
     -8.3297e-05    -6.61856e-05
    -0.000389392    -0.000357774
    -0.000217455    -0.000171559
      -3.613e-05    -2.57681e-05
     -1.8835e-05    -1.26421e-05
     -0.00015917    -0.000127113
     -0.00105463    -0.000981601
      -1.626e-05    -1.10794e-05
      -2.262e-05    -1.55369e-05
    -0.000527052    -0.000518817
    -0.000290372    -0.000254383
    -0.000119481    -9.21844e-05
     -4.7854e-05    -3.47818e-05
    -0.000216901    -0.000188221
     -1.9683e-05    -1.36335e-05
      -7.782e-06    -5.17177e-06
     -4.2547e-05    -3.10407e-05
