QM Energy	FF Energy
    -0.000151134    -0.000120087
     -0.00774815     -0.00861619
    -0.000109292    -8.81075e-05
     -0.00342726     -0.00345243
     -2.6636e-05     1.36944e-05
     -0.00107676     -0.00109496
    -0.000321403    -0.000293418
    -0.000143339    -0.000113018
     -0.00739298     -0.00747259
      -0.0043895     -0.00504727
     -2.9841e-05    -3.65205e-06
    -0.000630123    -0.000621872
    -0.000435052    -0.000345335
      -6.144e-05    -5.82204e-05
      -3.677e-05     6.83636e-06
     -3.7409e-05     1.85236e-06
           7e-06     3.32024e-05
     -0.00245991     -0.00219445
     -8.6712e-05    -6.81741e-05
    -0.000215386    -0.000148565
     -4.9239e-05    -2.35061e-05
    -0.000734855    -0.000732329
     -0.00122428     -0.00119047
    -0.000515233    -0.000481557
    -0.000237947    -0.000190973
    -0.000257279    -0.000264624
      -9.298e-05    -8.08406e-05
     -0.00208755     -0.00215099
     -0.00664034     -0.00660967
     -0.00152332     -0.00138144
    -0.000695155    -0.000565977
     -7.4303e-05    -4.01039e-05
    -0.000282205    -0.000258177
     -0.00178932      -0.0017054
     -8.4021e-05    -7.90621e-05
     -8.4311e-05    -0.000100944
    -0.000109747    -6.02507e-05
     -0.00027741    -0.000240926
     -9.8313e-05    -0.000110146
      -0.0085745     -0.00831007
     -0.00298469     -0.00301273
    -0.000141332      -8.454e-05
    -0.000304893    -0.000241056
    -0.000305203    -0.000323189
     -0.00142428     -0.00143751
      -0.0013818     -0.00129135
     -0.00277827     -0.00269403
     -0.00445691     -0.00435361
    -0.000538947    -0.000490017
     -0.00125508     -0.00113294
     -0.00174339       -0.001625
     -5.7629e-05    -3.22708e-05
    -0.000429192    -0.000411352
    -0.000121327    -6.92229e-05
    -0.000511671    -0.000468031
     -0.00579855     -0.00549761
    -0.000228355    -0.000150624
       3.374e-06     3.01387e-05
      -0.0033728     -0.00341892
     -0.00362919     -0.00363057
     -0.00193497     -0.00198955
    -0.000225547    -0.000199907
    -0.000188215    -0.000147669
    -0.000750324    -0.000838508
    -0.000195706    -0.000163437
     -0.00153996     -0.00148836
     -0.00013983    -9.35693e-05
    -0.000695386    -0.000605347
    -0.000269048    -0.000213237
    -0.000532971    -0.000474561
    -0.000143743    -0.000112554
     -0.00231025      -0.0022058
     -1.2102e-05      1.2702e-05
     -0.00253911     -0.00290864
    -0.000248172     -0.00017584
     -0.00142532     -0.00137936
      -7.579e-05     -8.7579e-05
    -0.000118087    -0.000117693
     -0.00180801     -0.00188237
    -0.000320579    -0.000257772
      -0.0013813     -0.00128099
    -0.000300853     -0.00024505
     -8.8214e-05    -8.36731e-05
    -0.000509561    -0.000490979
      -0.0017439     -0.00170569
    -0.000365913    -0.000315422
    -0.000158926    -0.000102516
      -0.0046658     -0.00482904
    -0.000141993    -8.61715e-05
     -0.00428796     -0.00428361
     -0.00353317     -0.00364036
    -0.000167236    -0.000158393
    -0.000223235    -0.000184912
     -0.00146522     -0.00146057
     -0.00237454     -0.00232403
    -0.000479035    -0.000349149
    -0.000949318    -0.000858472
    -0.000143808     -0.00010176
    -0.000229469    -0.000208808
     -0.00289343     -0.00263577
    -0.000783976    -0.000904603
     -0.00532345     -0.00531425
     -6.4847e-05     -7.7093e-05
     -0.00126225     -0.00119639
     -4.3943e-05    -1.30247e-06
     -0.00384735     -0.00428905
     -7.0135e-05    -6.23358e-05
     -3.6929e-05     8.62266e-08
    -0.000682966    -0.000588629
    -0.000412167    -0.000388553
     -2.9115e-05     3.18171e-06
     -0.00460307     -0.00449957
    -0.000974876     -0.00092497
     -0.00283208     -0.00265095
    -0.000610644    -0.000669072
