QM Energy	FF Energy
     -1.2241e-05    -9.57229e-06
    -0.000720213    -0.000621532
      -6.374e-06    -4.94002e-06
    -0.000347521    -0.000334155
     -2.4085e-05    -2.02378e-05
     -0.00012452     -0.00011872
     -2.1719e-05    -2.00449e-05
       -6.75e-06    -8.73872e-06
     -0.00057081    -0.000579805
    -0.000529671    -0.000472296
      -2.071e-06    -2.50483e-06
     -2.3677e-05    -3.77277e-05
     -3.3536e-05    -3.95289e-05
      -4.302e-06    -3.97797e-06
       -2.71e-06    -3.38166e-06
     -1.0524e-05    -8.76731e-06
      -9.532e-06    -7.65926e-06
    -0.000177015    -0.000219833
       -4.93e-06    -4.25954e-06
     -3.3677e-05    -3.27846e-05
      -8.627e-06    -6.72214e-06
    -0.000144169    -0.000136992
    -0.000129342    -0.000119578
     -1.6713e-05    -2.41793e-05
      -1.443e-05     -1.4391e-05
     -1.7017e-05    -1.54889e-05
      -5.783e-06    -5.76296e-06
    -0.000266087    -0.000264765
    -0.000508771    -0.000475917
     -4.7689e-05     -7.7825e-05
     -3.5958e-05    -4.93676e-05
     -1.5566e-05    -1.26737e-05
     -1.6923e-05    -1.92299e-05
    -0.000138798    -0.000165517
      -6.852e-06     -5.5631e-06
      -4.191e-06    -4.98286e-06
      -4.729e-06    -7.45945e-06
     -2.7749e-05    -2.39609e-05
      -4.301e-06    -5.31298e-06
    -0.000609021    -0.000561422
    -0.000161794    -0.000201776
      -5.378e-06    -9.20193e-06
     -1.2807e-05    -1.92559e-05
     -1.2648e-05    -1.80782e-05
     -8.4378e-05    -0.000101977
     -9.9734e-05    -0.000119007
    -0.000206705    -0.000248537
    -0.000161483    -0.000243033
     -5.5289e-05    -4.97441e-05
     -6.9824e-05    -8.02904e-05
    -0.000135953    -0.000151367
      -4.375e-06    -4.71167e-06
     -2.3903e-05    -2.64827e-05
     -1.2798e-05    -1.19992e-05
     -2.1654e-05    -3.14293e-05
    -0.000316105    -0.000372708
     -2.5722e-05    -2.74532e-05
     -1.0182e-05    -8.18123e-06
    -0.000201789    -0.000241318
    -0.000251261    -0.000271272
    -0.000143931    -0.000144321
     -1.3532e-05    -1.32822e-05
     -1.6695e-05    -1.48617e-05
     -3.8759e-05    -4.83764e-05
     -2.5544e-05     -2.1577e-05
       -9.44e-05    -0.000109403
      -9.282e-06    -1.07539e-05
     -4.6551e-05    -5.14211e-05
      -4.254e-05     -3.7002e-05
     -7.1767e-05    -6.73713e-05
     -2.3046e-05    -1.91737e-05
    -0.000118208    -0.000155518
       -8.06e-06     -6.3745e-06
    -0.000343207    -0.000321683
     -5.1234e-05    -4.85713e-05
     -6.6572e-05    -9.28978e-05
        -3.8e-06    -3.70976e-06
      -5.964e-06    -6.27357e-06
      -8.575e-05    -0.000115212
     -3.9319e-05    -3.58376e-05
     -9.6344e-05    -9.77014e-05
     -4.3159e-05    -3.76833e-05
      -4.958e-06    -4.34687e-06
     -2.1533e-05    -2.85869e-05
    -0.000142385    -0.000160892
     -2.1033e-05    -2.33747e-05
     -1.0134e-05    -1.12123e-05
     -0.00049633    -0.000428041
     -1.1879e-05    -1.30151e-05
    -0.000200283    -0.000270441
     -0.00030967    -0.000302516
     -1.5867e-05     -1.3737e-05
     -1.5846e-05    -1.32849e-05
    -0.000192111      -0.0002106
     -7.0639e-05    -0.000122107
     -3.1406e-05    -3.80442e-05
       -4.94e-05    -6.91896e-05
     -1.9713e-05    -1.74453e-05
     -1.4041e-05    -1.49823e-05
    -0.000192498    -0.000217526
    -0.000207461    -0.000198215
    -0.000226751    -0.000295048
      -3.451e-06    -3.20754e-06
    -0.000116501    -0.000113046
     -1.8627e-05     -1.5475e-05
    -0.000411347    -0.000362931
      -3.102e-06    -4.65973e-06
      -5.724e-06    -5.39608e-06
     -6.3843e-05    -6.19289e-05
     -4.5707e-05     -4.0778e-05
     -1.1175e-05    -9.04529e-06
    -0.000379184    -0.000362746
     -5.6119e-05    -6.09868e-05
    -0.000208456    -0.000210542
     -4.8391e-05    -4.71806e-05
    -0.000105279    -0.000131377
    -0.000166952    -0.000178213
