QM Energy	FF Energy
       -0.001458     -0.00119165
    -0.000681707    -0.000586708
    -0.000120555    -7.31089e-05
     -0.00184018     -0.00174475
     -0.00435162     -0.00436215
    -0.000784405    -0.000633433
    -0.000170371    -0.000118679
    -0.000695759    -0.000577235
     -0.00151735     -0.00127031
    -0.000597157    -0.000464131
    -0.000309679    -0.000209169
    -0.000124536    -9.87277e-05
     -0.00318377     -0.00303604
     -0.00118651     -0.00105624
    -0.000155551    -0.000125726
      -0.0024403     -0.00247071
    -0.000180098    -0.000135856
     -0.00671784     -0.00603759
     -0.00113843    -0.000949365
     -0.00671394      -0.0057708
    -0.000176509    -0.000104538
    -0.000688017    -0.000561035
     -0.00297177     -0.00266809
    -0.000106429    -6.89686e-05
     -0.00420859     -0.00453927
     -0.00830799     -0.00908874
    -0.000320298    -0.000230836
     -0.00236787     -0.00194776
     -0.00186554     -0.00149151
     -0.00156993     -0.00149902
     -0.00453087       -0.004592
    -0.000164092    -8.49409e-05
     -0.00449055     -0.00416415
     -0.00171369     -0.00155914
     -0.00247865     -0.00223146
    -0.000717782    -0.000579449
    -0.000193245    -0.000150446
     -0.00363137     -0.00330817
    -0.000107336     -7.2188e-05
     -0.00649362     -0.00602622
     -0.00196232     -0.00182802
    -0.000245514    -0.000150781
    -0.000284587    -0.000223709
    -0.000213528    -0.000152974
    -0.000442271    -0.000333046
     -0.00236679     -0.00238385
    -0.000992407    -0.000744951
    -0.000454025    -0.000303276
    -0.000363142    -0.000241407
    -0.000167712    -0.000104317
     -0.00812123     -0.00763226
     -9.8712e-05    -5.05203e-05
     -0.00460653     -0.00433382
     -0.00320923     -0.00302288
    -0.000400145    -0.000295076
      -0.0116825      -0.0109784
     -0.00162287     -0.00134383
    -0.000258244    -0.000193517
     -0.00058792    -0.000483306
    -0.000764566    -0.000695622
      -0.0034861     -0.00317621
    -0.000129311    -8.85561e-05
     -0.00280155     -0.00238936
    -0.000212002    -0.000131985
      -0.0047717     -0.00438707
    -0.000225173    -0.000120776
    -0.000167114    -8.36035e-05
     -0.00714284     -0.00751358
    -0.000107263    -8.23635e-05
    -0.000116636    -5.64805e-05
    -0.000510045    -0.000404496
    -0.000208963    -0.000124988
     -0.00156164     -0.00120171
     -0.00322085     -0.00334442
    -0.000399659    -0.000295319
    -0.000289953     -0.00020164
    -0.000590645    -0.000425855
      -0.0047587     -0.00492174
     -0.00486881     -0.00424759
    -0.000201261    -0.000114234
    -0.000363457    -0.000238897
    -0.000348685    -0.000198594
    -0.000891927    -0.000770874
    -0.000655655     -0.00052049
     -0.00248717     -0.00243905
     -0.00667673     -0.00730906
    -0.000319774     -0.00021241
    -0.000365858    -0.000257156
     -0.00170753     -0.00164869
    -0.000315778      -0.0001867
     -0.00100079    -0.000873429
     -0.00454027     -0.00488031
