QM Energy	FF Energy
     -6.2501e-05     -8.2978e-05
     -4.9051e-05    -4.57357e-05
      -9.744e-06    -6.31238e-06
    -0.000123464    -0.000135645
    -0.000422217     -0.00041689
     -4.2046e-05    -4.56955e-05
      -8.505e-06    -7.12532e-06
     -3.3399e-05    -3.54917e-05
     -9.6457e-05    -9.51361e-05
     -2.5926e-05    -3.01013e-05
     -2.4393e-05    -1.97495e-05
      -5.735e-06    -5.14119e-06
    -0.000217101    -0.000231393
      -8.428e-05    -8.18413e-05
      -9.096e-06    -7.94817e-06
    -0.000325759    -0.000303313
     -1.4831e-05    -1.10716e-05
    -0.000321142    -0.000406871
    -0.000146971    -0.000126173
    -0.000258377    -0.000401502
      -2.175e-05    -1.46965e-05
     -3.4336e-05    -3.61557e-05
    -0.000285104    -0.000280215
      -7.349e-06     -6.0369e-06
    -0.000454049    -0.000425649
    -0.000659796    -0.000584072
     -1.9126e-05    -1.82296e-05
    -0.000129354    -0.000174265
    -0.000104252     -0.00011609
    -0.000102239    -9.96966e-05
    -0.000321467     -0.00032111
     -2.7715e-05    -1.84748e-05
     -0.00038241    -0.000360402
    -0.000110855    -0.000118338
    -0.000225579    -0.000242165
     -2.8322e-05    -4.10522e-05
     -1.4161e-05    -1.06536e-05
     -0.00030148    -0.000308311
      -4.596e-06    -3.58713e-06
    -0.000278293       -0.000377
    -0.000232981    -0.000242223
     -1.0078e-05    -9.12809e-06
     -1.1696e-05    -1.62303e-05
     -1.4777e-05      -1.126e-05
     -2.4675e-05    -2.38108e-05
    -0.000381346    -0.000347996
     -4.0445e-05     -5.3683e-05
     -2.5855e-05    -2.20372e-05
     -3.3531e-05    -2.70209e-05
     -1.4851e-05    -1.11815e-05
    -0.000461865    -0.000512318
      -1.171e-05    -7.22114e-06
    -0.000317115    -0.000368209
    -0.000169036    -0.000214477
     -4.3155e-05    -3.50965e-05
      -0.0007236    -0.000778416
     -9.3553e-05    -0.000108189
     -1.4538e-05     -1.2778e-05
      -9.483e-05    -7.86341e-05
     -5.0065e-05    -4.61919e-05
    -0.000228217     -0.00024641
      -9.423e-06    -6.85491e-06
     -0.00020071    -0.000212723
      -9.974e-06    -9.90335e-06
    -0.000297566    -0.000330642
     -2.6253e-05    -1.71583e-05
     -1.8836e-05     -1.2178e-05
    -0.000587555    -0.000512503
      -6.251e-06    -5.37676e-06
      -9.885e-06     -8.1309e-06
     -7.5778e-05    -6.23918e-05
     -2.4589e-05     -1.6461e-05
     -9.2351e-05     -0.00010571
    -0.000218285    -0.000231741
     -2.6542e-05    -2.42695e-05
     -1.7146e-05     -1.4179e-05
     -2.7019e-05    -3.13017e-05
    -0.000612995    -0.000583646
    -0.000238751    -0.000354572
      -7.292e-06    -1.13925e-05
     -1.4753e-05    -1.67698e-05
     -2.9976e-05    -2.31816e-05
     -6.8786e-05    -6.62273e-05
     -3.2831e-05    -3.79562e-05
    -0.000103681    -0.000133404
    -0.000678311    -0.000676902
     -2.9888e-05    -2.35534e-05
     -2.6143e-05    -2.20588e-05
    -0.000214075    -0.000208041
      -2.786e-05    -2.23563e-05
     -6.5098e-05    -6.62198e-05
    -0.000425906    -0.000383187
     -2.1497e-05    -2.01885e-05
     -7.9932e-05    -6.38268e-05
    -0.000212809    -0.000235248
    -0.000423492    -0.000416825
     -1.6923e-05    -1.48614e-05
     -1.1537e-05    -1.06035e-05
     -4.3954e-05    -4.10503e-05
     -1.8624e-05    -1.58197e-05
    -0.000169036    -0.000161615
     -1.4154e-05    -1.10743e-05
    -0.000293349    -0.000333728
     -1.9537e-05    -1.26178e-05
    -0.000193997    -0.000225551
    -0.000190832    -0.000170575
    -0.000122499    -0.000150046
      -8.031e-06    -7.47416e-06
     -1.6757e-05    -1.18998e-05
     -5.1434e-05     -9.9377e-05
    -0.000166334    -0.000185319
    -0.000232888    -0.000232462
    -0.000367478     -0.00033625
       -9.59e-06    -6.56094e-06
    -0.000142242    -0.000133773
     -7.5949e-05    -7.82358e-05
      -6.347e-06    -5.51017e-06
     -8.3116e-05    -8.71535e-05
     -7.9651e-05    -9.77176e-05
    -0.000264634     -0.00029543
    -0.000101538    -8.04795e-05
    -0.000183573    -0.000166844
       -9.82e-06    -7.91418e-06
     -2.9719e-05    -3.21797e-05
     -9.7127e-05    -0.000142517
    -0.000226208    -0.000203773
     -2.1003e-05    -1.59188e-05
       -7.77e-06    -5.69718e-06
     -2.4359e-05    -2.33043e-05
     -1.9624e-05    -2.11203e-05
     -2.5571e-05     -1.8572e-05
     -4.4032e-05    -6.41557e-05
     -7.3746e-05     -7.6852e-05
      -9.867e-05    -0.000120843
    -0.000264415    -0.000237219
     -4.3823e-05    -5.32951e-05
      -4.608e-06    -4.10728e-06
     -8.6852e-05    -8.02908e-05
     -1.7839e-05     -1.6253e-05
     -9.2559e-05    -7.98262e-05
       -9.63e-06    -1.03043e-05
     -1.5608e-05    -1.21247e-05
    -0.000307438    -0.000374755
     -1.6059e-05    -1.37504e-05
      -7.048e-06    -5.74148e-06
    -0.000230512    -0.000312206
       -4.78e-06    -4.21801e-06
     -1.7385e-05    -1.09207e-05
    -0.000227405    -0.000243972
    -0.000326754    -0.000373222
     -0.00110436    -0.000794224
     -0.00038255    -0.000378831
     -5.9507e-05    -6.78558e-05
     -9.6409e-05    -0.000132986
      -8.592e-06    -4.87449e-06
     -9.2251e-05    -8.65504e-05
     -5.9867e-05     -5.8237e-05
     -7.8549e-05    -0.000109563
    -0.000297549     -0.00027609
    -0.000170909    -0.000199073
     -0.00063345    -0.000616562
    -0.000422511    -0.000408029
    -0.000381331    -0.000367364
     -1.1555e-05    -7.94083e-06
    -0.000145657    -0.000157646
     -1.0002e-05    -7.92986e-06
    -0.000202625    -0.000188616
     -1.4281e-05    -1.25052e-05
      -9.959e-06    -6.49054e-06
     -2.2509e-05    -1.50392e-05
     -1.4313e-05    -1.08747e-05
     -9.2221e-05     -0.00011113
      -4.874e-06    -3.46179e-06
     -2.3884e-05    -1.74841e-05
    -0.000405308    -0.000375432
     -1.2015e-05    -8.23279e-06
      -7.753e-06      -6.281e-06
       -9.99e-06    -7.26193e-06
      -6.312e-06    -5.25427e-06
     -7.8707e-05    -8.80694e-05
     -2.6872e-05    -1.98604e-05
    -0.000524032    -0.000498863
      -7.589e-05    -8.94243e-05
     -1.2632e-05    -1.24704e-05
     -4.8554e-05    -4.09955e-05
      -5.337e-05    -5.30825e-05
    -0.000236331     -0.00027565
     -6.1081e-05    -4.59313e-05
    -0.000654541     -0.00055694
      -4.704e-05    -3.88665e-05
      -2.837e-05    -2.03625e-05
     -2.0569e-05     -1.3915e-05
     -5.3382e-05    -4.46965e-05
    -0.000334984    -0.000315177
     -1.3339e-05    -1.34719e-05
     -3.9121e-05      -4.504e-05
    -0.000148768    -0.000133905
    -0.000634471     -0.00061823
     -5.0413e-05    -5.40308e-05
    -0.000219403    -0.000222922
    -0.000156019    -0.000167968
    -0.000204024    -0.000210183
     -3.9513e-05    -5.72435e-05
    -0.000159074    -0.000189014
    -0.000287279    -0.000268645
     -3.7995e-05    -2.76844e-05
    -0.000100578    -0.000144413
     -4.6498e-05    -6.77605e-05
     -5.8007e-05    -5.40238e-05
     -1.1647e-05    -8.90975e-06
     -1.4584e-05    -1.22097e-05
          -3e-05    -2.63445e-05
     -7.6657e-05     -7.4595e-05
      -5.189e-06    -4.30703e-06
     -3.2774e-05    -3.07131e-05
     -2.1928e-05    -1.70324e-05
     -8.0894e-05    -8.69245e-05
     -7.2427e-05    -8.33458e-05
     -1.6614e-05    -1.22763e-05
     -1.1799e-05    -8.32772e-06
      -9.305e-06    -5.97388e-06
     -2.0688e-05    -1.48402e-05
     -1.7156e-05     -1.9326e-05
     -1.0496e-05    -1.28092e-05
     -3.7206e-05    -3.35674e-05
     -6.5855e-05    -6.55613e-05
     -1.9883e-05    -2.01202e-05
    -0.000290281    -0.000280144
      -9.871e-05    -9.94826e-05
      -7.033e-06    -6.42933e-06
          -7e-06    -6.71535e-06
     -6.1785e-05    -5.67857e-05
    -0.000112273    -9.59082e-05
      -5.769e-06    -5.05422e-06
     -1.6566e-05    -1.32868e-05
       -1.82e-05    -1.80716e-05
    -0.000150101    -0.000143966
     -2.9121e-05    -2.63785e-05
    -0.000770271    -0.000802765
    -0.000184071    -0.000167859
     -1.3922e-05    -1.36079e-05
    -0.000144433     -0.00012561
     -1.8176e-05    -1.36237e-05
      -8.068e-06     -5.7736e-06
     -2.8983e-05    -2.92128e-05
     -9.1938e-05    -0.000135412
     -0.00012466    -0.000173565
    -0.000343888    -0.000333546
     -5.2335e-05    -4.66697e-05
     -1.7482e-05    -1.38457e-05
      -4.035e-05    -3.83952e-05
    -0.000164946    -0.000163111
    -0.000102222     -0.00010298
     -6.3561e-05    -5.30474e-05
     -4.1975e-05    -3.54979e-05
