QM Energy	FF Energy
     -2.5975e-05    -3.36954e-05
     -0.00146537     -0.00136964
      -1.439e-05    -1.93818e-05
    -0.000793975    -0.000806773
     -3.9407e-05    -5.07504e-05
    -0.000282127    -0.000301529
     -5.5284e-05    -6.59574e-05
     -2.4928e-05    -3.03829e-05
     -0.00134514     -0.00135256
     -0.00107918     -0.00101671
      -6.541e-06    -9.00782e-06
    -0.000109078    -0.000114287
    -0.000106702     -0.00012322
      -8.757e-06    -1.16218e-05
        -9.2e-06    -1.23677e-05
     -2.1866e-05    -2.89317e-05
     -1.4111e-05    -1.93215e-05
    -0.000562266    -0.000605721
      -1.251e-05     -1.7023e-05
     -8.0114e-05    -9.56238e-05
     -1.5631e-05    -2.10258e-05
    -0.000283482    -0.000311268
    -0.000295151    -0.000316064
     -7.8844e-05    -9.52378e-05
     -4.1935e-05     -5.2016e-05
     -4.2608e-05    -5.18029e-05
     -1.6361e-05      -2.104e-05
    -0.000591481    -0.000607728
     -0.00116268      -0.0011573
    -0.000247426    -0.000260943
    -0.000151804    -0.000169854
     -2.8615e-05    -3.70345e-05
     -5.3837e-05    -6.31499e-05
    -0.000424951    -0.000430475
     -1.4549e-05    -1.92705e-05
     -1.0391e-05    -1.32588e-05
     -2.0044e-05    -2.44354e-05
     -6.1859e-05    -7.54605e-05
     -1.2812e-05    -1.64268e-05
      -0.0012687     -0.00142595
    -0.000561451    -0.000540941
     -2.4603e-05    -2.90786e-05
     -5.8601e-05    -6.70071e-05
     -4.7879e-05    -5.40874e-05
    -0.000280493    -0.000286804
    -0.000315783    -0.000331029
    -0.000616291    -0.000622871
    -0.000702432    -0.000665538
    -0.000125342    -0.000144425
    -0.000235063     -0.00025768
     -0.00038898    -0.000412334
     -1.2427e-05    -1.62129e-05
     -7.5507e-05    -8.69303e-05
      -3.135e-05    -3.92997e-05
     -9.4476e-05    -0.000104386
    -0.000939616     -0.00100972
     -7.1073e-05    -8.48431e-05
     -1.5222e-05    -2.07561e-05
    -0.000648552    -0.000627742
    -0.000708653    -0.000702716
    -0.000391641    -0.000400638
     -3.8427e-05    -4.70448e-05
     -3.9738e-05    -4.97083e-05
    -0.000130637    -0.000132671
     -5.2225e-05     -6.4835e-05
    -0.000308137    -0.000314002
     -3.1004e-05    -3.91252e-05
    -0.000144761    -0.000160152
     -8.4512e-05    -0.000101911
    -0.000157526    -0.000178184
     -4.4006e-05     -5.5379e-05
     -0.00043722    -0.000444855
      -1.353e-05    -1.84328e-05
    -0.000717133      -0.0006991
    -0.000109827     -0.00013002
    -0.000269026    -0.000274636
      -8.664e-06    -1.15301e-05
     -1.6924e-05     -2.1865e-05
    -0.000328128    -0.000320017
     -8.8215e-05    -0.000104445
    -0.000272119    -0.000290921
     -8.7864e-05    -0.000105302
     -1.1845e-05    -1.59096e-05
     -8.5937e-05    -9.62054e-05
     -0.00041105    -0.000424916
     -6.9223e-05    -8.39191e-05
     -3.5935e-05    -4.55954e-05
     -0.00103378      -0.0010298
     -3.9271e-05    -4.85327e-05
     -0.00074385    -0.000704042
    -0.000757526    -0.000754834
     -3.3213e-05     -4.1044e-05
      -3.758e-05    -4.72364e-05
    -0.000466131    -0.000484874
    -0.000370852    -0.000384578
    -0.000115419    -0.000136978
    -0.000195651     -0.00021053
     -4.4333e-05    -5.50736e-05
     -4.2036e-05    -5.02745e-05
    -0.000576255    -0.000603054
    -0.000376354    -0.000405539
    -0.000836544    -0.000779426
      -7.222e-06    -9.78905e-06
    -0.000289311    -0.000309651
     -3.2869e-05    -4.24047e-05
    -0.000889314    -0.000835097
     -1.0734e-05     -1.3783e-05
     -1.4527e-05    -1.91919e-05
    -0.000159982    -0.000180489
    -0.000100388    -0.000117349
     -2.0024e-05    -2.66625e-05
    -0.000913739    -0.000923612
    -0.000178953      -0.0001994
    -0.000564259    -0.000581231
    -0.000119495    -0.000127874
    -0.000333198    -0.000351654
    -0.000473563    -0.000458981
    -0.000801136    -0.000795447
     -3.1583e-05    -4.02664e-05
      -5.681e-06    -7.60603e-06
     -7.4747e-05    -8.20788e-05
     -1.6772e-05    -2.22292e-05
     -5.2031e-05    -6.10416e-05
     -5.8071e-05    -6.90949e-05
    -0.000190911    -0.000209378
    -0.000115801    -0.000137098
     -1.5923e-05    -1.98542e-05
    -0.000262755    -0.000295576
     -0.00125104     -0.00129489
    -0.000358227    -0.000361937
    -0.000547271     -0.00056114
      -9.314e-05    -0.000110279
     -0.00101068    -0.000975617
    -0.000100036    -0.000116993
      -3.362e-05    -4.32843e-05
     -1.6648e-05    -2.18209e-05
    -0.000423692    -0.000444988
     -6.8904e-05    -8.31666e-05
    -0.000133899    -0.000149475
     -1.4066e-05    -1.87947e-05
     -2.6426e-05    -3.34472e-05
     -4.8135e-05    -5.90033e-05
     -8.3357e-05     -9.8422e-05
    -0.000680391    -0.000639862
     -3.3288e-05    -4.21896e-05
    -0.000158443    -0.000165157
    -0.000728279    -0.000729133
    -0.000398561    -0.000427054
    -0.000271028    -0.000283711
     -0.00048418     -0.00044743
     -1.0911e-05    -1.51024e-05
       -5.39e-06    -7.27773e-06
    -0.000517683    -0.000503549
    -0.000627571    -0.000641284
     -9.7355e-05    -0.000112973
     -3.4144e-05      -4.001e-05
    -0.000634833    -0.000626165
    -0.000858922    -0.000859198
       -8.27e-06    -1.09545e-05
     -0.00076112    -0.000819859
     -7.2019e-05    -8.20134e-05
    -0.000428069    -0.000420817
      -1.701e-05    -2.24272e-05
       -2.62e-05    -3.33031e-05
    -0.000739082    -0.000736751
    -0.000105891    -0.000125382
     -5.4137e-05    -6.06053e-05
    -0.000228269    -0.000249565
    -0.000503929    -0.000458577
    -0.000331742    -0.000352519
    -0.000892379    -0.000867711
      -3.127e-05    -4.00872e-05
     -3.3438e-05    -4.09026e-05
     -3.0162e-05    -3.70162e-05
     -4.2271e-05    -5.32189e-05
     -6.3342e-05    -7.02596e-05
     -1.9589e-05    -2.60385e-05
    -0.000136043    -0.000154249
    -0.000232378    -0.000247156
    -0.000858225    -0.000808275
    -0.000174701    -0.000184432
     -1.0786e-05    -1.42847e-05
     -1.8415e-05    -2.44407e-05
     -1.9084e-05    -2.42385e-05
     -2.3835e-05    -2.98578e-05
     -3.0171e-05     -3.7783e-05
     -0.00026622    -0.000289531
    -0.000206555    -0.000208314
    -0.000212534    -0.000232134
    -0.000223244    -0.000228401
    -0.000905449    -0.000905012
     -0.00123206     -0.00121937
    -0.000463589    -0.000483931
     -4.6917e-05    -5.30167e-05
    -0.000147045    -0.000167127
      -9.458e-06    -1.21136e-05
     -3.5941e-05    -4.29485e-05
      -5.811e-06    -7.69544e-06
     -1.5908e-05    -2.15145e-05
     -8.8275e-05    -9.78367e-05
    -0.000129959      -0.0001519
    -0.000127473    -0.000140358
     -3.8111e-05    -4.48885e-05
     -6.9317e-05    -7.77138e-05
    -0.000666418     -0.00061111
    -0.000854422    -0.000779466
    -0.000157494    -0.000181225
     -0.00047216    -0.000497339
    -0.000625427    -0.000593046
    -0.000554923    -0.000562849
    -0.000175005    -0.000189955
     -1.4662e-05    -1.97789e-05
     -3.6619e-05    -4.22741e-05
     -7.5921e-05    -8.64602e-05
     -2.6528e-05    -3.51265e-05
    -0.000827265    -0.000778755
      -4.981e-05    -6.21186e-05
     -1.5034e-05    -1.89288e-05
      -6.135e-05    -7.51104e-05
    -0.000133423     -0.00014443
      -1.017e-05      -1.433e-05
     -8.9283e-05    -0.000101943
    -0.000272148    -0.000265583
    -0.000714812    -0.000733583
    -0.000645772    -0.000668789
     -3.2913e-05    -3.88573e-05
     -9.2945e-05    -0.000106817
    -0.000335725    -0.000352152
     -1.3686e-05    -1.69833e-05
     -1.6459e-05    -2.18942e-05
     -0.00066484    -0.000656548
     -0.00120147     -0.00117364
     -3.1571e-05    -3.87495e-05
     -2.7919e-05     -3.6229e-05
    -0.000157009    -0.000182028
    -0.000116048    -0.000128639
      -1.575e-05     -2.1032e-05
      -9.793e-05    -0.000112527
     -3.4817e-05    -4.48864e-05
     -3.9227e-05    -4.94938e-05
     -0.00140293     -0.00140943
    -0.000284678    -0.000296439
     -3.7035e-05    -4.70315e-05
    -0.000492459    -0.000515495
     -9.0699e-05    -0.000105102
    -0.000199958    -0.000212108
     -7.2933e-05    -8.60832e-05
    -0.000288372    -0.000296824
    -0.000380982    -0.000366312
     -7.0012e-05    -8.39726e-05
     -2.4156e-05    -3.13655e-05
    -0.000550486    -0.000540547
    -0.000285251    -0.000306171
    -0.000176217    -0.000197122
     -2.5092e-05    -2.98394e-05
    -0.000200589    -0.000223782
     -3.7536e-05    -4.78905e-05
    -0.000486844    -0.000492068
      -9.171e-06    -1.22017e-05
     -0.00056227    -0.000575419
     -4.0951e-05    -5.19773e-05
    -0.000262677    -0.000290241
     -4.3899e-05    -5.23073e-05
    -0.000966774    -0.000853208
    -0.000291372    -0.000315019
     -7.5384e-05    -8.96279e-05
     -0.00019179    -0.000206775
    -0.000740894    -0.000693688
    -0.000375498    -0.000397868
      -9.137e-06    -1.23558e-05
     -1.3806e-05    -1.86038e-05
     -9.6463e-05    -0.000108978
     -3.1704e-05    -4.08642e-05
    -0.000698244    -0.000702635
    -0.000151592    -0.000162308
      -0.0010306     -0.00102805
      -0.0007809    -0.000780255
     -4.7746e-05    -5.89575e-05
    -0.000498504    -0.000516893
