QM Energy	FF Energy
    -0.000151134    -0.000153786
     -0.00774815      -0.0082525
    -0.000109292    -0.000111607
     -0.00342726     -0.00339965
     -2.6636e-05     -2.2802e-05
     -0.00107676      -0.0011709
    -0.000321403    -0.000354328
    -0.000143339    -0.000148648
     -0.00739298      -0.0072606
      -0.0043895      -0.0048354
     -2.9841e-05    -1.64462e-05
    -0.000630123    -0.000717366
    -0.000435052    -0.000426588
      -6.144e-05    -7.39438e-05
      -3.677e-05    -9.56565e-06
     -3.7409e-05    -2.59069e-05
           7e-06     1.46441e-05
     -0.00245991     -0.00230427
     -8.6712e-05    -9.01951e-05
    -0.000215386    -0.000208454
     -4.9239e-05    -4.46898e-05
    -0.000734855    -0.000785518
     -0.00122428     -0.00128832
    -0.000515233      -0.0005657
    -0.000237947    -0.000243479
    -0.000257279    -0.000312155
      -9.298e-05    -0.000105576
     -0.00208755     -0.00213158
     -0.00664034     -0.00640341
     -0.00152332     -0.00153101
    -0.000695155    -0.000678547
     -7.4303e-05    -7.18607e-05
    -0.000282205    -0.000318783
     -0.00178932       -0.001783
     -8.4021e-05    -0.000100568
     -8.4311e-05    -0.000119808
    -0.000109747    -8.96858e-05
     -0.00027741    -0.000295711
     -9.8313e-05    -0.000132614
      -0.0085745     -0.00804419
     -0.00298469     -0.00312325
    -0.000141332    -0.000118348
    -0.000304893    -0.000304576
    -0.000305203    -0.000380867
     -0.00142428     -0.00155478
      -0.0013818     -0.00140917
     -0.00277827     -0.00273203
     -0.00445691     -0.00449902
    -0.000538947    -0.000566698
     -0.00125508      -0.0012572
     -0.00174339     -0.00174318
     -5.7629e-05    -5.26878e-05
    -0.000429192    -0.000487296
    -0.000121327    -0.000107132
    -0.000511671    -0.000557948
     -0.00579855     -0.00550256
    -0.000228355    -0.000211026
       3.374e-06     1.05269e-05
      -0.0033728     -0.00354335
     -0.00362919     -0.00371281
     -0.00193497     -0.00210766
    -0.000225547    -0.000245919
    -0.000188215    -0.000194512
    -0.000750324    -0.000939411
    -0.000195706    -0.000210842
     -0.00153996     -0.00160535
     -0.00013983    -0.000133768
    -0.000695386     -0.00069985
    -0.000269048    -0.000272127
    -0.000532971    -0.000553255
    -0.000143743    -0.000154266
     -0.00231025     -0.00235374
     -1.2102e-05     -5.8386e-06
     -0.00253911      -0.0028433
    -0.000248172    -0.000240651
     -0.00142532      -0.0015255
      -7.579e-05    -0.000103483
    -0.000118087    -0.000145338
     -0.00180801     -0.00203311
    -0.000320579    -0.000320847
      -0.0013813     -0.00140937
    -0.000300853    -0.000309187
     -8.8214e-05    -0.000104373
    -0.000509561    -0.000574346
      -0.0017439     -0.00178936
    -0.000365913    -0.000387129
    -0.000158926    -0.000150995
      -0.0046658      -0.0046863
    -0.000141993    -0.000132737
     -0.00428796     -0.00438488
     -0.00353317     -0.00362598
    -0.000167236    -0.000197927
    -0.000223235    -0.000229234
     -0.00146522      -0.0014836
     -0.00237454      -0.0024984
    -0.000479035    -0.000446942
    -0.000949318    -0.000977194
    -0.000143808    -0.000145432
    -0.000229469    -0.000256784
     -0.00289343     -0.00275275
    -0.000783976     -0.00091455
     -0.00532345     -0.00540668
     -6.4847e-05    -9.09546e-05
     -0.00126225     -0.00128877
     -4.3943e-05    -3.50577e-05
     -0.00384735     -0.00422798
     -7.0135e-05    -8.15445e-05
     -3.6929e-05    -2.14759e-05
    -0.000682966    -0.000685306
    -0.000412167    -0.000456268
     -2.9115e-05    -2.16726e-05
     -0.00460307     -0.00448228
    -0.000974876     -0.00103666
     -0.00283208     -0.00275619
    -0.000610644    -0.000758986
     -0.00137133     -0.00138135
     -0.00222705     -0.00236111
     -0.00427783     -0.00434494
    -0.000199529    -0.000201155
     -1.1998e-05     3.98001e-06
    -0.000454138    -0.000582421
     -7.5536e-05     -7.5264e-05
    -0.000249217    -0.000254823
    -0.000258471    -0.000299759
    -0.000978619     -0.00101753
    -0.000276422    -0.000289135
     -0.00013702    -0.000199681
     -0.00120601     -0.00113527
     -0.00652539      -0.0062061
       -0.001937       -0.001952
     -0.00211119     -0.00217953
    -0.000430684    -0.000458184
     -0.00432174     -0.00451266
     -0.00047127    -0.000440955
    -0.000109499    -0.000107956
    -0.000103606     -0.00012176
     -0.00121242     -0.00132565
    -0.000373492    -0.000375899
    -0.000812631    -0.000830573
     -8.1224e-05    -9.22163e-05
    -0.000107211    -0.000115109
    -0.000177156    -0.000167998
    -0.000495822    -0.000511452
     -0.00325865     -0.00344587
    -0.000152639    -0.000167102
    -0.000904296     -0.00105214
     -0.00334929     -0.00329219
    -0.000827254    -0.000969254
     -0.00144778     -0.00142608
      -0.0023079     -0.00283312
     -5.7463e-05    -5.66486e-05
     -2.9923e-05    -3.46593e-05
     -0.00242875     -0.00252516
     -0.00309177     -0.00304081
    -0.000543853    -0.000583097
    -0.000209377    -0.000237386
     -0.00258023     -0.00279317
     -0.00301675     -0.00309918
     -3.0454e-05    -2.60353e-05
     -0.00319964     -0.00297876
    -0.000446065    -0.000546103
     -0.00214405     -0.00236157
     -3.3357e-05    -2.39206e-05
    -0.000150095    -0.000168456
     -0.00500255     -0.00489027
    -0.000481535       -0.000456
    -0.000358275    -0.000460768
     -0.00096436     -0.00100016
     -0.00301216     -0.00321042
     -0.00161835     -0.00160403
     -0.00412886       -0.004356
    -0.000141618    -0.000135191
    -0.000205893    -0.000166486
    -0.000153836    -0.000167347
    -0.000209197    -0.000206644
    -0.000396814    -0.000492423
     -1.5252e-05    -5.43619e-06
    -0.000677524    -0.000707502
     -0.00117232     -0.00115367
     -0.00477584     -0.00510823
    -0.000979753     -0.00111971
     -4.6517e-05    -1.70291e-05
     -0.00010322    -0.000102654
    -0.000136758    -0.000167092
     -9.1426e-05    -8.33837e-05
    -0.000211089     -0.00024412
     -0.00110147     -0.00110976
     -0.00126833     -0.00124709
     -0.00112154     -0.00113422
     -0.00120682     -0.00132569
     -0.00525646     -0.00515936
     -0.00619968     -0.00605135
     -0.00141024     -0.00141266
    -0.000277341      -0.0002842
    -0.000775567    -0.000754745
     -7.8925e-05    -0.000113618
     -0.00024154    -0.000290447
     -2.1616e-05    -8.80997e-06
      -9.915e-06    -2.58332e-06
    -0.000439958    -0.000429813
    -0.000279945    -0.000301359
    -0.000756947    -0.000865893
    -0.000239618     -0.00027368
    -0.000389593    -0.000398748
     -0.00376411     -0.00395784
     -0.00377586     -0.00440074
    -0.000369328    -0.000394109
     -0.00108535     -0.00124286
     -0.00316045     -0.00327988
     -0.00269723     -0.00274102
    -0.000994509      -0.0010874
    -0.000106456    -0.000114224
    -0.000229435     -0.00019116
    -0.000404088    -0.000441274
       -7.24e-07     4.17973e-06
      -0.0038354     -0.00421081
    -0.000169694     -0.00018523
    -0.000103429    -0.000134072
    -0.000362522    -0.000351931
    -0.000759945    -0.000869057
     -1.7909e-05    -2.79381e-06
    -0.000544859    -0.000622314
     -0.00152231     -0.00162286
     -0.00364532     -0.00350894
     -0.00298376     -0.00288544
     -0.00021843    -0.000272735
    -0.000498083     -0.00057392
     -0.00159079     -0.00163009
     -7.0117e-05    -3.98314e-05
     -6.2958e-05    -6.79148e-05
     -0.00350537     -0.00346795
     -0.00812106     -0.00821385
    -0.000170757     -0.00020545
    -0.000122775    -0.000121312
    -0.000339901    -0.000369783
     -0.00051588    -0.000612527
     -8.7438e-05    -9.59738e-05
     -0.00043778    -0.000500757
     -6.9612e-05    -5.16156e-05
    -0.000235083    -0.000238549
     -0.00801755     -0.00779034
     -0.00146139     -0.00158091
    -0.000140815    -0.000125639
     -0.00233935     -0.00227156
     -0.00053891    -0.000615362
     -0.00108894     -0.00110598
    -0.000386278    -0.000402007
     -0.00117817     -0.00131737
     -0.00221326     -0.00232419
    -0.000227638    -0.000240669
     -8.6787e-05    -7.35804e-05
     -0.00280324     -0.00278198
     -0.00135505     -0.00141056
    -0.000611922    -0.000610117
    -0.000126382    -0.000114898
    -0.000904914    -0.000909258
    -0.000142661    -0.000140201
     -0.00205445     -0.00209685
     -7.4569e-05    -0.000102727
     -0.00221379     -0.00221742
    -0.000165582     -0.00016287
     -0.00123068     -0.00119211
    -0.000292104    -0.000323626
     -0.00500696     -0.00562692
     -0.00138158     -0.00133503
     -0.00028577    -0.000280072
    -0.000888648     -0.00100432
     -0.00427797     -0.00436302
     -0.00153769      -0.0015717
     -5.9284e-05    -6.05894e-05
     -7.9122e-05    -8.30442e-05
    -0.000542964    -0.000611478
     -8.5329e-05     -6.5573e-05
      -0.0021179     -0.00230123
    -0.000746742    -0.000742616
     -0.00529246      -0.0051974
     -0.00380258     -0.00378814
    -0.000181387    -0.000176613
     -0.00186856     -0.00190705
