QM Energy	FF Energy
     -1.2241e-05    -1.40972e-05
    -0.000720213    -0.000582481
      -6.374e-06    -8.07335e-06
    -0.000347521    -0.000313477
     -2.4085e-05     -2.5414e-05
     -0.00012452    -0.000123195
     -2.1719e-05    -2.79714e-05
       -6.75e-06    -1.35397e-05
     -0.00057081    -0.000559465
    -0.000529671    -0.000432172
      -2.071e-06     -4.2331e-06
     -2.3677e-05    -5.11509e-05
     -3.3536e-05    -5.02064e-05
      -4.302e-06    -6.01749e-06
       -2.71e-06    -5.65426e-06
     -1.0524e-05    -1.26808e-05
      -9.532e-06    -1.04713e-05
    -0.000177015    -0.000229558
       -4.93e-06    -7.17748e-06
     -3.3677e-05    -4.04735e-05
      -8.627e-06    -9.75485e-06
    -0.000144169     -0.00013752
    -0.000129342    -0.000128901
     -1.6713e-05    -3.53974e-05
      -1.443e-05    -2.13509e-05
     -1.7017e-05    -2.15106e-05
      -5.783e-06    -9.03069e-06
    -0.000266087    -0.000247051
    -0.000508771    -0.000454155
     -4.7689e-05     -9.9994e-05
     -3.5958e-05    -6.48423e-05
     -1.5566e-05    -1.71071e-05
     -1.6923e-05    -2.72709e-05
    -0.000138798    -0.000171742
      -6.852e-06    -8.46827e-06
      -4.191e-06    -7.33541e-06
      -4.729e-06    -1.15769e-05
     -2.7749e-05    -3.09057e-05
      -4.301e-06    -8.16514e-06
    -0.000609021    -0.000529339
    -0.000161794     -0.00021859
      -5.378e-06    -1.40067e-05
     -1.2807e-05    -2.81825e-05
     -1.2648e-05    -2.56393e-05
     -8.4378e-05    -0.000116889
     -9.9734e-05    -0.000133269
    -0.000206705    -0.000247865
    -0.000161483    -0.000279517
     -5.5289e-05    -5.84097e-05
     -6.9824e-05    -9.61024e-05
    -0.000135953    -0.000163964
      -4.375e-06    -7.45876e-06
     -2.3903e-05    -3.64054e-05
     -1.2798e-05    -1.71411e-05
     -2.1654e-05    -4.39492e-05
    -0.000316105    -0.000375643
     -2.5722e-05    -3.55006e-05
     -1.0182e-05    -1.11407e-05
    -0.000201789    -0.000262963
    -0.000251261    -0.000281345
    -0.000143931    -0.000157995
     -1.3532e-05    -1.92812e-05
     -1.6695e-05    -2.11061e-05
     -3.8759e-05     -6.2203e-05
     -2.5544e-05    -2.77629e-05
       -9.44e-05    -0.000124106
      -9.282e-06    -1.62399e-05
     -4.6551e-05    -6.36414e-05
      -4.254e-05    -4.42449e-05
     -7.1767e-05    -7.60336e-05
     -2.3046e-05    -2.47612e-05
    -0.000118208    -0.000176242
       -8.06e-06    -9.10574e-06
    -0.000343207    -0.000297334
     -5.1234e-05    -5.63151e-05
     -6.6572e-05    -0.000113611
        -3.8e-06    -5.73416e-06
      -5.964e-06    -9.85571e-06
      -8.575e-05    -0.000137202
     -3.9319e-05    -4.35783e-05
     -9.6344e-05    -0.000113223
     -4.3159e-05     -4.5674e-05
      -4.958e-06    -7.05626e-06
     -2.1533e-05    -3.96827e-05
    -0.000142385    -0.000166531
     -2.1033e-05    -3.28669e-05
     -1.0134e-05    -1.78331e-05
     -0.00049633    -0.000396552
     -1.1879e-05    -1.94003e-05
    -0.000200283    -0.000294791
     -0.00030967    -0.000290789
     -1.5867e-05    -1.89071e-05
     -1.5846e-05    -1.90726e-05
    -0.000192111    -0.000203623
     -7.0639e-05    -0.000148608
     -3.1406e-05    -5.12219e-05
       -4.94e-05     -8.5284e-05
     -1.9713e-05    -2.32532e-05
     -1.4041e-05     -2.1245e-05
    -0.000192498    -0.000231279
    -0.000207461    -0.000188114
    -0.000226751     -0.00032747
      -3.451e-06    -4.98393e-06
    -0.000116501    -0.000120615
     -1.8627e-05    -2.02388e-05
    -0.000411347    -0.000353595
      -3.102e-06     -7.1759e-06
      -5.724e-06    -8.39952e-06
     -6.3843e-05    -7.37371e-05
     -4.5707e-05    -4.87125e-05
     -1.1175e-05    -1.26268e-05
    -0.000379184     -0.00035459
     -5.6119e-05    -7.46406e-05
    -0.000208456    -0.000220273
     -4.8391e-05    -5.88234e-05
    -0.000105279    -0.000142611
    -0.000166952     -0.00019177
     -0.00025533    -0.000323046
     -1.2812e-05    -1.62788e-05
      -1.998e-06    -4.31869e-06
     -2.5101e-05    -3.78647e-05
