QM Energy	FF Energy
    -0.000269052    -0.000270706
    -0.000140581    -0.000156671
     -2.2689e-05     -2.5456e-05
     -0.00039741    -0.000418152
      -0.0011022    -0.000969611
    -0.000148351    -0.000160582
     -2.5645e-05    -3.07536e-05
    -0.000118978     -0.00013337
    -0.000303228    -0.000307933
    -0.000102529    -0.000113865
     -6.2227e-05    -6.88051e-05
     -1.6462e-05    -2.07543e-05
    -0.000702871    -0.000614934
    -0.000247515    -0.000269585
     -2.6124e-05    -3.21387e-05
    -0.000754325    -0.000709434
     -3.8614e-05    -4.89559e-05
     -0.00119781     -0.00117258
    -0.000341895    -0.000349759
     -0.00111437     -0.00115311
     -4.4558e-05    -5.02975e-05
    -0.000121025    -0.000130606
    -0.000729128    -0.000693489
     -2.1912e-05    -2.76306e-05
     -0.00105478     -0.00102574
     -0.00161733     -0.00155379
     -6.1323e-05    -6.77996e-05
    -0.000507431    -0.000512414
      -0.0003582    -0.000351687
    -0.000322559    -0.000350134
     -0.00090094    -0.000913205
     -5.3416e-05    -5.87317e-05
    -0.000968938    -0.000916008
    -0.000363734    -0.000369746
    -0.000623974    -0.000598637
    -0.000136462    -0.000139985
     -3.7734e-05    -4.68658e-05
    -0.000837912    -0.000789759
     -1.3465e-05    -1.62013e-05
     -0.00109553     -0.00105102
    -0.000595861      -0.0005848
      -3.557e-05    -3.87827e-05
     -4.7029e-05    -4.98334e-05
     -3.7853e-05    -4.45462e-05
      -8.002e-05    -9.35163e-05
    -0.000815276    -0.000764474
    -0.000178095     -0.00018748
     -7.7466e-05    -8.33516e-05
     -8.6811e-05    -9.09263e-05
     -3.9605e-05    -4.71707e-05
     -0.00134537     -0.00138892
     -2.4355e-05    -2.82479e-05
    -0.000970825    -0.000916705
    -0.000638817    -0.000583948
    -0.000108178    -0.000117487
     -0.00185958     -0.00201348
    -0.000336397    -0.000336708
     -4.9037e-05    -5.71702e-05
    -0.000203948    -0.000210882
    -0.000151753    -0.000176134
    -0.000707169    -0.000687638
      -2.313e-05    -2.62594e-05
    -0.000599696    -0.000573809
     -3.7938e-05    -4.47662e-05
    -0.000942663    -0.000980028
     -5.7111e-05    -6.23733e-05
     -3.9675e-05    -4.45705e-05
     -0.00139008     -0.00130953
     -1.6414e-05    -1.88055e-05
     -2.9371e-05    -3.25022e-05
    -0.000165825    -0.000174945
     -5.5536e-05    -6.40803e-05
    -0.000319031    -0.000328792
    -0.000688532    -0.000621273
     -7.8584e-05    -8.56953e-05
     -4.8618e-05    -5.20465e-05
      -0.0001017    -0.000107935
     -0.00140735     -0.00137731
    -0.000974728    -0.000989004
     -3.3142e-05    -3.76166e-05
     -5.9536e-05    -6.60554e-05
     -8.0724e-05     -8.7888e-05
    -0.000194689    -0.000217064
    -0.000118901    -0.000121499
    -0.000445743    -0.000472511
     -0.00167685     -0.00173724
     -7.6432e-05    -8.22897e-05
     -7.2604e-05    -8.10262e-05
     -0.00050911    -0.000515597
     -7.5425e-05    -8.52136e-05
    -0.000203389    -0.000227274
     -0.00101548     -0.00103863
     -6.1858e-05    -6.76378e-05
    -0.000184389    -0.000194986
    -0.000671911    -0.000688495
     -0.00101933    -0.000954144
      -4.848e-05    -5.77145e-05
     -4.1057e-05    -4.43159e-05
    -0.000140845    -0.000151169
     -5.6897e-05    -6.41801e-05
    -0.000418574    -0.000420697
     -4.0307e-05    -4.68371e-05
     -0.00096977    -0.000972226
      -3.696e-05    -4.22035e-05
    -0.000685843    -0.000697684
    -0.000413703    -0.000411943
    -0.000476721    -0.000491153
     -2.6907e-05    -3.12832e-05
     -4.0344e-05     -4.9473e-05
    -0.000330218    -0.000334589
    -0.000497179     -0.00047919
    -0.000608888    -0.000602036
     -0.00098483    -0.000936787
     -2.2706e-05    -2.84573e-05
    -0.000368765    -0.000383611
    -0.000247264    -0.000268572
     -1.6973e-05    -2.13731e-05
     -0.00024372    -0.000244117
    -0.000299306    -0.000296701
    -0.000822123    -0.000774687
    -0.000192936    -0.000201432
    -0.000462669    -0.000486188
     -3.0368e-05     -3.2756e-05
    -0.000104043    -0.000107815
    -0.000431599    -0.000431286
    -0.000514827    -0.000495197
     -5.1821e-05    -6.15467e-05
     -1.9219e-05     -2.1182e-05
     -8.1299e-05    -9.48998e-05
     -7.2923e-05    -7.85209e-05
     -5.3854e-05    -6.13344e-05
    -0.000219114    -0.000213513
    -0.000250311    -0.000250153
    -0.000372851     -0.00038522
    -0.000541747    -0.000525876
    -0.000175378    -0.000186117
     -1.2238e-05    -1.51864e-05
    -0.000228725    -0.000230261
     -5.7722e-05    -6.25757e-05
    -0.000206702    -0.000214444
     -4.2669e-05    -5.30444e-05
     -4.3888e-05    -5.70266e-05
      -0.0010146    -0.000947369
     -5.1413e-05    -6.15517e-05
     -2.0108e-05    -2.31388e-05
    -0.000962889    -0.000880231
     -1.2527e-05    -1.63504e-05
     -3.4076e-05    -3.71046e-05
    -0.000685212    -0.000668654
     -0.00105846      -0.0010877
     -0.00197741     -0.00215375
    -0.000990972    -0.000890806
    -0.000215075    -0.000217543
    -0.000429351    -0.000412876
     -1.6781e-05    -1.97188e-05
     -0.00026793     -0.00029091
    -0.000175578    -0.000175236
    -0.000340602    -0.000338951
    -0.000674289    -0.000637915
    -0.000633825    -0.000666714
     -0.00154616     -0.00154785
     -0.00106489     -0.00109412
     -0.00105647     -0.00103476
     -2.4506e-05    -2.75626e-05
    -0.000474138     -0.00044065
     -2.7364e-05    -3.11777e-05
    -0.000492612    -0.000494098
      -4.859e-05    -5.12462e-05
     -2.4325e-05    -3.03221e-05
     -4.7319e-05    -5.10196e-05
      -3.411e-05    -3.81264e-05
    -0.000357627    -0.000370496
     -1.3018e-05    -1.57563e-05
     -5.9396e-05    -7.14168e-05
    -0.000938089     -0.00090669
      -2.767e-05    -3.01149e-05
     -2.4871e-05     -3.0301e-05
      -2.614e-05    -3.06413e-05
      -1.846e-05    -2.11641e-05
    -0.000257432    -0.000261101
     -6.3447e-05    -7.25817e-05
     -0.00140542     -0.00130485
    -0.000281983    -0.000307069
     -4.1509e-05     -4.8955e-05
    -0.000120579    -0.000136148
    -0.000172953    -0.000171146
    -0.000805425    -0.000807749
    -0.000121002    -0.000127647
     -0.00147691     -0.00144516
    -0.000117312    -0.000134971
     -6.2089e-05    -6.72694e-05
     -4.1143e-05    -4.78531e-05
    -0.000134245    -0.000139389
    -0.000770818    -0.000716817
     -4.7669e-05    -5.55721e-05
    -0.000150356    -0.000161465
    -0.000362207    -0.000393036
     -0.00165263     -0.00164862
    -0.000172373    -0.000182321
    -0.000633372    -0.000652849
     -0.00051297    -0.000521617
    -0.000656966    -0.000636852
    -0.000195291    -0.000203461
    -0.000559424    -0.000546016
    -0.000625764    -0.000598984
     -8.3693e-05    -9.11616e-05
     -0.00045853    -0.000486942
     -0.00022952    -0.000237162
    -0.000169418    -0.000177729
      -3.183e-05    -3.64286e-05
      -4.449e-05    -5.04152e-05
     -8.9738e-05    -0.000103554
    -0.000220677    -0.000241246
     -1.3139e-05    -1.63465e-05
    -0.000104339     -0.00011726
     -5.4787e-05     -6.3734e-05
    -0.000264319    -0.000283504
    -0.000245919    -0.000251391
     -4.0666e-05    -4.82671e-05
     -3.1576e-05    -3.69004e-05
     -1.8952e-05    -2.19993e-05
     -5.1425e-05     -5.5592e-05
     -6.5535e-05    -7.22068e-05
     -3.9796e-05    -4.42461e-05
    -0.000114799    -0.000129567
    -0.000213272    -0.000236099
     -6.8763e-05    -8.11315e-05
    -0.000753589    -0.000792776
    -0.000308726    -0.000314675
     -2.3787e-05    -2.68698e-05
      -2.559e-05    -3.01782e-05
    -0.000171182    -0.000184827
     -0.00026558    -0.000273529
     -1.9385e-05    -2.50709e-05
     -4.7953e-05    -5.84381e-05
     -6.1233e-05    -6.74593e-05
    -0.000409865    -0.000413639
     -8.7005e-05    -9.35505e-05
     -0.00199616     -0.00211978
    -0.000435983     -0.00044315
     -5.2043e-05    -5.78337e-05
    -0.000307052    -0.000311699
     -4.7064e-05    -5.27543e-05
      -2.001e-05     -2.4002e-05
     -9.4501e-05    -0.000107565
     -0.00042575    -0.000414987
    -0.000533436    -0.000556622
    -0.000918596    -0.000921631
    -0.000150088    -0.000172706
     -4.5051e-05    -4.81098e-05
    -0.000123072    -0.000139146
    -0.000476247    -0.000490448
    -0.000313786    -0.000318776
    -0.000157513    -0.000174211
    -0.000107212    -0.000117106
    -0.000339581    -0.000340939
    -0.000210849     -0.00021354
      -2.859e-05    -3.31389e-05
    -0.000763196     -0.00072448
     -2.8465e-05    -3.34162e-05
     -6.9935e-05    -7.46139e-05
     -2.2953e-05     -2.6906e-05
     -8.7695e-05    -9.36252e-05
    -0.000204175     -0.00020837
        -3.2e-05    -4.01388e-05
     -3.7723e-05    -4.27827e-05
     -3.4263e-05    -3.95411e-05
     -9.9205e-05    -0.000105735
    -0.000241123    -0.000253437
    -0.000112086    -0.000126557
     -5.5215e-05    -6.16778e-05
    -0.000858296    -0.000796052
    -0.000892303    -0.000779182
    -0.000858663    -0.000788666
    -0.000500653    -0.000519276
    -0.000157976    -0.000161235
     -5.0786e-05    -5.58135e-05
     -8.8993e-05    -9.93097e-05
      -1.656e-05    -1.93207e-05
    -0.000893219    -0.000838515
    -0.000108792    -0.000120704
     -9.4115e-05    -0.000104059
     -2.8969e-05    -3.16055e-05
