QM Energy	FF Energy
       -0.001458     -0.00133035
    -0.000681707    -0.000694486
    -0.000120555    -9.92863e-05
     -0.00184018     -0.00190668
     -0.00435162     -0.00419914
    -0.000784405    -0.000749471
    -0.000170371    -0.000155159
    -0.000695759    -0.000691842
     -0.00151735     -0.00142947
    -0.000597157    -0.000563031
    -0.000309679    -0.000268373
    -0.000124536    -0.000127352
     -0.00318377     -0.00310907
     -0.00118651     -0.00120317
    -0.000155551    -0.000164664
      -0.0024403      -0.0024018
    -0.000180098    -0.000189904
     -0.00671784     -0.00624797
     -0.00113843     -0.00107295
     -0.00671394     -0.00596894
    -0.000176509    -0.000148533
    -0.000688017    -0.000669561
     -0.00297177     -0.00264227
    -0.000106429    -0.000102672
     -0.00420859     -0.00442774
     -0.00830799     -0.00897245
    -0.000320298    -0.000290775
     -0.00236787     -0.00207814
     -0.00186554      -0.0016491
     -0.00156993     -0.00170191
     -0.00453087     -0.00468838
    -0.000164092    -0.000130689
     -0.00449055     -0.00410741
     -0.00171369     -0.00170471
     -0.00247865      -0.0022661
    -0.000717782    -0.000684656
    -0.000193245    -0.000201475
     -0.00363137      -0.0032731
    -0.000107336    -9.36203e-05
     -0.00649362     -0.00607888
     -0.00196232      -0.0018221
    -0.000245514    -0.000195668
    -0.000284587    -0.000277899
    -0.000213528     -0.00020023
    -0.000442271    -0.000419386
     -0.00236679     -0.00229146
    -0.000992407     -0.00087188
    -0.000454025    -0.000382837
    -0.000363142    -0.000301809
    -0.000167712    -0.000152131
     -0.00812123     -0.00756064
     -9.8712e-05    -8.20783e-05
     -0.00460653     -0.00425022
     -0.00320923     -0.00311825
    -0.000400145     -0.00037017
      -0.0116825      -0.0108121
     -0.00162287     -0.00148428
    -0.000258244    -0.000253819
     -0.00058792    -0.000558018
    -0.000764566    -0.000836214
      -0.0034861     -0.00327403
    -0.000129311    -0.000117326
     -0.00280155      -0.0024801
    -0.000212002    -0.000184518
      -0.0047717     -0.00461007
    -0.000225173    -0.000179032
    -0.000167114    -0.000128365
     -0.00714284     -0.00730772
    -0.000107263    -0.000106333
    -0.000116636    -8.96043e-05
    -0.000510045    -0.000476864
    -0.000208963    -0.000183133
     -0.00156164     -0.00138005
     -0.00322085     -0.00344124
    -0.000399659    -0.000365279
    -0.000289953    -0.000252332
    -0.000590645    -0.000513244
      -0.0047587     -0.00484222
     -0.00486881     -0.00441539
    -0.000201261    -0.000156181
    -0.000363457    -0.000305697
    -0.000348685    -0.000276411
    -0.000891927    -0.000921416
    -0.000655655    -0.000612808
     -0.00248717     -0.00266657
     -0.00667673     -0.00729102
    -0.000319774    -0.000275725
    -0.000365858    -0.000328461
     -0.00170753     -0.00173828
    -0.000315778    -0.000263395
     -0.00100079      -0.0010142
     -0.00454027     -0.00491759
    -0.000374266    -0.000354344
    -0.000721108    -0.000613755
     -0.00304259     -0.00318377
     -0.00394918     -0.00361258
    -0.000260854    -0.000263465
    -0.000260376    -0.000212374
    -0.000709947    -0.000665738
    -0.000327925    -0.000290661
     -0.00153886     -0.00143982
     -0.00025059    -0.000213956
     -0.00553418     -0.00540621
    -0.000112313     -9.4014e-05
     -0.00367394     -0.00373714
     -0.00119207     -0.00113674
     -0.00247956     -0.00258598
