QM Energy	FF Energy
     -3.6432e-05    -4.45394e-05
     -5.5568e-05    -6.72534e-05
     -8.6554e-05    -9.53744e-05
     -4.4831e-05    -5.17513e-05
    -0.000396425    -0.000385671
    -0.000774445    -0.000758409
     -3.5858e-05     -4.5028e-05
    -0.000260222     -0.00028432
    -0.000136277    -0.000163452
    -0.000193526    -0.000200433
     -3.8198e-05    -4.27082e-05
     -6.4406e-05    -7.82342e-05
      -0.0011081      -0.0011577
    -0.000311006    -0.000310096
    -0.000301064    -0.000350382
     -2.6735e-05    -3.38688e-05
    -0.000152811    -0.000160891
    -0.000140203    -0.000145948
    -0.000147531    -0.000152386
     -3.9771e-05    -4.66695e-05
    -0.000108922    -0.000120549
     -0.00055798    -0.000590853
     -0.00109147     -0.00102665
    -0.000384148    -0.000403507
     -0.00130691     -0.00123232
     -8.8684e-05    -9.74415e-05
    -0.000392816    -0.000408894
    -0.000921777    -0.000854923
     -6.5222e-05    -7.51502e-05
     -0.00117195     -0.00111348
     -0.00127817     -0.00121996
        -5.5e-05    -6.32535e-05
    -0.000171905    -0.000180554
     -7.2317e-05    -8.93153e-05
    -0.000667528    -0.000688924
    -0.000562428    -0.000569103
     -3.4902e-05    -4.27722e-05
     -0.00104182    -0.000971964
    -0.000566105    -0.000548644
      -0.0003602    -0.000362789
     -0.00127877     -0.00127494
     -3.7768e-05    -4.33081e-05
    -0.000624678    -0.000611504
     -3.8812e-05    -5.05265e-05
    -0.000284798     -0.00029253
     -3.0597e-05    -3.56589e-05
     -1.5476e-05    -1.79203e-05
    -0.000206423    -0.000214798
    -0.000739386    -0.000739813
     -8.0876e-05    -9.09539e-05
     -3.7098e-05    -4.22578e-05
     -3.4779e-05    -4.04888e-05
     -4.1275e-05    -4.91194e-05
    -0.000320695    -0.000339466
     -0.00113825     -0.00107693
      -1.975e-05    -2.29589e-05
    -0.000500783    -0.000530098
    -0.000951583    -0.000897221
     -1.9135e-05    -2.26518e-05
    -0.000652557    -0.000688692
     -0.00118198     -0.00107867
     -6.9576e-05    -7.26761e-05
     -8.9834e-05    -0.000109151
    -0.000140703    -0.000148948
     -1.8709e-05    -2.28827e-05
     -6.7002e-05    -7.58546e-05
     -4.7085e-05    -5.75477e-05
     -0.00114104      -0.0011321
     -1.8556e-05       -2.51e-05
      -2.371e-05    -2.76148e-05
     -5.6674e-05    -6.06012e-05
     -1.1757e-05    -1.50002e-05
     -0.00089295    -0.000835316
    -0.000499336    -0.000519267
     -0.00036469    -0.000393221
    -0.000717098    -0.000743656
    -0.000191718    -0.000209617
    -0.000160791    -0.000168679
     -3.1212e-05    -3.57463e-05
    -0.000532942    -0.000529043
    -0.000421227    -0.000439911
     -0.00018088    -0.000187275
      -8.337e-05    -0.000101778
      -8.536e-05    -9.50215e-05
     -4.4709e-05    -5.34533e-05
     -0.00049443    -0.000472738
     -0.00079186    -0.000840299
     -2.5221e-05    -2.87138e-05
     -6.3418e-05    -6.69247e-05
    -0.000439308     -0.00045098
    -0.000128374    -0.000135758
     -6.0283e-05    -6.59683e-05
     -1.7358e-05    -2.18604e-05
    -0.000208149    -0.000223996
    -0.000294509    -0.000303404
    -0.000133666    -0.000149793
    -0.000197844    -0.000225694
    -0.000453916    -0.000451517
     -3.8887e-05    -4.18673e-05
     -3.3924e-05    -3.97576e-05
     -5.2221e-05      -6.201e-05
     -7.8641e-05    -9.16823e-05
    -0.000939427    -0.000928773
    -0.000290065    -0.000297601
    -0.000119075    -0.000129445
    -0.000569736    -0.000613921
     -9.3243e-05    -0.000102964
    -0.000343023     -0.00039197
     -8.3378e-05    -0.000101379
    -0.000347614    -0.000383354
     -0.00014235    -0.000161161
    -0.000653674    -0.000632938
    -0.000216608    -0.000234767
    -0.000874384    -0.000857238
     -3.6095e-05    -4.46701e-05
     -4.7285e-05    -5.12782e-05
    -0.000196508    -0.000227256
     -4.4325e-05    -4.83378e-05
     -6.3884e-05    -7.26442e-05
     -2.3521e-05    -2.71832e-05
     -0.00124129     -0.00117525
    -0.000110055    -0.000115365
     -4.1082e-05    -4.84212e-05
     -7.1458e-05    -7.70728e-05
     -2.2274e-05    -2.97223e-05
    -0.000374804    -0.000380875
    -0.000124789    -0.000146714
    -0.000224668     -0.00023644
     -2.8563e-05    -3.17314e-05
     -3.5189e-05    -4.05023e-05
    -0.000104465    -0.000119226
     -2.9912e-05    -3.52576e-05
     -6.0797e-05    -6.70252e-05
    -0.000368756    -0.000387144
    -0.000737411    -0.000655557
     -7.4877e-05    -8.53604e-05
     -0.00032495    -0.000333492
    -0.000301939    -0.000288212
    -0.000248005    -0.000251376
     -2.6157e-05    -3.39074e-05
    -0.000286728    -0.000296398
    -0.000844057    -0.000837633
     -9.1533e-05    -0.000106771
    -0.000561801    -0.000556528
    -0.000804604    -0.000756535
    -0.000462053    -0.000419028
     -4.3386e-05    -4.84695e-05
    -0.000256042    -0.000281055
    -0.000279261    -0.000288075
       -4.36e-05    -5.04173e-05
     -0.00107401     -0.00105587
     -0.00010881    -0.000126634
     -8.9839e-05    -0.000108938
    -0.000121442    -0.000138306
     -4.6703e-05    -5.49665e-05
     -2.9046e-05    -3.53594e-05
    -0.000635362    -0.000626366
    -0.000364151     -0.00037738
     -0.00113554     -0.00119954
    -0.000606502    -0.000590061
    -0.000248227    -0.000253662
     -4.6266e-05    -5.42631e-05
    -0.000522279    -0.000525268
     -3.0904e-05    -3.81922e-05
    -0.000243546    -0.000252835
      -7.969e-05    -9.20643e-05
    -0.000397835    -0.000409259
    -0.000627538    -0.000624508
     -1.7096e-05    -2.04489e-05
    -0.000870957    -0.000828858
     -7.3715e-05    -8.47395e-05
     -0.00063968    -0.000612303
    -0.000997603     -0.00101533
    -0.000117891    -0.000129517
     -2.9106e-05    -3.57613e-05
    -0.000515809    -0.000520341
    -0.000157196    -0.000173567
     -6.9957e-05    -7.94637e-05
    -0.000361243    -0.000362491
    -0.000704401     -0.00066424
    -0.000132571    -0.000145526
    -0.000373358    -0.000369033
     -2.7267e-05      -3.373e-05
     -0.00104682    -0.000958919
    -0.000413663    -0.000429526
    -0.000274927    -0.000286992
     -3.0027e-05    -3.53326e-05
     -0.00132238     -0.00131856
     -2.8784e-05    -3.31274e-05
    -0.000179109     -0.00018488
    -0.000585486    -0.000591116
     -0.00026501    -0.000277552
     -8.0985e-05     -9.1769e-05
     -2.8483e-05    -3.59993e-05
     -1.7941e-05    -2.15483e-05
