QM Energy	FF Energy
     -0.00024087    -0.000245592
    -0.000256357    -0.000266731
    -0.000382054    -0.000306672
    -0.000266743     -0.00025259
     -0.00146303     -0.00134317
     -0.00433226     -0.00389586
    -0.000152826    -0.000157736
     -0.00116507     -0.00118225
    -0.000504127    -0.000570815
    -0.000880643    -0.000772788
    -0.000237365    -0.000211471
    -0.000376917    -0.000384027
     -0.00560855     -0.00603332
     -0.00158808     -0.00160877
     -0.00144935     -0.00163304
    -0.000162286    -0.000157126
    -0.000899148    -0.000953921
    -0.000674233    -0.000578238
     -0.00046456    -0.000457215
     -0.00012536    -0.000120817
    -0.000559906    -0.000525076
     -0.00289072     -0.00303953
     -0.00471144     -0.00455716
     -0.00160286      -0.0015113
     -0.00722672     -0.00695533
     -0.00052951    -0.000442379
     -0.00167261     -0.00173196
     -0.00382251     -0.00354255
    -0.000386952    -0.000372072
     -0.00429656     -0.00423638
     -0.00595874      -0.0062254
    -0.000184892     -0.00018064
    -0.000645166    -0.000594809
    -0.000453933     -0.00049451
      -0.0027063     -0.00293552
     -0.00269223     -0.00243133
     -0.00016266    -0.000157606
     -0.00473736     -0.00465127
     -0.00244492     -0.00217759
     -0.00154867     -0.00145743
      -0.0065242     -0.00642907
    -0.000224185    -0.000184624
     -0.00287366     -0.00266151
    -0.000282874     -0.00028919
     -0.00105682     -0.00101728
    -0.000164748    -0.000138881
     -9.9014e-05    -7.29819e-05
     -0.00104846     -0.00105117
     -0.00313655     -0.00292604
    -0.000266238    -0.000251322
     -0.00010469    -0.000100286
    -0.000171741    -0.000143198
    -0.000167927    -0.000174668
     -0.00131541     -0.00140069
     -0.00430432     -0.00451495
     -0.00014722    -0.000139408
     -0.00230929     -0.00244551
     -0.00483865     -0.00428104
     -5.0184e-05    -3.70628e-05
     -0.00371864     -0.00389162
     -0.00535398     -0.00528398
    -0.000238287    -0.000215641
    -0.000515734     -0.00053556
    -0.000730975    -0.000631177
    -0.000111785    -8.69838e-05
    -0.000343324    -0.000329966
    -0.000305834    -0.000310034
     -0.00557372     -0.00543813
    -0.000119954    -0.000126913
     -9.2529e-05    -8.39261e-05
    -0.000263255    -0.000228539
     -6.6337e-05    -6.68296e-05
     -0.00371769     -0.00361886
     -0.00274472     -0.00276026
     -0.00188805     -0.00199167
     -0.00393199     -0.00423831
     -0.00102681     -0.00100299
    -0.000838867    -0.000745165
    -0.000184321    -0.000178234
     -0.00256825     -0.00226312
     -0.00226944     -0.00229233
    -0.000864029    -0.000802836
    -0.000350939     -0.00036749
    -0.000440747    -0.000405159
     -0.00029161    -0.000268166
     -0.00215788     -0.00212609
      -0.0036645     -0.00385699
    -0.000150223    -0.000117014
      -0.0002448    -0.000200454
     -0.00160806     -0.00161378
    -0.000445857    -0.000425363
    -0.000231781     -0.00021054
     -0.00011409    -0.000107792
    -0.000766433    -0.000731198
     -0.00146601     -0.00136603
    -0.000820623    -0.000799358
     -0.00106628     -0.00114773
     -0.00215674     -0.00195264
     -0.00012895     -0.00011361
    -0.000139869    -0.000123021
     -0.00030034     -0.00028578
    -0.000538714    -0.000506095
     -0.00375821     -0.00394726
     -0.00130943     -0.00110408
    -0.000639006    -0.000570564
     -0.00247199     -0.00274523
    -0.000355184    -0.000345589
     -0.00163665     -0.00186026
     -0.00043878    -0.000475689
     -0.00182429     -0.00196172
    -0.000669886    -0.000698514
     -0.00305311     -0.00277782
    -0.000584894    -0.000642958
     -0.00477809     -0.00426153
    -0.000232364    -0.000230093
    -0.000216366    -0.000184592
     -0.00108761     -0.00115501
    -0.000295153    -0.000228483
    -0.000379233    -0.000332347
    -0.000173585     -0.00018274
     -0.00658314     -0.00589716
    -0.000433765    -0.000367706
    -0.000194643    -0.000178519
    -0.000380998    -0.000323218
    -0.000167522    -0.000173698
     -0.00120231     -0.00122518
    -0.000643111    -0.000682302
      -0.0013858     -0.00125664
    -0.000186177    -0.000141695
    -0.000179388    -0.000147868
    -0.000647422    -0.000595331
     -0.00019948    -0.000166163
    -0.000340128    -0.000336294
     -0.00178896     -0.00163888
     -0.00363037     -0.00358147
    -0.000313911    -0.000308152
     -0.00129255     -0.00131334
     -0.00150836      -0.0016003
    -0.000781566     -0.00074346
     -0.00013862    -0.000146728
     -0.00150473     -0.00139262
     -0.00497499     -0.00442258
    -0.000431199    -0.000445145
     -0.00259394     -0.00237572
     -0.00206583     -0.00217377
     -0.00210396     -0.00189486
    -0.000289638    -0.000275796
      -0.0013168     -0.00135242
     -0.00156372     -0.00165433
    -0.000189608    -0.000177489
     -0.00480446     -0.00507815
     -0.00055372    -0.000584058
     -0.00043049    -0.000453377
    -0.000702686    -0.000677136
    -0.000202784    -0.000211088
     -0.00019251     -0.00018383
     -0.00268536     -0.00244631
      -0.0018786     -0.00170294
     -0.00401571     -0.00461198
      -0.0026532       -0.002368
    -0.000829247    -0.000795433
    -0.000231256    -0.000216816
      -0.0021247      -0.0020365
     -0.00017515    -0.000171753
     -0.00105593    -0.000950759
     -0.00040701    -0.000403292
     -0.00148328     -0.00159226
      -0.0019433     -0.00196987
     -7.6954e-05     -7.2027e-05
     -0.00372451     -0.00352876
    -0.000440786    -0.000429852
     -0.00281694     -0.00250069
     -0.00492831     -0.00497961
    -0.000486039    -0.000451093
    -0.000120778    -0.000109298
     -0.00219268     -0.00210847
    -0.000809535    -0.000735222
    -0.000374855    -0.000352267
     -0.00189509     -0.00187698
     -0.00274362     -0.00252781
    -0.000727562    -0.000755626
      -0.0018218     -0.00160794
    -0.000106353    -9.98011e-05
     -0.00550313     -0.00522779
     -0.00113733     -0.00125666
     -0.00143698     -0.00146405
    -0.000116355     -0.00010061
     -0.00548487      -0.0055149
    -0.000171779    -0.000144188
    -0.000956313    -0.000854986
     -0.00262655     -0.00261113
    -0.000887168    -0.000882833
    -0.000541772     -0.00050149
    -0.000212542     -0.00020029
    -0.000130628    -0.000113861
    -0.000722348    -0.000662275
      -0.0021019     -0.00190242
    -0.000694655    -0.000699536
      -0.0012033     -0.00124161
     -0.00363985     -0.00409946
     -0.00209686     -0.00203916
     -0.00302101     -0.00291341
    -0.000251318     -0.00023561
     -0.00164852     -0.00174149
    -0.000448799    -0.000417003
    -0.000203947    -0.000184155
     -0.00420792     -0.00411522
     -0.00209184     -0.00228021
    -0.000913552       -0.001052
      -0.0067594     -0.00722134
     -0.00856107     -0.00860779
     -0.00525993     -0.00588235
     -0.00022713    -0.000209435
    -0.000585863    -0.000559272
    -0.000995665     -0.00102729
    -0.000955275    -0.000953348
     -0.00039938    -0.000355616
    -0.000138768    -0.000124833
     -0.00222898     -0.00192083
      -0.0013624     -0.00134794
    -0.000157287    -0.000160307
     -0.00176535     -0.00168686
      -0.0020718     -0.00185726
     -0.00511807     -0.00451814
     -0.00749172     -0.00641285
     -0.00100467     -0.00102291
    -0.000264367     -0.00022464
    -0.000321373    -0.000261581
    -0.000619754    -0.000620065
    -0.000281519    -0.000243658
    -0.000102963    -9.35551e-05
     -0.00292532     -0.00285674
    -0.000755736    -0.000684223
     -0.00166744     -0.00155685
    -0.000786326    -0.000732718
      -0.0016797     -0.00169339
    -0.000541693    -0.000490031
    -0.000243137    -0.000258031
     -0.00790055     -0.00774622
      -0.0016924     -0.00178494
     -0.00465415     -0.00423247
     -0.00141205     -0.00133093
     -0.00337129     -0.00322798
    -0.000384757    -0.000403753
     -0.00472721     -0.00496108
    -0.000174046    -0.000178896
     -0.00021143     -0.00022421
    -0.000107954    -9.17374e-05
    -0.000121534    -0.000105821
    -0.000312204    -0.000334968
     -0.00232296     -0.00249487
     -0.00237564     -0.00237468
    -0.000203823     -0.00021643
     -0.00409939     -0.00391048
      -0.0045708     -0.00392554
    -0.000182719     -0.00014646
     -0.00160588     -0.00151172
     -0.00466567     -0.00506701
     -0.00197636     -0.00192418
      -0.0040784     -0.00386661
    -0.000202221    -0.000208761
     -0.00777363     -0.00736271
     -0.00176804     -0.00175304
    -0.000146043     -0.00014593
     -0.00545191     -0.00471464
     -0.00674512     -0.00694761
     -0.00249518     -0.00243512
      -9.286e-05    -9.14825e-05
      -0.0076155     -0.00766229
    -0.000619057    -0.000651599
      -0.0058077     -0.00545154
     -0.00194168     -0.00175041
     -0.00282279      -0.0027603
    -0.000185832    -0.000176128
      -0.0060374     -0.00554006
    -0.000303974    -0.000282172
    -0.000641273    -0.000563123
    -0.000903104    -0.000842655
    -0.000591153    -0.000493628
     -0.00224127     -0.00235083
    -0.000324591    -0.000321932
    -0.000346958    -0.000372632
    -0.000956274    -0.000872175
     -0.00386697     -0.00418854
      -0.0005896    -0.000581493
     -0.00226043     -0.00232144
    -0.000552604    -0.000537316
    -0.000163705    -0.000155053
     -0.00396261      -0.0041761
     -0.00026742    -0.000231141
    -0.000413085    -0.000425109
    -0.000705859    -0.000606107
    -0.000363772    -0.000347218
       -8.75e-05    -8.34164e-05
     -0.00113523     -0.00114882
    -0.000137961    -0.000126827
    -0.000601769    -0.000588006
      -0.0062585     -0.00674209
      -0.0032942     -0.00304235
     -7.0626e-05    -5.96467e-05
     -0.00799383     -0.00768609
       -0.006921     -0.00605555
    -0.000873891    -0.000887288
     -0.00176493     -0.00166144
     -0.00618399     -0.00626609
     -0.00109525    -0.000930199
    -0.000107539    -9.21179e-05
     -0.00763337     -0.00738393
    -0.000501467    -0.000515231
     -0.00253152     -0.00263976
     -8.9559e-05    -7.55236e-05
     -0.00148041     -0.00138675
     -0.00018354    -0.000173465
      -0.0013874     -0.00136146
     -0.00118586     -0.00106321
     -0.00589129     -0.00510361
    -0.000353797     -0.00035535
    -0.000994973     -0.00108723
    -0.000547026     -0.00052478
     -0.00200085     -0.00183983
     -0.00203762     -0.00171435
     -0.00273866      -0.0026406
     -0.00340489     -0.00327982
     -0.00227337     -0.00219992
     -0.00067238    -0.000659231
     -0.00229213     -0.00206183
    -0.000111145    -9.44043e-05
     -0.00424115     -0.00423101
     -0.00109372     -0.00096624
     -0.00892251     -0.00868598
     -0.00654742     -0.00678804
     -0.00265568     -0.00232394
    -0.000569291    -0.000565828
    -0.000572871    -0.000529953
    -0.000553001    -0.000434641
    -0.000139603    -0.000146854
    -0.000149143    -0.000138195
     -0.00650558     -0.00624272
