QM Energy	FF Energy
      -1.239e-05    -1.84737e-05
     -2.4624e-05    -2.60795e-05
     -3.0537e-05    -3.84996e-05
     -1.5957e-05     -2.0748e-05
    -0.000151678    -0.000146873
    -0.000157504    -0.000300575
     -1.5731e-05      -1.779e-05
     -9.1992e-05    -0.000107567
     -6.0418e-05    -6.43067e-05
     -5.3697e-05    -7.95312e-05
     -1.1173e-05    -1.70557e-05
     -2.2587e-05    -3.06778e-05
    -0.000388095    -0.000435972
     -8.2057e-05    -0.000120258
    -0.000104039    -0.000129651
      -8.078e-06    -1.32277e-05
     -3.0257e-05    -6.60913e-05
     -4.0285e-05     -5.7836e-05
      -6.743e-05    -5.99002e-05
     -2.0776e-05    -1.92796e-05
       -3.73e-05    -4.72775e-05
    -0.000160475    -0.000221415
    -0.000377819    -0.000400436
    -0.000143036    -0.000154656
    -0.000447726    -0.000460347
     -2.2322e-05    -3.88181e-05
    -0.000143153    -0.000152441
    -0.000332105    -0.000324651
     -1.5981e-05    -2.86882e-05
    -0.000472659    -0.000418866
    -0.000561794    -0.000467529
     -2.7601e-05    -2.57846e-05
     -5.5997e-05    -7.15142e-05
     -2.3859e-05    -3.45705e-05
    -0.000255535    -0.000259282
    -0.000158811    -0.000215455
      -1.468e-05    -1.71714e-05
    -0.000361349    -0.000365239
    -0.000193424    -0.000208194
    -0.000119387    -0.000138768
    -0.000481294    -0.000477052
      -8.643e-06    -1.86479e-05
    -0.000191019    -0.000231811
     -1.3459e-05    -1.94207e-05
    -0.000117665    -0.000114319
     -1.3411e-05    -1.44333e-05
      -5.944e-06    -7.32409e-06
     -5.5905e-05     -8.1988e-05
    -0.000251897    -0.000277847
     -3.5823e-05    -3.64591e-05
     -2.0578e-05    -1.78573e-05
       -1.36e-05    -1.65201e-05
     -1.8958e-05    -1.91897e-05
    -0.000122841    -0.000129284
    -0.000470475    -0.000407845
      -7.593e-06    -1.06605e-05
    -0.000153533    -0.000204271
    -0.000308057    -0.000345378
     -1.0353e-05    -9.74148e-06
      -0.0001548    -0.000251781
    -0.000468682    -0.000424337
     -3.2963e-05    -2.85278e-05
     -2.8466e-05    -4.12943e-05
     -4.7471e-05    -5.84978e-05
      -6.454e-06    -9.21088e-06
     -1.7137e-05    -3.04399e-05
     -1.6658e-05    -2.26595e-05
    -0.000385239    -0.000426277
      -5.257e-06    -9.64205e-06
     -1.0978e-05    -1.11206e-05
     -2.3568e-05     -2.3418e-05
      -3.572e-06    -6.64444e-06
     -0.00032331    -0.000333825
     -0.00012883    -0.000192315
    -0.000112716    -0.000146049
    -0.000194477     -0.00027274
     -4.9072e-05     -7.8214e-05
     -4.6422e-05    -6.56242e-05
      -9.982e-06    -1.54958e-05
    -0.000165397    -0.000203181
    -0.000106759     -0.00016125
     -4.8577e-05    -7.34022e-05
     -3.5015e-05    -3.96748e-05
     -2.0487e-05    -3.78042e-05
     -1.3448e-05    -2.04319e-05
    -0.000150992     -0.00018755
    -0.000265663    -0.000311897
     -1.1117e-05    -1.23701e-05
     -2.8467e-05    -2.66472e-05
    -0.000176065     -0.00017238
     -5.5196e-05    -5.30802e-05
       -2.82e-05    -2.65339e-05
      -6.843e-06    -8.54915e-06
     -8.3654e-05    -8.75541e-05
     -7.0094e-05     -0.00011593
     -2.1691e-05    -5.57408e-05
     -6.1542e-05    -8.37394e-05
    -0.000117202     -0.00017569
     -1.9609e-05    -1.68418e-05
     -1.6628e-05    -1.67642e-05
     -1.8751e-05     -2.3952e-05
     -1.4036e-05    -3.59277e-05
    -0.000373255    -0.000347919
     -9.6447e-05    -0.000116142
     -3.7373e-05    -4.93366e-05
    -0.000204135    -0.000229961
     -4.2526e-05    -4.07008e-05
    -0.000111503    -0.000143877
      -3.023e-05    -3.82946e-05
    -0.000103649    -0.000141684
     -4.7402e-05    -5.99262e-05
    -0.000231807     -0.00024172
    -0.000106395    -9.63393e-05
    -0.000231992    -0.000330562
      -8.297e-06    -1.73079e-05
     -2.0445e-05    -2.02376e-05
     -5.5736e-05    -8.47206e-05
     -1.6771e-05    -1.98557e-05
     -2.2007e-05    -2.80256e-05
      -8.501e-06    -1.31784e-05
    -0.000372663    -0.000438764
     -3.7899e-05     -4.5503e-05
     -1.7717e-05    -1.84069e-05
     -2.4685e-05    -3.00564e-05
      -7.835e-06     -1.2586e-05
     -0.00016738    -0.000151638
     -4.2046e-05    -5.45695e-05
     -2.9007e-05    -8.90032e-05
      -8.557e-06    -1.28477e-05
     -1.5012e-05    -1.68286e-05
     -3.0567e-05    -4.69937e-05
     -1.1271e-05    -1.40454e-05
     -1.9445e-05    -2.87485e-05
    -0.000100635    -0.000147863
    -0.000205986     -0.00026503
     -2.9087e-05     -3.3045e-05
    -0.000125364    -0.000126177
     -8.8789e-05    -0.000121036
    -0.000109873    -9.95129e-05
      -9.112e-06    -1.27051e-05
     -7.8759e-05    -0.000115753
    -0.000186704    -0.000313486
     -3.3411e-05    -4.20322e-05
    -0.000157263    -0.000210995
    -0.000390337    -0.000303232
    -0.000129303    -0.000168096
      -8.136e-06     -2.1763e-05
     -7.1968e-05    -0.000105793
     -6.2776e-05    -0.000110828
     -1.3289e-05    -1.93362e-05
    -0.000427105    -0.000391702
     -3.3593e-05    -4.70427e-05
