QM Energy	FF Energy
     -4.6571e-05    -5.78652e-05
     -0.00143181     -0.00136928
     -2.4247e-05    -3.27504e-05
     -3.8774e-05    -4.63187e-05
    -0.000505145    -0.000507418
     -3.2808e-05    -4.28162e-05
      -7.063e-05    -8.63898e-05
      -7.855e-05    -0.000101194
    -0.000273666    -0.000310571
    -0.000139786     -0.00015693
     -4.3681e-05    -5.53357e-05
     -8.5294e-05     -0.00010376
    -0.000688224    -0.000732703
     -3.7692e-05    -4.91949e-05
     -1.2463e-05     -1.5467e-05
     -0.00022734    -0.000257387
    -0.000510008    -0.000531101
    -0.000199172    -0.000226795
    -0.000594873    -0.000592354
    -0.000161156    -0.000175554
     -2.7208e-05    -3.37543e-05
    -0.000523184    -0.000528298
    -0.000293901    -0.000298018
    -0.000890189       -0.000819
     -6.2524e-05    -8.30221e-05
     -2.3122e-05     -3.3568e-05
     -1.9097e-05    -2.58664e-05
    -0.000852843    -0.000845125
    -0.000965395    -0.000961976
      -1.505e-05    -2.25682e-05
    -0.000244199    -0.000271683
     -0.00133722      -0.0012638
     -0.00090182    -0.000854984
    -0.000125894    -0.000141228
    -0.000898848    -0.000926097
     -4.7054e-05    -5.62889e-05
     -2.0859e-05    -2.53774e-05
     -6.5577e-05    -7.67074e-05
     -2.3987e-05    -2.82604e-05
    -0.000822356    -0.000800389
    -0.000744636    -0.000755203
     -6.8949e-05    -7.58953e-05
    -0.000327804    -0.000369974
    -0.000228913    -0.000261396
     -1.0428e-05    -1.29659e-05
    -0.000665434    -0.000667499
     -3.8163e-05    -5.47384e-05
    -0.000863242    -0.000841529
    -0.000463322    -0.000500665
    -0.000612116    -0.000594957
    -0.000562828     -0.00053731
     -0.00129933     -0.00130165
     -3.8088e-05    -4.47234e-05
    -0.000644202    -0.000634974
     -0.00117081     -0.00124153
     -0.00169413      -0.0018165
    -0.000629428    -0.000639844
    -0.000148982    -0.000164697
     -2.2072e-05     -2.8392e-05
    -0.000323312    -0.000339777
    -0.000191004    -0.000227282
    -0.000120397    -0.000143497
     -8.0274e-05    -9.98266e-05
     -0.00036321    -0.000396552
    -0.000110073    -0.000122056
     -0.00146837     -0.00144173
      -0.0012197     -0.00122574
    -0.000702838    -0.000653671
    -0.000133076    -0.000150783
    -0.000475696    -0.000506027
     -0.00041087    -0.000411762
     -0.00146035     -0.00142735
      -4.827e-05    -5.87083e-05
    -0.000182346     -0.00019826
    -0.000110572    -0.000123974
      -0.0017943     -0.00176024
    -0.000134465    -0.000151497
     -2.2108e-05    -2.74617e-05
     -4.7852e-05    -5.61075e-05
     -4.6011e-05    -5.77112e-05
    -0.000798401    -0.000799473
    -0.000265862     -0.00027822
    -0.000237968    -0.000263782
     -3.1148e-05    -3.81535e-05
    -0.000120063    -0.000131676
    -0.000250218    -0.000284575
     -7.1462e-05     -7.5701e-05
    -0.000111548    -0.000133361
     -6.3058e-05    -7.02966e-05
    -0.000393641    -0.000434843
    -0.000151192     -0.00016762
     -2.5187e-05    -3.16341e-05
     -6.2476e-05    -7.05809e-05
    -0.000229241    -0.000245367
    -0.000276518    -0.000297224
    -0.000150362    -0.000161446
    -0.000331176    -0.000354005
     -2.2871e-05    -2.83976e-05
    -0.000219045    -0.000233611
    -0.000519226    -0.000499816
     -4.2352e-05    -5.10609e-05
     -2.5118e-05    -3.05143e-05
    -0.000303791    -0.000320621
     -4.3938e-05    -5.54945e-05
     -6.1122e-05     -7.6449e-05
     -3.1255e-05    -3.77506e-05
      -1.791e-05    -2.23456e-05
    -0.000493893    -0.000488893
    -0.000530151    -0.000548797
      -4.572e-05    -5.89616e-05
     -1.2214e-05    -1.72058e-05
     -2.2911e-05    -2.82004e-05
      -1.554e-05    -2.07461e-05
     -6.2175e-05    -7.28032e-05
     -2.0605e-05    -2.67809e-05
     -9.3741e-05    -0.000110996
     -6.6832e-05    -9.12122e-05
    -0.000517067      -0.0004848
     -6.3611e-05    -7.26915e-05
    -0.000176891    -0.000189201
     -1.9472e-05    -2.35311e-05
     -3.9253e-05    -5.11658e-05
    -0.000343549    -0.000355151
     -3.0432e-05    -3.77931e-05
    -0.000117389    -0.000140882
    -0.000913625    -0.000905742
     -8.8341e-05    -0.000105638
    -0.000926648    -0.000860993
     -5.0104e-05    -6.32617e-05
    -0.000231758    -0.000248004
     -7.0271e-05    -8.34185e-05
      -8.769e-06    -1.26037e-05
     -6.2942e-05     -7.4556e-05
    -0.000311039    -0.000325652
      -2.797e-05     -4.2338e-05
     -1.9565e-05    -2.49924e-05
     -4.8111e-05    -5.77812e-05
     -0.00039605     -0.00041155
     -8.4564e-05    -9.65714e-05
    -0.000143599    -0.000158721
    -0.000110207    -0.000123215
    -0.000110762    -0.000131204
     -9.3446e-05    -0.000119041
     -3.2342e-05    -3.88821e-05
    -0.000565649    -0.000551754
     -3.2205e-05    -4.16345e-05
     -3.8931e-05    -4.99805e-05
     -1.5381e-05    -2.03312e-05
     -3.8215e-05    -4.88225e-05
     -9.8378e-05     -0.00011003
     -3.4638e-05     -4.4181e-05
    -0.000206497    -0.000226229
    -0.000995951     -0.00103513
     -4.5647e-05     -5.3773e-05
    -0.000565004    -0.000563789
    -0.000106077    -0.000114041
     -1.4906e-05    -1.99633e-05
    -0.000242447    -0.000267514
     -6.3394e-05    -7.30805e-05
     -0.00030729    -0.000314597
     -1.7259e-05    -2.09835e-05
     -5.4443e-05    -6.38222e-05
     -0.00017324    -0.000198257
    -0.000609122    -0.000586702
     -3.6854e-05    -4.80352e-05
    -0.000125611    -0.000135727
     -9.0829e-05    -0.000111007
     -3.5088e-05    -4.49843e-05
    -0.000151676    -0.000165283
     -1.7893e-05    -2.36441e-05
     -2.9605e-05    -4.19793e-05
    -0.000401249    -0.000417963
    -0.000631499    -0.000657477
     -4.6001e-05    -5.37521e-05
    -0.000188716    -0.000205271
    -0.000245255    -0.000272236
      -7.299e-05    -8.48739e-05
    -0.000241925    -0.000262844
     -2.2981e-05    -2.96288e-05
    -0.000508782     -0.00053987
     -4.3634e-05     -5.5673e-05
    -0.000495486    -0.000512046
     -0.00050586    -0.000504167
       -4.66e-05    -5.62014e-05
    -0.000997626    -0.000952097
    -0.000153511    -0.000163654
    -0.000795303     -0.00077784
    -0.000827983    -0.000828442
    -0.000100572    -0.000113947
    -0.000753562    -0.000756697
    -0.000592835    -0.000587196
    -0.000115349    -0.000131135
     -0.00045527    -0.000457571
      -2.877e-05    -3.71228e-05
