QM Energy	FF Energy
     -0.00166835     -0.00163659
     -0.00766856      -0.0071582
     -0.00125085     -0.00122968
     -0.00117596     -0.00111005
     -0.00342472     -0.00323005
     -0.00152491     -0.00151438
     -0.00195178     -0.00191449
     -0.00230337     -0.00238653
     -0.00376606     -0.00379017
     -0.00273943      -0.0027075
     -0.00194506     -0.00194258
     -0.00245923     -0.00244477
     -0.00625463     -0.00627826
     -0.00170159     -0.00171143
    -0.000792979    -0.000745602
     -0.00289095     -0.00288553
      -0.0039469     -0.00386888
     -0.00336014     -0.00340615
     -0.00334836     -0.00303157
     -0.00265028     -0.00252358
    -0.000824736    -0.000759962
     -0.00347988      -0.0032356
     -0.00305774     -0.00294129
     -0.00550053      -0.0051844
     -0.00203923     -0.00205421
     -0.00142114      -0.0014618
     -0.00117217     -0.00115123
     -0.00558407     -0.00546118
     -0.00633042     -0.00616464
     -0.00126771     -0.00127999
     -0.00360019     -0.00363895
     -0.00891766     -0.00879565
     -0.00616079     -0.00587483
      -0.0020884     -0.00200232
     -0.00747932      -0.0073322
     -0.00133733      -0.0012916
    -0.000997497    -0.000960037
     -0.00151041     -0.00145159
     -0.00130822     -0.00124367
     -0.00401721     -0.00364076
     -0.00508752     -0.00496679
     -0.00179635     -0.00170203
     -0.00414759     -0.00423966
     -0.00307041      -0.0030909
    -0.000692454    -0.000642506
     -0.00434056     -0.00412718
      -0.0019419     -0.00198678
     -0.00492984     -0.00458721
     -0.00511211     -0.00517166
      -0.0044961     -0.00423301
     -0.00406821      -0.0037913
     -0.00830171     -0.00786029
     -0.00140507     -0.00136305
     -0.00522848     -0.00493574
      -0.0102843      -0.0105465
      -0.0125282      -0.0125585
     -0.00457966     -0.00436381
     -0.00204172       -0.001969
    -0.000959768    -0.000930121
     -0.00351856      -0.0034902
     -0.00315906     -0.00323537
     -0.00247405     -0.00251785
     -0.00189832     -0.00188963
     -0.00444577     -0.00438163
     -0.00191488     -0.00178808
      -0.0104119      -0.0103783
     -0.00968082     -0.00987758
     -0.00523075     -0.00494372
     -0.00214837     -0.00212205
      -0.0048239     -0.00477708
     -0.00366895     -0.00354007
      -0.0089307     -0.00884654
     -0.00137418     -0.00131257
     -0.00218779     -0.00208157
     -0.00186263     -0.00177624
       -0.010206     -0.00972497
     -0.00172672     -0.00162206
     -0.00110197     -0.00103905
     -0.00127957     -0.00120046
     -0.00173926     -0.00173237
     -0.00676434     -0.00686051
     -0.00360217     -0.00360357
     -0.00310001     -0.00307877
     -0.00113314      -0.0010833
     -0.00188598     -0.00176683
     -0.00352286     -0.00359215
     -0.00219431      -0.0021112
     -0.00228198     -0.00229799
     -0.00160143     -0.00155797
     -0.00475748     -0.00489486
     -0.00212198     -0.00205325
     -0.00103748     -0.00099977
     -0.00197797     -0.00191119
     -0.00314135      -0.0031174
     -0.00417101     -0.00419033
     -0.00213088     -0.00204574
     -0.00320854     -0.00315555
     -0.00106341     -0.00099073
     -0.00284351       -0.002816
      -0.0043513     -0.00422113
     -0.00151347     -0.00148767
     -0.00100277     -0.00092881
     -0.00440174     -0.00445463
     -0.00153513      -0.0015248
     -0.00158435     -0.00157579
    -0.000901754    -0.000814659
    -0.000841966    -0.000786711
     -0.00462024     -0.00465305
     -0.00605558     -0.00622676
     -0.00159409     -0.00161296
     -0.00105589     -0.00103291
    -0.000759544    -0.000685178
    -0.000879385    -0.000847467
     -0.00145532     -0.00139781
     -0.00136177     -0.00133932
     -0.00184113        -0.00181
     -0.00237814     -0.00244641
     -0.00457906     -0.00447583
     -0.00183082     -0.00174752
     -0.00254495     -0.00243854
    -0.000860282    -0.000785955
     -0.00153439     -0.00153152
     -0.00320936     -0.00312466
     -0.00134455     -0.00129801
     -0.00280076     -0.00280133
     -0.00731058     -0.00704171
     -0.00220827     -0.00221281
     -0.00551477     -0.00513951
     -0.00162006     -0.00158832
     -0.00226555      -0.0021025
     -0.00153412      -0.0014973
    -0.000983603    -0.000971247
     -0.00171238     -0.00167153
     -0.00250268     -0.00232818
     -0.00179527     -0.00188607
     -0.00113061     -0.00109334
     -0.00151155     -0.00147638
       -0.004735     -0.00479905
     -0.00159127     -0.00151384
     -0.00280863     -0.00277318
     -0.00206426     -0.00202182
     -0.00239177     -0.00237541
     -0.00243976     -0.00246079
      -0.0011389     -0.00108285
     -0.00448624     -0.00439122
     -0.00139952     -0.00138091
        -0.00153     -0.00154565
     -0.00106323     -0.00104116
     -0.00138477     -0.00135498
     -0.00185529     -0.00175598
     -0.00135581     -0.00134632
     -0.00324782     -0.00320969
     -0.00820673     -0.00828724
      -0.0013683     -0.00126537
     -0.00556641     -0.00566195
