QM Energy	FF Energy
    -0.000208142    -0.000232368
     -0.00683648       -0.006341
    -0.000178424    -0.000190421
    -0.000224688    -0.000202562
     -0.00146016     -0.00161592
    -0.000132982    -0.000151456
    -0.000337446    -0.000356967
    -0.000441495    -0.000536815
    -0.000883495     -0.00108508
    -0.000763168    -0.000771824
    -0.000272761    -0.000310334
    -0.000444024    -0.000503423
      -0.0029793     -0.00318124
    -0.000162175    -0.000196877
     -9.2163e-05    -9.29123e-05
    -0.000819679     -0.00097837
     -0.00166885     -0.00194899
     -0.00104497      -0.0011894
     -0.00149812     -0.00170356
    -0.000882438    -0.000791013
       -4.85e-05    -5.95194e-05
      -0.0015484     -0.00167726
     -0.00126651     -0.00129673
     -0.00332576     -0.00342014
    -0.000262655     -0.00031243
    -0.000132556    -0.000168666
    -0.000122451    -0.000134546
     -0.00267002     -0.00307715
     -0.00356354     -0.00407864
     -9.1207e-05    -0.000115102
     -0.00129164     -0.00145517
      -0.0067524     -0.00692137
     -0.00449431     -0.00417287
    -0.000466008    -0.000481846
     -0.00400117     -0.00426188
    -0.000212956    -0.000215227
    -0.000142621    -0.000160207
    -0.000264511    -0.000268001
    -0.000144083    -0.000151396
     -0.00211845     -0.00241302
     -0.00229776     -0.00275185
     -0.00038553     -0.00039021
     -0.00146631     -0.00176588
      -0.0008639     -0.00105299
     -6.5027e-05    -6.57107e-05
     -0.00184335     -0.00210002
    -0.000234639    -0.000293249
     -0.00263374     -0.00285634
     -0.00207858     -0.00225218
     -0.00223998     -0.00225432
     -0.00250756     -0.00237187
     -0.00731461      -0.0065665
    -0.000223763    -0.000246107
     -0.00319291     -0.00289066
     -0.00609099     -0.00695407
     -0.00882908     -0.00960962
     -0.00191953      -0.0021603
    -0.000590789    -0.000611815
    -0.000108931     -0.00011276
     -0.00147545     -0.00162617
    -0.000585287    -0.000785802
    -0.000503003    -0.000587505
    -0.000375932    -0.000440401
     -0.00159701     -0.00168838
      -0.0005125    -0.000462958
     -0.00794277     -0.00828771
      -0.0063804     -0.00716287
     -0.00350153     -0.00325754
    -0.000451777    -0.000509919
     -0.00190495     -0.00214962
     -0.00171173     -0.00175794
     -0.00697024     -0.00763307
     -0.00014074    -0.000155972
    -0.000673587    -0.000685407
    -0.000417778    -0.000421154
     -0.00964846     -0.00920778
    -0.000308538    -0.000367457
    -0.000152567    -0.000155105
    -0.000284777    -0.000260584
    -0.000282578    -0.000327979
     -0.00388948     -0.00435932
      -0.0013707     -0.00141813
      -0.0008252    -0.000922835
    -0.000134197    -0.000134898
    -0.000589237    -0.000540844
     -0.00101602     -0.00120397
    -0.000389641    -0.000404255
    -0.000560287    -0.000644216
    -0.000360936    -0.000404297
     -0.00171244      -0.0020262
    -0.000504548    -0.000541453
    -0.000136276    -0.000130271
    -0.000365002    -0.000368751
     -0.00111822     -0.00120077
     -0.00141796     -0.00151414
    -0.000617038    -0.000649271
     -0.00104921     -0.00118886
    -0.000124172    -0.000114213
     -0.00100207     -0.00107071
     -0.00216339     -0.00230035
    -0.000237781    -0.000267168
    -0.000126074    -0.000113897
       -0.001684     -0.00183224
    -0.000169112    -0.000188486
    -0.000159529    -0.000207189
     -7.5239e-05    -7.84484e-05
     -4.8142e-05    -5.12011e-05
     -0.00230116     -0.00239681
     -0.00280236     -0.00316536
    -0.000219642    -0.000258673
     -7.3332e-05    -8.69289e-05
     -7.2531e-05    -7.13769e-05
     -5.1627e-05    -5.95583e-05
    -0.000283935    -0.000282229
    -0.000103454    -0.000122725
    -0.000276339    -0.000329488
    -0.000378108    -0.000461488
     -0.00253857     -0.00258257
    -0.000368696    -0.000366421
    -0.000633009    -0.000660318
     -7.1134e-05    -6.61164e-05
    -0.000166845    -0.000198504
      -0.0013789     -0.00143032
    -0.000199801    -0.000203002
    -0.000609755    -0.000676673
     -0.00498643      -0.0046918
    -0.000469692     -0.00049171
     -0.00424602     -0.00400691
    -0.000170643    -0.000205132
    -0.000588537    -0.000665509
    -0.000246395    -0.000273731
     -4.9268e-05    -5.41003e-05
    -0.000361507    -0.000351755
    -0.000895393    -0.000975891
    -0.000218676    -0.000287267
    -0.000118289    -0.000128516
    -0.000285687    -0.000278582
     -0.00206886      -0.0022592
     -0.00035577    -0.000351886
    -0.000823702    -0.000810865
    -0.000564609    -0.000559313
    -0.000589214    -0.000620788
    -0.000466215    -0.000520399
    -0.000171904    -0.000172503
      -0.0025644     -0.00254864
    -0.000181785    -0.000220412
    -0.000198246    -0.000218193
    -0.000124596     -0.00012302
    -0.000219669    -0.000240409
    -0.000369834    -0.000374879
    -0.000217009    -0.000236592
    -0.000891016      -0.0010072
     -0.00467177     -0.00507988
    -0.000191678    -0.000185526
     -0.00286314     -0.00316431
    -0.000453305    -0.000448157
     -9.8042e-05    -9.81497e-05
    -0.000794263    -0.000920875
     -0.00037733    -0.000453414
     -0.00160778     -0.00170932
     -6.9544e-05    -7.08325e-05
    -0.000173311    -0.000174524
    -0.000467586    -0.000573111
     -0.00241408     -0.00237837
     -0.00010766       -0.000139
    -0.000691416    -0.000653158
     -0.00053607    -0.000571637
    -0.000157875    -0.000180822
    -0.000659262    -0.000655074
     -7.5767e-05    -8.53768e-05
    -0.000183317    -0.000231059
     -0.00108116       -0.001253
      -0.0023327     -0.00263529
    -0.000204046    -0.000200521
     -0.00100214     -0.00110956
     -0.00074758    -0.000876197
    -0.000175168    -0.000198496
    -0.000656601    -0.000762497
    -0.000123207    -0.000137988
     -0.00260866      -0.0028481
    -0.000191189    -0.000219784
     -0.00237022      -0.0026549
     -0.00212541     -0.00199618
    -0.000283713    -0.000286827
      -0.0049171     -0.00514152
    -0.000671185    -0.000643394
      -0.0022685     -0.00256342
     -0.00431857     -0.00429081
    -0.000553269    -0.000529766
     -0.00401572     -0.00404685
     -0.00174721     -0.00186671
       -0.000503    -0.000540228
     -0.00143488     -0.00148515
    -0.000150582    -0.000170029
    -0.000310384    -0.000408251
     -0.00479039     -0.00474775
    -0.000586914    -0.000558763
     -0.00160483     -0.00171517
    -0.000185326    -0.000214268
     -0.00111988     -0.00117336
    -0.000599804    -0.000608795
    -0.000207205    -0.000187461
      -0.0020338     -0.00194041
    -0.000262613    -0.000275417
      -0.0003946    -0.000400754
     -9.2139e-05    -0.000110848
     -7.5533e-05     -9.2635e-05
     -0.00699901     -0.00705091
     -0.00466592     -0.00482695
    -0.000152804    -0.000182306
     -0.00191358     -0.00220483
    -0.000760964    -0.000789084
    -0.000158211    -0.000192717
     -0.00117051     -0.00132574
     -0.00735183     -0.00807743
      -0.0023324     -0.00253769
     -0.00548746     -0.00529694
     -0.00123435     -0.00142806
    -0.000365077    -0.000426853
    -0.000106069     -0.00011634
    -0.000421752     -0.00042924
    -0.000108907    -0.000113998
     -0.00504026     -0.00528143
    -0.000120526    -0.000113363
    -0.000232748    -0.000249054
    -0.000109706    -0.000127602
     -0.00174475     -0.00170054
     -0.00245932     -0.00245924
     -0.00039883    -0.000403043
    -0.000175632    -0.000202319
     -0.00460001     -0.00435633
    -0.000100751    -9.41438e-05
     -0.00495998     -0.00447958
    -0.000922084    -0.000933634
     -0.00962547      -0.0101083
    -0.000500559    -0.000525394
     -0.00111364     -0.00117396
     -0.00164569     -0.00160549
    -0.000303843    -0.000295409
    -0.000339955    -0.000384043
     -0.00605461     -0.00651047
     -0.00027685    -0.000287158
    -0.000460791    -0.000464086
    -0.000148165    -0.000145225
     -9.9317e-05    -0.000126217
    -0.000137253    -0.000123763
    -0.000437869    -0.000440028
    -0.000200215     -0.00021664
    -0.000126284    -0.000136923
     -0.00103612     -0.00131575
     -0.00213042     -0.00235553
     -0.00351402     -0.00343502
     -0.00107248     -0.00102101
     -0.00489788     -0.00490757
     -0.00210543     -0.00198243
     -9.3254e-05    -9.95752e-05
     -0.00104714     -0.00102176
    -0.000333669    -0.000304114
    -0.000236996    -0.000237685
      -0.0001495    -0.000141997
    -0.000310857    -0.000278499
     -9.2532e-05    -0.000103333
     -0.00115319     -0.00122838
    -0.000124714    -0.000118956
    -0.000752367    -0.000824242
    -0.000317489    -0.000412255
     -0.00183112     -0.00183487
    -0.000915398     -0.00100076
     -5.7815e-05    -6.56852e-05
     -0.00303869     -0.00302439
     -0.00109621     -0.00113508
    -0.000379232    -0.000372619
    -0.000217677    -0.000202071
     -7.7511e-05    -7.53197e-05
    -0.000102313      -0.0001173
    -0.000306087    -0.000333067
    -0.000397101     -0.00041144
     -4.4089e-05     -5.1548e-05
    -0.000135618     -0.00015987
    -0.000310921    -0.000347404
    -0.000374021    -0.000427748
    -0.000243203    -0.000302629
    -0.000955909     -0.00101799
     -0.00423868      -0.0038942
     -7.5363e-05    -7.90289e-05
     -0.00022682    -0.000232169
    -0.000740953     -0.00079251
     -9.6925e-05    -9.69863e-05
    -0.000399349    -0.000426836
    -0.000563849    -0.000709585
    -0.000719256    -0.000793285
