QM Energy	FF Energy
     -1.5085e-05    -2.25422e-05
    -0.000646115    -0.000519016
      -9.009e-06    -1.27904e-05
     -1.4734e-05     -1.7936e-05
    -0.000236158    -0.000202687
     -1.1859e-05    -1.61093e-05
     -2.4433e-05    -3.27796e-05
     -2.7387e-05    -3.71658e-05
    -0.000116019    -0.000120026
     -3.2517e-05    -5.82513e-05
     -1.1368e-05    -2.25564e-05
     -2.6975e-05    -4.13065e-05
     -0.00025996    -0.000279753
     -1.1688e-05    -1.82186e-05
       -4.77e-06    -6.73424e-06
     -9.8532e-05     -9.9557e-05
    -0.000229996     -0.00020974
      -5.979e-05    -8.49595e-05
    -0.000296796    -0.000242941
     -3.5544e-05    -6.64831e-05
     -1.5613e-05    -1.45767e-05
    -0.000236341    -0.000210771
    -0.000102265    -0.000115874
    -0.000348336    -0.000331707
     -2.6975e-05     -3.1884e-05
      -9.194e-06    -1.24708e-05
      -6.925e-06    -1.04656e-05
    -0.000392246    -0.000332997
     -0.00044461    -0.000382551
      -5.325e-06    -8.60953e-06
     -7.5451e-05     -0.00010222
    -0.000539507    -0.000477961
    -0.000308419    -0.000330415
     -4.7164e-05     -5.5209e-05
    -0.000299387    -0.000351483
     -1.9061e-05    -2.15868e-05
      -8.432e-06    -1.13149e-05
     -2.7097e-05     -3.0035e-05
      -5.404e-06    -1.34961e-05
    -0.000415422    -0.000328087
    -0.000353816    -0.000306608
     -1.5782e-05    -3.10611e-05
    -0.000119549    -0.000137113
     -9.4621e-05     -0.00010223
      -4.861e-06     -6.0223e-06
    -0.000315161    -0.000268628
      -1.244e-05    -2.01436e-05
    -0.000401294    -0.000338685
    -0.000173456    -0.000190674
    -0.000220609    -0.000233718
    -0.000185823    -0.000206875
    -0.000520506    -0.000486918
     -1.1719e-05    -1.88319e-05
    -0.000180447    -0.000244027
    -0.000430877    -0.000452466
    -0.000674042    -0.000683323
    -0.000280051    -0.000253024
     -6.1725e-05    -6.40191e-05
       -9.89e-06    -1.10457e-05
    -0.000112304    -0.000130323
     -8.4657e-05    -8.88973e-05
     -4.6069e-05    -5.37096e-05
     -3.0003e-05    -3.72755e-05
      -0.0001162    -0.000149864
     -3.4944e-05     -4.7101e-05
    -0.000617622    -0.000539031
    -0.000507773    -0.000454611
    -0.000198104     -0.00026033
     -5.8913e-05    -5.95242e-05
    -0.000179906    -0.000197408
    -0.000150184    -0.000160248
    -0.000737035    -0.000530831
     -2.1757e-05    -2.32967e-05
      -7.734e-05    -7.80329e-05
      -4.313e-05    -4.84775e-05
    -0.000886347    -0.000668558
     -6.8277e-05    -6.26056e-05
      -5.855e-06    -1.11378e-05
     -1.7721e-05    -2.17648e-05
     -1.5585e-05    -2.31662e-05
    -0.000298993    -0.000298422
     -8.3348e-05    -0.000105055
    -0.000100903    -0.000102102
     -1.3191e-05    -1.52742e-05
     -4.3056e-05    -5.13038e-05
     -9.7196e-05    -0.000107909
     -1.2486e-05    -3.43629e-05
     -3.9245e-05    -4.97223e-05
     -2.2032e-05    -3.00312e-05
    -0.000145693    -0.000162062
     -6.6394e-05    -6.60664e-05
     -1.0637e-05    -1.24693e-05
     -1.0799e-05    -2.87165e-05
     -6.5166e-05    -9.17644e-05
     -6.2205e-05    -0.000110738
     -5.7876e-05     -6.4763e-05
    -0.000147901    -0.000139528
      -7.326e-06    -1.11855e-05
     -7.7193e-05    -8.94151e-05
    -0.000184331    -0.000200426
     -1.5448e-05    -2.11447e-05
       -9.44e-06     -1.2355e-05
     -6.5155e-05    -0.000119322
     -1.7385e-05    -2.11947e-05
     -3.0575e-05    -3.10616e-05
     -1.5345e-05    -1.54777e-05
      -7.785e-06    -9.07128e-06
    -0.000175484     -0.00018612
    -0.000158746    -0.000205262
     -1.6952e-05    -2.18905e-05
      -3.617e-06    -6.89394e-06
     -1.2154e-05    -1.17809e-05
      -7.618e-06    -8.58645e-06
     -2.5696e-05    -2.84422e-05
       -6.56e-06    -1.16502e-05
     -4.3506e-05    -4.43507e-05
     -2.1658e-05    -3.30013e-05
    -0.000148166    -0.000190914
      -1.306e-05    -2.93684e-05
     -5.9413e-05    -7.37137e-05
      -8.179e-06     -1.0133e-05
      -1.601e-05    -1.94292e-05
    -0.000133427    -0.000136648
      -7.094e-06    -1.43391e-05
     -3.7237e-05    -5.49507e-05
    -0.000259207    -0.000343976
     -3.0491e-05    -4.00355e-05
    -0.000333038    -0.000332706
      -2.066e-05    -2.49967e-05
    -0.000108017    -0.000100215
     -3.1426e-05    -3.29713e-05
      -3.684e-06    -5.70525e-06
     -2.1457e-05    -2.91409e-05
    -0.000148466    -0.000131005
      -9.806e-06    -1.55022e-05
      -5.291e-06    -1.00483e-05
     -1.4971e-05    -2.18122e-05
    -0.000108096    -0.000152768
      -3.615e-05    -3.81231e-05
     -3.8193e-05    -6.09929e-05
     -3.7843e-05    -4.66272e-05
     -3.4932e-05    -4.91608e-05
      -3.792e-05    -4.55225e-05
     -1.3599e-05    -1.62236e-05
    -0.000204082    -0.000208907
     -1.1272e-05     -1.6753e-05
     -1.4566e-05    -1.87754e-05
      -5.391e-06    -8.30527e-06
     -1.3084e-05     -1.8448e-05
     -3.4783e-05    -4.33864e-05
     -1.3288e-05    -1.71041e-05
     -7.2357e-05    -9.05226e-05
    -0.000365101     -0.00038806
     -1.4724e-05     -2.1119e-05
    -0.000172628    -0.000211453
     -2.8782e-05    -4.65984e-05
      -4.647e-06    -7.69178e-06
    -0.000104003    -0.000103966
     -1.8231e-05    -3.06165e-05
     -9.6981e-05    -0.000120091
      -5.445e-06    -8.91637e-06
     -2.4653e-05    -2.56962e-05
     -8.5705e-05    -8.04088e-05
    -0.000235607    -0.000231201
     -1.8031e-05    -1.91993e-05
     -3.6371e-05    -5.30629e-05
     -2.5714e-05     -4.1381e-05
     -1.5809e-05    -1.77088e-05
     -5.8877e-05     -6.4256e-05
      -8.672e-06    -9.56075e-06
      -1.014e-05    -1.61276e-05
    -0.000194256    -0.000170066
    -0.000250263    -0.000253318
     -1.5569e-05     -2.1087e-05
     -4.5805e-05    -8.18353e-05
    -0.000106704    -0.000107145
     -3.8648e-05    -3.54488e-05
    -0.000111206    -0.000105607
      -9.603e-06     -1.1817e-05
    -0.000158221     -0.00020205
     -1.4345e-05    -2.11916e-05
    -0.000176861    -0.000194347
    -0.000165494    -0.000191867
     -1.7123e-05    -2.22212e-05
    -0.000339713    -0.000369318
     -3.8201e-05    -6.49007e-05
    -0.000383714     -0.00031046
    -0.000227213     -0.00031696
      -3.518e-05    -4.35798e-05
    -0.000186097    -0.000282672
    -0.000262923    -0.000234045
     -4.4312e-05    -5.24369e-05
    -0.000198424    -0.000180194
     -1.2365e-05    -1.46225e-05
     -1.9282e-05    -2.99749e-05
    -0.000480448     -0.00040867
     -3.7612e-05    -4.70529e-05
     -0.00016151    -0.000161739
     -1.1835e-05    -2.01015e-05
    -0.000124884    -0.000126511
     -6.3324e-05    -6.80312e-05
     -1.3764e-05    -1.70715e-05
    -0.000122498    -0.000155772
     -1.3527e-05    -2.20116e-05
     -4.2632e-05    -4.96722e-05
      -5.874e-06    -8.91353e-06
      -4.454e-06    -6.31819e-06
    -0.000387258    -0.000474143
    -0.000265621    -0.000330583
      -7.517e-06    -1.34061e-05
    -0.000320115    -0.000272984
     -6.8614e-05    -8.01742e-05
      -9.872e-06    -1.47097e-05
     -6.8875e-05    -9.38714e-05
    -0.000720086    -0.000539172
    -0.000142073    -0.000185734
    -0.000476067    -0.000427769
     -5.7904e-05    -9.72133e-05
     -2.0819e-05    -3.25141e-05
      -9.148e-06    -1.26244e-05
      -4.033e-05    -4.33962e-05
      -5.823e-06    -9.02182e-06
    -0.000446327    -0.000411851
      -5.427e-06    -9.34108e-06
     -2.2779e-05    -2.86964e-05
      -6.186e-06    -9.50147e-06
     -4.9662e-05    -0.000120699
    -0.000183215    -0.000201354
     -3.2043e-05    -3.86569e-05
     -1.7106e-05    -1.97378e-05
    -0.000380281    -0.000367494
      -4.914e-06    -6.96314e-06
    -0.000384898    -0.000388076
     -9.5262e-05    -0.000100054
    -0.000802601    -0.000609756
     -4.1151e-05    -4.71474e-05
    -0.000144206    -0.000136297
     -6.6536e-05    -0.000126426
     -2.0266e-05    -2.88602e-05
     -1.6416e-05    -2.78218e-05
    -0.000548597    -0.000465027
     -1.2864e-05    -1.99199e-05
     -1.3273e-05    -3.46694e-05
     -1.9183e-05    -1.98691e-05
      -5.168e-06    -7.55173e-06
       -7.38e-06      -9.804e-06
     -1.7722e-05    -3.80242e-05
     -3.7126e-05    -3.65171e-05
     -2.2637e-05    -2.34214e-05
    -0.000156977     -0.00015636
    -0.000324797    -0.000273598
    -0.000225895    -0.000264331
     -7.1812e-05    -8.69048e-05
    -0.000472996    -0.000406823
    -0.000174844    -0.000181975
      -3.848e-06    -7.62854e-06
      -5.193e-05    -8.63113e-05
     -2.1738e-05    -2.69504e-05
     -1.9345e-05     -2.8284e-05
      -6.303e-06    -1.07524e-05
     -1.2484e-05    -2.46827e-05
      -5.614e-06    -7.49553e-06
     -5.6422e-05    -8.46098e-05
     -1.2357e-05    -1.34193e-05
     -2.7421e-05    -5.27096e-05
     -1.6133e-05    -2.43248e-05
    -0.000105906    -0.000147302
     -6.1353e-05    -7.85083e-05
      -6.464e-06    -8.68125e-06
    -0.000381834    -0.000320022
     -4.7721e-05    -7.81618e-05
     -1.6634e-05    -2.90637e-05
       -7.59e-06    -1.94628e-05
       -8.42e-06    -9.05465e-06
      -6.846e-06    -1.06519e-05
     -1.3241e-05    -2.35792e-05
     -3.3919e-05    -4.02614e-05
     -1.0913e-05    -1.08959e-05
     -1.2191e-05    -1.50884e-05
     -1.3612e-05    -2.19502e-05
     -2.1078e-05    -2.93323e-05
     -1.7229e-05    -2.23305e-05
      -5.765e-05    -7.81027e-05
    -0.000296412     -0.00033895
     -1.3947e-05    -1.47615e-05
     -1.7042e-05    -2.07993e-05
     -3.2624e-05    -5.45586e-05
      -5.904e-06    -1.00663e-05
     -4.9996e-05    -5.36029e-05
     -5.1018e-05    -6.08035e-05
     -4.6195e-05    -6.06151e-05
    -0.000205941    -0.000193708
    -0.000365519    -0.000340385
     -0.00091797    -0.000707826
     -2.0018e-05    -3.15804e-05
      -9.995e-06    -1.05793e-05
    -0.000266231    -0.000239996
    -0.000335825    -0.000324333
     -1.8979e-05    -2.45093e-05
     -7.4357e-05    -0.000123567
    -0.000217769    -0.000254122
     -4.7456e-05    -4.83831e-05
     -1.5422e-05    -2.63123e-05
    -0.000102336    -0.000103438
     -6.5018e-05    -6.33641e-05
     -8.8879e-05    -0.000114885
     -3.0188e-05    -4.62447e-05
    -0.000424127    -0.000371679
     -1.6076e-05    -2.02765e-05
    -0.000281958    -0.000342099
     -0.00016691    -0.000151648
     -2.7009e-05    -5.52299e-05
    -0.000177894    -0.000220222
       -8.28e-06    -1.31397e-05
    -0.000273496    -0.000300617
     -0.00012259    -0.000186708
    -0.000563101    -0.000465473
      -7.684e-06    -8.93754e-06
    -0.000366087    -0.000366592
      -5.222e-06       -7.65e-06
     -5.0082e-05    -4.70211e-05
    -0.000388551    -0.000460992
     -2.5798e-05    -2.54047e-05
     -0.00026681    -0.000237134
     -4.7619e-05    -6.06989e-05
    -0.000166376    -0.000249318
    -0.000350631     -0.00031453
     -8.5111e-05    -0.000120929
     -9.3928e-05    -0.000111625
    -0.000196622     -0.00018016
     -6.8856e-05    -9.81426e-05
     -5.0519e-05    -4.99771e-05
     -1.9407e-05    -2.36695e-05
     -3.6239e-05    -4.42519e-05
    -0.000369995    -0.000382815
      -9.772e-06    -1.18862e-05
     -1.1545e-05    -1.95982e-05
    -0.000284923    -0.000284525
    -0.000249518    -0.000235466
     -2.6319e-05    -3.15814e-05
     -3.3063e-05    -4.99078e-05
      -5.967e-06    -9.58476e-06
       -2.55e-05    -2.67595e-05
    -0.000158026    -0.000227823
     -2.6312e-05    -5.02392e-05
     -1.2453e-05    -1.81457e-05
      -4.416e-06    -6.87203e-06
     -2.6433e-05    -4.60768e-05
     -6.2262e-05    -0.000125675
      -8.325e-06    -1.18031e-05
      -5.874e-06    -7.51922e-06
     -1.1336e-05    -2.19709e-05
     -1.4873e-05     -1.8473e-05
    -0.000139866    -0.000177656
    -0.000168548    -0.000179698
    -0.000307152    -0.000312294
    -0.000233929    -0.000222726
    -0.000185054    -0.000226799
    -0.000173924    -0.000177845
          -5e-06    -6.37247e-06
    -0.000110622    -0.000100391
     -3.3607e-05    -4.44245e-05
     -8.6662e-05    -8.64063e-05
    -0.000123216    -0.000121022
    -0.000118643    -0.000122507
    -0.000488475    -0.000413121
     -1.7196e-05    -2.05283e-05
     -1.2596e-05    -1.20064e-05
     -4.0213e-05    -5.38938e-05
     -2.5399e-05    -2.75609e-05
     -1.1283e-05    -1.61579e-05
     -5.4753e-05    -5.78319e-05
    -0.000107312    -0.000113769
     -7.4864e-05    -6.91607e-05
    -0.000646778    -0.000621257
    -0.000283923    -0.000291561
    -0.000109839    -0.000114181
    -0.000206549    -0.000308652
     -1.0912e-05    -1.10561e-05
    -0.000426886    -0.000444519
     -2.8181e-05     -4.1879e-05
    -0.000187314    -0.000264257
     -7.5425e-05    -0.000113474
     -1.1546e-05    -2.13337e-05
      -8.657e-06    -1.44992e-05
     -1.9026e-05    -3.37143e-05
    -0.000445783    -0.000384913
      -9.885e-06    -1.00935e-05
     -5.4824e-05    -5.52473e-05
     -6.8307e-05    -9.62394e-05
     -1.1971e-05    -1.41341e-05
      -4.246e-05    -4.46483e-05
     -7.0034e-05    -6.86485e-05
     -6.8987e-05    -8.47512e-05
     -8.6536e-05     -0.00010296
    -0.000102606    -9.48549e-05
     -6.0639e-05    -9.49903e-05
     -8.7724e-05    -9.00499e-05
     -3.4829e-05    -6.78732e-05
     -2.0242e-05    -2.26144e-05
      -5.898e-06    -8.07535e-06
     -2.3544e-05    -4.81049e-05
    -0.000223051    -0.000193477
     -5.6783e-05    -7.85768e-05
     -2.8497e-05    -3.45335e-05
     -0.00023061     -0.00026371
     -4.1772e-05    -4.84837e-05
     -5.9252e-05     -7.5488e-05
    -0.000277305    -0.000368597
     -4.1736e-05    -5.93378e-05
      -9.112e-06    -1.78091e-05
     -8.5368e-05    -0.000118821
      -2.185e-05    -2.83118e-05
       -4.19e-05    -6.03733e-05
    -0.000160349    -0.000145979
    -0.000445713    -0.000417292
    -0.000459813     -0.00040002
    -0.000200352    -0.000201062
      -9.513e-06    -1.39589e-05
      -7.083e-06    -9.80509e-06
       -7.22e-06      -1.207e-05
     -1.0025e-05    -1.28545e-05
    -0.000124162    -0.000125196
    -0.000631832    -0.000628505
     -2.4382e-05    -3.30124e-05
    -0.000153727    -0.000166206
      -5.159e-05    -6.92007e-05
     -4.5716e-05    -8.98259e-05
    -0.000711794    -0.000657632
     -2.0868e-05    -2.77332e-05
      -5.907e-06    -9.38795e-06
    -0.000611984    -0.000586781
      -9.728e-06    -1.65526e-05
     -8.5567e-05    -0.000102635
       -6.34e-05    -7.69629e-05
     -6.1355e-05    -5.75676e-05
     -2.6011e-05    -3.67155e-05
      -5.804e-06     -1.0487e-05
     -1.9445e-05     -2.7571e-05
     -2.0865e-05    -3.48966e-05
    -0.000246112    -0.000278808
      -2.656e-05     -3.5509e-05
     -2.2994e-05    -2.21747e-05
     -0.00070471    -0.000562152
     -5.6458e-05    -7.42673e-05
      -7.187e-05    -9.58987e-05
    -0.000136615    -0.000125166
      -8.192e-06    -1.52043e-05
     -0.00017087     -0.00021377
      -8.589e-06    -9.65559e-06
     -5.9088e-05    -8.44137e-05
      -4.164e-06     -6.9593e-06
     -4.8841e-05    -5.87586e-05
     -8.2836e-05    -9.47234e-05
     -4.0288e-05    -5.61022e-05
    -0.000336083    -0.000292991
    -0.000205433    -0.000203673
     -3.7223e-05    -4.13759e-05
      -7.481e-06    -8.11934e-06
      -9.728e-06    -1.29875e-05
    -0.000110232    -0.000131695
     -1.6667e-05    -1.75575e-05
     -2.3187e-05    -3.44524e-05
    -0.000469563    -0.000397359
    -0.000142767    -0.000183235
     -2.2315e-05    -2.48968e-05
      -6.126e-06    -9.90473e-06
       -9.43e-06    -1.30459e-05
    -0.000397623    -0.000426579
     -8.0982e-05    -8.63154e-05
       -9.31e-06    -1.13052e-05
    -0.000925347    -0.000707237
    -0.000254954    -0.000255599
    -0.000144033    -0.000149083
     -1.0765e-05    -1.34728e-05
       -5.92e-06     -9.5245e-06
      -6.971e-06    -8.66026e-06
     -4.1627e-05    -5.21034e-05
      -7.957e-06    -8.30898e-06
     -9.9558e-05    -0.000113292
     -2.6411e-05    -5.03445e-05
      -8.391e-05    -0.000123069
      -6.956e-05     -6.4803e-05
     -1.1055e-05    -1.09579e-05
     -3.7628e-05    -3.81958e-05
     -2.0343e-05    -3.25013e-05
     -3.7118e-05    -4.72953e-05
     -1.0371e-05    -1.13152e-05
      -4.567e-06    -7.15343e-06
      -1.604e-05     -1.7691e-05
     -1.3724e-05    -1.95147e-05
      -8.374e-06    -1.24124e-05
     -3.8092e-05    -5.20327e-05
    -0.000114371    -0.000147402
     -4.1735e-05    -7.90734e-05
     -3.0232e-05    -4.07357e-05
    -0.000141627    -0.000156439
    -0.000172453    -0.000151002
     -0.00037111    -0.000323084
     -1.6639e-05    -1.65438e-05
     -2.8753e-05    -3.81437e-05
    -0.000185679    -0.000250948
     -5.0719e-05    -5.65864e-05
      -3.571e-06    -6.22578e-06
      -4.248e-06    -7.97353e-06
    -0.000128666    -0.000121232
      -6.943e-06    -1.05845e-05
     -1.9589e-05    -2.86982e-05
     -1.8004e-05    -2.51455e-05
     -4.1938e-05    -6.09873e-05
     -2.5081e-05    -2.75435e-05
     -1.3025e-05    -1.62477e-05
