QM Energy	FF Energy
     -4.6571e-05    -6.00935e-05
     -0.00143181     -0.00135252
     -2.4247e-05    -3.45091e-05
     -3.8774e-05    -4.78244e-05
    -0.000505145    -0.000495336
     -3.2808e-05    -4.47995e-05
      -7.063e-05    -8.92697e-05
      -7.855e-05    -0.000104451
    -0.000273666    -0.000310539
    -0.000139786    -0.000161041
     -4.3681e-05    -5.82474e-05
     -8.5294e-05    -0.000107499
    -0.000688224    -0.000731784
     -3.7692e-05    -5.13218e-05
     -1.2463e-05    -1.63766e-05
     -0.00022734    -0.000257273
    -0.000510008    -0.000522111
    -0.000199172    -0.000231669
    -0.000594873    -0.000574356
    -0.000161156    -0.000179702
     -2.7208e-05    -3.46863e-05
    -0.000523184    -0.000515771
    -0.000293901     -0.00029837
    -0.000890189    -0.000807999
     -6.2524e-05    -8.54525e-05
     -2.3122e-05     -3.5315e-05
     -1.9097e-05    -2.73563e-05
    -0.000852843    -0.000823396
    -0.000965395    -0.000946006
      -1.505e-05    -2.40141e-05
    -0.000244199    -0.000277318
     -0.00133722      -0.0012684
     -0.00090182    -0.000854084
    -0.000125894    -0.000142541
    -0.000898848    -0.000921553
     -4.7054e-05    -5.77797e-05
     -2.0859e-05    -2.67041e-05
     -6.5577e-05    -7.83066e-05
     -2.3987e-05    -3.00568e-05
    -0.000822356    -0.000772037
    -0.000744636    -0.000738384
     -6.8949e-05    -7.87622e-05
    -0.000327804    -0.000373774
    -0.000228913     -0.00026245
     -1.0428e-05    -1.38038e-05
    -0.000665434    -0.000649686
     -3.8163e-05    -5.74875e-05
    -0.000863242    -0.000817816
    -0.000463322    -0.000502928
    -0.000612116    -0.000587363
    -0.000562828    -0.000534072
     -0.00129933     -0.00129348
     -3.8088e-05    -4.68332e-05
    -0.000644202    -0.000635936
     -0.00117081     -0.00124472
     -0.00169413     -0.00180933
    -0.000629428    -0.000626521
    -0.000148982    -0.000165356
     -2.2072e-05    -2.95294e-05
    -0.000323312    -0.000341688
    -0.000191004    -0.000228409
    -0.000120397    -0.000145577
     -8.0274e-05    -0.000102319
     -0.00036321    -0.000399343
    -0.000110073    -0.000124215
     -0.00146837     -0.00145165
      -0.0012197     -0.00123658
    -0.000702838    -0.000657741
    -0.000133076    -0.000151602
    -0.000475696    -0.000504676
     -0.00041087    -0.000410257
     -0.00146035     -0.00142587
      -4.827e-05    -6.01662e-05
    -0.000182346    -0.000198092
    -0.000110572    -0.000125394
      -0.0017943     -0.00175457
    -0.000134465    -0.000150972
     -2.2108e-05    -2.89502e-05
     -4.7852e-05    -5.80182e-05
     -4.6011e-05    -6.03698e-05
    -0.000798401    -0.000806068
    -0.000265862    -0.000283132
    -0.000237968    -0.000263541
     -3.1148e-05    -3.94644e-05
    -0.000120063    -0.000133963
    -0.000250218    -0.000286127
     -7.1462e-05    -7.96847e-05
    -0.000111548     -0.00013657
     -6.3058e-05    -7.29003e-05
    -0.000393641    -0.000436491
    -0.000151192    -0.000167716
     -2.5187e-05    -3.29277e-05
     -6.2476e-05    -7.39078e-05
    -0.000229241    -0.000248903
    -0.000276518     -0.00030394
    -0.000150362    -0.000163015
    -0.000331176    -0.000349457
     -2.2871e-05    -2.98202e-05
    -0.000219045    -0.000236254
    -0.000519226    -0.000500491
     -4.2352e-05    -5.31319e-05
     -2.5118e-05    -3.18694e-05
    -0.000303791    -0.000329305
     -4.3938e-05     -5.7231e-05
     -6.1122e-05    -7.78037e-05
     -3.1255e-05    -3.87986e-05
      -1.791e-05    -2.33059e-05
    -0.000493893    -0.000491776
    -0.000530151    -0.000559115
      -4.572e-05    -6.09263e-05
     -1.2214e-05    -1.83815e-05
     -2.2911e-05    -2.91414e-05
      -1.554e-05    -2.16965e-05
     -6.2175e-05     -7.4454e-05
     -2.0605e-05    -2.84554e-05
     -9.3741e-05    -0.000112014
     -6.6832e-05     -9.4652e-05
    -0.000517067    -0.000489914
     -6.3611e-05    -7.56266e-05
    -0.000176891    -0.000190265
     -1.9472e-05    -2.45906e-05
     -3.9253e-05    -5.29531e-05
    -0.000343549     -0.00035327
     -3.0432e-05    -3.96415e-05
    -0.000117389    -0.000144904
    -0.000913625    -0.000907736
     -8.8341e-05    -0.000108593
    -0.000926648    -0.000854244
     -5.0104e-05    -6.51915e-05
    -0.000231758    -0.000245065
     -7.0271e-05     -8.4705e-05
      -8.769e-06    -1.35766e-05
     -6.2942e-05    -7.69615e-05
    -0.000311039    -0.000319971
      -2.797e-05    -4.47374e-05
     -1.9565e-05    -2.64736e-05
     -4.8111e-05    -6.00021e-05
     -0.00039605    -0.000417537
     -8.4564e-05    -9.80324e-05
    -0.000143599    -0.000163066
    -0.000110207    -0.000125612
    -0.000110762    -0.000134897
     -9.3446e-05    -0.000122154
     -3.2342e-05    -4.04208e-05
    -0.000565649    -0.000551181
     -3.2205e-05    -4.36013e-05
     -3.8931e-05    -5.17725e-05
     -1.5381e-05    -2.15721e-05
     -3.8215e-05    -5.07663e-05
     -9.8378e-05     -0.00011172
     -3.4638e-05    -4.61239e-05
    -0.000206497    -0.000229727
    -0.000995951     -0.00103083
     -4.5647e-05    -5.56368e-05
    -0.000565004    -0.000573031
    -0.000106077    -0.000116811
     -1.4906e-05    -2.11601e-05
    -0.000242447    -0.000266419
     -6.3394e-05     -7.6423e-05
     -0.00030729    -0.000320689
     -1.7259e-05    -2.20515e-05
     -5.4443e-05    -6.50133e-05
     -0.00017324    -0.000197239
    -0.000609122    -0.000580252
     -3.6854e-05    -4.95204e-05
    -0.000125611    -0.000138899
     -9.0829e-05    -0.000114989
     -3.5088e-05    -4.63576e-05
    -0.000151676    -0.000166536
     -1.7893e-05    -2.46925e-05
     -2.9605e-05    -4.43484e-05
    -0.000401249    -0.000408657
    -0.000631499    -0.000650045
     -4.6001e-05    -5.53946e-05
    -0.000188716    -0.000211958
    -0.000245255    -0.000271344
      -7.299e-05     -8.5545e-05
    -0.000241925    -0.000260349
     -2.2981e-05    -3.09349e-05
    -0.000508782    -0.000545592
     -4.3634e-05    -5.80563e-05
    -0.000495486    -0.000516276
     -0.00050586    -0.000499849
       -4.66e-05    -5.83524e-05
    -0.000997626    -0.000957678
    -0.000153511    -0.000166929
    -0.000795303    -0.000753448
    -0.000827983    -0.000833573
    -0.000100572    -0.000116687
    -0.000753562    -0.000764452
    -0.000592835    -0.000572973
    -0.000115349    -0.000133563
     -0.00045527    -0.000448125
      -2.877e-05    -3.85126e-05
     -5.9775e-05    -8.47157e-05
     -0.00114042     -0.00101358
    -0.000111703    -0.000127404
    -0.000419037    -0.000422036
     -4.1059e-05    -5.38728e-05
     -0.00031565    -0.000326522
    -0.000158432    -0.000173494
     -3.6312e-05    -4.44238e-05
    -0.000410512    -0.000406094
     -4.4004e-05    -5.77753e-05
    -0.000113965    -0.000129133
     -1.7003e-05    -2.50451e-05
     -1.1131e-05    -1.69888e-05
     -0.00120683     -0.00126667
    -0.000868179    -0.000876311
     -2.4392e-05    -3.11843e-05
    -0.000672756    -0.000657912
    -0.000191778    -0.000206713
     -2.7985e-05    -4.14143e-05
    -0.000219675    -0.000244148
     -0.00149163     -0.00146911
    -0.000469196    -0.000500277
     -0.00120832     -0.00106675
    -0.000225356    -0.000271423
      -6.807e-05    -8.56468e-05
     -2.4864e-05    -3.39793e-05
     -9.9352e-05    -0.000112456
     -1.5492e-05    -2.21793e-05
     -0.00114441     -0.00100906
     -1.8841e-05     -2.5045e-05
     -6.2752e-05     -7.5586e-05
      -1.612e-05    -2.25053e-05
    -0.000310686    -0.000311106
    -0.000525495    -0.000524568
     -8.6838e-05    -0.000101793
     -4.0237e-05     -5.3221e-05
      -0.0010283    -0.000945159
     -1.3728e-05    -1.88859e-05
     -0.00103414    -0.000992219
    -0.000246966    -0.000258854
     -0.00162431     -0.00166385
    -0.000108576     -0.00012678
    -0.000332504    -0.000340346
    -0.000324013    -0.000321029
     -6.4168e-05    -7.72517e-05
     -5.4722e-05    -7.18556e-05
     -0.00126236     -0.00123409
     -4.1523e-05    -5.53876e-05
      -7.699e-05    -9.06268e-05
     -4.2005e-05    -5.08991e-05
     -1.3111e-05    -2.11918e-05
     -2.0167e-05     -2.6115e-05
     -8.5561e-05    -9.53485e-05
     -7.8645e-05    -9.10402e-05
     -4.9131e-05     -5.9132e-05
    -0.000346491    -0.000395107
    -0.000703286    -0.000675092
    -0.000729434    -0.000678135
    -0.000219201    -0.000232917
     -0.00114256     -0.00100818
    -0.000479922     -0.00047316
     -1.3513e-05    -1.81467e-05
    -0.000213091    -0.000219237
     -5.9843e-05    -7.15453e-05
     -6.1976e-05    -7.23451e-05
     -2.1715e-05    -2.93691e-05
     -5.3174e-05    -6.42105e-05
     -1.4498e-05    -2.09101e-05
    -0.000205682    -0.000230173
     -2.6808e-05    -3.39351e-05
    -0.000121812    -0.000144409
     -4.7064e-05    -6.97885e-05
    -0.000384983    -0.000368635
    -0.000187725    -0.000190402
     -1.5032e-05    -2.17255e-05
    -0.000864882    -0.000803963
    -0.000191652    -0.000213649
     -6.3976e-05     -7.5484e-05
     -3.7124e-05     -4.5386e-05
     -1.7332e-05    -2.28216e-05
     -2.1095e-05    -2.86685e-05
      -4.625e-05    -6.16272e-05
      -8.732e-05    -0.000103819
     -2.0582e-05    -2.70738e-05
     -3.0021e-05    -4.14027e-05
     -4.4328e-05    -5.83911e-05
     -6.0387e-05    -7.78374e-05
     -4.1572e-05    -6.05762e-05
    -0.000176098    -0.000214231
    -0.000897634    -0.000875415
     -3.0078e-05    -3.74729e-05
     -4.2582e-05    -5.08536e-05
     -0.00012101    -0.000148991
     -1.9705e-05    -2.53169e-05
    -0.000122157    -0.000137881
    -0.000130924    -0.000163148
    -0.000140146    -0.000146789
    -0.000507567    -0.000498482
    -0.000827874    -0.000862125
     -0.00182185     -0.00187002
     -6.7336e-05    -8.27495e-05
     -1.9887e-05    -2.71602e-05
    -0.000625787    -0.000606895
    -0.000880842    -0.000812352
     -5.2822e-05     -6.3391e-05
    -0.000309364    -0.000345552
    -0.000705992    -0.000684533
     -9.9785e-05    -0.000120771
     -5.4044e-05    -6.93129e-05
    -0.000232933     -0.00025967
    -0.000140017    -0.000158608
    -0.000291474    -0.000311548
    -0.000108459    -0.000128176
     -0.00103152    -0.000912131
     -4.0145e-05    -5.58799e-05
    -0.000903448    -0.000913332
    -0.000360447    -0.000367828
    -0.000121874    -0.000145829
    -0.000577264    -0.000593093
     -2.7807e-05    -3.62119e-05
    -0.000818033    -0.000776108
    -0.000498268    -0.000497782
     -0.00124348      -0.0012355
     -1.6774e-05    -2.20029e-05
    -0.000978387    -0.000964361
     -1.4314e-05    -1.85309e-05
    -0.000100884    -0.000115261
     -0.00114447     -0.00124235
     -5.3691e-05    -6.36846e-05
    -0.000552012    -0.000574799
    -0.000142173    -0.000154749
     -0.00065163    -0.000645468
    -0.000866671     -0.00081251
    -0.000300279    -0.000329066
    -0.000281665    -0.000292807
    -0.000448178     -0.00044287
    -0.000232293    -0.000277619
    -0.000106609    -0.000124531
     -5.0157e-05    -5.94593e-05
    -0.000103118    -0.000117253
     -0.00101822    -0.000975653
     -2.3186e-05    -2.94139e-05
     -3.9345e-05    -4.99884e-05
    -0.000766828    -0.000781683
    -0.000626272    -0.000603363
     -7.1641e-05    -8.49097e-05
    -0.000115099    -0.000137292
     -1.8335e-05    -2.60482e-05
