QM Energy	FF Energy
     -0.00166835     -0.00123371
     -0.00766856     -0.00667732
     -0.00125085    -0.000899521
     -0.00117596    -0.000860512
     -0.00342472     -0.00289412
     -0.00152491     -0.00109596
     -0.00195178     -0.00151278
     -0.00230337     -0.00182503
     -0.00376606     -0.00313059
     -0.00273943     -0.00221951
     -0.00194506     -0.00144929
     -0.00245923     -0.00192494
     -0.00625463     -0.00554194
     -0.00170159     -0.00123569
    -0.000792979    -0.000521095
     -0.00289095     -0.00243269
      -0.0039469     -0.00341913
     -0.00336014     -0.00283357
     -0.00334836     -0.00284198
     -0.00265028     -0.00218044
    -0.000824736    -0.000585035
     -0.00347988     -0.00296085
     -0.00305774     -0.00258129
     -0.00550053     -0.00473023
     -0.00203923     -0.00155314
     -0.00142114     -0.00101336
     -0.00117217    -0.000817227
     -0.00558407     -0.00475572
     -0.00633042     -0.00552209
     -0.00126771     -0.00086901
     -0.00360019     -0.00309159
     -0.00891766     -0.00790747
     -0.00616079      -0.0054029
      -0.0020884     -0.00165819
     -0.00747932     -0.00657106
     -0.00133733    -0.000985571
    -0.000997497    -0.000697446
     -0.00151041     -0.00114802
     -0.00130822    -0.000918124
     -0.00401721     -0.00341045
     -0.00508752     -0.00438572
     -0.00179635     -0.00137468
     -0.00414759     -0.00362701
     -0.00307041      -0.0025991
    -0.000692454    -0.000449611
     -0.00434056     -0.00366466
      -0.0019419     -0.00144767
     -0.00492984     -0.00417865
     -0.00511211     -0.00445418
      -0.0044961      -0.0038379
     -0.00406821     -0.00353688
     -0.00830171     -0.00722188
     -0.00140507     -0.00103518
     -0.00522848     -0.00456399
      -0.0102843     -0.00919755
      -0.0125282      -0.0112534
     -0.00457966     -0.00390421
     -0.00204172     -0.00167049
    -0.000959768     -0.00066809
     -0.00351856     -0.00305375
     -0.00315906     -0.00260188
     -0.00247405     -0.00197826
     -0.00189832     -0.00151208
     -0.00444577     -0.00381155
     -0.00191488      -0.0015243
      -0.0104119     -0.00929003
     -0.00968082     -0.00867247
     -0.00523075      -0.0046207
     -0.00214837     -0.00171271
      -0.0048239     -0.00417048
     -0.00366895     -0.00314825
      -0.0089307     -0.00795067
     -0.00137418     -0.00101019
     -0.00218779     -0.00180383
     -0.00186263     -0.00147255
       -0.010206     -0.00897757
     -0.00172672      -0.0013855
     -0.00110197    -0.000768757
     -0.00127957    -0.000963101
     -0.00173926     -0.00131149
     -0.00676434     -0.00604229
     -0.00360217     -0.00305688
     -0.00310001     -0.00255915
     -0.00113314    -0.000805415
     -0.00188598     -0.00153156
     -0.00352286     -0.00297132
     -0.00219431     -0.00168112
     -0.00228198     -0.00186248
     -0.00160143     -0.00123822
     -0.00475748     -0.00411189
     -0.00212198     -0.00170012
     -0.00103748    -0.000733884
     -0.00197797     -0.00150512
     -0.00314135     -0.00265756
     -0.00417101     -0.00354488
     -0.00213088     -0.00173878
     -0.00320854     -0.00269288
     -0.00106341    -0.000738759
     -0.00284351     -0.00240173
      -0.0043513     -0.00378087
     -0.00151347     -0.00111869
     -0.00100277    -0.000705023
     -0.00440174     -0.00378844
     -0.00153513     -0.00112295
     -0.00158435     -0.00119669
    -0.000901754    -0.000643642
    -0.000841966     -0.00056708
     -0.00462024     -0.00403735
     -0.00605558     -0.00537261
     -0.00159409     -0.00119355
     -0.00105589    -0.000706698
    -0.000759544    -0.000530584
    -0.000879385     -0.00059248
     -0.00145532      -0.0011074
     -0.00136177     -0.00094617
     -0.00184113     -0.00143147
     -0.00237814     -0.00185202
     -0.00457906     -0.00400436
     -0.00183082     -0.00139747
     -0.00254495     -0.00205007
    -0.000860282    -0.000586286
     -0.00153439     -0.00112222
     -0.00320936     -0.00275303
     -0.00134455    -0.000962148
     -0.00280076     -0.00224681
     -0.00731058     -0.00640971
     -0.00220827     -0.00173006
     -0.00551477     -0.00484255
     -0.00162006     -0.00121136
     -0.00226555     -0.00186462
     -0.00153412     -0.00117695
    -0.000983603    -0.000637145
     -0.00171238     -0.00131009
     -0.00250268     -0.00210832
     -0.00179527     -0.00132297
     -0.00113061    -0.000785483
     -0.00151155     -0.00112838
       -0.004735     -0.00411439
     -0.00159127     -0.00124024
     -0.00280863     -0.00227509
     -0.00206426     -0.00164773
     -0.00239177     -0.00193879
     -0.00243976     -0.00192922
      -0.0011389    -0.000820219
     -0.00448624     -0.00393224
     -0.00139952     -0.00102667
        -0.00153     -0.00111854
     -0.00106323      -0.0007211
     -0.00138477     -0.00103155
     -0.00185529     -0.00144458
     -0.00135581     -0.00099805
     -0.00324782     -0.00268775
     -0.00820673     -0.00731667
      -0.0013683     -0.00100481
     -0.00556641     -0.00494798
     -0.00214033     -0.00167544
     -0.00102681    -0.000693163
     -0.00305111     -0.00251376
     -0.00196727     -0.00151923
     -0.00377426     -0.00325685
     -0.00097108    -0.000652585
     -0.00118528    -0.000892429
     -0.00234518     -0.00189486
     -0.00404782     -0.00351464
     -0.00131511    -0.000955733
     -0.00209684     -0.00170191
     -0.00257134     -0.00202524
     -0.00116506    -0.000857498
     -0.00212326     -0.00172992
    -0.000867152    -0.000599047
     -0.00167839     -0.00122563
     -0.00292505     -0.00249633
     -0.00541005      -0.0046784
     -0.00129357     -0.00095544
     -0.00357937     -0.00297071
     -0.00304377     -0.00251954
     -0.00124549    -0.000960074
     -0.00261601      -0.0021537
     -0.00103358    -0.000729197
     -0.00554181      -0.0048652
     -0.00173764     -0.00128661
     -0.00478345     -0.00425003
      -0.0040644     -0.00347716
     -0.00146779     -0.00110178
       -0.007363     -0.00660389
     -0.00262901     -0.00211561
      -0.0042884     -0.00366562
     -0.00728222     -0.00642864
