Edrude_ind 		 Edrude_dhf
     -0.00000307       0.00000002
     -0.00000217       0.00000007
     -0.00000438       0.00000007
     -0.00000247      -0.00000013
     -0.00000785      -0.00000005
     -0.00003954       0.00000031
     -0.00000178       0.00000003
     -0.00000721      -0.00000044
     -0.00000568       0.00000035
     -0.00000868      -0.00000006
     -0.00000206      -0.00000004
     -0.00000339      -0.00000019
     -0.00003815       0.00000115
     -0.00001332      -0.00000106
     -0.00000745      -0.00000022
     -0.00000153       0.00000005
     -0.00001193      -0.00000008
     -0.00000620       0.00000001
     -0.00000443       0.00000045
     -0.00000217       0.00000010
     -0.00000473      -0.00000043
     -0.00001753      -0.00000014
     -0.00004074       0.00000112
     -0.00001012      -0.00000002
     -0.00004451      -0.00000120
     -0.00000464       0.00000007
     -0.00000822      -0.00000073
     -0.00002342      -0.00000009
     -0.00000265      -0.00000005
     -0.00002176      -0.00000178
     -0.00005161      -0.00000892
     -0.00000266       0.00000020
     -0.00000696       0.00000036
     -0.00000392      -0.00000022
     -0.00001625       0.00000041
     -0.00001538      -0.00000181
     -0.00000194       0.00000004
     -0.00002846      -0.00000018
     -0.00001369      -0.00000138
     -0.00000998      -0.00000048
     -0.00003740      -0.00000018
     -0.00000367       0.00000016
     -0.00001713      -0.00000096
     -0.00000195      -0.00000007
     -0.00000891      -0.00000019
     -0.00000161       0.00000004
     -0.00000098      -0.00000001
     -0.00000751      -0.00000054
     -0.00001516       0.00000086
     -0.00000338       0.00000019
     -0.00000232       0.00000016
     -0.00000202       0.00000001
     -0.00000161       0.00000007
     -0.00000921      -0.00000035
     -0.00002806      -0.00000125
     -0.00000271      -0.00000011
     -0.00001960      -0.00000108
     -0.00003475      -0.00000202
     -0.00000145       0.00000015
     -0.00001820       0.00000058
     -0.00005502      -0.00001220
     -0.00000197       0.00000009
     -0.00000338      -0.00000020
     -0.00000574      -0.00000057
     -0.00000110       0.00000007
     -0.00000401       0.00000009
     -0.00000270      -0.00000013
     -0.00003255      -0.00000076
     -0.00000102       0.00000007
     -0.00000117       0.00000007
     -0.00000155      -0.00000002
     -0.00000151       0.00000004
     -0.00004254      -0.00000721
     -0.00001434      -0.00000019
     -0.00001031      -0.00000071
     -0.00002112       0.00000067
     -0.00000540       0.00000009
     -0.00000652      -0.00000046
     -0.00000317      -0.00000009
     -0.00001753      -0.00000168
     -0.00001031      -0.00000017
     -0.00000749      -0.00000013
     -0.00000339       0.00000005
     -0.00000450       0.00000021
     -0.00000175      -0.00000006
     -0.00002321      -0.00000150
     -0.00001827       0.00000051
     -0.00000212      -0.00000008
     -0.00000228       0.00000016
     -0.00001033       0.00000092
     -0.00000386       0.00000019
     -0.00000251      -0.00000002
     -0.00000082      -0.00000003
     -0.00000676       0.00000027
     -0.00001014      -0.00000007
     -0.00000435       0.00000021
     -0.00000558      -0.00000019
     -0.00001734       0.00000100
     -0.00000155       0.00000012
     -0.00000238      -0.00000005
     -0.00000218      -0.00000011
     -0.00000449       0.00000020
     -0.00002130       0.00000052
     -0.00000959      -0.00000028
     -0.00000359      -0.00000020
     -0.00001501      -0.00000054
     -0.00000341       0.00000008
     -0.00000760       0.00000014
     -0.00000285      -0.00000017
     -0.00000975       0.00000024
     -0.00000337       0.00000010
     -0.00002025      -0.00000397
     -0.00001026       0.00000104
     -0.00003531      -0.00000132
     -0.00000189       0.00000010
     -0.00000167      -0.00000002
     -0.00000624      -0.00000032
     -0.00000262      -0.00000010
     -0.00000232      -0.00000018
     -0.00000392      -0.00000014
     -0.00003407       0.00000047
     -0.00000411       0.00000019
     -0.00000097       0.00000001
     -0.00000271      -0.00000020
     -0.00000243      -0.00000006
     -0.00001326       0.00000048
     -0.00000317      -0.00000005
     -0.00000789       0.00000048
     -0.00000171       0.00000006
     -0.00000235       0.00000000
     -0.00000557      -0.00000061
     -0.00000161      -0.00000005
     -0.00000559      -0.00000034
     -0.00001176      -0.00000038
     -0.00004319      -0.00000407
     -0.00000264      -0.00000001
     -0.00000733      -0.00000003
     -0.00002349      -0.00000309
     -0.00000777       0.00000037
     -0.00000091       0.00000001
     -0.00001256      -0.00000158
     -0.00002602       0.00000199
     -0.00000432      -0.00000015
