QM Energy	FF Energy
    -0.000208142    -0.000224179
     -0.00683648     -0.00609457
    -0.000178424    -0.000184921
    -0.000224688    -0.000193239
     -0.00146016      -0.0015018
    -0.000132982    -0.000145015
    -0.000337446    -0.000342168
    -0.000441495    -0.000520657
    -0.000883495     -0.00103016
    -0.000763168    -0.000749029
    -0.000272761    -0.000307091
    -0.000444024    -0.000492517
      -0.0029793     -0.00305731
    -0.000162175    -0.000190376
     -9.2163e-05    -9.02523e-05
    -0.000819679    -0.000924771
     -0.00166885     -0.00183508
     -0.00104497     -0.00115538
     -0.00149812     -0.00156451
    -0.000882438    -0.000763407
       -4.85e-05     -5.1609e-05
      -0.0015484     -0.00155902
     -0.00126651     -0.00123879
     -0.00332576     -0.00327596
    -0.000262655    -0.000298017
    -0.000132556    -0.000163403
    -0.000122451    -0.000130827
     -0.00267002     -0.00290776
     -0.00356354     -0.00389995
     -9.1207e-05    -0.000112223
     -0.00129164     -0.00141202
      -0.0067524     -0.00674707
     -0.00449431     -0.00403789
    -0.000466008      -0.0004547
     -0.00400117     -0.00415299
    -0.000212956    -0.000203855
    -0.000142621    -0.000155761
    -0.000264511    -0.000252239
    -0.000144083    -0.000149866
     -0.00211845     -0.00222536
     -0.00229776     -0.00259762
     -0.00038553    -0.000379799
     -0.00146631     -0.00170014
      -0.0008639     -0.00100214
     -6.5027e-05    -6.33057e-05
     -0.00184335      -0.0019542
    -0.000234639    -0.000286911
     -0.00263374      -0.0026788
     -0.00207858     -0.00216838
     -0.00223998      -0.0021447
     -0.00250756     -0.00226693
     -0.00731461     -0.00637175
    -0.000223763    -0.000239303
     -0.00319291      -0.0027945
     -0.00609099     -0.00684132
     -0.00882908     -0.00941255
     -0.00191953     -0.00202964
    -0.000590789    -0.000576224
    -0.000108931    -0.000106769
     -0.00147545     -0.00156158
    -0.000585287    -0.000744587
    -0.000503003    -0.000561747
    -0.000375932     -0.00042094
     -0.00159701     -0.00162804
      -0.0005125    -0.000440134
     -0.00794277     -0.00812586
      -0.0063804     -0.00702818
     -0.00350153     -0.00315115
    -0.000451777    -0.000478532
     -0.00190495     -0.00206558
     -0.00171173     -0.00167752
     -0.00697024     -0.00739726
     -0.00014074    -0.000144105
    -0.000673587    -0.000642354
    -0.000417778    -0.000395778
     -0.00964846     -0.00893776
    -0.000308538    -0.000332364
    -0.000152567    -0.000151001
    -0.000284777    -0.000249215
    -0.000282578     -0.00031974
     -0.00388948     -0.00423866
      -0.0013707     -0.00137362
      -0.0008252    -0.000870493
    -0.000134197    -0.000127525
    -0.000589237     -0.00051408
     -0.00101602     -0.00115322
    -0.000389641     -0.00040333
    -0.000560287    -0.000619428
