QM Energy	FF Energy
     -1.5085e-05    -2.32538e-05
    -0.000646115    -0.000535109
      -9.009e-06    -1.32368e-05
     -1.4734e-05    -1.83682e-05
    -0.000236158    -0.000205806
     -1.1859e-05     -1.6611e-05
     -2.4433e-05    -3.37523e-05
     -2.7387e-05    -3.85112e-05
    -0.000116019    -0.000122736
     -3.2517e-05    -6.02995e-05
     -1.1368e-05    -2.34941e-05
     -2.6975e-05    -4.27498e-05
     -0.00025996    -0.000287649
     -1.1688e-05    -1.88338e-05
       -4.77e-06    -6.92332e-06
     -9.8532e-05    -0.000101797
    -0.000229996     -0.00021413
      -5.979e-05    -8.81778e-05
    -0.000296796    -0.000245982
     -3.5544e-05    -6.86617e-05
     -1.5613e-05    -1.47585e-05
    -0.000236341    -0.000214169
    -0.000102265    -0.000118807
    -0.000348336    -0.000340164
     -2.6975e-05    -3.27056e-05
      -9.194e-06    -1.28983e-05
      -6.925e-06    -1.08229e-05
    -0.000392246    -0.000339765
     -0.00044461    -0.000392851
      -5.325e-06    -8.94498e-06
     -7.5451e-05    -0.000106156
    -0.000539507    -0.000497373
    -0.000308419    -0.000341229
     -4.7164e-05    -5.64272e-05
    -0.000299387    -0.000362435
     -1.9061e-05    -2.20734e-05
      -8.432e-06    -1.16486e-05
     -2.7097e-05    -3.06749e-05
      -5.404e-06    -1.40149e-05
    -0.000415422    -0.000332407
    -0.000353816    -0.000313006
     -1.5782e-05    -3.21214e-05
    -0.000119549    -0.000141764
     -9.4621e-05      -0.0001049
      -4.861e-06    -6.17348e-06
    -0.000315161    -0.000272917
      -1.244e-05    -2.09452e-05
    -0.000401294    -0.000344621
    -0.000173456    -0.000196265
    -0.000220609    -0.000239149
    -0.000185823     -0.00021245
    -0.000520506    -0.000503792
     -1.1719e-05     -1.9462e-05
    -0.000180447    -0.000251649
    -0.000430877    -0.000471092
    -0.000674042    -0.000708343
    -0.000280051    -0.000257766
     -6.1725e-05    -6.53464e-05
       -9.89e-06    -1.12865e-05
    -0.000112304    -0.000134316
     -8.4657e-05    -9.09516e-05
     -4.6069e-05    -5.51611e-05
     -3.0003e-05    -3.83588e-05
      -0.0001162    -0.000154237
     -3.4944e-05    -4.83069e-05
    -0.000617622    -0.000562649
    -0.000507773    -0.000475152
    -0.000198104    -0.000268987
     -5.8913e-05    -6.07022e-05
    -0.000179906    -0.000202866
    -0.000150184     -0.00016426
    -0.000737035    -0.000552462
     -2.1757e-05    -2.37495e-05
      -7.734e-05    -7.95087e-05
      -4.313e-05    -4.94951e-05
    -0.000886347    -0.000694081
     -6.8277e-05    -6.34089e-05
      -5.855e-06    -1.15095e-05
     -1.7721e-05    -2.23343e-05
     -1.5585e-05    -2.40107e-05
    -0.000298993    -0.000310623
     -8.3348e-05    -0.000108751
    -0.000100903     -0.00010422
     -1.3191e-05    -1.56231e-05
     -4.3056e-05    -5.25754e-05
     -9.7196e-05    -0.000110957
     -1.2486e-05    -3.58079e-05
     -3.9245e-05    -5.13453e-05
     -2.2032e-05    -3.09768e-05
    -0.000145693    -0.000167289
     -6.6394e-05     -6.7237e-05
     -1.0637e-05    -1.27769e-05
     -1.0799e-05    -2.98721e-05
     -6.5166e-05    -9.48724e-05
     -6.2205e-05    -0.000115069
     -5.7876e-05    -6.62605e-05
    -0.000147901    -0.000142066
      -7.326e-06     -1.1512e-05
     -7.7193e-05    -9.21132e-05
    -0.000184331    -0.000206185
     -1.5448e-05       -2.18e-05
       -9.44e-06     -1.2673e-05
     -6.5155e-05    -0.000124637
     -1.7385e-05    -2.17213e-05
     -3.0575e-05    -3.16326e-05
     -1.5345e-05    -1.57157e-05
      -7.785e-06    -9.26223e-06
    -0.000175484     -0.00019227
    -0.000158746     -0.00021403
     -1.6952e-05    -2.25357e-05
      -3.617e-06    -7.16568e-06
     -1.2154e-05    -1.19474e-05
      -7.618e-06     -8.7738e-06
     -2.5696e-05    -2.90688e-05
       -6.56e-06    -1.20974e-05
     -4.3506e-05    -4.51679e-05
     -2.1658e-05    -3.42502e-05
    -0.000148166    -0.000197631
      -1.306e-05    -3.04097e-05
     -5.9413e-05    -7.54697e-05
      -8.179e-06    -1.03667e-05
      -1.601e-05    -1.99597e-05
    -0.000133427    -0.000139911
      -7.094e-06    -1.48467e-05
     -3.7237e-05    -5.68416e-05
    -0.000259207    -0.000356532
     -3.0491e-05    -4.12603e-05
    -0.000333038     -0.00034248
      -2.066e-05    -2.56355e-05
    -0.000108017    -0.000101628
     -3.1426e-05    -3.36203e-05
      -3.684e-06    -5.90666e-06
     -2.1457e-05     -2.9998e-05
    -0.000148466    -0.000132811
      -9.806e-06    -1.61948e-05
      -5.291e-06    -1.04265e-05
     -1.4971e-05    -2.24972e-05
    -0.000108096     -0.00015877
      -3.615e-05    -3.88866e-05
     -3.8193e-05    -6.31748e-05
     -3.7843e-05    -4.79547e-05
     -3.4932e-05    -5.07958e-05
      -3.792e-05    -4.67813e-05
     -1.3599e-05    -1.66195e-05
    -0.000204082     -0.00021526
     -1.1272e-05    -1.73132e-05
     -1.4566e-05    -1.93195e-05
      -5.391e-06    -8.59442e-06
     -1.3084e-05    -1.90228e-05
     -3.4783e-05    -4.43889e-05
     -1.3288e-05    -1.76518e-05
     -7.2357e-05    -9.31982e-05
    -0.000365101    -0.000400766
     -1.4724e-05    -2.16665e-05
    -0.000172628    -0.000220564
     -2.8782e-05    -4.79797e-05
      -4.647e-06    -7.95833e-06
    -0.000104003    -0.000106056
     -1.8231e-05    -3.17998e-05
     -9.6981e-05    -0.000124715
      -5.445e-06    -9.18357e-06
     -2.4653e-05    -2.61344e-05
     -8.5705e-05    -8.16598e-05
    -0.000235607    -0.000236614
     -1.8031e-05    -1.95943e-05
     -3.6371e-05    -5.46316e-05
     -2.5714e-05    -4.29132e-05
     -1.5809e-05    -1.81003e-05
     -5.8877e-05    -6.56598e-05
      -8.672e-06    -9.76901e-06
      -1.014e-05    -1.67731e-05
    -0.000194256     -0.00017249
    -0.000250263    -0.000259845
     -1.5569e-05    -2.16194e-05
     -4.5805e-05    -8.50441e-05
    -0.000106704    -0.000109287
     -3.8648e-05     -3.5883e-05
    -0.000111206    -0.000107318
      -9.603e-06    -1.21378e-05
    -0.000158221    -0.000209902
     -1.4345e-05     -2.1886e-05
    -0.000176861    -0.000201426
    -0.000165494    -0.000196701
     -1.7123e-05    -2.28712e-05
    -0.000339713    -0.000383103
     -3.8201e-05    -6.68772e-05
    -0.000383714    -0.000315452
    -0.000227213    -0.000328632
      -3.518e-05    -4.48301e-05
    -0.000186097    -0.000293875
    -0.000262923    -0.000237948
     -4.4312e-05    -5.37745e-05
    -0.000198424    -0.000183086
     -1.2365e-05    -1.49776e-05
     -1.9282e-05    -3.11552e-05
    -0.000480448    -0.000420826
     -3.7612e-05    -4.83434e-05
     -0.00016151    -0.000165709
     -1.1835e-05    -2.08191e-05
    -0.000124884    -0.000129099
     -6.3324e-05    -6.94721e-05
     -1.3764e-05    -1.74859e-05
    -0.000122498     -0.00016082
     -1.3527e-05    -2.28093e-05
     -4.2632e-05    -5.07021e-05
      -5.874e-06      -9.232e-06
      -4.454e-06    -6.53313e-06
    -0.000387258    -0.000493072
    -0.000265621    -0.000343587
      -7.517e-06    -1.39076e-05
    -0.000320115    -0.000277568
     -6.8614e-05     -8.2163e-05
      -9.872e-06    -1.52724e-05
     -6.8875e-05    -9.74249e-05
    -0.000720086    -0.000561758
    -0.000142073    -0.000192688
    -0.000476067    -0.000442006
     -5.7904e-05    -0.000101257
     -2.0819e-05    -3.36477e-05
      -9.148e-06     -1.3003e-05
      -4.033e-05     -4.4269e-05
      -5.823e-06    -9.33732e-06
    -0.000446327    -0.000426065
      -5.427e-06    -9.64715e-06
     -2.2779e-05    -2.93967e-05
      -6.186e-06    -9.83031e-06
     -4.9662e-05    -0.000125691
    -0.000183215    -0.000207436
     -3.2043e-05     -3.9652e-05
     -1.7106e-05    -2.02272e-05
    -0.000380281    -0.000377905
      -4.914e-06    -7.17673e-06
    -0.000384898    -0.000399404
     -9.5262e-05    -0.000102109
    -0.000802601    -0.000638974
     -4.1151e-05    -4.83485e-05
    -0.000144206    -0.000138679
     -6.6536e-05    -0.000130985
     -2.0266e-05    -2.96639e-05
     -1.6416e-05    -2.88966e-05
    -0.000548597    -0.000483136
     -1.2864e-05      -2.062e-05
     -1.3273e-05    -3.59941e-05
     -1.9183e-05    -2.02041e-05
      -5.168e-06    -7.83925e-06
       -7.38e-06    -1.00667e-05
     -1.7722e-05    -3.93869e-05
     -3.7126e-05    -3.70449e-05
     -2.2637e-05    -2.38135e-05
    -0.000156977    -0.000159537
    -0.000324797    -0.000278332
    -0.000225895    -0.000273458
     -7.1812e-05    -8.92933e-05
    -0.000472996    -0.000419642
    -0.000174844    -0.000186461
      -3.848e-06    -7.89117e-06
      -5.193e-05    -8.92074e-05
     -2.1738e-05    -2.76544e-05
     -1.9345e-05    -2.90418e-05
      -6.303e-06    -1.11354e-05
     -1.2484e-05    -2.55192e-05
      -5.614e-06     -7.7217e-06
     -5.6422e-05    -8.79204e-05
     -1.2357e-05     -1.3693e-05
     -2.7421e-05    -5.48792e-05
     -1.6133e-05    -2.53559e-05
    -0.000105906    -0.000152129
     -6.1353e-05    -8.10759e-05
      -6.464e-06     -8.9457e-06
    -0.000381834    -0.000326057
     -4.7721e-05     -8.1153e-05
     -1.6634e-05    -2.99875e-05
       -7.59e-06    -2.02487e-05
       -8.42e-06    -9.23738e-06
      -6.846e-06    -1.10113e-05
     -1.3241e-05    -2.45024e-05
     -3.3919e-05    -4.12604e-05
     -1.0913e-05    -1.10712e-05
     -1.2191e-05    -1.55094e-05
     -1.3612e-05     -2.2814e-05
     -2.1078e-05    -3.03478e-05
     -1.7229e-05    -2.30726e-05
      -5.765e-05    -8.06383e-05
    -0.000296412    -0.000348974
     -1.3947e-05    -1.50134e-05
     -1.7042e-05    -2.13325e-05
     -3.2624e-05    -5.66809e-05
      -5.904e-06    -1.03763e-05
     -4.9996e-05    -5.46041e-05
     -5.1018e-05    -6.26456e-05
     -4.6195e-05    -6.25954e-05
    -0.000205941    -0.000197819
    -0.000365519    -0.000348433
     -0.00091797    -0.000735895
     -2.0018e-05    -3.27355e-05
      -9.995e-06      -1.078e-05
    -0.000266231    -0.000245465
    -0.000335825    -0.000333553
     -1.8979e-05    -2.51671e-05
     -7.4357e-05    -0.000129221
    -0.000217769     -0.00026251
     -4.7456e-05     -4.9313e-05
     -1.5422e-05    -2.72923e-05
    -0.000102336    -0.000105566
     -6.5018e-05    -6.44152e-05
     -8.8879e-05    -0.000118799
     -3.0188e-05    -4.79655e-05
    -0.000424127    -0.000382648
     -1.6076e-05    -2.08777e-05
    -0.000281958    -0.000354782
     -0.00016691    -0.000153886
     -2.7009e-05    -5.75341e-05
    -0.000177894    -0.000228968
       -8.28e-06    -1.35699e-05
    -0.000273496    -0.000310182
     -0.00012259    -0.000193564
    -0.000563101    -0.000483367
      -7.684e-06    -9.13845e-06
    -0.000366087    -0.000378441
      -5.222e-06    -7.86464e-06
     -5.0082e-05    -4.76552e-05
    -0.000388551     -0.00048041
     -2.5798e-05    -2.57793e-05
     -0.00026681    -0.000241211
     -4.7619e-05    -6.23144e-05
    -0.000166376    -0.000260818
    -0.000350631    -0.000321862
     -8.5111e-05    -0.000124729
     -9.3928e-05    -0.000114613
    -0.000196622    -0.000183294
     -6.8856e-05    -0.000101867
     -5.0519e-05    -5.08203e-05
     -1.9407e-05    -2.43147e-05
     -3.6239e-05    -4.53785e-05
    -0.000369995    -0.000393117
      -9.772e-06    -1.21751e-05
     -1.1545e-05    -2.03052e-05
    -0.000284923    -0.000295128
    -0.000249518    -0.000240395
     -2.6319e-05    -3.23324e-05
     -3.3063e-05    -5.17292e-05
      -5.967e-06    -9.92027e-06
       -2.55e-05    -2.72901e-05
    -0.000158026    -0.000235365
     -2.6312e-05    -5.23033e-05
     -1.2453e-05    -1.87458e-05
      -4.416e-06    -7.08672e-06
     -2.6433e-05    -4.80532e-05
     -6.2262e-05    -0.000130309
      -8.325e-06    -1.22194e-05
      -5.874e-06    -7.72023e-06
     -1.1336e-05    -2.28147e-05
     -1.4873e-05    -1.89693e-05
    -0.000139866    -0.000183294
    -0.000168548     -0.00018606
    -0.000307152    -0.000320521
    -0.000233929    -0.000227207
    -0.000185054    -0.000234557
    -0.000173924    -0.000182781
          -5e-06    -6.54869e-06
    -0.000110622    -0.000101804
     -3.3607e-05    -4.58747e-05
     -8.6662e-05    -8.79829e-05
    -0.000123216     -0.00012344
    -0.000118643    -0.000125186
    -0.000488475    -0.000424543
     -1.7196e-05    -2.10932e-05
     -1.2596e-05    -1.21651e-05
     -4.0213e-05    -5.54221e-05
     -2.5399e-05    -2.81552e-05
     -1.1283e-05    -1.66893e-05
     -5.4753e-05    -5.90842e-05
    -0.000107312    -0.000116292
     -7.4864e-05    -7.01179e-05
    -0.000646778    -0.000648052
    -0.000283923    -0.000302178
    -0.000109839    -0.000117121
    -0.000206549    -0.000320397
     -1.0912e-05    -1.12322e-05
    -0.000426886    -0.000461104
     -2.8181e-05    -4.34228e-05
    -0.000187314    -0.000275086
     -7.5425e-05    -0.000117731
     -1.1546e-05    -2.21867e-05
      -8.657e-06    -1.50541e-05
     -1.9026e-05    -3.47826e-05
    -0.000445783    -0.000394293
      -9.885e-06    -1.02675e-05
     -5.4824e-05    -5.61667e-05
     -6.8307e-05    -9.97629e-05
     -1.1971e-05    -1.44805e-05
      -4.246e-05     -4.5476e-05
     -7.0034e-05    -6.98589e-05
     -6.8987e-05    -8.74625e-05
     -8.6536e-05    -0.000106021
    -0.000102606    -9.62694e-05
     -6.0639e-05    -9.85385e-05
     -8.7724e-05    -9.20375e-05
     -3.4829e-05    -7.07882e-05
     -2.0242e-05     -2.3093e-05
      -5.898e-06    -8.31995e-06
     -2.3544e-05    -5.02323e-05
    -0.000223051    -0.000196454
     -5.6783e-05    -8.18371e-05
     -2.8497e-05     -3.5541e-05
     -0.00023061    -0.000273047
     -4.1772e-05    -4.96634e-05
     -5.9252e-05    -7.77344e-05
    -0.000277305    -0.000383486
     -4.1736e-05    -6.16227e-05
      -9.112e-06    -1.84511e-05
     -8.5368e-05    -0.000122829
      -2.185e-05    -2.91757e-05
       -4.19e-05    -6.27493e-05
    -0.000160349     -0.00014828
    -0.000445713    -0.000430529
    -0.000459813    -0.000413582
    -0.000200352     -0.00020677
      -9.513e-06    -1.44538e-05
      -7.083e-06    -1.01403e-05
       -7.22e-06    -1.24967e-05
     -1.0025e-05    -1.32238e-05
    -0.000124162    -0.000127833
    -0.000631832    -0.000646259
     -2.4382e-05    -3.40475e-05
    -0.000153727    -0.000171808
      -5.159e-05    -7.15138e-05
     -4.5716e-05    -9.37352e-05
    -0.000711794    -0.000682773
     -2.0868e-05    -2.86822e-05
      -5.907e-06    -9.73376e-06
    -0.000611984    -0.000607589
      -9.728e-06    -1.70924e-05
     -8.5567e-05    -0.000105925
       -6.34e-05    -7.93603e-05
     -6.1355e-05    -5.83469e-05
     -2.6011e-05    -3.78421e-05
      -5.804e-06    -1.08593e-05
     -1.9445e-05    -2.85166e-05
     -2.0865e-05    -3.61247e-05
    -0.000246112    -0.000288371
      -2.656e-05    -3.64869e-05
     -2.2994e-05    -2.24847e-05
     -0.00070471    -0.000585724
     -5.6458e-05    -7.68305e-05
      -7.187e-05    -9.86824e-05
    -0.000136615    -0.000127125
      -8.192e-06    -1.57563e-05
     -0.00017087    -0.000219661
      -8.589e-06    -9.86413e-06
     -5.9088e-05    -8.72284e-05
      -4.164e-06    -7.20239e-06
     -4.8841e-05     -6.0497e-05
     -8.2836e-05    -9.71069e-05
     -4.0288e-05    -5.77164e-05
    -0.000336083    -0.000298193
    -0.000205433    -0.000207863
     -3.7223e-05     -4.2272e-05
      -7.481e-06    -8.29071e-06
      -9.728e-06    -1.33902e-05
    -0.000110232    -0.000135774
     -1.6667e-05    -1.78859e-05
     -2.3187e-05    -3.56528e-05
    -0.000469563    -0.000409135
    -0.000142767    -0.000189215
     -2.2315e-05    -2.54653e-05
      -6.126e-06    -1.02995e-05
       -9.43e-06    -1.34504e-05
    -0.000397623    -0.000442698
     -8.0982e-05     -8.8236e-05
       -9.31e-06    -1.16012e-05
    -0.000925347    -0.000737747
    -0.000254954    -0.000260955
    -0.000144033    -0.000152541
     -1.0765e-05    -1.38474e-05
       -5.92e-06    -9.85864e-06
      -6.971e-06       -8.86e-06
     -4.1627e-05     -5.3614e-05
      -7.957e-06    -8.45415e-06
     -9.9558e-05    -0.000116866
     -2.6411e-05    -5.23139e-05
      -8.391e-05    -0.000127887
      -6.956e-05    -6.57123e-05
     -1.1055e-05    -1.11324e-05
     -3.7628e-05    -3.88806e-05
     -2.0343e-05    -3.36659e-05
     -3.7118e-05    -4.86183e-05
     -1.0371e-05    -1.15549e-05
      -4.567e-06     -7.3824e-06
      -1.604e-05    -1.80524e-05
     -1.3724e-05    -2.00818e-05
      -8.374e-06    -1.28623e-05
     -3.8092e-05     -5.3732e-05
    -0.000114371     -0.00015313
     -4.1735e-05    -8.19355e-05
     -3.0232e-05    -4.19768e-05
    -0.000141627    -0.000160377
    -0.000172453    -0.000152988
     -0.00037111    -0.000329332
     -1.6639e-05    -1.68103e-05
     -2.8753e-05    -3.92284e-05
    -0.000185679    -0.000260716
     -5.0719e-05      -5.802e-05
      -3.571e-06     -6.4387e-06
      -4.248e-06    -8.26831e-06
    -0.000128666     -0.00012325
      -6.943e-06    -1.09294e-05
     -1.9589e-05    -2.96179e-05
     -1.8004e-05    -2.59722e-05
     -4.1938e-05    -6.33211e-05
     -2.5081e-05    -2.81562e-05
     -1.3025e-05    -1.67438e-05
     -7.0443e-05    -9.98639e-05
     -5.4841e-05    -6.98393e-05
    -0.000233935    -0.000249404
      -6.364e-06    -1.45852e-05
     -1.1854e-05    -1.95721e-05
     -7.9094e-05    -9.80914e-05
      -4.459e-06    -5.89742e-06
     -8.3328e-05    -9.69308e-05
    -0.000415538    -0.000399861
     -1.3332e-05    -1.69407e-05
     -2.0968e-05    -3.74102e-05
    -0.000160656    -0.000178717
     -3.3872e-05    -6.33152e-05
    -0.000284029    -0.000317801
     -5.1221e-05    -5.71202e-05
    -0.000221634    -0.000208841
      -9.543e-06    -1.23384e-05
    -0.000395005    -0.000438849
     -0.00012768      -0.0001643
      -7.357e-06    -1.09127e-05
    -0.000112108    -0.000131982
     -3.4975e-05     -3.5458e-05
      -5.568e-06    -7.95138e-06
      -8.478e-06    -8.02838e-06
     -2.6972e-05    -3.33333e-05
     -2.5937e-05    -4.12513e-05
      -6.093e-06    -9.42652e-06
    -0.000154099      -0.0001635
     -1.5748e-05     -1.6911e-05
       -9.77e-06    -1.69573e-05
    -0.000223243    -0.000290632
     -1.2863e-05    -1.78877e-05
      -8.995e-06    -1.10279e-05
     -2.0267e-05    -2.53274e-05
     -1.1057e-05     -1.4083e-05
     -4.0693e-05    -5.65067e-05
     -9.5619e-05    -0.000165618
    -0.000141634    -0.000164628
      -9.824e-06    -1.35199e-05
     -1.4023e-05    -1.48627e-05
    -0.000283051    -0.000267472
     -1.0053e-05    -1.28597e-05
    -0.000229241    -0.000269875
     -4.7683e-05     -0.00010228
      -7.447e-06    -1.10627e-05
    -0.000465558    -0.000465514
     -5.3253e-05     -6.1591e-05
     -6.2725e-05    -9.43865e-05
     -1.2655e-05    -1.65215e-05
     -9.6609e-05    -0.000102831
