# Eelst 		 Emultipole 
     -0.00024087      -0.00002761
     -0.00025636       0.00000896
     -0.00038205       0.00005479
     -0.00026674      -0.00004420
     -0.00146303      -0.00000771
     -0.00433226      -0.00002334
     -0.00015283       0.00002179
     -0.00116507      -0.00001108
     -0.00050413       0.00005216
     -0.00088064       0.00007615
     -0.00023736      -0.00002873
     -0.00037692      -0.00003491
     -0.00560855      -0.00002346
     -0.00158808      -0.00014645
     -0.00144935      -0.00001352
     -0.00016229       0.00001363
     -0.00089915      -0.00000060
     -0.00067423       0.00002770
     -0.00046456       0.00004235
     -0.00012536       0.00001971
     -0.00055991      -0.00003804
     -0.00289072      -0.00006565
     -0.00471144       0.00025131
     -0.00160286      -0.00001894
     -0.00722672      -0.00011039
     -0.00052951      -0.00001075
     -0.00167261      -0.00007890
     -0.00382251       0.00006461
     -0.00038695      -0.00001536
     -0.00429656      -0.00006903
     -0.00595874      -0.00024885
     -0.00018489       0.00001739
     -0.00064517       0.00012624
     -0.00045393      -0.00004444
     -0.00270630       0.00002388
     -0.00269223      -0.00008309
     -0.00016266       0.00001232
     -0.00473736       0.00004720
     -0.00244492      -0.00005005
     -0.00154867      -0.00005031
     -0.00652420       0.00006314
     -0.00022418       0.00003982
     -0.00287366      -0.00007970
     -0.00028287      -0.00004458
     -0.00105682      -0.00000991
     -0.00016475      -0.00000877
     -0.00009901      -0.00000117
     -0.00104846      -0.00006974
     -0.00313655       0.00007094
     -0.00026624       0.00004658
     -0.00010469       0.00002727
     -0.00017174       0.00001012
     -0.00016793       0.00001566
     -0.00131541      -0.00004756
     -0.00430432      -0.00000088
     -0.00014722      -0.00003693
     -0.00230929       0.00006692
     -0.00483865      -0.00002838
     -0.00005018       0.00003417
     -0.00371864       0.00001670
     -0.00535398      -0.00032679
     -0.00023829       0.00000930
     -0.00051573      -0.00002530
     -0.00073098      -0.00005256
     -0.00011179       0.00000861
     -0.00034332       0.00003580
     -0.00030583      -0.00004714
     -0.00557372      -0.00003302
     -0.00011995       0.00001123
     -0.00009253       0.00001620
     -0.00026325      -0.00002053
     -0.00006634       0.00001634
     -0.00371769      -0.00013192
     -0.00274472      -0.00009835
     -0.00188805      -0.00008046
     -0.00393199       0.00002199
     -0.00102681       0.00001139
     -0.00083887      -0.00002675
     -0.00018432      -0.00000220
     -0.00256825      -0.00003745
     -0.00226944      -0.00006343
     -0.00086403      -0.00000010
     -0.00035094       0.00003276
     -0.00044075       0.00003430
     -0.00029161      -0.00003136
     -0.00215788       0.00006739
     -0.00366450       0.00012110
     -0.00015022      -0.00001060
     -0.00024480       0.00001811
     -0.00160806       0.00002993
     -0.00044586       0.00003485
     -0.00023178      -0.00000247
     -0.00011409      -0.00002009
     -0.00076643       0.00006486
     -0.00146601       0.00004984
     -0.00082062      -0.00000868
     -0.00106628      -0.00006636
     -0.00215674       0.00016380
     -0.00012895       0.00001892
     -0.00013987       0.00001128
     -0.00030034      -0.00002226
     -0.00053871      -0.00001766
     -0.00375821      -0.00003417
     -0.00130943       0.00000051
     -0.00063901      -0.00004954
     -0.00247199      -0.00000596
     -0.00035518      -0.00000171
     -0.00163665       0.00005591
     -0.00043878      -0.00003091
     -0.00182429      -0.00004844
     -0.00066989       0.00000117
     -0.00305311      -0.00016526
     -0.00058489       0.00007933
     -0.00477809      -0.00010728
     -0.00023236      -0.00000273
     -0.00021637      -0.00001676
